,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,4,45,Tyt
1,1,24.677,145.885,4,45,Tyt
2,2,23.753,151.560,4,45,Tyt
3,3,23.583,152.652,4,45,Tyt
4,4,23.648,152.233,4,45,Tyt
5,5,23.652,152.207,4,45,Tyt
6,6,23.694,151.937,4,45,Tyt
7,7,23.859,150.886,4,45,Tyt
8,8,23.762,151.502,4,45,Tyt
9,9,23.744,151.617,3,45,Tyt
10,10,23.855,150.912,3,45,Tyt
11,11,23.938,150.389,3,45,Tyt
12,12,23.883,150.735,3,45,Tyt
13,13,23.963,150.232,3,45,Tyt
14,14,24.04,149.750,3,45,Tyt
15,15,24.081,149.495,3,45,Tyt
16,16,24.1,149.378,3,45,Tyt
17,17,24.125,149.223,3,45,Tyt
18,18,24.135,149.161,3,45,Tyt
19,19,24.207,148.717,3,45,Tyt
20,20,24.001,149.994,3,45,Tyt
21,21,24.079,149.508,3,45,Tyt
22,22,24.212,148.687,3,45,Tyt
23,23,24.507,146.897,3,45,Tyt
24,24,24.359,147.789,3,45,Tyt
25,25,24.273,148.313,3,45,Tyt
26,26,24.319,148.032,3,45,Tyt
27,27,24.429,147.366,3,45,Tyt
28,28,24.31,148.087,3,45,Tyt
29,29,24.295,148.179,3,45,Tyt
30,30,24.43,147.360,4,45,Tyt
31,31,24.288,148.221,4,45,Tyt
32,32,24.485,147.029,4,45,Tyt
33,33,24.615,146.252,4,45,Tyt
34,34,24.523,146.801,4,45,Tyt
35,35,24.625,146.193,4,45,Tyt
36,36,29.369,122.578,4,45,Tyt
37,37,71.597,50.281,4,45,Tyt
38,38,94.34,38.160,17,45,Tyt
39,39,74.98,48.013,7,45,Tyt
40,40,80.038,44.979,6,45,Tyt
41,41,81.966,43.921,6,45,Tyt
42,42,80.336,44.812,6,45,Tyt
43,43,24.946,144.312,7,45,Tyt
44,44,23.979,150.131,7,45,Tyt
45,45,24.264,148.368,7,45,Tyt
46,46,24.157,149.025,7,45,Tyt
47,47,23.902,150.615,7,45,Tyt
48,48,23.838,151.019,7,45,Tyt
49,49,24.286,148.234,8,45,Tyt
50,50,23.921,150.495,8,45,Tyt
51,51,23.836,151.032,8,45,Tyt
