,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,30,38,Frd
1,1,25.312,142.225,29,38,Frd
2,2,24.837,144.945,29,38,Frd
3,3,24.21,148.699,28,38,Frd
4,4,24.141,149.124,27,38,Frd
5,5,24.68,145.867,27,38,Frd
6,6,24.374,147.698,27,38,Frd
7,7,24.336,147.929,27,38,Frd
8,8,24.803,145.144,26,38,Frd
9,9,24.259,148.399,26,38,Frd
10,10,24.599,146.347,26,38,Frd
11,11,24.224,148.613,26,38,Frd
12,12,24.324,148.002,26,38,Frd
13,13,24.261,148.386,26,38,Frd
14,14,24.185,148.853,26,38,Frd
15,15,24.145,149.099,26,38,Frd
16,16,24.137,149.149,26,38,Frd
17,17,24.256,148.417,26,38,Frd
18,18,24.062,149.613,26,38,Frd
19,19,24.187,148.840,26,38,Frd
20,20,24.269,148.337,26,38,Frd
21,21,24.43,147.360,26,38,Frd
22,22,24.419,147.426,26,38,Frd
23,23,24.479,147.065,26,38,Frd
24,24,24.483,147.041,26,38,Frd
25,25,24.477,147.077,26,38,Frd
26,26,24.437,147.318,26,38,Frd
27,27,24.447,147.257,26,38,Frd
28,28,24.547,146.657,27,38,Frd
29,29,24.67,145.926,27,38,Frd
30,30,24.34,147.905,27,38,Frd
31,31,24.412,147.468,27,38,Frd
32,32,24.432,147.348,27,38,Frd
33,33,24.328,147.978,27,38,Frd
34,34,24.319,148.032,27,38,Frd
35,35,24.875,144.724,27,38,Frd
36,36,41.542,86.659,27,38,Frd
37,37,67.41,53.405,27,38,Frd
38,38,83.877,42.920,33,38,Frd
39,39,88.772,40.553,31,38,Frd
40,40,76.864,46.836,29,38,Frd
41,41,91.285,39.437,29,38,Frd
42,42,52.463,68.620,30,38,Frd
43,43,25.33,142.124,29,38,Frd
44,44,24.5,146.939,30,38,Frd
45,45,24.648,146.056,30,38,Frd
46,46,24.598,146.353,30,38,Frd
47,47,24.308,148.099,29,38,Frd
48,48,24.379,147.668,29,38,Frd
49,49,24.528,146.771,29,38,Frd
50,50,24.452,147.227,29,38,Frd
51,51,24.626,146.187,29,38,Frd
52,52,24.259,148.399,29,38,Frd
53,53,24.45,147.239,29,38,Frd
54,54,24.27,148.331,29,38,Frd
55,55,24.174,148.920,29,38,Frd
56,56,24.372,147.710,29,38,Frd
57,57,24.29,148.209,29,38,Frd
58,58,24.21,148.699,29,38,Frd
59,59,24.252,148.441,29,38,Frd
60,60,24.28,148.270,29,38,Frd
61,61,24.352,147.832,29,38,Frd
62,62,24.567,146.538,29,38,Frd
63,63,24.388,147.614,29,38,Frd
64,64,24.39,147.601,29,38,Frd
65,65,24.348,147.856,29,38,Frd
66,66,24.238,148.527,29,38,Frd
67,67,24.334,147.941,29,38,Frd
68,68,24.57,146.520,29,38,Frd
69,69,24.243,148.496,28,38,Frd
70,70,24.213,148.680,28,38,Frd
71,71,24.339,147.911,28,38,Frd
72,72,24.347,147.862,28,38,Frd
73,73,24.276,148.295,28,38,Frd
74,74,24.481,147.053,28,38,Frd
75,75,24.476,147.083,28,38,Frd
76,76,24.42,147.420,28,38,Frd
77,77,24.495,146.969,28,38,Frd
78,78,24.353,147.826,28,38,Frd
79,79,24.411,147.474,27,38,Frd
80,80,24.396,147.565,27,38,Frd
81,81,24.414,147.456,27,38,Frd
82,82,24.299,148.154,27,38,Frd
83,83,24.483,147.041,27,38,Frd
84,84,24.579,146.466,27,38,Frd
85,85,24.477,147.077,27,38,Frd
86,86,24.519,146.825,27,38,Frd
87,87,24.527,146.777,27,38,Frd
88,88,24.409,147.487,27,38,Frd
89,89,24.453,147.221,27,38,Frd
90,90,24.504,146.915,27,38,Frd
91,91,24.488,147.011,27,38,Frd
92,92,24.602,146.330,27,38,Frd
93,93,24.565,146.550,27,38,Frd
94,94,24.524,146.795,27,38,Frd
95,95,24.627,146.181,27,38,Frd
96,96,24.478,147.071,27,38,Frd
97,97,24.65,146.045,27,38,Frd
98,98,24.61,146.282,27,38,Frd
99,99,24.72,145.631,27,38,Frd
100,100,24.612,146.270,27,38,Frd
101,101,24.708,145.702,27,38,Frd
102,102,24.605,146.312,27,38,Frd
103,103,24.586,146.425,27,38,Frd
104,104,24.685,145.838,27,38,Frd
105,105,24.701,145.743,27,38,Frd
106,106,24.64,146.104,27,38,Frd
107,107,24.567,146.538,27,38,Frd
108,108,24.564,146.556,27,38,Frd
109,109,24.769,145.343,27,38,Frd
110,110,24.694,145.784,27,38,Frd
111,111,24.831,144.980,27,38,Frd
112,112,24.778,145.290,27,38,Frd
113,113,24.685,145.838,27,38,Frd
114,114,24.796,145.185,26,38,Frd
115,115,24.817,145.062,26,38,Frd
116,116,24.95,144.289,26,38,Frd
117,117,24.914,144.497,26,38,Frd
118,118,25.007,143.960,26,38,Frd
119,119,25.107,143.386,26,38,Frd
120,120,27.104,132.822,25,38,Frd
121,121,50.073,71.895,25,38,Frd
122,122,60.254,59.747,25,38,Frd
123,123,80.045,44.975,25,38,Frd
124,124,79.583,45.236,26,38,Frd
125,125,83.761,42.979,25,38,Frd
126,126,76.667,46.956,24,38,Frd
127,127,89.817,40.081,24,38,Frd
128,128,58.3,61.750,24,38,Frd
129,129,25.226,142.710,24,38,Frd
130,130,24.52,146.819,24,38,Frd
131,131,24.513,146.861,24,38,Frd
132,132,24.021,149.869,23,38,Frd
133,133,24.359,147.789,23,38,Frd
134,134,23.966,150.213,23,38,Frd
135,135,24.094,149.415,22,38,Frd
136,136,24.018,149.888,21,38,Frd
137,137,24.224,148.613,21,38,Frd
138,138,24.109,149.322,21,38,Frd
139,139,24.119,149.260,21,38,Frd
140,140,24.094,149.415,20,38,Frd
141,141,24.205,148.730,20,38,Frd
142,142,24.075,149.533,20,38,Frd
143,143,24.056,149.651,19,38,Frd
144,144,24.156,149.031,19,38,Frd
145,145,24.095,149.409,19,38,Frd
146,146,24.248,148.466,19,38,Frd
147,147,24.158,149.019,19,38,Frd
148,148,24.174,148.920,19,38,Frd
149,149,24.203,148.742,19,38,Frd
150,150,24.163,148.988,19,38,Frd
151,151,24.066,149.589,18,38,Frd
152,152,24.215,148.668,18,38,Frd
153,153,24.128,149.204,18,38,Frd
154,154,24.16,149.007,18,38,Frd
155,155,24.146,149.093,18,38,Frd
156,156,24.212,148.687,18,38,Frd
157,157,24.17,148.945,18,38,Frd
158,158,24.23,148.576,18,38,Frd
159,159,24.265,148.362,18,38,Frd
160,160,24.271,148.325,18,38,Frd
161,161,24.176,148.908,18,38,Frd
162,162,24.381,147.656,18,38,Frd
163,163,24.255,148.423,18,38,Frd
164,164,24.397,147.559,18,38,Frd
165,165,24.276,148.295,18,38,Frd
166,166,24.149,149.074,18,38,Frd
167,167,24.28,148.270,18,38,Frd
168,168,24.321,148.020,18,38,Frd
169,169,24.253,148.435,18,38,Frd
170,170,24.266,148.356,18,38,Frd
171,171,24.353,147.826,18,38,Frd
172,172,24.3,148.148,18,38,Frd
173,173,24.502,146.927,18,38,Frd
174,174,24.429,147.366,18,38,Frd
175,175,24.524,146.795,18,38,Frd
176,176,24.446,147.263,18,38,Frd
177,177,24.488,147.011,18,38,Frd
178,178,24.43,147.360,18,38,Frd
179,179,53.031,67.885,29,38,Frd
180,180,38.274,94.059,34,38,Frd
181,181,24.423,147.402,34,38,Frd
182,182,24.125,149.223,33,38,Frd
183,183,24.012,149.925,32,38,Frd
184,184,23.959,150.257,31,38,Frd
185,185,24.432,147.348,27,38,Frd
186,186,24.368,147.735,24,38,Frd
187,187,23.958,150.263,21,38,Frd
188,188,24.041,149.744,21,38,Frd
189,189,24.178,148.896,21,38,Frd
190,190,24.25,148.454,20,38,Frd
191,191,24.5,146.939,18,38,Frd
192,192,24.259,148.399,18,38,Frd
193,193,24.15,149.068,18,38,Frd
194,194,24.083,149.483,17,38,Frd
195,195,24.108,149.328,17,38,Frd
196,196,24.338,147.917,17,38,Frd
197,197,24.123,149.235,17,38,Frd
198,198,24.113,149.297,17,38,Frd
199,199,24.038,149.763,17,38,Frd
200,200,24.018,149.888,17,38,Frd
201,201,24.012,149.925,17,38,Frd
202,202,24.053,149.669,17,38,Frd
203,203,24.077,149.520,17,38,Frd
204,204,24.05,149.688,17,38,Frd
205,205,24.125,149.223,17,38,Frd
206,206,24.011,149.931,17,38,Frd
207,207,24.109,149.322,17,38,Frd
208,208,24.133,149.173,17,38,Frd
209,209,24.708,145.702,18,38,Frd
210,210,24.283,148.252,18,38,Frd
211,211,24.317,148.045,18,38,Frd
212,212,24.264,148.368,18,38,Frd
213,213,24.327,147.984,18,38,Frd
214,214,24.281,148.264,18,38,Frd
215,215,24.305,148.118,18,38,Frd
216,216,24.235,148.545,18,38,Frd
217,217,24.292,148.197,18,38,Frd
218,218,24.339,147.911,18,38,Frd
219,219,24.367,147.741,18,38,Frd
220,220,24.313,148.069,18,38,Frd
221,221,24.167,148.963,18,38,Frd
222,222,24.301,148.142,17,38,Frd
223,223,24.291,148.203,17,38,Frd
224,224,24.435,147.330,17,38,Frd
225,225,24.463,147.161,17,38,Frd
226,226,24.527,146.777,17,38,Frd
227,227,24.449,147.245,17,38,Frd
228,228,24.709,145.696,18,38,Frd
229,229,24.366,147.747,18,38,Frd
230,230,24.558,146.592,18,38,Frd
231,231,24.624,146.199,18,38,Frd
232,232,24.568,146.532,18,38,Frd
233,233,24.513,146.861,18,38,Frd
234,234,24.586,146.425,18,38,Frd
235,235,24.763,145.378,19,38,Frd
236,236,24.502,146.927,19,38,Frd
237,237,24.654,146.021,19,38,Frd
238,238,24.668,145.938,19,38,Frd
239,239,24.772,145.325,19,38,Frd
240,240,24.649,146.051,19,38,Frd
241,241,24.687,145.826,19,38,Frd
242,242,24.687,145.826,19,38,Frd
243,243,24.541,146.693,19,38,Frd
244,244,24.547,146.657,19,38,Frd
245,245,24.599,146.347,19,38,Frd
246,246,24.571,146.514,19,38,Frd
247,247,24.479,147.065,19,38,Frd
248,248,24.582,146.449,19,38,Frd
249,249,24.533,146.741,19,38,Frd
250,250,26.718,134.741,19,38,Frd
251,251,44.874,80.225,19,38,Frd
252,252,68.913,52.240,19,38,Frd
253,253,78.002,46.153,19,38,Frd
254,254,86.143,41.791,21,38,Frd
255,255,77.441,46.487,20,38,Frd
256,256,77.02,46.741,20,38,Frd
257,257,83.343,43.195,20,38,Frd
258,258,87.144,41.311,20,38,Frd
259,259,59.898,60.102,20,38,Frd
260,260,29.156,123.474,18,38,Frd
261,261,52.598,68.444,19,38,Frd
262,262,73.858,48.742,19,38,Frd
263,263,84.732,42.487,19,38,Frd
264,264,85.662,42.026,19,38,Frd
265,265,63.097,57.055,17,38,Frd
266,266,25.351,142.006,18,38,Frd
267,267,24.528,146.771,18,38,Frd
268,268,24.475,147.089,18,38,Frd
