,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,8,77,Chv
1,1,53.532,168.124,7,77,Chv
2,2,51.112,176.084,7,77,Chv
3,3,51.655,174.233,7,77,Chv
4,4,52.046,172.924,8,77,Chv
5,5,51.339,175.305,8,77,Chv
6,6,51.253,175.599,8,77,Chv
7,7,51.113,176.080,8,77,Chv
8,8,51.188,175.822,8,77,Chv
9,9,51.475,174.842,8,77,Chv
10,10,51.564,174.540,8,77,Chv
11,11,51.85,173.578,8,77,Chv
12,12,51.784,173.799,8,77,Chv
13,13,51.918,173.350,8,77,Chv
14,14,52.014,173.030,8,77,Chv
15,15,51.944,173.264,8,77,Chv
16,16,51.865,173.527,8,77,Chv
17,17,51.971,173.174,8,77,Chv
18,18,99.653,90.313,8,77,Chv
19,19,145.256,61.960,8,77,Chv
20,20,166.117,54.179,11,77,Chv
21,21,173.901,51.754,12,77,Chv
22,22,150.894,59.645,10,77,Chv
23,23,54.802,164.228,11,77,Chv
24,24,52.185,172.463,11,77,Chv
25,25,51.63,174.317,11,77,Chv
26,26,51.579,174.490,11,77,Chv
27,27,51.478,174.832,11,77,Chv
28,28,51.685,174.132,11,77,Chv
29,29,51.708,174.054,11,77,Chv
30,30,51.858,173.551,11,77,Chv
31,31,51.782,173.806,11,77,Chv
32,32,51.67,174.182,11,77,Chv
33,33,51.871,173.507,11,77,Chv
34,34,51.818,173.685,11,77,Chv
35,35,51.751,173.910,11,77,Chv
36,36,51.9,173.410,11,77,Chv
37,37,51.888,173.451,11,77,Chv
38,38,51.67,174.182,11,77,Chv
39,39,51.605,174.402,11,77,Chv
40,40,52.066,172.858,11,77,Chv
41,41,51.796,173.759,10,77,Chv
42,42,51.872,173.504,9,77,Chv
43,43,51.907,173.387,8,77,Chv
44,44,52.233,172.305,8,77,Chv
45,45,52.515,171.380,8,77,Chv
46,46,51.994,173.097,7,77,Chv
47,47,52.026,172.990,7,77,Chv
48,48,51.894,173.430,7,77,Chv
49,49,52.034,172.964,7,77,Chv
50,50,52.66,170.908,7,77,Chv
51,51,84.639,106.334,7,77,Chv
52,52,153.526,58.622,9,77,Chv
53,53,167.128,53.851,8,77,Chv
54,54,167.638,53.687,8,77,Chv
55,55,153.679,58.564,6,77,Chv
56,56,53.406,168.520,4,77,Chv
57,57,51.517,174.700,5,77,Chv
58,58,50.867,176.932,5,77,Chv
59,59,51.461,174.890,6,77,Chv
60,60,50.974,176.561,6,77,Chv
61,61,51.344,175.288,6,77,Chv
62,62,51.068,176.236,6,77,Chv
63,63,51.236,175.658,6,77,Chv
64,64,51.351,175.264,5,77,Chv
65,65,51.548,174.595,5,77,Chv
66,66,51.659,174.219,3,77,Chv
67,67,51.584,174.473,3,77,Chv
68,68,51.649,174.253,3,77,Chv
69,69,51.382,175.159,3,77,Chv
