,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,7,17,Frd
1,1,53.551,168.064,8,17,Frd
2,2,51.372,175.193,8,17,Frd
3,3,51.24,175.644,8,17,Frd
4,4,51.441,174.958,7,17,Frd
5,5,50.787,177.211,7,17,Frd
6,6,51.007,176.446,7,17,Frd
7,7,51.271,175.538,7,17,Frd
8,8,51.483,174.815,7,17,Frd
9,9,51.561,174.551,7,17,Frd
10,10,51.712,174.041,7,17,Frd
11,11,51.947,173.254,7,17,Frd
12,12,51.749,173.916,7,17,Frd
13,13,51.957,173.220,7,17,Frd
14,14,51.751,173.910,7,17,Frd
15,15,51.924,173.330,7,17,Frd
16,16,51.925,173.327,7,17,Frd
17,17,52.109,172.715,7,17,Frd
18,18,98.73,91.158,7,17,Frd
19,19,146.242,61.542,7,17,Frd
20,20,166.115,54.179,10,17,Frd
21,21,171.525,52.470,9,17,Frd
22,22,153.809,58.514,9,17,Frd
23,23,54.778,164.300,9,17,Frd
24,24,51.787,173.789,9,17,Frd
25,25,51.274,175.528,9,17,Frd
26,26,51.318,175.377,9,17,Frd
27,27,51.413,175.053,9,17,Frd
28,28,51.74,173.947,9,17,Frd
29,29,51.483,174.815,9,17,Frd
30,30,51.779,173.816,9,17,Frd
31,31,51.695,174.098,9,17,Frd
32,32,51.831,173.641,9,17,Frd
33,33,51.863,173.534,9,17,Frd
34,34,51.712,174.041,9,17,Frd
35,35,51.819,173.681,9,17,Frd
36,36,51.807,173.722,9,17,Frd
37,37,51.856,173.558,9,17,Frd
38,38,51.609,174.388,9,17,Frd
39,39,51.68,174.149,9,17,Frd
40,40,51.952,173.237,9,17,Frd
41,41,51.944,173.264,8,17,Frd
42,42,52.011,173.040,7,17,Frd
43,43,51.771,173.842,6,17,Frd
44,44,52.473,171.517,6,17,Frd
45,45,52.39,171.789,6,17,Frd
46,46,51.718,174.021,5,17,Frd
47,47,51.653,174.240,5,17,Frd
48,48,51.773,173.836,5,17,Frd
49,49,51.712,174.041,5,17,Frd
50,50,52.13,172.645,5,17,Frd
51,51,85.247,105.576,5,17,Frd
52,52,155.237,57.976,7,17,Frd
53,53,172.606,52.142,16,17,Frd
54,54,172.941,52.041,16,17,Frd
55,55,144.115,62.450,13,17,Frd
56,56,54.239,165.932,9,17,Frd
57,57,51.359,175.237,9,17,Frd
58,58,51.07,176.229,9,17,Frd
59,59,51.015,176.419,9,17,Frd
60,60,51.21,175.747,9,17,Frd
61,61,51.391,175.128,9,17,Frd
62,62,51.259,175.579,9,17,Frd
63,63,51.194,175.802,9,17,Frd
64,64,51.361,175.230,8,17,Frd
65,65,51.409,175.067,8,17,Frd
66,66,51.494,174.778,6,17,Frd
67,67,51.726,173.994,6,17,Frd
68,68,51.642,174.277,6,17,Frd
69,69,51.557,174.564,6,17,Frd
70,70,51.33,175.336,6,17,Frd
71,71,51.597,174.429,6,17,Frd
72,72,51.722,174.007,6,17,Frd
73,73,51.311,175.401,6,17,Frd
74,74,51.519,174.693,6,17,Frd
75,75,51.639,174.287,6,17,Frd
76,76,51.24,175.644,6,17,Frd
77,77,51.944,173.264,6,17,Frd
78,78,51.953,173.233,5,17,Frd
79,79,51.506,174.737,5,17,Frd
80,80,51.676,174.162,4,17,Frd
81,81,52.258,172.222,4,17,Frd
82,82,51.469,174.863,4,17,Frd
83,83,51.065,176.246,4,17,Frd
84,84,70.241,128.130,13,17,Frd
85,85,82.494,109.099,22,17,Frd
86,86,51.304,175.425,21,17,Frd
87,87,51.242,175.637,21,17,Frd
88,88,51.239,175.647,20,17,Frd
89,89,51.38,175.165,18,17,Frd
90,90,82.9,108.565,18,17,Frd
91,91,83.388,107.929,18,17,Frd
92,92,140.504,64.055,18,17,Frd
93,93,169.438,53.117,13,17,Frd
94,94,165.022,54.538,9,17,Frd
95,95,165.469,54.391,9,17,Frd
96,96,151.743,59.311,8,17,Frd
97,97,54.966,163.738,9,17,Frd
98,98,51.542,174.615,9,17,Frd
99,99,50.826,177.075,9,17,Frd
100,100,51.332,175.329,9,17,Frd
101,101,94.452,95.286,8,17,Frd
102,102,148.378,60.656,6,17,Frd
103,103,166.595,54.023,6,17,Frd
104,104,166.028,54.208,6,17,Frd
105,105,155.787,57.771,6,17,Frd
106,106,54.668,164.630,8,17,Frd
107,107,50.894,176.838,8,17,Frd
108,108,50.844,177.012,8,17,Frd
109,109,50.767,177.281,8,17,Frd
110,110,50.944,176.665,8,17,Frd
111,111,50.975,176.557,8,17,Frd
112,112,51.133,176.012,8,17,Frd
113,113,50.993,176.495,8,17,Frd
114,114,50.879,176.890,8,17,Frd
115,115,51.086,176.174,8,17,Frd
116,116,51.225,175.695,8,17,Frd
117,117,51.083,176.184,7,17,Frd
118,118,50.992,176.498,6,17,Frd
119,119,69.117,130.214,19,17,Frd
120,120,80.614,111.643,23,17,Frd
121,121,50.07,179.748,22,17,Frd
122,122,50.598,177.873,19,17,Frd
123,123,51.392,175.125,16,17,Frd
