,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,29,41,Frd
1,1,55.127,163.259,27,41,Frd
2,2,53.109,169.463,26,41,Frd
3,3,52.573,171.191,26,41,Frd
4,4,52.139,172.616,26,41,Frd
5,5,51.756,173.893,26,41,Frd
6,6,51.879,173.481,26,41,Frd
7,7,52.124,172.665,26,41,Frd
8,8,52.013,173.034,26,41,Frd
9,9,51.985,173.127,25,41,Frd
10,10,51.662,174.209,25,41,Frd
11,11,52.15,172.579,25,41,Frd
12,12,53.09,169.523,25,41,Frd
13,13,52.634,170.992,25,41,Frd
14,14,52.552,171.259,25,41,Frd
15,15,52.356,171.900,25,41,Frd
16,16,52.193,172.437,24,41,Frd
17,17,53.373,168.625,24,41,Frd
18,18,107.802,83.486,24,41,Frd
19,19,132.704,67.820,24,41,Frd
20,20,169.887,52.976,22,41,Frd
21,21,169.305,53.159,20,41,Frd
22,22,142.07,63.349,20,41,Frd
23,23,55.75,161.435,22,41,Frd
24,24,53.337,168.738,22,41,Frd
25,25,53.134,169.383,22,41,Frd
26,26,51.926,173.324,21,41,Frd
27,27,51.991,173.107,21,41,Frd
28,28,51.861,173.541,21,41,Frd
29,29,51.832,173.638,21,41,Frd
30,30,52.137,172.622,21,41,Frd
31,31,52.639,170.976,22,41,Frd
32,32,52.06,172.877,22,41,Frd
33,33,52.122,172.672,22,41,Frd
34,34,52.073,172.834,22,41,Frd
35,35,52.802,170.448,22,41,Frd
36,36,52.306,172.064,22,41,Frd
37,37,52.196,172.427,22,41,Frd
38,38,52.497,171.438,22,41,Frd
39,39,52.217,172.358,22,41,Frd
40,40,51.883,173.467,22,41,Frd
41,41,52.266,172.196,20,41,Frd
42,42,51.809,173.715,20,41,Frd
43,43,51.896,173.424,18,41,Frd
44,44,52.63,171.005,19,41,Frd
45,45,52.734,170.668,20,41,Frd
46,46,52.421,171.687,19,41,Frd
47,47,52.127,172.655,19,41,Frd
48,48,51.818,173.685,19,41,Frd
49,49,52.061,172.874,19,41,Frd
50,50,53.506,168.205,19,41,Frd
51,51,89.352,100.725,19,41,Frd
52,52,154.713,58.172,28,41,Frd
53,53,160.083,56.221,26,41,Frd
54,54,176.541,50.980,26,41,Frd
55,55,134.848,66.742,27,41,Frd
56,56,55.618,161.818,26,41,Frd
57,57,53.737,167.482,26,41,Frd
58,58,52.753,170.606,24,41,Frd
59,59,51.002,176.464,24,41,Frd
60,60,51.994,173.097,23,41,Frd
61,61,51.562,174.547,22,41,Frd
62,62,51.408,175.070,22,41,Frd
63,63,51.193,175.805,22,41,Frd
64,64,51.242,175.637,21,41,Frd
65,65,51.463,174.883,21,41,Frd
66,66,51.582,174.479,19,41,Frd
67,67,51.308,175.411,19,41,Frd
68,68,51.406,175.077,19,41,Frd
69,69,51.535,174.639,19,41,Frd
70,70,51.704,174.068,19,41,Frd
71,71,51.632,174.311,19,41,Frd
72,72,51.606,174.398,19,41,Frd
73,73,51.736,173.960,19,41,Frd
74,74,51.828,173.651,19,41,Frd
75,75,51.623,174.341,19,41,Frd
76,76,51.504,174.744,19,41,Frd
77,77,51.844,173.598,19,41,Frd
78,78,113.561,79.253,33,41,Frd
79,79,67.668,133.002,33,41,Frd
80,80,51.492,174.784,33,41,Frd
81,81,51.746,173.926,33,41,Frd
82,82,51.749,173.916,32,41,Frd
83,83,51.779,173.816,32,41,Frd
84,84,51.677,174.159,32,41,Frd
85,85,51.969,173.180,32,41,Frd
86,86,52.081,172.808,32,41,Frd
87,87,52.012,173.037,31,41,Frd
88,88,52.538,171.305,31,41,Frd
89,89,74.169,121.344,31,41,Frd
90,90,88.216,102.022,30,41,Frd
91,91,149.211,60.317,29,41,Frd
92,92,172.752,52.098,29,41,Frd
93,93,227.403,39.577,26,41,Frd
94,94,127.777,70.435,26,41,Frd
95,95,131.791,68.290,27,41,Frd
