,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,39,11,Tyt
1,1,54.658,164.660,32,11,Tyt
2,2,53.571,168.001,30,11,Tyt
3,3,52.537,171.308,30,11,Tyt
4,4,52.525,171.347,30,11,Tyt
5,5,52.072,172.838,30,11,Tyt
6,6,51.933,173.300,30,11,Tyt
7,7,51.808,173.718,30,11,Tyt
8,8,52.143,172.602,30,11,Tyt
9,9,52.78,170.519,31,11,Tyt
10,10,52.03,172.977,31,11,Tyt
11,11,52.344,171.939,31,11,Tyt
12,12,52.8,170.455,32,11,Tyt
13,13,53.06,169.619,33,11,Tyt
14,14,52.418,171.697,33,11,Tyt
15,15,52.314,172.038,33,11,Tyt
16,16,52.822,170.384,33,11,Tyt
17,17,61.415,146.544,33,11,Tyt
18,18,107.562,83.673,33,11,Tyt
19,19,129.289,69.611,33,11,Tyt
20,20,166.112,54.180,27,11,Tyt
21,21,172.434,52.194,26,11,Tyt
22,22,135.169,66.583,26,11,Tyt
23,23,55.974,160.789,27,11,Tyt
24,24,53.493,168.246,26,11,Tyt
25,25,53.604,167.898,25,11,Tyt
26,26,52.339,171.956,24,11,Tyt
27,27,51.483,174.815,24,11,Tyt
28,28,51.835,173.628,24,11,Tyt
29,29,51.888,173.451,24,11,Tyt
30,30,52.026,172.990,24,11,Tyt
31,31,52.305,172.068,24,11,Tyt
32,32,52.051,172.907,24,11,Tyt
33,33,52.333,171.976,24,11,Tyt
34,34,51.995,173.094,24,11,Tyt
35,35,52.609,171.073,24,11,Tyt
36,36,52.159,172.549,24,11,Tyt
37,37,52.401,171.752,24,11,Tyt
38,38,52.451,171.589,24,11,Tyt
39,39,52.24,172.282,24,11,Tyt
40,40,51.818,173.685,24,11,Tyt
41,41,52.742,170.642,23,11,Tyt
42,42,51.963,173.200,22,11,Tyt
43,43,51.509,174.727,20,11,Tyt
44,44,51.9,173.410,20,11,Tyt
45,45,51.667,174.192,19,11,Tyt
46,46,51.239,175.647,18,11,Tyt
47,47,51.393,175.121,18,11,Tyt
48,48,52.213,172.371,18,11,Tyt
49,49,52.282,172.143,18,11,Tyt
50,50,52.577,171.178,18,11,Tyt
51,51,88.164,102.082,18,11,Tyt
52,52,156.609,57.468,23,11,Tyt
