,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,15,22,Frd
1,1,54.39,165.472,13,22,Frd
2,2,51.773,173.836,13,22,Frd
3,3,51.476,174.839,13,22,Frd
4,4,51.745,173.930,13,22,Frd
5,5,51.8,173.745,13,22,Frd
6,6,51.605,174.402,13,22,Frd
7,7,51.544,174.608,13,22,Frd
8,8,51.594,174.439,13,22,Frd
9,9,51.685,174.132,13,22,Frd
10,10,51.841,173.608,13,22,Frd
11,11,51.99,173.110,13,22,Frd
12,12,51.797,173.755,13,22,Frd
13,13,52.156,172.559,13,22,Frd
14,14,52.21,172.381,13,22,Frd
15,15,52.147,172.589,13,22,Frd
16,16,52.111,172.708,13,22,Frd
17,17,52.4,171.756,13,22,Frd
18,18,103.048,87.338,13,22,Frd
19,19,141.005,63.828,13,22,Frd
20,20,158.619,56.740,2,22,Frd
21,21,166.38,54.093,2,22,Frd
22,22,161.049,55.884,2,22,Frd
23,23,53.134,169.383,2,22,Frd
24,24,51.009,176.439,2,22,Frd
25,25,51.076,176.208,2,22,Frd
26,26,51.184,175.836,2,22,Frd
27,27,51.853,173.568,2,22,Frd
28,28,51.231,175.675,2,22,Frd
29,29,51.366,175.213,2,22,Frd
30,30,51.233,175.668,2,22,Frd
31,31,51.37,175.200,2,22,Frd
32,32,51.433,174.985,2,22,Frd
33,33,51.648,174.257,2,22,Frd
34,34,51.646,174.263,2,22,Frd
35,35,51.823,173.668,2,22,Frd
36,36,51.827,173.655,2,22,Frd
37,37,51.808,173.718,2,22,Frd
38,38,51.644,174.270,2,22,Frd
39,39,51.612,174.378,2,22,Frd
40,40,51.636,174.297,2,22,Frd
41,41,70.044,128.491,21,22,Frd
42,42,84.282,106.784,35,22,Frd
43,43,52.236,172.295,35,22,Frd
44,44,52.077,172.821,35,22,Frd
45,45,51.849,173.581,35,22,Frd
46,46,51.699,174.085,35,22,Frd
47,47,52.025,172.994,34,22,Frd
48,48,52.19,172.447,34,22,Frd
49,49,52.684,170.830,34,22,Frd
50,50,71.412,126.029,34,22,Frd
51,51,83.969,107.182,34,22,Frd
52,52,95.403,94.337,16,22,Frd
53,53,161.741,55.645,6,22,Frd
54,54,167.614,53.695,6,22,Frd
55,55,155.054,58.044,4,22,Frd
56,56,54.897,163.943,8,22,Frd
57,57,51.173,175.874,8,22,Frd
58,58,50.93,176.713,8,22,Frd
59,59,51.074,176.215,8,22,Frd
60,60,51.252,175.603,8,22,Frd
61,61,51.339,175.305,8,22,Frd
62,62,51.154,175.939,8,22,Frd
63,63,51.387,175.142,8,22,Frd
64,64,51.208,175.754,7,22,Frd
65,65,51.525,174.672,7,22,Frd
66,66,51.278,175.514,5,22,Frd
67,67,51.891,173.440,5,22,Frd
68,68,51.606,174.398,5,22,Frd
69,69,51.512,174.717,5,22,Frd
70,70,51.496,174.771,5,22,Frd
71,71,51.533,174.645,5,22,Frd
72,72,51.642,174.277,5,22,Frd
73,73,51.383,175.155,5,22,Frd
74,74,51.585,174.469,5,22,Frd
75,75,51.48,174.825,5,22,Frd
76,76,51.368,175.206,5,22,Frd
77,77,51.551,174.584,4,22,Frd
78,78,51.922,173.337,3,22,Frd
79,79,51.475,174.842,3,22,Frd
80,80,51.815,173.695,2,22,Frd
81,81,51.518,174.696,2,22,Frd
82,82,50.961,176.606,2,22,Frd
83,83,51.304,175.425,2,22,Frd
84,84,70.081,128.423,12,22,Frd
85,85,83.659,107.580,20,22,Frd
86,86,51.315,175.387,19,22,Frd
87,87,51.11,176.091,19,22,Frd
88,88,51.251,175.606,18,22,Frd
89,89,51.403,175.087,16,22,Frd
90,90,79.311,113.477,16,22,Frd
91,91,86.194,104.416,16,22,Frd
92,92,140.858,63.894,16,22,Frd
93,93,169.675,53.043,11,22,Frd
94,94,165.03,54.536,7,22,Frd
95,95,164.844,54.597,7,22,Frd
96,96,153.227,58.736,7,22,Frd
97,97,54.787,164.273,7,22,Frd
98,98,51.559,174.557,8,22,Frd
99,99,50.756,177.319,8,22,Frd
100,100,51.38,175.165,8,22,Frd
101,101,93.398,96.362,7,22,Frd
102,102,149.208,60.318,5,22,Frd
103,103,166.192,54.154,5,22,Frd
104,104,166.094,54.186,5,22,Frd
105,105,156.597,57.472,5,22,Frd
106,106,53.959,166.793,5,22,Frd
107,107,50.771,177.267,5,22,Frd
108,108,50.61,177.830,5,22,Frd
109,109,50.629,177.764,5,22,Frd
110,110,50.786,177.214,5,22,Frd
111,111,50.755,177.322,5,22,Frd
112,112,50.845,177.009,5,22,Frd
113,113,51.03,176.367,5,22,Frd
114,114,51.033,176.356,5,22,Frd
115,115,51.315,175.387,5,22,Frd
116,116,50.988,176.512,5,22,Frd
117,117,69.081,130.282,23,22,Frd
