,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,36,42,Tyt
1,1,54.767,164.333,36,42,Tyt
2,2,53.707,167.576,33,42,Tyt
3,3,52.876,170.210,33,42,Tyt
4,4,53.449,168.385,36,42,Tyt
5,5,52.565,171.217,36,42,Tyt
6,6,51.452,174.920,35,42,Tyt
7,7,51.991,173.107,34,42,Tyt
8,8,51.623,174.341,34,42,Tyt
9,9,51.933,173.300,33,42,Tyt
10,10,52.205,172.397,33,42,Tyt
11,11,52.198,172.420,33,42,Tyt
12,12,52.552,171.259,33,42,Tyt
13,13,52.292,172.110,32,42,Tyt
14,14,52.362,171.880,32,42,Tyt
15,15,52.55,171.265,32,42,Tyt
16,16,52.821,170.387,32,42,Tyt
17,17,59.374,151.582,31,42,Tyt
18,18,107.847,83.452,31,42,Tyt
19,19,129.059,69.736,31,42,Tyt
20,20,168.101,53.539,26,42,Tyt
21,21,171.401,52.508,25,42,Tyt
22,22,136.246,66.057,22,42,Tyt
23,23,55.877,161.068,23,42,Tyt
24,24,53.413,168.498,23,42,Tyt
25,25,53.043,169.674,23,42,Tyt
26,26,51.897,173.420,22,42,Tyt
27,27,52.042,172.937,22,42,Tyt
28,28,51.894,173.430,22,42,Tyt
29,29,51.861,173.541,22,42,Tyt
30,30,51.906,173.390,22,42,Tyt
31,31,51.944,173.264,21,42,Tyt
32,32,52.093,172.768,21,42,Tyt
33,33,52.124,172.665,21,42,Tyt
34,34,52.095,172.761,21,42,Tyt
35,35,52.667,170.885,21,42,Tyt
36,36,52.388,171.795,21,42,Tyt
37,37,52.119,172.682,21,42,Tyt
38,38,52.719,170.716,21,42,Tyt
39,39,51.533,174.645,21,42,Tyt
40,40,51.868,173.517,20,42,Tyt
41,41,51.713,174.037,19,42,Tyt
42,42,51.615,174.368,19,42,Tyt
43,43,51.979,173.147,17,42,Tyt
44,44,52.221,172.344,17,42,Tyt
45,45,51.924,173.330,17,42,Tyt
46,46,51.538,174.628,16,42,Tyt
47,47,51.859,173.548,16,42,Tyt
48,48,51.737,173.957,16,42,Tyt
49,49,52.07,172.844,16,42,Tyt
50,50,53.607,167.889,16,42,Tyt
51,51,87.6,102.740,16,42,Tyt
52,52,158.919,56.633,24,42,Tyt
53,53,158.396,56.820,21,42,Tyt
54,54,174.36,51.617,21,42,Tyt
55,55,140.158,64.213,24,42,Tyt
56,56,55.648,161.731,23,42,Tyt
57,57,53.752,167.436,25,42,Tyt
58,58,53.435,168.429,27,42,Tyt
59,59,52.116,172.692,26,42,Tyt
60,60,51.492,174.784,26,42,Tyt
61,61,51.966,173.190,26,42,Tyt
62,62,51.775,173.829,24,42,Tyt
63,63,51.46,174.893,24,42,Tyt
64,64,51.311,175.401,23,42,Tyt
65,65,51.266,175.555,23,42,Tyt
66,66,51.156,175.932,21,42,Tyt
67,67,51.444,174.948,21,42,Tyt
68,68,51.181,175.847,21,42,Tyt
69,69,51.374,175.186,21,42,Tyt
70,70,51.209,175.750,21,42,Tyt
71,71,51.784,173.799,21,42,Tyt
72,72,51.501,174.754,21,42,Tyt
73,73,51.566,174.534,21,42,Tyt
74,74,51.526,174.669,21,42,Tyt
75,75,51.877,173.487,21,42,Tyt
76,76,51.551,174.584,21,42,Tyt
77,77,51.594,174.439,21,42,Tyt
78,78,51.643,174.273,19,42,Tyt
79,79,51.429,174.999,18,42,Tyt
80,80,52.198,172.420,17,42,Tyt
81,81,51.846,173.591,15,42,Tyt
82,82,51.635,174.300,15,42,Tyt
83,83,52.671,170.872,15,42,Tyt
84,84,52.21,172.381,10,42,Tyt
85,85,51.308,175.411,9,42,Tyt
86,86,51.226,175.692,9,42,Tyt
87,87,51.285,175.490,8,42,Tyt
88,88,51.524,174.676,6,42,Tyt
89,89,51.575,174.503,6,42,Tyt
90,90,60.586,148.549,6,42,Tyt
91,91,102.225,88.041,6,42,Tyt
92,92,163.804,54.944,6,42,Tyt
93,93,194.671,46.232,17,42,Tyt
94,94,162.558,55.365,13,42,Tyt
95,95,166.071,54.194,13,42,Tyt
96,96,147.507,61.014,14,42,Tyt
97,97,54.976,163.708,11,42,Tyt
98,98,51.495,174.774,11,42,Tyt
99,99,51.794,173.765,12,42,Tyt
100,100,51.133,176.012,12,42,Tyt
101,101,97.284,92.513,11,42,Tyt
102,102,145.859,61.703,10,42,Tyt
103,103,167.417,53.758,9,42,Tyt
104,104,167.187,53.832,9,42,Tyt
105,105,152.51,59.013,9,42,Tyt
106,106,54.944,163.803,12,42,Tyt
107,107,51.594,174.439,12,42,Tyt
108,108,51.159,175.922,11,42,Tyt
109,109,50.527,178.123,11,42,Tyt
110,110,50.889,176.856,11,42,Tyt
111,111,50.89,176.852,11,42,Tyt
112,112,51.105,176.108,11,42,Tyt
113,113,51.079,176.198,11,42,Tyt
114,114,51.302,175.432,11,42,Tyt
115,115,51.32,175.370,11,42,Tyt
116,116,51.159,175.922,11,42,Tyt
117,117,51.101,176.122,10,42,Tyt
118,118,51.144,175.974,9,42,Tyt
119,119,51.102,176.118,7,42,Tyt
120,120,51.098,176.132,6,42,Tyt
121,121,51.358,175.240,1,42,Tyt
122,122,78.462,114.705,8,42,Tyt
123,123,68.69,131.023,18,42,Tyt
124,124,51.063,176.253,17,42,Tyt
125,125,51.304,175.425,17,42,Tyt
126,126,51.295,175.456,17,42,Tyt
127,127,51.596,174.432,17,42,Tyt
128,128,51.791,173.775,17,42,Tyt
129,129,51.296,175.452,17,42,Tyt
130,130,51.407,175.073,17,42,Tyt
131,131,51.177,175.860,17,42,Tyt
132,132,50.925,176.730,17,42,Tyt
133,133,50.925,176.730,17,42,Tyt
134,134,51.104,176.111,16,42,Tyt
135,135,51.322,175.363,16,42,Tyt
136,136,51.019,176.405,15,42,Tyt
137,137,51.593,174.442,15,42,Tyt
138,138,51.205,175.764,13,42,Tyt
139,139,51.533,174.645,13,42,Tyt
140,140,51.347,175.278,13,42,Tyt
141,141,51.769,173.849,13,42,Tyt
142,142,52.237,172.292,14,42,Tyt
143,143,51.441,174.958,12,42,Tyt
144,144,51.952,173.237,12,42,Tyt
145,155,84.789,106.146,12,42,Tyt
146,156,137.011,65.688,12,42,Tyt
147,157,1466.706,6.136,12,42,Tyt
148,158,190.373,47.276,20,42,Tyt
149,159,162.708,55.314,18,42,Tyt
150,160,167.726,53.659,18,42,Tyt
151,161,142.824,63.015,19,42,Tyt
152,162,71.53,125.821,17,42,Tyt
153,163,153.516,58.626,16,42,Tyt
154,164,163.985,54.883,16,42,Tyt
155,165,168.915,53.281,16,42,Tyt
156,166,149.568,60.173,15,42,Tyt
157,167,55.069,163.431,15,42,Tyt
158,168,51.788,173.785,12,42,Tyt
