,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,28,7,Chv
1,1,55.108,163.316,26,7,Chv
2,2,53.413,168.498,27,7,Chv
3,3,52.61,171.070,27,7,Chv
4,4,52.935,170.020,29,7,Chv
5,5,52.167,172.523,29,7,Chv
6,6,51.809,173.715,29,7,Chv
7,7,51.914,173.364,29,7,Chv
8,8,52.161,172.543,29,7,Chv
9,9,52.107,172.722,29,7,Chv
10,10,52.31,172.051,29,7,Chv
11,11,52.137,172.622,29,7,Chv
12,12,52.524,171.350,29,7,Chv
13,13,52.674,170.862,29,7,Chv
14,14,52.513,171.386,29,7,Chv
15,15,52.286,172.130,29,7,Chv
16,16,53.272,168.944,29,7,Chv
17,17,58.291,154.398,29,7,Chv
18,18,107.237,83.926,29,7,Chv
19,19,129.653,69.416,29,7,Chv
20,20,174.995,51.430,31,7,Chv
21,21,173.855,51.767,31,7,Chv
22,22,129.135,69.695,29,7,Chv
23,23,55.987,160.752,29,7,Chv
24,24,54.438,165.326,32,7,Chv
25,25,53.701,167.595,31,7,Chv
26,26,52.992,169.837,30,7,Chv
27,27,51.892,173.437,30,7,Chv
28,28,51.874,173.497,30,7,Chv
29,29,51.74,173.947,30,7,Chv
30,30,52.457,171.569,30,7,Chv
31,31,52.246,172.262,29,7,Chv
32,32,51.705,174.064,29,7,Chv
33,33,51.948,173.250,29,7,Chv
34,34,52.171,172.510,29,7,Chv
35,35,52.067,172.854,29,7,Chv
36,36,52.542,171.292,29,7,Chv
37,37,52.401,171.752,29,7,Chv
38,38,52.374,171.841,29,7,Chv
39,39,52.442,171.618,29,7,Chv
40,40,52.815,170.406,29,7,Chv
41,41,52.475,171.510,29,7,Chv
42,42,52.58,171.168,28,7,Chv
43,43,52.21,172.381,25,7,Chv
44,44,51.927,173.320,25,7,Chv
45,45,51.744,173.933,25,7,Chv
46,46,51.758,173.886,24,7,Chv
47,47,51.783,173.802,24,7,Chv
48,48,51.811,173.708,24,7,Chv
49,49,51.845,173.594,24,7,Chv
50,50,54.678,164.600,24,7,Chv
51,51,96.96,92.822,24,7,Chv
52,52,124.556,72.257,8,7,Chv
53,53,163.935,54.900,3,7,Chv
54,54,165.27,54.456,3,7,Chv
55,55,159.641,56.376,5,7,Chv
56,56,52.958,169.946,3,7,Chv
57,57,50.805,177.148,3,7,Chv
58,58,50.685,177.567,3,7,Chv
59,59,50.903,176.807,3,7,Chv
60,60,51.055,176.280,3,7,Chv
61,61,51.181,175.847,3,7,Chv
62,62,51.42,175.029,3,7,Chv
63,63,51.256,175.589,3,7,Chv
64,64,51.546,174.601,2,7,Chv
65,65,51.533,174.645,2,7,Chv
66,66,87.146,103.275,32,7,Chv
67,67,68.373,131.631,33,7,Chv
68,68,51.331,175.333,33,7,Chv
69,69,50.993,176.495,33,7,Chv
70,70,51.198,175.788,33,7,Chv
71,71,51.239,175.647,33,7,Chv
72,72,51.125,176.039,33,7,Chv
73,73,51.204,175.768,33,7,Chv
74,74,51.55,174.588,33,7,Chv
75,75,51.654,174.236,32,7,Chv
76,76,51.458,174.900,32,7,Chv
77,77,51.47,174.859,32,7,Chv
78,78,51.804,173.732,29,7,Chv
79,79,51.264,175.562,29,7,Chv
80,80,51.505,174.740,26,7,Chv
