,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,38,78,Chv
1,1,56.362,159.682,38,78,Chv
2,2,53.797,167.296,38,78,Chv
3,3,53.259,168.986,38,78,Chv
4,4,53.288,168.894,38,78,Chv
5,5,53.196,169.186,38,78,Chv
6,6,53.315,168.808,38,78,Chv
7,7,53.317,168.802,38,78,Chv
8,8,53.218,169.116,38,78,Chv
9,9,53.457,168.360,38,78,Chv
10,10,53.326,168.773,38,78,Chv
11,11,53.352,168.691,38,78,Chv
12,12,53.615,167.863,38,78,Chv
13,13,53.747,167.451,38,78,Chv
14,14,53.668,167.698,38,78,Chv
15,15,53.571,168.001,38,78,Chv
16,16,53.43,168.445,38,78,Chv
17,17,64.376,139.804,37,78,Chv
18,18,91.954,97.875,37,78,Chv
19,19,130.092,69.182,36,78,Chv
20,20,183.304,49.099,35,78,Chv
21,21,161.52,55.721,36,78,Chv
22,22,125.567,71.675,33,78,Chv
23,23,55.98,160.772,33,78,Chv
24,24,54.435,165.335,33,78,Chv
25,25,53.656,167.735,33,78,Chv
26,26,54.81,164.204,35,78,Chv
27,27,52.502,171.422,35,78,Chv
28,28,52.635,170.989,35,78,Chv
29,29,52.518,171.370,35,78,Chv
30,30,52.793,170.477,35,78,Chv
31,31,52.661,170.904,35,78,Chv
32,32,52.575,171.184,35,78,Chv
33,33,52.772,170.545,35,78,Chv
34,34,52.963,169.930,35,78,Chv
35,35,52.877,170.206,35,78,Chv
36,36,52.698,170.784,35,78,Chv
37,37,52.674,170.862,35,78,Chv
38,38,52.551,171.262,35,78,Chv
39,39,52.571,171.197,35,78,Chv
40,40,52.687,170.820,35,78,Chv
41,41,52.791,170.484,35,78,Chv
42,42,52.631,171.002,34,78,Chv
43,43,52.722,170.707,32,78,Chv
44,44,52.619,171.041,32,78,Chv
45,45,52.709,170.749,32,78,Chv
46,46,53.561,168.033,31,78,Chv
47,47,52.613,171.060,30,78,Chv
48,48,52.992,169.837,30,78,Chv
49,49,52.736,170.661,30,78,Chv
50,50,57.759,155.820,30,78,Chv
51,51,85.998,104.654,30,78,Chv
52,52,151.759,59.305,33,78,Chv
53,53,152.958,58.840,33,78,Chv
54,54,180.727,49.799,35,78,Chv
55,55,123.071,73.129,35,78,Chv
56,56,56.543,159.171,32,78,Chv
57,57,52.495,171.445,31,78,Chv
58,58,53.31,168.824,31,78,Chv
59,59,52.658,170.914,30,78,Chv
60,60,52.825,170.374,29,78,Chv
61,61,52.355,171.903,29,78,Chv
62,62,52.082,172.804,29,78,Chv
63,63,52.126,172.659,29,78,Chv
64,64,52.099,172.748,28,78,Chv
65,65,52.284,172.137,28,78,Chv
66,66,52.383,171.811,26,78,Chv
67,67,52.268,172.189,26,78,Chv
68,68,52.486,171.474,26,78,Chv
69,69,52.581,171.164,26,78,Chv
70,70,52.319,172.022,26,78,Chv
71,71,52.519,171.367,26,78,Chv
72,72,52.141,172.609,26,78,Chv
73,73,52.358,171.894,26,78,Chv
74,74,52.214,172.368,26,78,Chv
75,75,52.196,172.427,26,78,Chv
76,76,52.243,172.272,26,78,Chv
77,77,52.034,172.964,26,78,Chv
78,78,52.581,171.164,25,78,Chv
79,79,52.394,171.775,24,78,Chv
80,80,52.164,172.533,22,78,Chv
81,81,52.215,172.364,18,78,Chv
82,82,52.121,172.675,18,78,Chv
83,83,52.403,171.746,18,78,Chv
84,84,52.268,172.189,17,78,Chv
85,85,52.246,172.262,13,78,Chv
86,86,52.333,171.976,12,78,Chv
87,87,52.379,171.825,11,78,Chv
88,88,53.26,168.982,11,78,Chv
89,89,52.69,170.810,9,78,Chv
90,90,66.32,135.706,9,78,Chv
91,91,89.043,101.075,9,78,Chv
92,92,155.592,57.844,9,78,Chv
93,93,194.901,46.177,22,78,Chv
94,94,164.649,54.662,22,78,Chv
95,95,166.596,54.023,22,78,Chv
96,96,136.243,66.058,21,78,Chv
97,97,56.125,160.356,23,78,Chv
98,98,53.73,167.504,23,78,Chv
99,99,52.704,170.765,23,78,Chv
100,100,51.883,173.467,23,78,Chv
101,101,104.548,86.085,22,78,Chv
102,102,167.021,53.885,23,78,Chv
103,103,143.995,62.502,22,78,Chv
104,104,171.925,52.348,22,78,Chv
105,105,138.016,65.210,22,78,Chv
106,106,56.055,160.557,23,78,Chv
107,107,53.382,168.596,24,78,Chv
108,108,52.518,171.370,24,78,Chv
109,109,51.83,173.645,24,78,Chv
110,110,52.078,172.818,24,78,Chv
111,111,51.674,174.169,24,78,Chv
112,112,52.213,172.371,24,78,Chv
113,113,52.147,172.589,24,78,Chv
114,114,52.002,173.070,24,78,Chv
115,115,52.117,172.688,24,78,Chv
116,116,52.103,172.735,23,78,Chv
117,117,51.948,173.250,22,78,Chv
118,118,52.099,172.748,21,78,Chv
119,119,52.046,172.924,18,78,Chv
120,120,52.128,172.652,15,78,Chv
121,121,52.381,171.818,12,78,Chv
122,122,52.255,172.232,6,78,Chv
123,123,52.129,172.649,5,78,Chv
124,124,52.029,172.980,5,78,Chv
125,125,52.053,172.901,5,78,Chv
126,126,52.297,172.094,5,78,Chv
127,127,52.42,171.690,5,78,Chv
128,128,52.276,172.163,5,78,Chv
129,129,52.213,172.371,5,78,Chv
130,130,52.061,172.874,5,78,Chv
131,131,52.196,172.427,5,78,Chv
132,132,52.12,172.678,5,78,Chv
133,133,52.111,172.708,5,78,Chv
134,134,52.338,171.959,5,78,Chv
135,135,52.451,171.589,4,78,Chv
136,136,52.502,171.422,4,78,Chv
137,137,52.637,170.982,3,78,Chv
138,138,52.427,171.667,2,78,Chv
139,139,52.469,171.530,2,78,Chv
140,140,52.262,172.209,2,78,Chv
141,141,52.452,171.585,2,78,Chv
142,142,52.47,171.527,3,78,Chv
143,143,84.032,107.102,23,78,Chv
144,144,68.793,130.827,23,78,Chv
145,154,67.804,132.736,23,78,Chv
146,155,152.693,58.942,23,78,Chv
147,156,1449.463,6.209,23,78,Chv
148,157,191.21,47.069,23,78,Chv
149,158,59.587,151.040,23,78,Chv
150,159,160.976,55.909,23,78,Chv
151,160,150.635,59.747,23,78,Chv
152,161,128.841,69.854,23,78,Chv
153,162,78.684,114.382,21,78,Chv
154,163,151.554,59.385,20,78,Chv
155,164,164.739,54.632,19,78,Chv
156,165,163.257,55.128,18,78,Chv
157,166,146.871,61.278,18,78,Chv
158,167,55.34,162.631,20,78,Chv
159,168,52.326,171.999,17,78,Chv
