,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,23,60,Frd
1,1,54.941,163.812,23,60,Frd
2,2,53.117,169.437,23,60,Frd
3,3,52.436,171.638,23,60,Frd
4,4,51.705,174.064,23,60,Frd
5,5,51.51,174.723,23,60,Frd
6,6,52.001,173.074,23,60,Frd
7,7,52.238,172.288,23,60,Frd
8,8,51.999,173.080,23,60,Frd
9,9,51.843,173.601,23,60,Frd
10,10,51.931,173.307,23,60,Frd
11,11,52.456,171.572,23,60,Frd
12,12,52.356,171.900,22,60,Frd
13,13,51.914,173.364,22,60,Frd
14,14,51.62,174.351,22,60,Frd
15,15,51.958,173.217,22,60,Frd
16,16,51.758,173.886,22,60,Frd
17,17,53.028,169.722,22,60,Frd
18,18,110.146,81.710,22,60,Frd
19,19,133.511,67.410,22,60,Frd
20,20,187.632,47.966,34,60,Frd
21,21,166.745,53.975,32,60,Frd
22,22,129.362,69.572,35,60,Frd
23,23,55.339,162.634,31,60,Frd
24,24,53.636,167.798,29,60,Frd
25,25,53.466,168.331,28,60,Frd
26,26,52.68,170.843,26,60,Frd
27,27,51.666,174.196,26,60,Frd
28,28,51.804,173.732,26,60,Frd
29,29,51.897,173.420,26,60,Frd
30,30,52.053,172.901,26,60,Frd
31,31,52.165,172.529,26,60,Frd
32,32,52.148,172.586,26,60,Frd
33,33,52.625,171.021,27,60,Frd
34,34,52.129,172.649,27,60,Frd
35,35,52.237,172.292,27,60,Frd
36,36,52.479,171.497,27,60,Frd
37,37,52.172,172.506,27,60,Frd
38,38,52.46,171.559,27,60,Frd
39,39,52.421,171.687,27,60,Frd
40,40,52.871,170.226,27,60,Frd
41,41,52.081,172.808,27,60,Frd
42,42,52.48,171.494,25,60,Frd
43,43,51.959,173.213,23,60,Frd
44,44,51.772,173.839,23,60,Frd
45,45,51.875,173.494,23,60,Frd
46,46,51.701,174.078,22,60,Frd
47,47,51.971,173.174,21,60,Frd
48,48,51.743,173.937,21,60,Frd
49,49,51.968,173.183,21,60,Frd
50,50,54.191,166.079,21,60,Frd
51,51,94.449,95.290,21,60,Frd
52,52,125.353,71.797,1,60,Frd
53,53,166.297,54.120,1,60,Frd
54,54,165.408,54.411,1,60,Frd
55,55,160.449,56.093,1,60,Frd
56,56,52.158,172.553,1,60,Frd
57,57,50.766,177.284,1,60,Frd
58,58,50.656,177.669,1,60,Frd
59,59,51.017,176.412,1,60,Frd
60,60,51.067,176.239,1,60,Frd
61,61,51.101,176.122,1,60,Frd
62,62,51.14,175.987,1,60,Frd
63,63,51.253,175.599,1,60,Frd
64,64,89.682,100.355,33,60,Frd
65,65,67.414,133.503,33,60,Frd
66,66,51.337,175.312,33,60,Frd
67,67,51.169,175.888,32,60,Frd
68,68,51.029,176.370,32,60,Frd
69,69,51.362,175.227,32,60,Frd
70,70,50.99,176.505,32,60,Frd
71,71,51.075,176.211,32,60,Frd
72,72,50.977,176.550,32,60,Frd
73,73,51.132,176.015,32,60,Frd
74,74,51.657,174.226,31,60,Frd
75,75,51.087,176.170,31,60,Frd
76,76,51.41,175.063,31,60,Frd
77,77,52.042,172.937,29,60,Frd
78,78,50.997,176.481,28,60,Frd
79,79,51.45,174.927,27,60,Frd
80,80,51.236,175.658,25,60,Frd
81,81,51.308,175.411,23,60,Frd
82,82,51.102,176.118,21,60,Frd
83,83,52.19,172.447,21,60,Frd
84,84,51.074,176.215,20,60,Frd
85,85,50.994,176.491,17,60,Frd
86,86,51.032,176.360,15,60,Frd
87,87,51.325,175.353,15,60,Frd
88,88,50.981,176.536,14,60,Frd
89,89,51.315,175.387,12,60,Frd
90,90,74.938,120.099,12,60,Frd
91,91,84.913,105.991,12,60,Frd
92,92,148.698,60.525,12,60,Frd
93,93,189.359,47.529,21,60,Frd
94,94,163.792,54.948,21,60,Frd
95,95,166.323,54.112,21,60,Frd
96,96,137.871,65.278,19,60,Frd
97,97,55.449,162.311,18,60,Frd
98,98,52.51,171.396,16,60,Frd
99,99,51.003,176.460,16,60,Frd
100,100,51.173,175.874,16,60,Frd
101,101,100.917,89.182,15,60,Frd
102,102,142.8,63.025,14,60,Frd
103,103,168.989,53.258,13,60,Frd
104,104,168.866,53.297,13,60,Frd
105,105,147.694,60.937,13,60,Frd
106,106,54.442,165.314,10,60,Frd
107,107,51.288,175.480,9,60,Frd
108,108,50.655,177.672,9,60,Frd
109,109,50.938,176.685,9,60,Frd
110,110,50.842,177.019,9,60,Frd
111,111,50.947,176.654,9,60,Frd
112,112,51.214,175.733,9,60,Frd
113,113,51.102,176.118,9,60,Frd
114,114,51.017,176.412,9,60,Frd
115,115,51.146,175.967,9,60,Frd
116,116,51.219,175.716,9,60,Frd
117,117,51.174,175.871,8,60,Frd
118,118,51.054,176.284,7,60,Frd
119,119,51.085,176.177,5,60,Frd
120,120,51.243,175.634,5,60,Frd
121,121,82.174,109.524,14,60,Frd
122,122,66.638,135.058,21,60,Frd
123,123,51.052,176.291,19,60,Frd
124,124,51.311,175.401,18,60,Frd
125,125,51.299,175.442,18,60,Frd
126,126,51.329,175.339,18,60,Frd
127,127,51.304,175.425,18,60,Frd
128,128,52.059,172.881,18,60,Frd
129,129,51.256,175.589,18,60,Frd
130,130,51.501,174.754,18,60,Frd
131,131,51.082,176.187,18,60,Frd
132,132,51.206,175.761,18,60,Frd
133,133,50.997,176.481,18,60,Frd
134,134,51.11,176.091,17,60,Frd
135,135,51.216,175.726,17,60,Frd
136,136,51.111,176.087,16,60,Frd
137,137,51.714,174.034,16,60,Frd
138,138,51.226,175.692,14,60,Frd
139,139,51.908,173.384,15,60,Frd
140,140,51.387,175.142,15,60,Frd
141,141,51.432,174.988,15,60,Frd
142,142,51.619,174.354,15,60,Frd
143,143,51.43,174.995,13,60,Frd
144,144,51.553,174.578,13,60,Frd
145,155,86.368,104.205,13,60,Frd
146,156,136.702,65.837,13,60,Frd
147,157,1469.336,6.125,13,60,Frd
148,158,176.872,50.884,12,60,Frd
149,159,166.096,54.186,11,60,Frd
150,160,166.286,54.124,11,60,Frd
151,161,149.375,60.251,12,60,Frd
152,162,66.79,134.751,8,60,Frd
153,163,154.434,58.277,8,60,Frd
154,164,164.24,54.798,8,60,Frd
155,165,166.175,54.160,8,60,Frd
156,166,156.139,57.641,7,60,Frd
157,167,53.523,168.152,6,60,Frd
158,168,50.525,178.130,4,60,Frd
