,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,26,10,Chv
1,1,55.167,163.141,24,10,Chv
2,2,52.953,169.962,24,10,Chv
3,3,52.506,171.409,24,10,Chv
4,4,51.936,173.290,24,10,Chv
5,5,51.462,174.886,24,10,Chv
6,6,51.968,173.183,24,10,Chv
7,7,52.266,172.196,24,10,Chv
8,8,51.972,173.170,24,10,Chv
9,9,52.189,172.450,24,10,Chv
10,10,51.763,173.869,24,10,Chv
11,11,52.365,171.871,24,10,Chv
12,12,52.401,171.752,23,10,Chv
13,13,52.296,172.097,23,10,Chv
14,14,52.14,172.612,23,10,Chv
15,15,52.172,172.506,23,10,Chv
16,16,52.601,171.099,23,10,Chv
17,17,54.296,165.758,23,10,Chv
18,18,107.284,83.889,23,10,Chv
19,19,133.433,67.450,23,10,Chv
20,20,176.496,50.993,28,10,Chv
21,21,173.01,52.020,28,10,Chv
22,22,132.395,67.978,24,10,Chv
23,23,56.003,160.706,26,10,Chv
24,24,54.327,165.663,30,10,Chv
25,25,54.355,165.578,32,10,Chv
26,26,53.112,169.453,31,10,Chv
27,27,52.259,172.219,31,10,Chv
28,28,52.739,170.652,32,10,Chv
29,29,52.044,172.931,32,10,Chv
30,30,51.933,173.300,32,10,Chv
31,31,51.938,173.284,32,10,Chv
32,32,52.108,172.718,32,10,Chv
33,33,52.264,172.203,32,10,Chv
34,34,52.366,171.867,32,10,Chv
35,35,52.32,172.018,32,10,Chv
36,36,52.412,171.716,32,10,Chv
37,37,52.583,171.158,32,10,Chv
38,38,52.587,171.145,32,10,Chv
39,39,52.411,171.720,32,10,Chv
40,40,52.426,171.671,32,10,Chv
41,41,52.435,171.641,32,10,Chv
42,42,52.463,171.549,31,10,Chv
43,43,53.315,168.808,29,10,Chv
44,44,53.443,168.404,28,10,Chv
45,45,52.856,170.274,28,10,Chv
46,46,54.863,164.045,30,10,Chv
47,47,53.078,169.562,29,10,Chv
48,48,53.524,168.149,29,10,Chv
49,49,53.904,166.963,29,10,Chv
50,50,55.743,161.455,29,10,Chv
51,51,88.882,101.258,29,10,Chv
52,52,193.139,46.599,35,10,Chv
53,53,115.338,78.032,34,10,Chv
54,54,172.728,52.105,33,10,Chv
55,55,127.862,70.388,30,10,Chv
56,56,56.913,158.136,31,10,Chv
57,57,53.758,167.417,32,10,Chv
58,58,53.05,169.651,32,10,Chv
59,59,53.145,169.348,32,10,Chv
60,60,52.903,170.123,32,10,Chv
61,61,53.192,169.198,32,10,Chv
62,62,53.15,169.332,32,10,Chv
63,63,53.597,167.920,32,10,Chv
64,64,53.332,168.754,30,10,Chv
