,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,7,77,Chv
1,1,25.249,124.757,7,77,Chv
2,2,24.599,128.054,7,77,Chv
3,3,24.446,128.855,7,77,Chv
4,4,24.457,128.797,7,77,Chv
5,5,24.442,128.877,7,77,Chv
6,6,24.348,129.374,7,77,Chv
7,7,24.211,130.106,7,77,Chv
8,8,24.38,129.204,7,77,Chv
9,9,24.261,129.838,7,77,Chv
10,10,24.026,131.108,7,77,Chv
11,11,23.961,131.464,7,77,Chv
12,12,24.025,131.113,7,77,Chv
13,13,23.996,131.272,7,77,Chv
14,14,24.073,130.852,7,77,Chv
15,15,24.02,131.141,7,77,Chv
16,16,24.019,131.146,7,77,Chv
17,17,24.035,131.059,7,77,Chv
18,18,24.073,130.852,7,77,Chv
19,19,23.967,131.431,7,77,Chv
20,20,24.095,130.733,7,77,Chv
21,21,24.041,131.026,7,77,Chv
22,22,24.102,130.695,7,77,Chv
23,23,24.199,130.171,7,77,Chv
24,24,24.189,130.224,7,77,Chv
25,25,24.186,130.241,7,77,Chv
26,26,25.263,124.688,7,77,Chv
27,27,24.152,130.424,7,77,Chv
28,28,24.108,130.662,7,77,Chv
29,29,24.03,131.086,7,77,Chv
30,30,24.038,131.043,7,77,Chv
31,31,24.218,130.069,7,77,Chv
32,32,24.14,130.489,7,77,Chv
33,33,24.156,130.402,7,77,Chv
34,34,24.308,129.587,7,77,Chv
35,35,24.228,130.015,7,77,Chv
36,36,24.195,130.192,7,77,Chv
37,37,24.257,129.859,7,77,Chv
38,38,24.307,129.592,7,77,Chv
39,39,24.435,128.913,7,77,Chv
40,40,24.32,129.523,7,77,Chv
41,41,24.405,129.072,7,77,Chv
42,42,24.534,128.393,7,77,Chv
43,43,24.27,129.790,7,77,Chv
44,44,24.333,129.454,7,77,Chv
45,45,24.4,129.098,7,77,Chv
46,46,24.4,129.098,7,77,Chv
47,47,24.45,128.834,7,77,Chv
48,48,24.496,128.592,7,77,Chv
49,49,24.621,127.940,7,77,Chv
50,50,24.702,127.520,7,77,Chv
51,51,24.744,127.304,7,77,Chv
52,52,24.73,127.376,7,77,Chv
53,53,24.623,127.929,7,77,Chv
54,54,24.774,127.149,7,77,Chv
55,55,24.708,127.489,7,77,Chv
56,56,24.732,127.365,7,77,Chv
57,57,24.731,127.371,7,77,Chv
58,58,24.744,127.304,7,77,Chv
59,59,24.694,127.561,7,77,Chv
60,60,24.678,127.644,7,77,Chv
61,61,24.742,127.314,7,77,Chv
62,62,24.704,127.510,7,77,Chv
63,63,24.823,126.898,7,77,Chv
64,64,24.728,127.386,7,77,Chv
65,65,24.806,126.985,7,77,Chv
66,66,24.879,126.613,7,77,Chv
67,67,24.9,126.506,7,77,Chv
68,68,24.904,126.486,7,77,Chv
69,69,24.905,126.481,7,77,Chv
70,70,24.855,126.735,7,77,Chv
71,71,37.569,83.846,7,77,Chv
72,72,62.966,50.027,7,77,Chv
73,73,65.697,47.947,7,77,Chv
74,74,78.032,40.368,8,77,Chv
75,75,68.794,45.789,8,77,Chv
76,76,71.444,44.090,8,77,Chv
77,77,71.8,43.872,8,77,Chv
78,78,72.844,43.243,8,77,Chv
79,79,68.766,45.808,8,77,Chv
80,80,25.641,122.850,9,77,Chv
81,81,24.544,128.341,8,77,Chv
82,82,24.316,129.544,7,77,Chv
83,83,24.356,129.332,7,77,Chv
84,84,24.396,129.120,7,77,Chv
85,85,24.232,129.993,7,77,Chv
86,86,24.212,130.101,7,77,Chv
87,87,24.335,129.443,7,77,Chv
88,88,24.214,130.090,7,77,Chv
89,89,24.172,130.316,7,77,Chv
90,90,24.071,130.863,6,77,Chv
91,91,24.041,131.026,6,77,Chv
92,92,23.969,131.420,6,77,Chv
93,93,23.899,131.805,6,77,Chv
94,94,23.929,131.639,6,77,Chv
95,95,23.966,131.436,6,77,Chv
96,96,24.012,131.184,6,77,Chv
97,97,23.968,131.425,6,77,Chv
98,98,23.985,131.332,6,77,Chv
99,99,24.144,130.467,6,77,Chv
100,100,24.266,129.811,6,77,Chv
101,101,24.233,129.988,6,77,Chv
102,102,24.194,130.198,6,77,Chv
103,103,24.18,130.273,6,77,Chv
104,104,24.158,130.392,6,77,Chv
105,105,24.122,130.586,6,77,Chv
106,106,24.171,130.321,6,77,Chv
107,107,24.287,129.699,6,77,Chv
108,108,24.158,130.392,6,77,Chv
109,109,24.257,129.859,6,77,Chv
110,110,24.099,130.711,6,77,Chv
111,111,24.089,130.765,6,77,Chv
112,112,24.068,130.879,6,77,Chv
113,113,24.132,130.532,6,77,Chv
114,114,24.17,130.327,6,77,Chv
115,115,24.213,130.095,6,77,Chv
116,116,24.154,130.413,6,77,Chv
117,117,24.148,130.446,6,77,Chv
118,118,24.232,129.993,6,77,Chv
119,119,24.184,130.251,6,77,Chv
120,120,24.173,130.311,6,77,Chv
121,121,24.202,130.155,6,77,Chv
122,122,24.246,129.918,6,77,Chv
123,123,24.21,130.112,6,77,Chv
124,124,24.271,129.785,6,77,Chv
125,125,24.37,129.257,6,77,Chv
126,126,24.471,128.724,6,77,Chv
127,127,24.392,129.141,6,77,Chv
128,128,24.312,129.566,6,77,Chv
129,129,24.252,129.886,6,77,Chv
130,130,24.198,130.176,6,77,Chv
131,131,24.379,129.210,6,77,Chv
132,132,24.595,128.075,6,77,Chv
133,133,24.315,129.550,6,77,Chv
134,134,24.42,128.993,6,77,Chv
135,135,24.351,129.358,6,77,Chv
136,136,24.41,129.045,6,77,Chv
137,137,24.412,129.035,6,77,Chv
138,138,24.465,128.755,6,77,Chv
139,139,24.527,128.430,6,77,Chv
140,140,24.539,128.367,6,77,Chv
141,141,24.439,128.892,6,77,Chv
142,142,24.492,128.613,6,77,Chv
143,143,24.455,128.808,6,77,Chv
144,144,24.595,128.075,6,77,Chv
145,145,24.478,128.687,5,77,Chv
146,146,24.442,128.877,5,77,Chv
147,147,24.391,129.146,5,77,Chv
148,148,24.591,128.096,5,77,Chv
149,149,24.645,127.815,5,77,Chv
150,150,24.628,127.903,5,77,Chv
151,151,24.592,128.090,5,77,Chv
152,152,24.574,128.184,5,77,Chv
153,153,24.539,128.367,5,77,Chv
154,154,34.257,91.952,13,77,Chv
155,155,49.002,64.283,28,77,Chv
156,156,23.993,131.288,27,77,Chv
157,157,24.103,130.689,26,77,Chv
158,158,24.057,130.939,24,77,Chv
159,159,24.102,130.695,24,77,Chv
160,160,24.171,130.321,24,77,Chv
161,161,24.249,129.902,23,77,Chv
162,162,24.277,129.752,23,77,Chv
163,163,24.175,130.300,21,77,Chv
164,164,24.198,130.176,20,77,Chv
165,165,24.374,129.236,19,77,Chv
166,166,24.212,130.101,19,77,Chv
167,167,24.108,130.662,19,77,Chv
168,168,24.048,130.988,19,77,Chv
169,169,41.445,76.004,18,77,Chv
170,170,63.865,49.323,18,77,Chv
171,171,68.098,46.257,18,77,Chv
172,172,69.865,45.087,18,77,Chv
173,173,72.462,43.471,18,77,Chv
174,174,55.092,57.177,18,77,Chv
175,175,54.425,57.878,18,77,Chv
176,176,54.283,58.029,18,77,Chv
177,177,25.758,122.292,18,77,Chv
178,178,24.968,126.161,18,77,Chv
179,179,25.219,124.906,21,77,Chv
180,180,39.854,79.038,21,77,Chv
181,181,62.852,50.118,20,77,Chv
182,182,68.305,46.117,18,77,Chv
183,183,79.213,39.766,24,77,Chv
184,184,82.679,38.099,24,77,Chv
185,185,53.57,58.802,23,77,Chv
186,186,25.877,121.730,24,77,Chv
187,187,25.224,124.881,27,77,Chv
188,188,24.824,126.893,26,77,Chv
189,189,24.538,128.372,26,77,Chv
190,190,24.436,128.908,26,77,Chv
191,191,24.468,128.740,26,77,Chv
192,192,24.353,129.348,25,77,Chv
193,193,24.333,129.454,24,77,Chv
194,194,24.265,129.817,24,77,Chv
195,195,24.307,129.592,24,77,Chv
196,196,24.637,127.856,24,77,Chv
197,197,24.484,128.655,24,77,Chv
198,198,24.428,128.950,24,77,Chv
199,199,24.353,129.348,24,77,Chv
200,200,24.406,129.067,25,77,Chv
201,201,24.596,128.070,25,77,Chv
202,202,24.382,129.194,25,77,Chv
203,203,27.565,114.275,25,77,Chv
204,204,46.675,67.488,25,77,Chv
205,205,49.738,63.332,25,77,Chv
206,206,61.229,51.446,20,77,Chv
207,207,91.019,34.608,21,77,Chv
208,208,52.988,59.447,21,77,Chv
209,209,25.823,121.984,19,77,Chv
210,210,40.122,78.511,29,77,Chv
211,211,39.564,79.618,29,77,Chv
212,212,69.56,45.285,29,77,Chv
213,213,72.797,43.271,29,77,Chv
214,214,67.146,46.913,29,77,Chv
215,215,73.283,42.984,27,77,Chv
216,216,69.869,45.084,27,77,Chv
217,217,71.865,43.832,27,77,Chv
218,218,66.91,47.078,20,77,Chv
219,219,56.646,55.609,30,77,Chv
220,220,25.077,125.613,30,77,Chv
221,221,27.263,115.541,28,77,Chv
222,222,59.818,52.660,29,77,Chv
223,223,67.913,46.383,29,77,Chv
224,224,64.091,49.149,25,77,Chv
225,225,76.048,41.421,26,77,Chv
226,226,73.907,42.621,25,77,Chv
227,227,50.386,62.517,24,77,Chv
228,228,25.607,123.013,24,77,Chv
229,229,34.216,92.062,28,77,Chv
230,230,67.008,47.009,28,77,Chv
231,231,70.385,44.754,26,77,Chv
232,232,78.059,40.354,30,77,Chv
233,233,70.919,44.417,30,77,Chv
234,234,69.916,45.054,23,77,Chv
235,235,52.68,59.795,31,77,Chv
236,236,25.728,122.435,31,77,Chv
237,237,24.978,126.111,31,77,Chv
238,238,24.805,126.991,31,77,Chv
239,239,24.62,127.945,30,77,Chv
240,240,24.742,127.314,31,77,Chv
241,241,24.573,128.189,30,77,Chv
242,242,24.805,126.991,26,77,Chv
243,243,39.208,80.341,27,77,Chv
244,244,64.243,49.033,27,77,Chv
245,245,68.914,45.709,25,77,Chv
246,246,72.04,43.726,22,77,Chv
247,247,71.919,43.799,22,77,Chv
248,248,75.078,41.956,22,77,Chv
249,249,57.389,54.889,23,77,Chv
250,250,25.792,122.131,22,77,Chv
251,251,24.891,126.552,20,77,Chv
252,252,24.872,126.648,18,77,Chv
253,253,32.376,97.294,14,77,Chv
254,254,59.657,52.802,17,77,Chv
255,255,75.193,41.892,16,77,Chv
256,256,68.889,45.726,16,77,Chv
257,257,72.094,43.693,13,77,Chv
258,258,70.78,44.504,13,77,Chv
259,259,74.006,42.564,13,77,Chv
260,260,62.711,50.230,13,77,Chv
261,261,25.838,121.913,13,77,Chv
262,262,24.822,126.904,11,77,Chv
263,263,38.849,81.083,10,77,Chv
264,264,64.902,48.535,11,77,Chv
265,265,72.55,43.418,11,77,Chv
266,266,70.684,44.565,10,77,Chv
267,267,77.941,40.415,10,77,Chv
268,268,64.455,48.871,10,77,Chv
269,269,25.567,123.206,9,77,Chv
270,270,24.641,127.836,8,77,Chv
271,271,37.651,83.663,8,77,Chv
272,272,63.572,49.550,8,77,Chv
273,273,72.173,43.645,8,77,Chv
274,274,70.736,44.532,8,77,Chv
275,275,71.872,43.828,8,77,Chv
276,276,66.56,47.326,8,77,Chv
277,277,25.563,123.225,9,77,Chv
278,278,24.553,128.294,9,77,Chv
279,279,24.444,128.866,9,77,Chv
280,280,24.431,128.935,9,77,Chv
281,281,25.5,123.529,9,77,Chv
282,282,53.522,58.854,9,77,Chv
283,283,70.663,44.578,8,77,Chv
284,284,70.674,44.571,7,77,Chv
285,285,72.087,43.697,7,77,Chv
286,286,69.109,45.580,6,77,Chv
287,287,25.607,123.013,7,77,Chv
288,288,24.255,129.870,6,77,Chv
289,289,24.4,129.098,6,77,Chv
290,290,24.148,130.446,6,77,Chv
291,291,24.132,130.532,6,77,Chv
292,292,24.081,130.809,6,77,Chv
293,293,24.293,129.667,6,77,Chv
294,294,24.326,129.491,6,77,Chv
295,295,24.238,129.961,6,77,Chv
296,296,24.093,130.743,6,77,Chv
297,297,24.082,130.803,6,77,Chv
298,298,24.079,130.819,6,77,Chv
299,299,24.115,130.624,6,77,Chv
300,300,24.043,131.015,6,77,Chv
301,301,24.221,130.052,6,77,Chv
302,302,24.212,130.101,6,77,Chv
303,303,24.116,130.619,6,77,Chv
304,304,24.151,130.429,6,77,Chv
305,305,24.092,130.749,6,77,Chv
306,306,24.144,130.467,6,77,Chv
307,307,24.252,129.886,6,77,Chv
308,308,24.498,128.582,6,77,Chv
309,309,24.242,129.940,6,77,Chv
310,310,24.314,129.555,6,77,Chv
311,311,24.252,129.886,6,77,Chv
312,312,24.253,129.881,6,77,Chv
313,313,24.358,129.321,6,77,Chv
314,314,24.481,128.671,6,77,Chv
315,315,24.386,129.172,6,77,Chv
316,316,24.615,127.971,6,77,Chv
317,317,24.479,128.682,6,77,Chv
318,318,24.308,129.587,6,77,Chv
319,319,24.322,129.512,6,77,Chv
320,320,24.502,128.561,6,77,Chv
321,321,24.513,128.503,6,77,Chv
322,322,24.356,129.332,6,77,Chv
323,323,24.639,127.846,7,77,Chv
324,324,24.83,126.863,7,77,Chv
325,325,24.597,128.064,7,77,Chv
326,326,24.462,128.771,7,77,Chv
327,327,24.522,128.456,7,77,Chv
328,328,24.676,127.654,7,77,Chv
329,329,24.555,128.283,7,77,Chv
330,330,24.577,128.169,7,77,Chv
331,331,24.552,128.299,7,77,Chv
332,332,24.84,126.812,7,77,Chv
333,333,24.764,127.201,7,77,Chv
334,334,24.663,127.722,7,77,Chv
335,335,24.684,127.613,7,77,Chv
336,336,24.624,127.924,7,77,Chv
337,337,24.55,128.310,7,77,Chv
338,338,24.686,127.603,7,77,Chv
339,339,24.732,127.365,7,77,Chv
340,340,24.756,127.242,7,77,Chv
341,341,24.699,127.536,7,77,Chv
342,342,24.722,127.417,7,77,Chv
343,343,24.791,127.062,7,77,Chv
344,344,24.744,127.304,7,77,Chv
345,345,24.766,127.191,7,77,Chv
346,346,24.906,126.476,8,77,Chv
347,347,24.681,127.629,8,77,Chv
348,348,24.832,126.852,8,77,Chv
349,349,24.791,127.062,8,77,Chv
350,350,24.906,126.476,8,77,Chv
