,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,36,66,Frd
1,1,25.742,122.368,37,66,Frd
2,2,25.164,125.179,37,66,Frd
3,3,25.153,125.234,37,66,Frd
4,4,25.019,125.904,37,66,Frd
5,5,24.984,126.081,37,66,Frd
6,6,24.908,126.465,37,66,Frd
7,7,24.858,126.720,37,66,Frd
8,8,24.923,126.389,37,66,Frd
9,9,24.98,126.101,37,66,Frd
10,10,25.046,125.769,37,66,Frd
11,11,25.001,125.995,37,66,Frd
12,12,25.165,125.174,37,66,Frd
13,13,25.196,125.020,37,66,Frd
14,14,25.105,125.473,37,66,Frd
15,15,25.156,125.219,37,66,Frd
16,16,25.218,124.911,37,66,Frd
17,17,25.139,125.303,37,66,Frd
18,18,25.203,124.985,37,66,Frd
19,19,25.682,122.654,37,66,Frd
20,20,25.501,123.525,37,66,Frd
21,21,25.542,123.326,37,66,Frd
22,22,25.428,123.879,37,66,Frd
23,23,25.551,123.283,37,66,Frd
24,24,25.524,123.413,37,66,Frd
25,25,25.325,124.383,37,66,Frd
26,26,25.399,124.021,37,66,Frd
27,27,26.001,121.149,37,66,Frd
28,28,25.609,123.004,37,66,Frd
29,29,25.469,123.680,37,66,Frd
30,30,25.719,122.478,37,66,Frd
31,31,25.746,122.349,37,66,Frd
32,32,25.72,122.473,37,66,Frd
33,33,25.78,122.188,37,66,Frd
34,34,25.614,122.980,37,66,Frd
35,35,26.049,120.926,37,66,Frd
36,36,25.868,121.772,37,66,Frd
37,37,25.634,122.884,37,66,Frd
38,38,25.486,123.597,37,66,Frd
39,39,25.472,123.665,37,66,Frd
40,40,25.549,123.292,37,66,Frd
41,41,25.96,121.341,37,66,Frd
42,42,25.548,123.297,37,66,Frd
43,43,25.274,124.634,37,66,Frd
44,44,25.5,123.529,37,66,Frd
45,45,25.612,122.989,37,66,Frd
46,46,25.888,121.678,37,66,Frd
47,47,25.603,123.032,37,66,Frd
48,48,25.585,123.119,37,66,Frd
49,49,25.878,121.725,37,66,Frd
50,50,25.629,122.908,37,66,Frd
51,51,25.879,121.720,37,66,Frd
52,52,25.705,122.544,37,66,Frd
53,53,25.642,122.845,37,66,Frd
54,54,25.668,122.721,37,66,Frd
55,55,25.83,121.951,37,66,Frd
56,56,25.476,123.646,37,66,Frd
57,57,25.295,124.531,37,66,Frd
58,58,25.173,125.134,37,66,Frd
59,59,25.369,124.167,37,66,Frd
60,60,25.249,124.757,37,66,Frd
61,61,25.238,124.812,37,66,Frd
62,62,25.41,123.967,37,66,Frd
63,63,26.009,121.112,37,66,Frd
64,64,25.96,121.341,37,66,Frd
65,65,25.768,122.245,37,66,Frd
66,66,25.842,121.895,37,66,Frd
67,67,25.966,121.312,37,66,Frd
68,68,38.701,81.393,37,66,Frd
69,69,63.284,49.776,37,66,Frd
70,70,62.517,50.386,37,66,Frd
71,71,99.547,31.643,37,66,Frd
72,72,73.872,42.641,37,66,Frd
73,73,69.039,45.626,37,66,Frd
74,74,73.486,42.865,37,66,Frd
75,75,79.733,39.507,37,66,Frd
76,76,40.456,77.862,37,66,Frd
77,77,25.453,123.758,37,66,Frd
78,78,25.064,125.678,37,66,Frd
79,79,25.052,125.738,37,66,Frd
80,80,24.859,126.715,37,66,Frd
81,81,24.807,126.980,37,66,Frd
82,82,24.728,127.386,37,66,Frd
83,83,24.766,127.191,37,66,Frd
84,84,24.742,127.314,37,66,Frd
85,85,24.741,127.319,37,66,Frd
86,86,24.811,126.960,37,66,Frd
87,87,24.864,126.689,37,66,Frd
88,88,24.803,127.001,37,66,Frd
89,89,24.827,126.878,37,66,Frd
90,90,24.95,126.253,37,66,Frd
91,91,24.924,126.384,37,66,Frd
92,92,24.966,126.172,37,66,Frd
93,93,24.951,126.247,37,66,Frd
94,94,24.943,126.288,37,66,Frd
95,95,24.971,126.146,37,66,Frd
96,96,25.05,125.749,37,66,Frd
97,97,25.015,125.924,37,66,Frd
98,98,24.992,126.040,37,66,Frd
99,99,25.057,125.713,37,66,Frd
100,100,25.584,123.124,37,66,Frd
101,101,25.369,124.167,37,66,Frd
102,102,25.094,125.528,37,66,Frd
103,103,25.447,123.787,37,66,Frd
104,104,25.407,123.982,37,66,Frd
105,105,25.695,122.592,37,66,Frd
106,106,25.148,125.258,37,66,Frd
107,107,25.614,122.980,37,66,Frd
108,108,25.206,124.970,37,66,Frd
109,109,25.505,123.505,37,66,Frd
110,110,25.499,123.534,37,66,Frd
111,111,25.643,122.841,37,66,Frd
112,112,25.72,122.473,37,66,Frd
113,113,25.564,123.220,37,66,Frd
114,114,25.488,123.588,37,66,Frd
115,115,25.775,122.211,37,66,Frd
116,116,25.46,123.723,37,66,Frd
117,117,25.116,125.418,37,66,Frd
118,118,25.226,124.871,37,66,Frd
119,119,25.712,122.511,37,66,Frd
120,120,25.285,124.580,37,66,Frd
121,121,25.373,124.148,37,66,Frd
122,122,25.436,123.840,37,66,Frd
123,123,25.579,123.148,37,66,Frd
124,124,25.099,125.503,37,66,Frd
125,125,25.347,124.275,37,66,Frd
126,126,25.607,123.013,37,66,Frd
127,127,25.332,124.349,37,66,Frd
128,128,25.624,122.932,37,66,Frd
129,129,25.235,124.827,37,66,Frd
130,130,25.614,122.980,37,66,Frd
131,131,25.115,125.423,37,66,Frd
132,132,25.345,124.285,37,66,Frd
133,133,25.524,123.413,37,66,Frd
134,134,25.661,122.754,37,66,Frd
135,135,25.619,122.956,37,66,Frd
136,136,25.661,122.754,37,66,Frd
137,137,25.647,122.821,37,66,Frd
138,138,25.725,122.449,37,66,Frd
139,139,25.555,123.264,37,66,Frd
140,140,25.297,124.521,37,66,Frd
141,141,25.814,122.027,37,66,Frd
142,142,25.521,123.428,37,66,Frd
143,143,25.95,121.387,37,66,Frd
144,144,25.295,124.531,37,66,Frd
145,145,25.371,124.158,37,66,Frd
146,146,25.587,123.109,37,66,Frd
147,147,25.339,124.314,37,66,Frd
148,148,63.104,49.918,37,66,Frd
149,149,39.768,79.209,37,66,Frd
150,150,25.749,122.335,37,66,Frd
151,151,25.728,122.435,37,66,Frd
152,152,25.188,125.060,37,66,Frd
153,153,25.09,125.548,37,66,Frd
154,154,25.785,122.164,37,66,Frd
155,155,25.862,121.800,37,66,Frd
156,156,25.171,125.144,37,66,Frd
157,157,25.235,124.827,37,66,Frd
158,158,25.015,125.924,37,66,Frd
159,159,25.01,125.950,37,66,Frd
160,160,24.93,126.354,37,66,Frd
161,161,25.854,121.838,37,66,Frd
162,162,40.084,78.585,37,66,Frd
163,163,63.307,49.758,37,66,Frd
164,164,65.865,47.825,37,66,Frd
165,165,69.801,45.128,37,66,Frd
166,166,70.805,44.488,37,66,Frd
167,167,56.333,55.917,37,66,Frd
168,168,61.585,51.149,37,66,Frd
169,169,41.651,75.628,37,66,Frd
170,170,26.398,119.327,37,66,Frd
171,171,25.04,125.799,37,66,Frd
172,172,25.198,125.010,37,66,Frd
173,173,42.871,73.476,37,66,Frd
174,174,64.076,49.160,37,66,Frd
175,175,66.105,47.651,37,66,Frd
176,176,81.36,38.717,37,66,Frd
177,177,93.701,33.618,37,66,Frd
178,178,37.265,84.530,37,66,Frd
179,179,26.149,120.463,37,66,Frd
180,180,25.15,125.249,37,66,Frd
181,181,25.04,125.799,37,66,Frd
182,182,25.013,125.935,37,66,Frd
183,183,24.931,126.349,37,66,Frd
184,184,24.888,126.567,37,66,Frd
185,185,24.91,126.455,37,66,Frd
186,186,24.829,126.868,37,66,Frd
187,187,24.833,126.847,37,66,Frd
188,188,24.784,127.098,37,66,Frd
189,189,24.818,126.924,37,66,Frd
190,190,24.889,126.562,37,66,Frd
191,191,24.841,126.806,37,66,Frd
192,192,24.794,127.047,37,66,Frd
193,193,24.921,126.399,37,66,Frd
194,194,24.82,126.914,37,66,Frd
195,195,24.857,126.725,37,66,Frd
196,196,29.76,105.847,37,66,Frd
197,197,46.332,67.988,37,66,Frd
198,198,46.807,67.298,37,66,Frd
199,199,58.457,53.886,37,66,Frd
200,200,101.252,31.110,37,66,Frd
201,201,41.296,76.279,37,66,Frd
202,202,27.268,115.520,37,66,Frd
203,203,28.589,110.182,37,66,Frd
204,204,50.772,62.042,37,66,Frd
205,205,65.324,48.221,37,66,Frd
206,206,72.89,43.216,37,66,Frd
207,207,68.082,46.268,37,66,Frd
208,208,92.351,34.109,37,66,Frd
209,209,54.611,57.681,37,66,Frd
210,210,75.247,41.862,37,66,Frd
211,211,77.638,40.573,37,66,Frd
212,212,39.107,80.548,37,66,Frd
213,213,25.498,123.539,37,66,Frd
214,214,28.736,109.619,37,66,Frd
215,215,61.655,51.091,37,66,Frd
216,216,67.087,46.954,37,66,Frd
217,217,63.86,49.327,37,66,Frd
218,218,78.16,40.302,37,66,Frd
219,219,81.205,38.791,37,66,Frd
220,220,38.889,81.000,37,66,Frd
221,221,25.732,122.416,37,66,Frd
222,222,37.103,84.899,37,66,Frd
223,223,66.155,47.615,37,66,Frd
224,224,70.773,44.508,37,66,Frd
225,225,80.372,39.193,37,66,Frd
226,226,68.248,46.155,37,66,Frd
227,227,82.037,38.397,37,66,Frd
228,228,37.412,84.198,37,66,Frd
229,229,26.094,120.717,37,66,Frd
230,230,25.107,125.463,37,66,Frd
231,231,25.205,124.975,37,66,Frd
232,232,24.953,126.237,37,66,Frd
233,233,24.891,126.552,37,66,Frd
234,234,24.819,126.919,37,66,Frd
235,235,26.138,120.514,37,66,Frd
236,236,40.993,76.842,37,66,Frd
237,237,63.608,49.522,37,66,Frd
238,238,68.35,46.086,37,66,Frd
239,239,88.033,35.782,37,66,Frd
240,240,64.376,48.931,37,66,Frd
241,241,81.73,38.542,37,66,Frd
242,242,39.54,79.666,37,66,Frd
243,243,26.294,119.799,37,66,Frd
244,244,25.122,125.388,37,66,Frd
245,245,25.601,123.042,37,66,Frd
246,246,40.333,78.100,37,66,Frd
247,247,57.523,54.761,37,66,Frd
248,248,79.458,39.644,37,66,Frd
249,249,69.071,45.605,37,66,Frd
250,250,83.151,37.883,37,66,Frd
251,251,67.186,46.885,37,66,Frd
252,252,80.115,39.318,37,66,Frd
253,253,38.633,81.537,37,66,Frd
254,254,26.312,119.717,37,66,Frd
255,255,29.467,106.899,37,66,Frd
256,256,45.85,68.702,37,66,Frd
257,257,66.05,47.691,37,66,Frd
258,258,72.689,43.335,37,66,Frd
259,259,71.976,43.765,37,66,Frd
260,260,89.697,35.118,37,66,Frd
261,261,38.369,82.098,37,66,Frd
262,262,25.858,121.819,37,66,Frd
263,263,25.592,123.085,37,66,Frd
264,264,48.436,65.034,37,66,Frd
265,265,67.276,46.822,37,66,Frd
266,266,71.956,43.777,37,66,Frd
267,267,71.037,44.343,37,66,Frd
268,268,83.687,37.640,37,66,Frd
269,269,39.501,79.745,37,66,Frd
270,270,25.813,122.032,37,66,Frd
271,271,25.267,124.669,37,66,Frd
272,272,25.15,125.249,37,66,Frd
273,273,25.127,125.363,37,66,Frd
274,274,28.378,111.001,37,66,Frd
275,275,61.476,51.240,37,66,Frd
276,276,70.367,44.765,37,66,Frd
277,277,74.822,42.100,37,66,Frd
278,278,81.063,38.859,37,66,Frd
279,279,42.829,73.548,37,66,Frd
280,280,25.922,121.518,37,66,Frd
281,281,25.236,124.822,37,66,Frd
282,282,25.187,125.065,37,66,Frd
283,283,25.161,125.194,37,66,Frd
284,284,25.065,125.673,37,66,Frd
285,285,25.155,125.224,37,66,Frd
286,286,25.099,125.503,37,66,Frd
287,287,25.032,125.839,37,66,Frd
288,288,25.085,125.573,37,66,Frd
289,289,25.264,124.683,37,66,Frd
290,290,25.107,125.463,37,66,Frd
291,291,25.176,125.119,37,66,Frd
292,292,25.143,125.283,37,66,Frd
293,293,25.146,125.268,37,66,Frd
294,294,25.154,125.229,37,66,Frd
295,295,25.131,125.343,37,66,Frd
296,296,25.135,125.323,37,66,Frd
297,297,25.151,125.244,37,66,Frd
298,298,25.723,122.459,37,66,Frd
299,299,25.84,121.904,37,66,Frd
300,300,25.493,123.563,37,66,Frd
301,301,25.383,124.099,37,66,Frd
302,302,25.649,122.812,37,66,Frd
303,303,25.658,122.769,37,66,Frd
304,304,25.672,122.702,37,66,Frd
305,305,26.128,120.560,37,66,Frd
306,306,25.981,121.242,37,66,Frd
307,307,25.514,123.462,37,66,Frd
308,308,25.856,121.829,37,66,Frd
309,309,26.567,118.568,37,66,Frd
310,310,25.775,122.211,37,66,Frd
311,311,25.874,121.744,37,66,Frd
312,312,25.487,123.592,37,66,Frd
313,313,25.383,124.099,37,66,Frd
314,314,25.923,121.514,37,66,Frd
315,315,25.731,122.420,37,66,Frd
316,316,25.605,123.023,37,66,Frd
317,317,25.767,122.249,37,66,Frd
318,318,25.911,121.570,37,66,Frd
319,319,26.076,120.801,37,66,Frd
320,320,25.868,121.772,37,66,Frd
321,321,26.604,118.403,37,66,Frd
322,322,26.087,120.750,37,66,Frd
323,323,26.225,120.114,37,66,Frd
324,324,26.021,121.056,37,66,Frd
325,325,25.943,121.420,37,66,Frd
326,326,25.893,121.655,37,66,Frd
327,327,26.109,120.648,37,66,Frd
328,328,26.377,119.422,37,66,Frd
329,329,25.889,121.673,37,66,Frd
330,330,26.037,120.982,37,66,Frd
331,331,26.341,119.585,37,66,Frd
332,332,25.786,122.159,37,66,Frd
333,333,26.012,121.098,37,66,Frd
334,334,26.067,120.842,37,66,Frd
335,335,26.078,120.791,37,66,Frd
336,336,25.97,121.294,37,66,Frd
337,337,26.424,119.210,37,66,Frd
338,338,26.256,119.973,37,66,Frd
339,339,26.031,121.010,37,66,Frd
340,340,25.891,121.664,37,66,Frd
