,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,10,7,Chv
1,1,25.664,122.740,10,7,Chv
2,2,24.726,127.396,10,7,Chv
3,3,24.687,127.598,11,7,Chv
4,4,24.613,127.981,11,7,Chv
5,5,24.388,129.162,11,7,Chv
6,6,24.251,129.892,11,7,Chv
7,7,24.379,129.210,11,7,Chv
8,8,24.336,129.438,11,7,Chv
9,9,24.362,129.300,11,7,Chv
10,10,24.279,129.742,11,7,Chv
11,11,24.174,130.305,11,7,Chv
12,12,24.114,130.630,11,7,Chv
13,13,24.07,130.868,11,7,Chv
14,14,24.123,130.581,11,7,Chv
15,15,24.121,130.592,11,7,Chv
16,16,24.136,130.510,11,7,Chv
17,17,24.052,130.966,11,7,Chv
18,18,24.16,130.381,11,7,Chv
19,19,24.153,130.419,11,7,Chv
20,20,24.287,129.699,11,7,Chv
21,21,24.108,130.662,11,7,Chv
22,22,24.043,131.015,11,7,Chv
23,23,24.123,130.581,11,7,Chv
24,24,24.174,130.305,11,7,Chv
25,25,24.382,129.194,11,7,Chv
26,26,24.244,129.929,11,7,Chv
27,27,24.387,129.167,11,7,Chv
28,28,24.209,130.117,11,7,Chv
29,29,24.174,130.305,11,7,Chv
30,30,24.163,130.365,11,7,Chv
31,31,24.281,129.731,11,7,Chv
32,32,24.286,129.704,11,7,Chv
33,33,24.435,128.913,11,7,Chv
34,34,24.234,129.983,11,7,Chv
35,35,24.328,129.480,11,7,Chv
36,36,24.263,129.827,11,7,Chv
37,37,24.367,129.273,11,7,Chv
38,38,24.313,129.560,11,7,Chv
39,39,24.378,129.215,11,7,Chv
40,40,24.349,129.369,11,7,Chv
41,41,24.287,129.699,11,7,Chv
42,42,24.4,129.098,11,7,Chv
43,43,24.416,129.014,11,7,Chv
44,44,24.497,128.587,11,7,Chv
45,45,24.564,128.236,11,7,Chv
46,46,24.343,129.401,11,7,Chv
47,47,24.35,129.363,11,7,Chv
48,48,24.312,129.566,11,7,Chv
49,49,24.37,129.257,11,7,Chv
50,50,24.646,127.810,11,7,Chv
51,51,24.453,128.819,10,7,Chv
52,52,24.538,128.372,10,7,Chv
53,53,24.491,128.619,10,7,Chv
54,54,24.73,127.376,10,7,Chv
55,55,24.465,128.755,10,7,Chv
56,56,24.585,128.127,10,7,Chv
57,57,24.592,128.090,10,7,Chv
58,58,24.635,127.867,10,7,Chv
59,59,24.821,126.909,10,7,Chv
60,60,24.812,126.955,10,7,Chv
61,61,24.681,127.629,10,7,Chv
62,62,24.798,127.026,10,7,Chv
63,63,25.102,125.488,10,7,Chv
64,64,25.032,125.839,10,7,Chv
65,65,24.576,128.174,10,7,Chv
66,66,24.649,127.794,10,7,Chv
67,67,24.781,127.114,10,7,Chv
68,68,24.858,126.720,10,7,Chv
69,69,24.826,126.883,10,7,Chv
70,70,25.058,125.708,10,7,Chv
71,71,39.033,80.701,10,7,Chv
72,72,63.327,49.742,10,7,Chv
73,73,63.524,49.588,8,7,Chv
74,74,77.9,40.436,9,7,Chv
75,75,68.494,45.989,9,7,Chv
76,76,71.478,44.070,9,7,Chv
77,77,71.752,43.901,9,7,Chv
78,78,73.208,43.028,9,7,Chv
79,79,67.855,46.423,9,7,Chv
80,80,25.561,123.235,8,7,Chv
81,81,24.683,127.618,9,7,Chv
82,82,24.618,127.955,9,7,Chv
83,83,24.545,128.336,10,7,Chv
84,84,24.492,128.613,11,7,Chv
85,85,24.333,129.454,11,7,Chv
86,86,24.366,129.279,11,7,Chv
87,87,24.26,129.843,11,7,Chv
88,88,24.227,130.020,11,7,Chv
89,89,24.226,130.026,11,7,Chv
90,90,24.246,129.918,11,7,Chv
91,91,24.306,129.598,11,7,Chv
92,92,24.485,128.650,11,7,Chv
93,93,24.257,129.859,11,7,Chv
94,94,24.508,128.529,12,7,Chv
95,95,24.29,129.683,12,7,Chv
96,96,24.281,129.731,12,7,Chv
97,97,24.138,130.500,12,7,Chv
98,98,24.225,130.031,12,7,Chv
99,99,24.505,128.545,13,7,Chv
100,100,24.206,130.133,13,7,Chv
101,101,24.249,129.902,13,7,Chv
102,102,24.206,130.133,13,7,Chv
103,103,24.176,130.295,13,7,Chv
104,104,24.221,130.052,13,7,Chv
105,105,24.288,129.694,13,7,Chv
106,106,24.314,129.555,13,7,Chv
107,107,24.341,129.411,13,7,Chv
108,108,24.276,129.758,13,7,Chv
109,109,24.241,129.945,13,7,Chv
110,110,24.425,128.966,13,7,Chv
111,111,24.417,129.008,13,7,Chv
112,112,24.251,129.892,13,7,Chv
113,113,24.236,129.972,13,7,Chv
114,114,24.339,129.422,13,7,Chv
115,115,24.191,130.214,13,7,Chv
116,116,24.269,129.795,13,7,Chv
117,117,24.247,129.913,13,7,Chv
118,118,24.211,130.106,13,7,Chv
119,119,24.056,130.944,13,7,Chv
120,120,24.272,129.779,13,7,Chv
121,121,24.225,130.031,13,7,Chv
122,122,24.279,129.742,13,7,Chv
123,123,24.168,130.338,13,7,Chv
124,124,24.314,129.555,13,7,Chv
125,125,24.19,130.219,13,7,Chv
126,126,24.492,128.613,13,7,Chv
127,127,24.263,129.827,13,7,Chv
128,128,24.386,129.172,13,7,Chv
129,129,24.276,129.758,13,7,Chv
130,130,24.371,129.252,13,7,Chv
131,131,24.313,129.560,13,7,Chv
132,132,24.422,128.982,13,7,Chv
133,133,24.41,129.045,13,7,Chv
134,134,24.495,128.598,13,7,Chv
135,135,24.47,128.729,13,7,Chv
136,136,24.549,128.315,13,7,Chv
137,137,24.558,128.268,13,7,Chv
138,138,24.499,128.577,13,7,Chv
139,139,24.461,128.776,12,7,Chv
140,140,24.463,128.766,12,7,Chv
141,141,24.612,127.986,11,7,Chv
142,142,24.398,129.109,11,7,Chv
143,143,24.449,128.840,11,7,Chv
144,144,24.41,129.045,11,7,Chv
145,145,24.381,129.199,10,7,Chv
146,146,24.305,129.603,10,7,Chv
147,147,24.399,129.104,10,7,Chv
148,148,24.391,129.146,10,7,Chv
149,149,24.348,129.374,10,7,Chv
150,150,24.375,129.231,10,7,Chv
151,151,24.421,128.987,10,7,Chv
152,152,24.438,128.898,10,7,Chv
153,153,24.534,128.393,10,7,Chv
154,154,24.798,127.026,8,7,Chv
155,155,24.538,128.372,6,7,Chv
156,156,33.931,92.835,11,7,Chv
157,157,50.938,61.840,30,7,Chv
158,158,24.322,129.512,30,7,Chv
159,159,24.229,130.009,29,7,Chv
160,160,23.993,131.288,29,7,Chv
161,161,24.153,130.419,28,7,Chv
162,162,24.308,129.587,28,7,Chv
163,163,24.082,130.803,27,7,Chv
164,164,24.025,131.113,26,7,Chv
165,165,23.951,131.519,25,7,Chv
166,166,23.987,131.321,25,7,Chv
167,167,24.06,130.923,25,7,Chv
168,168,25.309,124.462,25,7,Chv
169,169,43.196,72.923,25,7,Chv
170,170,62.833,50.133,25,7,Chv
171,171,66.508,47.363,24,7,Chv
172,172,69.673,45.211,24,7,Chv
173,173,70.91,44.423,24,7,Chv
174,174,56.334,55.916,24,7,Chv
175,175,57.484,54.798,24,7,Chv
176,176,45.381,69.412,24,7,Chv
177,177,25.49,123.578,22,7,Chv
178,178,24.952,126.242,22,7,Chv
179,179,24.651,127.784,22,7,Chv
180,180,40.354,78.059,22,7,Chv
181,181,63.334,49.736,22,7,Chv
182,182,68.094,46.260,20,7,Chv
183,183,73.7,42.741,17,7,Chv
184,184,79.554,39.596,17,7,Chv
185,185,61.027,51.616,17,7,Chv
186,186,25.754,122.311,16,7,Chv
187,187,24.668,127.696,16,7,Chv
188,188,24.651,127.784,17,7,Chv
189,189,24.89,126.557,19,7,Chv
190,190,24.429,128.945,19,7,Chv
