,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,3,5,Chv
1,1,25.505,123.505,4,5,Chv
2,2,24.672,127.675,5,5,Chv
3,3,24.554,128.289,5,5,Chv
4,4,24.438,128.898,5,5,Chv
5,5,24.351,129.358,5,5,Chv
6,6,24.294,129.662,5,5,Chv
7,7,24.075,130.841,5,5,Chv
8,8,24.057,130.939,5,5,Chv
9,9,23.964,131.447,5,5,Chv
10,10,23.934,131.612,5,5,Chv
11,11,23.961,131.464,5,5,Chv
12,12,23.954,131.502,5,5,Chv
13,13,24.015,131.168,5,5,Chv
14,14,23.943,131.562,5,5,Chv
15,15,23.977,131.376,5,5,Chv
16,16,23.992,131.294,5,5,Chv
17,17,24.008,131.206,5,5,Chv
18,18,24.009,131.201,5,5,Chv
19,19,23.994,131.283,5,5,Chv
20,20,24.122,130.586,5,5,Chv
21,21,24.112,130.640,5,5,Chv
22,22,24.241,129.945,5,5,Chv
23,23,24.089,130.765,5,5,Chv
24,24,24.171,130.321,5,5,Chv
25,25,24.081,130.809,5,5,Chv
26,26,24.115,130.624,5,5,Chv
27,27,24.163,130.365,5,5,Chv
28,28,24.176,130.295,5,5,Chv
29,29,24.145,130.462,5,5,Chv
30,30,24.179,130.278,5,5,Chv
31,31,24.148,130.446,5,5,Chv
32,32,24.209,130.117,5,5,Chv
33,33,24.189,130.224,5,5,Chv
34,34,24.253,129.881,5,5,Chv
35,35,24.158,130.392,5,5,Chv
36,36,24.272,129.779,5,5,Chv
37,37,24.471,128.724,5,5,Chv
38,38,24.504,128.550,5,5,Chv
39,39,24.242,129.940,5,5,Chv
40,40,24.384,129.183,5,5,Chv
41,41,24.248,129.908,5,5,Chv
42,42,24.366,129.279,5,5,Chv
43,43,24.277,129.752,5,5,Chv
44,44,24.495,128.598,5,5,Chv
45,45,24.479,128.682,5,5,Chv
46,46,24.518,128.477,5,5,Chv
47,47,24.696,127.551,5,5,Chv
48,48,24.724,127.407,5,5,Chv
49,49,25.128,125.358,5,5,Chv
50,50,25.074,125.628,6,5,Chv
51,51,25.023,125.884,6,5,Chv
52,52,24.801,127.011,6,5,Chv
53,53,24.752,127.262,6,5,Chv
54,54,24.664,127.717,6,5,Chv
55,55,24.616,127.966,6,5,Chv
56,56,24.684,127.613,6,5,Chv
57,57,24.69,127.582,6,5,Chv
58,58,24.707,127.494,6,5,Chv
59,59,24.896,126.526,6,5,Chv
60,60,24.722,127.417,6,5,Chv
61,61,24.706,127.499,6,5,Chv
62,62,24.676,127.654,6,5,Chv
63,63,24.842,126.801,6,5,Chv
64,64,24.918,126.415,6,5,Chv
65,65,24.758,127.232,6,5,Chv
66,66,24.787,127.083,6,5,Chv
67,67,24.805,126.991,6,5,Chv
68,68,24.947,126.268,6,5,Chv
69,69,24.974,126.131,6,5,Chv
70,70,24.941,126.298,6,5,Chv
71,71,37.064,84.988,6,5,Chv
72,72,62.833,50.133,6,5,Chv
73,73,65.961,47.755,6,5,Chv
74,74,76.731,41.053,6,5,Chv
75,75,69.518,45.312,6,5,Chv
76,76,71.334,44.158,6,5,Chv
77,77,71.654,43.961,6,5,Chv
78,78,72.355,43.535,6,5,Chv
79,79,70.532,44.661,6,5,Chv
80,80,25.495,123.554,6,5,Chv
81,81,24.502,128.561,6,5,Chv
82,82,24.426,128.961,6,5,Chv
83,83,24.405,129.072,6,5,Chv
84,84,24.363,129.294,6,5,Chv
85,85,24.207,130.128,6,5,Chv
86,86,24.129,130.548,5,5,Chv
87,87,24.115,130.624,5,5,Chv
88,88,24.225,130.031,5,5,Chv
89,89,24.066,130.890,5,5,Chv
90,90,24.038,131.043,5,5,Chv
91,91,24.069,130.874,5,5,Chv
92,92,24.024,131.119,5,5,Chv
93,93,24.126,130.565,5,5,Chv
94,94,23.949,131.530,5,5,Chv
95,95,23.937,131.595,5,5,Chv
96,96,23.943,131.562,5,5,Chv
97,97,24.07,130.868,5,5,Chv
98,98,23.99,131.305,5,5,Chv
99,99,24.082,130.803,5,5,Chv
100,100,23.997,131.266,5,5,Chv
101,101,24.147,130.451,5,5,Chv
102,102,24.07,130.868,5,5,Chv
103,103,24.585,128.127,5,5,Chv
104,104,24.108,130.662,5,5,Chv
105,105,24.158,130.392,5,5,Chv
106,106,24.251,129.892,5,5,Chv
107,107,24.131,130.537,5,5,Chv
108,108,24.048,130.988,5,5,Chv
109,109,24.285,129.710,5,5,Chv
110,110,24.084,130.792,5,5,Chv
111,111,24.17,130.327,5,5,Chv
112,112,24.145,130.462,5,5,Chv
113,113,24.121,130.592,5,5,Chv
114,114,24.077,130.830,5,5,Chv
115,115,24.165,130.354,5,5,Chv
116,116,24.139,130.494,5,5,Chv
117,117,24.153,130.419,5,5,Chv
118,118,24.137,130.505,5,5,Chv
119,119,24.195,130.192,5,5,Chv
120,120,24.129,130.548,5,5,Chv
