,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,13,71,Chv
1,1,25.501,123.525,13,71,Chv
2,2,24.519,128.472,12,71,Chv
3,3,24.602,128.038,12,71,Chv
4,4,24.659,127.742,12,71,Chv
5,5,24.425,128.966,12,71,Chv
6,6,24.332,129.459,12,71,Chv
7,7,24.373,129.241,12,71,Chv
8,8,24.278,129.747,12,71,Chv
9,9,24.398,129.109,12,71,Chv
10,10,24.311,129.571,12,71,Chv
11,11,24.38,129.204,12,71,Chv
12,12,24.143,130.473,12,71,Chv
13,13,24.206,130.133,12,71,Chv
14,14,24.224,130.036,12,71,Chv
15,15,24.172,130.316,12,71,Chv
16,16,24.229,130.009,12,71,Chv
17,17,24.189,130.224,12,71,Chv
18,18,24.154,130.413,12,71,Chv
19,19,24.235,129.977,12,71,Chv
20,20,24.168,130.338,12,71,Chv
21,21,24.235,129.977,12,71,Chv
22,22,24.154,130.413,12,71,Chv
23,23,24.201,130.160,12,71,Chv
24,24,24.284,129.715,12,71,Chv
25,25,24.267,129.806,12,71,Chv
26,26,24.48,128.676,12,71,Chv
27,27,24.367,129.273,12,71,Chv
28,28,24.259,129.849,12,71,Chv
29,29,24.256,129.865,12,71,Chv
30,30,24.169,130.332,12,71,Chv
31,31,24.241,129.945,12,71,Chv
32,32,24.286,129.704,12,71,Chv
33,33,24.381,129.199,12,71,Chv
34,34,24.407,129.061,12,71,Chv
35,35,24.386,129.172,12,71,Chv
36,36,24.349,129.369,12,71,Chv
37,37,24.483,128.661,12,71,Chv
38,38,24.317,129.539,12,71,Chv
39,39,24.375,129.231,12,71,Chv
40,40,24.366,129.279,12,71,Chv
41,41,24.421,128.987,12,71,Chv
42,42,24.307,129.592,12,71,Chv
43,43,24.349,129.369,12,71,Chv
44,44,24.463,128.766,12,71,Chv
45,45,24.38,129.204,12,71,Chv
46,46,24.457,128.797,12,71,Chv
47,47,24.475,128.703,12,71,Chv
48,48,24.472,128.719,12,71,Chv
49,49,24.654,127.768,12,71,Chv
50,50,24.452,128.824,12,71,Chv
51,51,24.531,128.409,12,71,Chv
52,52,24.519,128.472,12,71,Chv
53,53,24.422,128.982,12,71,Chv
54,54,24.559,128.263,12,71,Chv
55,55,24.595,128.075,12,71,Chv
56,56,24.624,127.924,12,71,Chv
57,57,24.584,128.132,12,71,Chv
58,58,24.703,127.515,12,71,Chv
59,59,24.819,126.919,12,71,Chv
60,60,24.785,127.093,12,71,Chv
61,61,24.72,127.427,12,71,Chv
62,62,24.432,128.929,12,71,Chv
63,63,24.485,128.650,12,71,Chv
64,64,24.748,127.283,12,71,Chv
65,65,24.742,127.314,12,71,Chv
66,66,24.728,127.386,12,71,Chv
67,67,24.796,127.037,12,71,Chv
68,68,24.586,128.122,12,71,Chv
69,69,24.775,127.144,12,71,Chv
70,70,24.86,126.710,12,71,Chv
71,71,39.527,79.692,12,71,Chv
72,72,63.517,49.593,12,71,Chv
73,73,77.899,40.437,26,71,Chv
74,74,73.06,43.115,19,71,Chv
75,75,66.464,47.394,19,71,Chv
76,76,69.553,45.289,19,71,Chv
77,77,72.474,43.464,18,71,Chv
78,78,76.06,41.415,18,71,Chv
79,79,58.016,54.295,19,71,Chv
80,80,25.662,122.750,18,71,Chv
81,81,24.891,126.552,18,71,Chv
82,82,24.584,128.132,17,71,Chv
83,83,24.69,127.582,18,71,Chv
84,84,24.457,128.797,18,71,Chv
85,85,24.391,129.146,16,71,Chv
86,86,24.293,129.667,16,71,Chv
87,87,24.305,129.603,16,71,Chv
88,88,24.257,129.859,16,71,Chv
89,89,24.32,129.523,16,71,Chv
90,90,24.413,129.030,16,71,Chv
91,91,24.384,129.183,16,71,Chv
92,92,24.309,129.582,16,71,Chv
93,93,24.449,128.840,17,71,Chv
94,94,24.531,128.409,17,71,Chv
95,95,24.389,129.157,18,71,Chv
96,96,24.49,128.624,18,71,Chv
97,97,24.476,128.697,18,71,Chv
98,98,24.381,129.199,18,71,Chv
99,99,24.726,127.396,19,71,Chv
100,100,24.288,129.694,19,71,Chv
101,101,24.292,129.672,19,71,Chv
102,102,24.383,129.188,19,71,Chv
103,103,24.355,129.337,19,71,Chv
104,104,24.343,129.401,19,71,Chv
105,105,24.289,129.688,19,71,Chv
106,106,24.229,130.009,19,71,Chv
107,107,24.326,129.491,19,71,Chv
108,108,24.436,128.908,19,71,Chv
109,109,24.423,128.977,19,71,Chv
110,110,24.418,129.003,19,71,Chv
111,111,24.455,128.808,19,71,Chv
112,112,24.453,128.819,19,71,Chv
113,113,24.36,129.310,19,71,Chv
114,114,24.587,128.116,19,71,Chv
115,115,24.349,129.369,19,71,Chv
116,116,24.456,128.803,19,71,Chv
117,117,24.332,129.459,19,71,Chv
118,118,24.372,129.247,19,71,Chv
119,119,24.374,129.236,19,71,Chv
120,120,24.35,129.363,19,71,Chv
121,121,24.343,129.401,19,71,Chv
122,122,24.361,129.305,19,71,Chv
123,123,24.399,129.104,19,71,Chv
124,124,24.34,129.417,19,71,Chv
125,125,24.309,129.582,19,71,Chv
126,126,24.391,129.146,19,71,Chv
127,127,24.424,128.972,19,71,Chv
128,128,24.299,129.635,19,71,Chv
129,129,24.389,129.157,19,71,Chv
130,130,24.398,129.109,19,71,Chv
131,131,24.358,129.321,19,71,Chv
132,132,24.331,129.464,19,71,Chv
133,133,24.479,128.682,19,71,Chv
134,134,24.414,129.024,19,71,Chv
135,135,24.484,128.655,19,71,Chv
136,136,24.474,128.708,19,71,Chv
137,137,24.53,128.414,19,71,Chv
138,138,24.636,127.862,19,71,Chv
139,139,24.736,127.345,18,71,Chv
140,140,24.49,128.624,18,71,Chv
141,141,24.635,127.867,17,71,Chv
142,142,24.532,128.404,17,71,Chv
143,143,24.492,128.613,17,71,Chv
144,144,24.462,128.771,17,71,Chv
145,145,24.479,128.682,17,71,Chv
146,146,24.523,128.451,16,71,Chv
147,147,24.376,129.225,16,71,Chv
148,148,24.439,128.892,16,71,Chv
149,149,24.589,128.106,16,71,Chv
150,150,24.586,128.122,16,71,Chv
151,151,24.452,128.824,16,71,Chv
152,152,24.561,128.252,16,71,Chv
153,153,24.578,128.163,16,71,Chv
154,154,24.878,126.618,16,71,Chv
155,155,47.922,65.732,29,71,Chv
156,156,36.931,85.294,32,71,Chv
157,157,24.195,130.192,32,71,Chv
158,158,23.98,131.359,31,71,Chv
159,159,24.18,130.273,30,71,Chv
160,160,24.335,129.443,30,71,Chv
161,161,24.289,129.688,29,71,Chv
162,162,24.105,130.678,29,71,Chv
163,163,24.153,130.419,29,71,Chv
164,164,24.2,130.165,27,71,Chv
165,165,24.218,130.069,26,71,Chv
166,166,24.128,130.554,26,71,Chv
167,167,24.094,130.738,26,71,Chv
168,168,28.501,110.522,26,71,Chv
169,169,36.875,85.424,26,71,Chv
170,170,62.826,50.138,26,71,Chv
171,171,64.082,49.156,25,71,Chv
172,172,69.108,45.581,25,71,Chv
173,173,71.185,44.251,25,71,Chv
174,174,55.591,56.664,25,71,Chv
175,175,57.18,55.089,25,71,Chv
176,176,44.738,70.410,25,71,Chv
177,177,25.571,123.186,25,71,Chv
178,178,25.213,124.936,26,71,Chv
179,179,24.802,127.006,25,71,Chv
180,180,41.637,75.654,25,71,Chv
181,181,64.771,48.633,25,71,Chv
182,182,78.457,40.149,26,71,Chv
183,183,66.597,47.299,27,71,Chv
184,184,83.25,37.838,26,71,Chv
185,185,51.392,61.294,26,71,Chv
186,186,25.867,121.777,26,71,Chv
187,187,25.027,125.864,26,71,Chv
188,188,24.928,126.364,27,71,Chv
189,189,24.82,126.914,27,71,Chv
190,190,24.485,128.650,27,71,Chv
191,191,24.35,129.363,27,71,Chv
192,192,24.68,127.634,28,71,Chv
193,193,24.514,128.498,28,71,Chv
194,194,24.434,128.919,28,71,Chv
195,195,24.59,128.101,28,71,Chv
196,196,24.415,129.019,28,71,Chv
197,197,24.476,128.697,28,71,Chv
198,198,24.512,128.508,28,71,Chv
199,199,24.435,128.913,28,71,Chv
200,200,24.407,129.061,28,71,Chv
201,201,24.515,128.493,28,71,Chv
202,202,24.765,127.196,28,71,Chv
203,203,28.381,110.990,28,71,Chv
204,204,49.514,63.618,28,71,Chv
205,205,47.441,66.398,28,71,Chv
206,206,59.392,53.037,24,71,Chv
207,207,82.196,38.323,15,71,Chv
208,208,60.309,52.231,15,71,Chv
209,209,25.979,121.252,15,71,Chv
210,210,24.755,127.247,16,71,Chv
211,211,42.649,73.859,14,71,Chv
212,212,69.119,45.574,16,71,Chv
213,213,71.337,44.157,16,71,Chv
214,214,70.282,44.819,15,71,Chv
215,215,72.4,43.508,15,71,Chv
216,216,71.684,43.943,15,71,Chv
217,217,70.784,44.502,15,71,Chv
218,218,73.038,43.128,15,71,Chv
219,219,60.131,52.386,15,71,Chv
220,220,25.872,121.753,17,71,Chv
221,221,26.681,118.062,23,71,Chv
222,222,57.027,55.237,23,71,Chv
223,223,66.581,47.311,23,71,Chv
224,224,83.589,37.684,29,71,Chv
225,225,65.468,48.115,28,71,Chv
226,226,73.265,42.995,27,71,Chv
227,227,47.98,65.652,25,71,Chv
228,228,25.701,122.563,26,71,Chv
229,229,32.671,96.416,24,71,Chv
230,230,64.723,48.669,24,71,Chv
231,231,72.055,43.717,23,71,Chv
232,232,71.536,44.034,21,71,Chv
233,233,72.216,43.619,21,71,Chv
234,234,75.739,41.590,21,71,Chv
235,235,53.091,59.332,22,71,Chv
236,236,25.733,122.411,22,71,Chv
237,237,25.007,125.965,22,71,Chv
238,238,24.889,126.562,23,71,Chv
239,239,24.724,127.407,23,71,Chv
240,240,24.667,127.701,23,71,Chv
241,241,24.535,128.388,23,71,Chv
242,242,24.945,126.278,21,71,Chv
243,243,37.185,84.712,18,71,Chv
244,244,61.688,51.063,20,71,Chv
245,245,68.968,45.673,17,71,Chv
246,246,71.732,43.913,15,71,Chv
247,247,72.569,43.407,15,71,Chv
248,248,73.272,42.991,15,71,Chv
249,249,63.562,49.558,16,71,Chv
250,250,25.792,122.131,14,71,Chv
251,251,24.971,126.146,15,71,Chv
252,252,25.305,124.481,17,71,Chv
253,253,31.985,98.484,13,71,Chv
254,254,58.393,53.945,11,71,Chv
255,255,76.099,41.393,15,71,Chv
256,256,68.998,45.653,15,71,Chv
257,257,72.274,43.584,12,71,Chv
258,258,70.696,44.557,12,71,Chv
259,259,73.976,42.581,12,71,Chv
260,260,63.247,49.805,11,71,Chv
261,261,25.859,121.814,12,71,Chv
262,262,25.015,125.924,14,71,Chv
263,263,39.917,78.914,14,71,Chv
264,264,65.421,48.150,14,71,Chv
265,265,73.186,43.041,14,71,Chv
266,266,70.564,44.640,13,71,Chv
267,267,78.939,39.904,13,71,Chv
268,268,61.395,51.307,13,71,Chv
269,269,25.737,122.392,12,71,Chv
270,270,24.723,127.412,12,71,Chv
