,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,31,4,Frd
1,1,25.346,124.280,34,4,Frd
2,2,24.985,126.076,33,4,Frd
3,3,25.041,125.794,33,4,Frd
4,4,24.643,127.825,32,4,Frd
5,5,24.657,127.753,31,4,Frd
6,6,24.662,127.727,31,4,Frd
7,7,24.533,128.398,31,4,Frd
8,8,24.524,128.446,31,4,Frd
9,9,24.501,128.566,32,4,Frd
10,10,24.515,128.493,32,4,Frd
11,11,24.927,126.369,32,4,Frd
12,12,24.781,127.114,33,4,Frd
13,13,24.599,128.054,33,4,Frd
14,14,24.789,127.072,34,4,Frd
15,15,24.697,127.546,34,4,Frd
16,16,24.836,126.832,35,4,Frd
17,17,24.813,126.950,35,4,Frd
18,18,24.678,127.644,35,4,Frd
19,19,24.668,127.696,35,4,Frd
20,20,24.671,127.680,35,4,Frd
21,21,24.604,128.028,35,4,Frd
22,22,24.658,127.748,35,4,Frd
23,23,24.579,128.158,35,4,Frd
24,24,24.492,128.613,35,4,Frd
25,25,24.563,128.242,35,4,Frd
26,26,24.503,128.556,35,4,Frd
27,27,24.645,127.815,35,4,Frd
28,28,24.581,128.148,35,4,Frd
29,29,24.582,128.143,35,4,Frd
30,30,24.491,128.619,35,4,Frd
31,31,24.503,128.556,35,4,Frd
32,32,24.582,128.143,35,4,Frd
33,33,24.533,128.398,35,4,Frd
34,34,24.608,128.007,35,4,Frd
35,35,24.654,127.768,35,4,Frd
36,36,24.568,128.216,35,4,Frd
37,37,24.555,128.283,35,4,Frd
38,38,24.64,127.841,35,4,Frd
39,39,24.588,128.111,35,4,Frd
40,40,24.64,127.841,35,4,Frd
41,41,24.611,127.992,35,4,Frd
42,42,24.615,127.971,35,4,Frd
43,43,24.658,127.748,35,4,Frd
44,44,24.645,127.815,35,4,Frd
45,45,24.777,127.134,35,4,Frd
46,46,24.849,126.766,35,4,Frd
47,47,24.93,126.354,35,4,Frd
48,48,25.036,125.819,34,4,Frd
49,49,24.905,126.481,34,4,Frd
50,50,24.942,126.293,34,4,Frd
51,51,24.85,126.761,34,4,Frd
52,52,24.876,126.628,34,4,Frd
53,53,24.872,126.648,34,4,Frd
54,54,24.81,126.965,34,4,Frd
55,55,24.621,127.940,34,4,Frd
56,56,24.688,127.592,34,4,Frd
57,57,24.99,126.050,34,4,Frd
58,58,25.004,125.980,34,4,Frd
59,59,24.692,127.572,34,4,Frd
60,60,24.743,127.309,34,4,Frd
61,61,24.82,126.914,34,4,Frd
62,62,24.994,126.030,34,4,Frd
63,63,24.742,127.314,34,4,Frd
64,64,24.796,127.037,34,4,Frd
65,65,24.837,126.827,34,4,Frd
66,66,24.863,126.694,34,4,Frd
67,67,24.964,126.182,34,4,Frd
68,68,24.93,126.354,34,4,Frd
69,69,24.818,126.924,34,4,Frd
70,70,36.853,85.475,34,4,Frd
71,71,62.763,50.189,34,4,Frd
72,72,66.007,47.722,34,4,Frd
73,73,83.886,37.551,36,4,Frd
74,74,86.776,36.300,34,4,Frd
75,75,68.268,46.142,34,4,Frd
76,76,73.683,42.751,34,4,Frd
77,77,78.176,40.294,34,4,Frd
78,78,43.746,72.007,34,4,Frd
79,79,26.126,120.570,35,4,Frd
80,80,25.191,125.045,35,4,Frd
81,81,25.082,125.588,35,4,Frd
82,82,24.888,126.567,35,4,Frd
83,83,24.758,127.232,35,4,Frd
84,84,24.677,127.649,35,4,Frd
85,85,24.527,128.430,35,4,Frd
86,86,24.622,127.934,35,4,Frd
87,87,24.587,128.116,35,4,Frd
88,88,24.503,128.556,35,4,Frd
89,89,24.557,128.273,35,4,Frd
90,90,24.606,128.018,35,4,Frd
91,91,24.563,128.242,34,4,Frd
92,92,24.421,128.987,34,4,Frd
93,93,24.35,129.363,34,4,Frd
94,94,24.27,129.790,34,4,Frd
95,95,24.446,128.855,34,4,Frd
96,96,24.448,128.845,34,4,Frd
97,97,24.541,128.357,34,4,Frd
98,98,24.46,128.782,34,4,Frd
99,99,24.468,128.740,34,4,Frd
100,100,24.527,128.430,34,4,Frd
101,101,24.557,128.273,34,4,Frd
102,102,24.672,127.675,34,4,Frd
103,103,24.555,128.283,34,4,Frd
104,104,24.564,128.236,34,4,Frd
105,105,24.546,128.330,34,4,Frd
106,106,24.762,127.211,34,4,Frd
107,107,24.435,128.913,34,4,Frd
108,108,24.528,128.425,34,4,Frd
109,109,24.603,128.033,34,4,Frd
110,110,24.548,128.320,34,4,Frd
111,111,24.373,129.241,34,4,Frd
112,112,24.382,129.194,34,4,Frd
113,113,24.415,129.019,34,4,Frd
114,114,24.298,129.640,34,4,Frd
115,115,24.474,128.708,34,4,Frd
116,116,24.595,128.075,34,4,Frd
117,117,24.517,128.482,34,4,Frd
118,118,24.483,128.661,34,4,Frd
119,119,24.662,127.727,34,4,Frd
120,120,24.447,128.850,34,4,Frd
121,121,24.551,128.304,34,4,Frd
122,122,24.481,128.671,34,4,Frd
123,123,24.412,129.035,34,4,Frd
124,124,24.427,128.956,34,4,Frd
125,125,24.479,128.682,34,4,Frd
126,126,24.546,128.330,34,4,Frd
127,127,24.651,127.784,34,4,Frd
128,128,24.654,127.768,34,4,Frd
129,129,24.596,128.070,34,4,Frd
130,130,24.736,127.345,34,4,Frd
131,131,24.78,127.119,34,4,Frd
132,132,24.884,126.587,34,4,Frd
133,133,24.591,128.096,34,4,Frd
134,134,24.661,127.732,34,4,Frd
135,135,24.553,128.294,34,4,Frd
136,136,24.434,128.919,34,4,Frd
137,137,24.55,128.310,34,4,Frd
138,138,24.533,128.398,34,4,Frd
139,139,24.548,128.320,33,4,Frd
140,140,24.449,128.840,33,4,Frd
141,141,24.493,128.608,33,4,Frd
142,142,24.617,127.960,33,4,Frd
143,143,24.527,128.430,33,4,Frd
144,144,24.518,128.477,33,4,Frd
145,145,24.422,128.982,33,4,Frd
146,146,24.49,128.624,33,4,Frd
147,147,24.595,128.075,33,4,Frd
148,148,24.54,128.362,33,4,Frd
149,149,24.581,128.148,33,4,Frd
150,150,24.71,127.479,33,4,Frd
151,151,24.651,127.784,33,4,Frd
152,152,24.787,127.083,33,4,Frd
153,153,24.759,127.226,33,4,Frd
