,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,30,47,Chv
1,1,25.532,123.375,30,47,Chv
2,2,25.099,125.503,30,47,Chv
3,3,24.939,126.308,29,47,Chv
4,4,24.616,127.966,29,47,Chv
5,5,24.652,127.779,28,47,Chv
6,6,24.53,128.414,28,47,Chv
7,7,24.468,128.740,28,47,Chv
8,8,24.495,128.598,28,47,Chv
9,9,24.612,127.986,28,47,Chv
10,10,24.621,127.940,28,47,Chv
11,11,24.987,126.066,30,47,Chv
12,12,24.68,127.634,30,47,Chv
13,13,24.73,127.376,31,47,Chv
14,14,24.648,127.799,30,47,Chv
15,15,24.699,127.536,30,47,Chv
16,16,24.655,127.763,30,47,Chv
17,17,24.615,127.971,30,47,Chv
18,18,24.665,127.711,30,47,Chv
19,19,24.616,127.966,30,47,Chv
20,20,24.698,127.541,30,47,Chv
21,21,24.583,128.137,30,47,Chv
22,22,24.614,127.976,30,47,Chv
23,23,24.364,129.289,30,47,Chv
24,24,24.271,129.785,30,47,Chv
25,25,24.312,129.566,30,47,Chv
26,26,24.404,129.077,30,47,Chv
27,27,24.546,128.330,30,47,Chv
28,28,24.819,126.919,31,47,Chv
29,29,24.992,126.040,32,47,Chv
30,30,24.591,128.096,32,47,Chv
31,31,24.497,128.587,32,47,Chv
32,32,24.478,128.687,32,47,Chv
33,33,24.525,128.440,32,47,Chv
34,34,24.608,128.007,32,47,Chv
35,35,24.735,127.350,32,47,Chv
36,36,24.685,127.608,32,47,Chv
37,37,24.537,128.378,32,47,Chv
38,38,24.605,128.023,32,47,Chv
39,39,24.684,127.613,32,47,Chv
40,40,24.564,128.236,32,47,Chv
41,41,24.683,127.618,32,47,Chv
42,42,24.546,128.330,32,47,Chv
43,43,24.877,126.623,33,47,Chv
44,44,24.869,126.664,32,47,Chv
45,45,24.858,126.720,32,47,Chv
46,46,24.928,126.364,32,47,Chv
47,47,25.034,125.829,32,47,Chv
48,48,26.419,119.232,35,47,Chv
49,49,25.472,123.665,35,47,Chv
50,50,25.56,123.239,35,47,Chv
51,51,25.367,124.177,35,47,Chv
52,52,25.047,125.764,35,47,Chv
53,53,25.384,124.094,35,47,Chv
54,54,25.202,124.990,35,47,Chv
55,55,24.917,126.420,35,47,Chv
56,56,24.757,127.237,35,47,Chv
57,57,24.836,126.832,35,47,Chv
58,58,24.877,126.623,35,47,Chv
59,59,24.922,126.394,35,47,Chv
60,60,25.297,124.521,35,47,Chv
61,61,25.19,125.050,35,47,Chv
62,62,25.309,124.462,35,47,Chv
63,63,24.991,126.045,35,47,Chv
64,64,25.098,125.508,35,47,Chv
65,65,25.434,123.850,35,47,Chv
66,66,25.245,124.777,35,47,Chv
67,67,24.969,126.156,35,47,Chv
68,68,25.003,125.985,35,47,Chv
69,69,25.146,125.268,35,47,Chv
70,70,39.124,80.513,35,47,Chv
71,71,64.141,49.111,35,47,Chv
72,72,56.552,55.701,35,47,Chv
73,73,69.314,45.445,34,47,Chv
74,74,100.976,31.196,36,47,Chv
75,75,68.37,46.073,36,47,Chv
76,76,73.638,42.777,36,47,Chv
77,77,78.557,40.098,36,47,Chv
78,78,42.315,74.442,35,47,Chv
79,79,25.576,123.162,34,47,Chv
80,80,25.145,125.273,34,47,Chv
81,81,24.797,127.031,34,47,Chv
82,82,24.575,128.179,34,47,Chv
83,83,24.741,127.319,34,47,Chv
84,84,24.634,127.872,34,47,Chv
85,85,24.761,127.216,34,47,Chv
86,86,24.723,127.412,34,47,Chv
87,87,24.644,127.820,34,47,Chv
88,88,24.665,127.711,34,47,Chv
89,89,24.819,126.919,34,47,Chv
90,90,24.734,127.355,34,47,Chv
91,91,24.898,126.516,35,47,Chv
92,92,24.663,127.722,35,47,Chv
93,93,24.406,129.067,35,47,Chv
94,94,24.406,129.067,35,47,Chv
95,95,24.474,128.708,35,47,Chv
96,96,24.468,128.740,35,47,Chv
97,97,24.377,129.220,35,47,Chv
98,98,24.514,128.498,35,47,Chv
99,99,24.491,128.619,35,47,Chv
100,100,24.546,128.330,35,47,Chv
101,101,24.453,128.819,35,47,Chv
102,102,24.572,128.195,35,47,Chv
103,103,24.55,128.310,35,47,Chv
104,104,24.551,128.304,35,47,Chv
105,105,24.565,128.231,35,47,Chv
106,106,24.619,127.950,35,47,Chv
107,107,24.556,128.278,35,47,Chv
108,108,24.552,128.299,35,47,Chv
109,109,24.566,128.226,35,47,Chv
110,110,24.815,126.939,35,47,Chv
111,111,24.504,128.550,35,47,Chv
112,112,24.595,128.075,35,47,Chv
113,113,24.558,128.268,35,47,Chv
114,114,24.539,128.367,35,47,Chv
115,115,24.985,126.076,36,47,Chv
116,116,24.749,127.278,36,47,Chv
117,117,24.733,127.360,36,47,Chv
118,118,25.006,125.970,36,47,Chv
119,119,24.94,126.303,36,47,Chv
120,120,25.025,125.874,36,47,Chv
121,121,24.781,127.114,36,47,Chv
122,122,24.999,126.005,36,47,Chv
123,123,24.967,126.167,36,47,Chv
124,124,25.04,125.799,36,47,Chv
125,125,24.805,126.991,36,47,Chv
126,126,24.843,126.796,36,47,Chv
