,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,23,38,Frd
1,1,25.524,123.413,22,38,Frd
2,2,25.038,125.809,22,38,Frd
3,3,24.834,126.842,21,38,Frd
4,4,24.511,128.514,21,38,Frd
5,5,24.41,129.045,21,38,Frd
6,6,24.39,129.151,21,38,Frd
7,7,24.475,128.703,21,38,Frd
8,8,24.502,128.561,21,38,Frd
9,9,24.56,128.257,21,38,Frd
10,10,24.534,128.393,21,38,Frd
11,11,24.558,128.268,21,38,Frd
12,12,24.372,129.247,21,38,Frd
13,13,24.318,129.534,21,38,Frd
14,14,24.403,129.082,21,38,Frd
15,15,24.402,129.088,21,38,Frd
16,16,24.441,128.882,21,38,Frd
17,17,24.391,129.146,21,38,Frd
18,18,24.414,129.024,21,38,Frd
19,19,24.363,129.294,21,38,Frd
20,20,24.324,129.502,21,38,Frd
21,21,24.377,129.220,21,38,Frd
22,22,24.47,128.729,21,38,Frd
23,23,24.75,127.273,22,38,Frd
24,24,24.712,127.468,22,38,Frd
25,25,24.681,127.629,23,38,Frd
26,26,24.411,129.040,23,38,Frd
27,27,24.479,128.682,23,38,Frd
28,28,24.457,128.797,23,38,Frd
29,29,24.339,129.422,23,38,Frd
30,30,24.495,128.598,23,38,Frd
31,31,24.546,128.330,23,38,Frd
32,32,24.434,128.919,23,38,Frd
33,33,24.445,128.861,23,38,Frd
34,34,24.371,129.252,23,38,Frd
35,35,24.406,129.067,23,38,Frd
36,36,24.436,128.908,23,38,Frd
37,37,24.346,129.385,23,38,Frd
38,38,24.544,128.341,23,38,Frd
39,39,24.636,127.862,23,38,Frd
40,40,24.39,129.151,23,38,Frd
41,41,24.432,128.929,23,38,Frd
42,42,24.485,128.650,23,38,Frd
43,43,24.436,128.908,23,38,Frd
44,44,24.425,128.966,23,38,Frd
45,45,24.433,128.924,23,38,Frd
46,46,24.501,128.566,23,38,Frd
47,47,24.48,128.676,23,38,Frd
48,48,24.466,128.750,23,38,Frd
49,49,24.473,128.713,23,38,Frd
50,50,24.458,128.792,23,38,Frd
51,51,24.523,128.451,23,38,Frd
52,52,24.542,128.351,23,38,Frd
53,53,24.669,127.691,23,38,Frd
54,54,24.458,128.792,23,38,Frd
55,55,24.479,128.682,23,38,Frd
56,56,24.539,128.367,23,38,Frd
57,57,24.592,128.090,23,38,Frd
58,58,24.605,128.023,23,38,Frd
59,59,24.579,128.158,23,38,Frd
60,60,24.601,128.044,23,38,Frd
61,61,24.592,128.090,23,38,Frd
62,62,24.696,127.551,23,38,Frd
63,63,24.567,128.221,23,38,Frd
64,64,24.756,127.242,23,38,Frd
65,65,24.819,126.919,23,38,Frd
66,66,24.67,127.685,23,38,Frd
67,67,24.601,128.044,23,38,Frd
68,68,24.664,127.717,23,38,Frd
69,69,24.697,127.546,23,38,Frd
70,70,26.129,120.556,23,38,Frd
71,71,41.646,75.638,23,38,Frd
72,72,64.522,48.821,23,38,Frd
73,73,54.936,57.339,15,38,Frd
74,74,78.06,40.354,13,38,Frd
75,75,66.809,47.149,13,38,Frd
76,76,71.31,44.173,13,38,Frd
77,77,72.506,43.445,13,38,Frd
78,78,74.779,42.124,13,38,Frd
79,79,62.833,50.133,12,38,Frd
80,80,25.828,121.961,13,38,Frd
81,81,24.842,126.801,14,38,Frd
82,82,24.755,127.247,14,38,Frd
83,83,24.659,127.742,15,38,Frd
84,84,24.595,128.075,16,38,Frd
85,85,24.732,127.365,17,38,Frd
86,86,24.676,127.654,19,38,Frd
87,87,24.462,128.771,19,38,Frd
88,88,24.278,129.747,19,38,Frd
89,89,24.456,128.803,19,38,Frd
90,90,24.426,128.961,20,38,Frd
91,91,24.461,128.776,20,38,Frd
92,92,24.467,128.745,20,38,Frd
93,93,24.413,129.030,20,38,Frd
94,94,24.709,127.484,21,38,Frd
95,95,24.525,128.440,21,38,Frd
96,96,24.344,129.395,21,38,Frd
97,97,24.32,129.523,21,38,Frd
98,98,24.341,129.411,21,38,Frd
99,99,24.363,129.294,21,38,Frd
100,100,24.437,128.903,21,38,Frd
101,101,24.398,129.109,21,38,Frd
102,102,24.372,129.247,21,38,Frd
103,103,24.434,128.919,21,38,Frd
104,104,24.355,129.337,21,38,Frd
105,105,24.416,129.014,21,38,Frd
106,106,24.379,129.210,21,38,Frd
107,107,24.408,129.056,21,38,Frd
