,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,18,16,Chv
1,1,76.607,115.133,16,16,Chv
2,2,74.679,118.105,16,16,Chv
3,3,73.967,119.242,16,16,Chv
4,4,74.187,118.889,16,16,Chv
5,5,74.601,118.229,16,16,Chv
6,6,74.132,118.977,16,16,Chv
7,7,74.515,118.365,16,16,Chv
8,8,74.25,118.788,16,16,Chv
9,9,74.592,118.243,16,16,Chv
10,10,74.947,117.683,16,16,Chv
11,11,75.032,117.550,16,16,Chv
12,12,75.23,117.240,16,16,Chv
13,13,75.367,117.027,16,16,Chv
14,14,75.385,116.999,16,16,Chv
15,15,75.891,116.219,15,16,Chv
16,16,76.561,115.202,9,16,Chv
17,17,85.37,103.315,9,16,Chv
18,18,99.667,88.495,24,16,Chv
19,19,75.174,117.328,24,16,Chv
20,20,79.325,111.188,24,16,Chv
21,21,158.646,55.595,24,16,Chv
22,22,190.205,46.371,21,16,Chv
23,23,190.164,46.381,19,16,Chv
24,24,160.446,54.972,18,16,Chv
25,25,77.753,113.436,17,16,Chv
26,26,76.791,114.857,17,16,Chv
27,27,75.905,116.198,16,16,Chv
28,28,75.723,116.477,15,16,Chv
29,29,97.469,90.490,14,16,Chv
30,30,172.111,51.246,13,16,Chv
31,31,179.402,49.163,13,16,Chv
32,32,77.138,114.341,13,16,Chv
33,33,74.671,118.118,13,16,Chv
34,34,74.459,118.454,13,16,Chv
35,35,74.448,118.472,12,16,Chv
36,36,74.935,117.702,8,16,Chv
37,37,74.623,118.194,4,16,Chv
38,38,75.189,117.304,4,16,Chv
39,39,74.344,118.638,4,16,Chv
40,40,75.351,117.052,4,16,Chv
41,41,139.245,63.342,4,16,Chv
42,42,181.857,48.500,6,16,Chv
43,43,213.018,41.405,26,16,Chv
44,44,162.083,54.417,27,16,Chv
45,45,78.78,111.957,24,16,Chv
46,46,75.546,116.750,24,16,Chv
47,47,74.986,117.622,24,16,Chv
48,48,74.741,118.008,24,16,Chv
49,49,74.984,117.625,24,16,Chv
50,50,75.685,116.536,24,16,Chv
51,51,75.093,117.454,24,16,Chv
52,52,76.001,116.051,23,16,Chv
53,53,76.182,115.775,23,16,Chv
54,54,75.856,116.273,19,16,Chv
55,55,76.711,114.977,17,16,Chv
56,56,75.742,116.448,16,16,Chv
57,57,75.316,117.107,12,16,Chv
58,58,75.752,116.433,8,16,Chv
59,59,75.629,116.622,7,16,Chv
60,60,75.302,117.128,7,16,Chv
61,61,75.41,116.961,7,16,Chv
62,62,75.768,116.408,7,16,Chv
63,63,75.449,116.900,4,16,Chv
64,64,85.413,103.263,12,16,Chv
65,65,98.301,89.724,32,16,Chv
66,66,74.49,118.405,31,16,Chv
67,67,74.945,117.686,28,16,Chv
68,68,74.492,118.402,24,16,Chv
69,69,74.386,118.571,22,16,Chv
70,70,74.667,118.124,22,16,Chv
71,71,74.523,118.353,22,16,Chv
72,72,75.516,116.796,21,16,Chv
73,73,76.175,115.786,20,16,Chv
74,74,74.238,118.807,20,16,Chv
75,75,74.707,118.061,19,16,Chv
76,76,75.095,117.451,19,16,Chv
77,77,75.295,117.139,19,16,Chv
78,78,75.06,117.506,18,16,Chv
79,79,75.25,117.209,18,16,Chv
80,80,76.184,115.772,19,16,Chv
81,81,75.556,116.735,17,16,Chv
82,82,74.795,117.922,16,16,Chv
83,83,75.029,117.555,16,16,Chv
84,84,76.059,115.963,13,16,Chv
85,85,75.579,116.699,13,16,Chv
86,86,75.558,116.732,13,16,Chv
87,87,75.442,116.911,13,16,Chv
88,88,75.513,116.801,13,16,Chv
89,89,75.891,116.219,13,16,Chv
90,90,76.517,115.269,11,16,Chv
