,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,13,2,Frd
1,1,76.457,115.359,14,2,Frd
2,2,74.575,118.270,14,2,Frd
3,3,74.098,119.032,14,2,Frd
4,4,74.073,119.072,14,2,Frd
5,5,74.638,118.170,14,2,Frd
6,6,73.959,119.255,14,2,Frd
7,7,74.231,118.818,14,2,Frd
8,8,74.506,118.380,14,2,Frd
9,9,74.463,118.448,14,2,Frd
10,10,74.897,117.762,14,2,Frd
11,11,75.058,117.509,14,2,Frd
12,12,75.319,117.102,14,2,Frd
13,13,75.487,116.841,14,2,Frd
14,14,75.457,116.888,14,2,Frd
15,15,75.804,116.353,13,2,Frd
16,16,85.766,102.838,19,2,Frd
17,17,98.585,89.466,29,2,Frd
18,18,74.796,117.921,19,2,Frd
19,19,74.143,118.959,19,2,Frd
20,20,75.018,117.572,18,2,Frd
21,21,162.278,54.351,18,2,Frd
22,22,189.348,46.581,15,2,Frd
23,23,189.743,46.484,14,2,Frd
24,24,166.291,53.040,14,2,Frd
25,25,77.648,113.590,13,2,Frd
26,26,75.638,116.608,12,2,Frd
27,27,76.089,115.917,11,2,Frd
28,28,76.17,115.794,9,2,Frd
29,29,91.778,96.101,9,2,Frd
30,30,175.946,50.129,8,2,Frd
31,31,181.776,48.521,7,2,Frd
32,32,76.095,115.908,7,2,Frd
33,33,74.16,118.932,7,2,Frd
34,34,74.114,119.006,7,2,Frd
35,35,74.005,119.181,7,2,Frd
36,36,84.326,104.594,22,2,Frd
37,37,97.789,90.194,30,2,Frd
38,38,74.14,118.964,29,2,Frd
39,39,74.231,118.818,29,2,Frd
40,40,84.637,104.210,28,2,Frd
41,41,129.208,68.262,27,2,Frd
42,42,167.525,52.649,24,2,Frd
43,43,190.686,46.254,17,2,Frd
44,44,169.831,51.934,18,2,Frd
45,45,77.822,113.336,15,2,Frd
46,46,75.117,117.417,15,2,Frd
47,47,74.637,118.172,15,2,Frd
48,48,74.921,117.724,15,2,Frd
49,49,75.255,117.202,15,2,Frd
50,50,75.409,116.962,15,2,Frd
51,51,75.321,117.099,15,2,Frd
52,52,76.509,115.281,15,2,Frd
53,53,75.173,117.329,14,2,Frd
54,54,75.158,117.353,11,2,Frd
55,55,76.89,114.709,8,2,Frd
56,56,74.964,117.656,8,2,Frd
57,57,76.72,114.964,6,2,Frd
58,58,76.023,116.018,3,2,Frd
59,59,74.863,117.815,3,2,Frd
60,60,75.684,116.537,4,2,Frd
61,61,75.472,116.865,4,2,Frd
62,62,75.42,116.945,4,2,Frd
63,63,75.832,116.310,2,2,Frd
64,64,75.224,117.250,2,2,Frd
65,65,85.711,102.904,10,2,Frd
66,66,98.576,89.474,29,2,Frd
67,67,74.664,118.129,27,2,Frd
68,68,74.681,118.102,23,2,Frd
69,69,74.506,118.380,21,2,Frd
70,70,74.985,117.624,21,2,Frd
71,71,74.905,117.749,21,2,Frd
72,72,76.811,114.827,22,2,Frd
73,73,76.31,115.581,21,2,Frd
74,74,74.266,118.762,21,2,Frd
75,75,74.572,118.275,20,2,Frd
76,76,75.077,117.479,20,2,Frd
77,77,75.119,117.414,20,2,Frd
78,78,76.45,115.370,22,2,Frd
79,79,75.435,116.922,21,2,Frd
80,80,75.021,117.567,21,2,Frd
81,81,75.685,116.536,20,2,Frd
82,82,75.182,117.315,19,2,Frd
83,83,75.585,116.690,18,2,Frd
84,84,75.354,117.048,16,2,Frd
85,85,76.299,115.598,16,2,Frd
86,86,75.213,117.267,15,2,Frd
87,87,75.188,117.306,15,2,Frd
88,88,75.429,116.931,15,2,Frd
89,89,76.262,115.654,16,2,Frd
90,90,76.54,115.234,16,2,Frd
