,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,12,17,Frd
1,1,76.097,115.905,11,17,Frd
2,2,74.234,118.813,11,17,Frd
3,3,73.877,119.388,11,17,Frd
4,4,74.198,118.871,10,17,Frd
5,5,74.066,119.083,10,17,Frd
6,6,74.028,119.144,10,17,Frd
7,7,74.258,118.775,10,17,Frd
8,8,74.4,118.548,10,17,Frd
9,9,74.553,118.305,10,17,Frd
10,10,74.983,117.627,10,17,Frd
11,11,75.036,117.544,10,17,Frd
12,12,75.287,117.152,10,17,Frd
13,13,75.383,117.003,10,17,Frd
14,14,75.515,116.798,10,17,Frd
15,15,75.791,116.373,10,17,Frd
16,16,76.251,115.671,7,17,Frd
17,17,75.662,116.571,4,17,Frd
18,18,75.689,116.529,2,17,Frd
19,19,75.986,116.074,1,17,Frd
20,20,77.827,113.328,1,17,Frd
21,21,176.081,50.091,1,17,Frd
22,22,192.681,45.775,1,17,Frd
23,23,190.853,46.214,1,17,Frd
24,24,175.372,50.293,2,17,Frd
25,25,77.607,113.650,6,17,Frd
26,26,76.513,115.275,10,17,Frd
27,27,77.681,113.541,13,17,Frd
28,28,76.628,115.102,16,17,Frd
29,29,99.454,88.684,17,17,Frd
30,30,187.961,46.925,32,17,Frd
31,31,163.26,54.024,30,17,Frd
32,32,78.137,112.879,31,17,Frd
33,33,75.992,116.065,29,17,Frd
34,34,75.001,117.598,29,17,Frd
35,35,75.257,117.198,27,17,Frd
36,36,75.08,117.475,20,17,Frd
37,37,74.504,118.383,17,17,Frd
38,38,74.802,117.911,16,17,Frd
39,39,74.514,118.367,15,17,Frd
40,40,76.9,114.694,12,17,Frd
41,41,141.439,62.359,13,17,Frd
42,42,174.683,50.491,12,17,Frd
43,43,193.063,45.685,9,17,Frd
44,44,177.533,49.681,9,17,Frd
45,45,76.845,114.776,10,17,Frd
46,46,75.446,116.905,10,17,Frd
47,47,74.98,117.631,10,17,Frd
48,48,74.96,117.663,10,17,Frd
49,49,75.23,117.240,10,17,Frd
50,50,75.237,117.230,10,17,Frd
51,51,74.8,117.914,9,17,Frd
52,52,75.396,116.982,9,17,Frd
53,53,75.636,116.611,9,17,Frd
54,54,100.531,87.734,36,17,Frd
55,55,82.667,106.693,33,17,Frd
56,56,73.638,119.775,31,17,Frd
57,57,73.776,119.551,30,17,Frd
58,58,74.208,118.855,28,17,Frd
59,59,73.975,119.229,24,17,Frd
60,60,73.761,119.575,22,17,Frd
61,61,74.232,118.817,20,17,Frd
62,62,74.747,117.998,19,17,Frd
63,63,74.064,119.086,18,17,Frd
64,64,75.095,117.451,16,17,Frd
65,65,74.072,119.073,14,17,Frd
66,66,74.386,118.571,11,17,Frd
67,67,74.462,118.450,8,17,Frd
68,68,74.477,118.426,6,17,Frd
69,69,74.398,118.552,4,17,Frd
70,70,74.235,118.812,4,17,Frd
71,71,74.337,118.649,4,17,Frd
72,72,74.487,118.410,4,17,Frd
73,73,74.335,118.652,4,17,Frd
74,74,74.637,118.172,3,17,Frd
75,75,74.98,117.631,2,17,Frd
76,76,74.846,117.842,2,17,Frd
77,77,74.985,117.624,2,17,Frd
78,78,75.292,117.144,2,17,Frd
79,79,75.193,117.298,2,17,Frd
80,80,75.547,116.749,2,17,Frd
81,81,75.539,116.761,2,17,Frd
82,82,75.68,116.543,2,17,Frd
83,83,75.719,116.483,2,17,Frd
84,84,75.837,116.302,2,17,Frd
85,85,75.859,116.268,2,17,Frd
86,86,76.214,115.727,2,17,Frd
87,87,76.364,115.499,2,17,Frd
88,88,76.523,115.259,2,17,Frd
89,89,76.422,115.412,2,17,Frd
90,90,77.39,113.968,3,17,Frd
