,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,22,11,Tyt
1,1,78.42,112.471,28,11,Tyt
2,2,75.328,117.088,28,11,Tyt
3,3,75.662,116.571,29,11,Tyt
4,4,75.914,116.184,30,11,Tyt
5,5,74.846,117.842,30,11,Tyt
6,6,74.469,118.439,29,11,Tyt
7,7,74.677,118.109,29,11,Tyt
8,8,74.718,118.044,29,11,Tyt
9,9,74.949,117.680,29,11,Tyt
10,10,74.965,117.655,29,11,Tyt
11,11,75.211,117.270,29,11,Tyt
12,12,75.22,117.256,29,11,Tyt
13,13,75.566,116.719,29,11,Tyt
14,14,75.647,116.594,29,11,Tyt
15,15,75.927,116.164,27,11,Tyt
16,16,76.277,115.631,21,11,Tyt
17,17,85.179,103.547,14,11,Tyt
18,18,100.01,88.191,33,11,Tyt
19,19,74.993,117.611,33,11,Tyt
20,20,81.519,108.196,32,11,Tyt
21,21,155.426,56.747,32,11,Tyt
22,22,190.122,46.391,29,11,Tyt
23,23,189.532,46.536,26,11,Tyt
24,24,154.862,56.954,26,11,Tyt
25,25,78.128,112.892,26,11,Tyt
26,26,77.262,114.157,27,11,Tyt
27,27,76.212,115.730,27,11,Tyt
28,28,78.104,112.926,27,11,Tyt
29,29,104.765,84.188,27,11,Tyt
30,30,170.624,51.693,26,11,Tyt
31,31,170.977,51.586,29,11,Tyt
32,32,77.61,113.645,26,11,Tyt
33,33,76.405,115.437,28,11,Tyt
34,34,74.958,117.666,28,11,Tyt
35,35,75.2,117.287,26,11,Tyt
36,36,75.073,117.486,19,11,Tyt
37,37,74.528,118.345,16,11,Tyt
38,38,74.851,117.834,15,11,Tyt
39,39,75.37,117.023,16,11,Tyt
40,40,76.662,115.050,14,11,Tyt
41,41,142.741,61.790,14,11,Tyt
42,42,174.412,50.570,13,11,Tyt
43,43,192.771,45.754,10,11,Tyt
44,44,176.653,49.928,10,11,Tyt
45,45,82.613,106.763,35,11,Tyt
46,46,76.493,115.305,34,11,Tyt
47,47,75.76,116.420,34,11,Tyt
48,48,74.885,117.781,34,11,Tyt
49,49,75.254,117.203,34,11,Tyt
50,50,75.55,116.744,33,11,Tyt
51,51,74.864,117.814,33,11,Tyt
52,52,75.318,117.103,32,11,Tyt
53,53,75.854,116.276,32,11,Tyt
54,54,77.119,114.369,28,11,Tyt
55,55,76.821,114.812,25,11,Tyt
56,56,76.924,114.659,23,11,Tyt
57,57,76.151,115.823,21,11,Tyt
58,58,76.808,114.832,18,11,Tyt
59,59,75.959,116.115,16,11,Tyt
60,60,76.379,115.477,16,11,Tyt
61,61,76.877,114.729,16,11,Tyt
62,62,76.546,115.225,16,11,Tyt
63,63,86.908,101.487,27,11,Tyt
64,64,97.571,90.396,38,11,Tyt
65,65,74.68,118.104,37,11,Tyt
66,66,75.03,117.553,36,11,Tyt
67,67,74.578,118.265,34,11,Tyt
68,68,74.585,118.254,34,11,Tyt
69,69,74.683,118.099,34,11,Tyt
70,70,74.734,118.019,33,11,Tyt
71,71,75.244,117.219,32,11,Tyt
72,72,74.922,117.722,32,11,Tyt
73,73,75.872,116.248,33,11,Tyt
74,74,75.592,116.679,32,11,Tyt
75,75,75.322,117.097,31,11,Tyt
76,76,74.674,118.113,31,11,Tyt
77,77,74.833,117.862,31,11,Tyt
78,78,74.651,118.150,31,11,Tyt
79,79,74.799,117.916,31,11,Tyt
80,80,74.758,117.981,31,11,Tyt
81,81,75.516,116.796,30,11,Tyt
82,82,75.821,116.327,29,11,Tyt
83,83,75.274,117.172,29,11,Tyt
84,84,75.53,116.775,28,11,Tyt
85,85,75.283,117.158,28,11,Tyt
86,86,75.791,116.373,28,11,Tyt
87,87,77.172,114.290,28,11,Tyt
88,88,77.356,114.018,26,11,Tyt
89,89,75.381,117.006,26,11,Tyt
90,90,77.86,113.280,25,11,Tyt
