,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,39,66,Frd
1,1,78.513,112.338,39,66,Frd
2,2,76.53,115.249,39,66,Frd
3,3,76.195,115.756,39,66,Frd
4,4,76.292,115.608,39,66,Frd
5,5,76.32,115.566,39,66,Frd
6,6,76.7,114.993,38,66,Frd
7,7,77.09,114.412,38,66,Frd
8,8,77.071,114.440,38,66,Frd
9,9,77.282,114.127,38,66,Frd
10,10,77.429,113.911,38,66,Frd
11,11,77.714,113.493,38,66,Frd
12,12,77.693,113.524,38,66,Frd
13,13,77.922,113.190,38,66,Frd
14,14,78.386,112.520,38,66,Frd
15,15,78.251,112.714,38,66,Frd
16,16,78.627,112.175,38,66,Frd
17,17,79.465,110.992,38,66,Frd
18,18,79.908,110.377,38,66,Frd
19,19,79.134,111.457,38,66,Frd
20,20,81.794,107.832,38,66,Frd
21,21,151.427,58.246,38,66,Frd
22,22,189.715,46.491,37,66,Frd
23,23,192.32,45.861,36,66,Frd
24,24,150.597,58.567,36,66,Frd
25,25,77.033,114.496,36,66,Frd
26,26,76.051,115.975,36,66,Frd
27,27,75.773,116.400,36,66,Frd
28,28,76.969,114.592,34,66,Frd
29,29,108.032,81.642,34,66,Frd
30,30,185.432,47.565,36,66,Frd
31,31,152.253,57.930,36,66,Frd
32,32,78.95,111.716,34,66,Frd
33,33,76.394,115.454,34,66,Frd
34,34,76.452,115.367,34,66,Frd
35,35,76.447,115.374,33,66,Frd
36,36,76.424,115.409,27,66,Frd
37,37,76.637,115.088,22,66,Frd
38,38,76.673,115.034,21,66,Frd
39,39,76.647,115.073,21,66,Frd
40,40,78.366,112.549,20,66,Frd
41,41,136.821,64.464,20,66,Frd
42,42,173.706,50.775,20,66,Frd
43,43,211.61,41.680,34,66,Frd
44,44,153.997,57.274,35,66,Frd
45,45,80.179,110.004,36,66,Frd
46,46,77.308,114.089,36,66,Frd
47,47,75.452,116.896,36,66,Frd
48,48,75.485,116.844,36,66,Frd
49,49,75.727,116.471,36,66,Frd
50,50,75.792,116.371,36,66,Frd
51,51,76.051,115.975,36,66,Frd
52,52,76.465,115.347,36,66,Frd
53,53,76.028,116.010,36,66,Frd
54,54,76.463,115.350,33,66,Frd
55,55,76.433,115.395,29,66,Frd
56,56,76.466,115.345,26,66,Frd
57,57,76.591,115.157,24,66,Frd
58,58,76.315,115.574,21,66,Frd
59,59,76.894,114.703,19,66,Frd
60,60,76.76,114.904,18,66,Frd
61,61,78.649,112.144,22,66,Frd
62,62,78.599,112.215,25,66,Frd
63,63,77.663,113.568,25,66,Frd
64,64,79.303,111.219,28,66,Frd
65,65,79.046,111.581,30,66,Frd
66,66,89.421,98.635,35,66,Frd
67,67,108.909,80.985,37,66,Frd
68,68,76.511,115.278,37,66,Frd
69,69,86.946,101.442,37,66,Frd
70,70,86.569,101.884,37,66,Frd
71,71,80.034,110.203,37,66,Frd
72,72,77.016,114.522,37,66,Frd
73,73,77.359,114.014,37,66,Frd
74,74,77.931,113.177,37,66,Frd
75,75,77.492,113.818,37,66,Frd
76,76,77.074,114.435,37,66,Frd
77,77,77.139,114.339,37,66,Frd
78,78,76.781,114.872,37,66,Frd
79,79,76.585,115.166,37,66,Frd
80,80,76.549,115.220,37,66,Frd
81,81,76.797,114.848,37,66,Frd
82,82,76.757,114.908,37,66,Frd
83,83,76.853,114.765,37,66,Frd
84,84,76.656,115.059,37,66,Frd
85,85,76.838,114.787,37,66,Frd
86,86,77.115,114.375,37,66,Frd
87,87,77.128,114.355,37,66,Frd
88,88,77.328,114.060,37,66,Frd
89,89,77.472,113.848,37,66,Frd
