,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,37,78,Chv
1,1,78.153,112.856,37,78,Chv
2,2,76.29,115.611,37,78,Chv
3,3,74.902,117.754,37,78,Chv
4,4,75.988,116.071,37,78,Chv
5,5,75.435,116.922,37,78,Chv
6,6,75.73,116.466,36,78,Chv
7,7,75.33,117.085,36,78,Chv
8,8,76.154,115.818,36,78,Chv
9,9,75.799,116.360,36,78,Chv
10,10,76.11,115.885,36,78,Chv
11,11,77.281,114.129,36,78,Chv
12,12,77.202,114.246,36,78,Chv
13,13,77.301,114.099,36,78,Chv
14,14,77.43,113.909,36,78,Chv
15,15,77.195,114.256,36,78,Chv
16,16,77.461,113.864,34,78,Chv
17,17,79.161,111.419,27,78,Chv
18,18,80.225,109.941,25,78,Chv
19,19,78.789,111.945,27,78,Chv
20,20,83.547,105.569,31,78,Chv
21,21,156.098,56.503,31,78,Chv
22,22,192.947,45.712,32,78,Chv
23,23,196.823,44.812,35,78,Chv
24,24,151.147,58.354,35,78,Chv
25,25,76.765,114.896,35,78,Chv
26,26,75.804,116.353,35,78,Chv
27,27,75.854,116.276,35,78,Chv
28,28,77.318,114.074,33,78,Chv
29,29,107.756,81.852,33,78,Chv
30,30,166.349,53.021,27,78,Chv
31,31,170.085,51.856,23,78,Chv
32,32,79.816,110.504,33,78,Chv
33,33,76.635,115.091,33,78,Chv
34,34,76.097,115.905,33,78,Chv
35,35,75.931,116.158,31,78,Chv
36,36,75.956,116.120,26,78,Chv
37,37,76.618,115.117,21,78,Chv
38,38,76.836,114.790,20,78,Chv
39,39,76.207,115.737,20,78,Chv
40,40,77.335,114.049,19,78,Chv
41,41,138.409,63.724,19,78,Chv
42,42,175.058,50.383,19,78,Chv
43,43,210.886,41.824,33,78,Chv
44,44,154.785,56.982,31,78,Chv
45,45,79.609,110.791,32,78,Chv
46,46,76.604,115.138,33,78,Chv
47,47,75.591,116.681,33,78,Chv
48,48,75.029,117.555,33,78,Chv
49,49,75.247,117.214,33,78,Chv
50,50,76.367,115.495,35,78,Chv
51,51,76.195,115.756,35,78,Chv
52,52,75.919,116.176,34,78,Chv
53,53,76.856,114.760,35,78,Chv
54,54,76.263,115.652,31,78,Chv
55,55,76.121,115.868,28,78,Chv
56,56,76.996,114.551,25,78,Chv
57,57,77.019,114.517,23,78,Chv
58,58,76.43,115.400,20,78,Chv
59,59,76.645,115.076,18,78,Chv
60,60,76.529,115.250,17,78,Chv
61,61,76.781,114.872,17,78,Chv
62,62,78.171,112.830,20,78,Chv
63,63,78.99,111.660,21,78,Chv
64,64,78.862,111.841,22,78,Chv
65,65,78.835,111.879,24,78,Chv
66,66,81.149,108.689,30,78,Chv
67,67,89.671,98.360,36,78,Chv
68,68,104.422,84.465,36,78,Chv
69,69,75.871,116.250,36,78,Chv
70,70,75.64,116.605,36,78,Chv
71,71,75.138,117.384,36,78,Chv
72,72,74.892,117.770,36,78,Chv
73,73,75.053,117.517,36,78,Chv
74,74,75.103,117.439,36,78,Chv
75,75,75.01,117.584,36,78,Chv
76,76,76.299,115.598,36,78,Chv
77,77,75.505,116.813,36,78,Chv
78,78,75.981,116.082,36,78,Chv
79,79,75.82,116.328,36,78,Chv
80,80,75.697,116.517,36,78,Chv
81,81,77.157,114.312,36,78,Chv
82,82,75.94,116.144,36,78,Chv
83,83,77.997,113.081,36,78,Chv
84,84,76.174,115.788,36,78,Chv
85,85,76.465,115.347,36,78,Chv
86,86,76.848,114.772,36,78,Chv
87,87,77.695,113.521,36,78,Chv
88,88,77.048,114.474,36,78,Chv
89,89,78.132,112.886,36,78,Chv
