,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,21,45,Tyt
1,1,76.65,115.068,20,45,Tyt
2,2,74.68,118.104,19,45,Tyt
3,3,74.269,118.757,19,45,Tyt
4,4,74.232,118.817,19,45,Tyt
5,5,74.411,118.531,19,45,Tyt
6,6,74.47,118.437,19,45,Tyt
7,7,74.726,118.031,19,45,Tyt
8,8,74.775,117.954,19,45,Tyt
9,9,74.908,117.744,19,45,Tyt
10,10,74.684,118.098,19,45,Tyt
11,11,75.114,117.422,19,45,Tyt
12,12,75.561,116.727,19,45,Tyt
13,13,75.59,116.682,19,45,Tyt
14,14,75.703,116.508,19,45,Tyt
15,15,76.068,115.949,18,45,Tyt
16,16,86.542,101.916,28,45,Tyt
17,17,100.208,88.017,35,45,Tyt
18,18,75.719,116.483,28,45,Tyt
19,19,75.807,116.348,26,45,Tyt
20,20,77.699,113.515,26,45,Tyt
21,21,157.497,56.001,26,45,Tyt
22,22,190.78,46.231,23,45,Tyt
23,23,189.856,46.456,21,45,Tyt
24,24,159.006,55.470,22,45,Tyt
25,25,77.877,113.256,22,45,Tyt
26,26,76.913,114.675,21,45,Tyt
27,27,76.222,115.715,20,45,Tyt
28,28,76.117,115.874,20,45,Tyt
29,29,100.388,87.859,20,45,Tyt
30,30,172.764,51.052,20,45,Tyt
31,31,176.67,49.924,31,45,Tyt
32,32,77.719,113.486,29,45,Tyt
33,33,76.496,115.300,30,45,Tyt
34,34,75.082,117.472,30,45,Tyt
35,35,75.09,117.459,28,45,Tyt
36,36,75.111,117.426,21,45,Tyt
37,37,74.644,118.161,18,45,Tyt
38,38,74.844,117.845,17,45,Tyt
39,39,75.083,117.470,17,45,Tyt
40,40,76.657,115.058,15,45,Tyt
41,41,143.188,61.597,15,45,Tyt
42,42,174.753,50.471,14,45,Tyt
43,43,192.863,45.732,11,45,Tyt
44,44,175.574,50.235,12,45,Tyt
45,45,77.214,114.228,11,45,Tyt
46,46,74.929,117.711,11,45,Tyt
47,47,75.023,117.564,11,45,Tyt
48,48,75.45,116.899,12,45,Tyt
49,49,75.037,117.542,12,45,Tyt
50,50,75.28,117.163,12,45,Tyt
51,51,75.538,116.762,12,45,Tyt
52,52,75.577,116.702,11,45,Tyt
53,53,75.814,116.337,12,45,Tyt
54,54,86.386,102.100,32,45,Tyt
55,55,97.618,90.352,36,45,Tyt
56,56,74.174,118.910,34,45,Tyt
57,57,74.051,119.107,32,45,Tyt
58,58,74.256,118.778,30,45,Tyt
59,59,74.214,118.846,26,45,Tyt
60,60,74.205,118.860,25,45,Tyt
61,61,74.484,118.415,25,45,Tyt
62,62,74.875,117.796,24,45,Tyt
63,63,75.494,116.830,20,45,Tyt
64,64,74.335,118.652,18,45,Tyt
65,65,74.371,118.595,16,45,Tyt
66,66,74.552,118.307,13,45,Tyt
67,67,74.493,118.400,11,45,Tyt
68,68,74.519,118.359,9,45,Tyt
69,69,75.289,117.149,8,45,Tyt
70,70,74.668,118.123,8,45,Tyt
71,71,74.753,117.989,8,45,Tyt
72,72,74.953,117.674,8,45,Tyt
73,73,75.064,117.500,8,45,Tyt
74,74,74.82,117.883,8,45,Tyt
75,75,75.183,117.314,7,45,Tyt
76,76,75.089,117.461,7,45,Tyt
77,77,75.388,116.995,7,45,Tyt
78,78,75.517,116.795,7,45,Tyt
79,79,75.919,116.176,7,45,Tyt
80,80,75.889,116.222,7,45,Tyt
81,81,76.078,115.934,7,45,Tyt
82,82,76.217,115.722,7,45,Tyt
83,83,76.04,115.992,7,45,Tyt
84,84,77.342,114.039,9,45,Tyt
85,85,76.641,115.082,9,45,Tyt
86,86,76.893,114.705,9,45,Tyt
87,87,76.942,114.632,9,45,Tyt
88,88,77.161,114.306,9,45,Tyt
89,89,76.846,114.775,9,45,Tyt
90,90,77.438,113.898,9,45,Tyt
