,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,33,38,Frd
1,1,77.661,113.571,32,38,Frd
2,2,75.415,116.953,32,38,Frd
3,3,75.158,117.353,32,38,Frd
4,4,75.917,116.180,32,38,Frd
5,5,74.82,117.883,32,38,Frd
6,6,74.814,117.892,31,38,Frd
7,7,74.777,117.951,31,38,Frd
8,8,74.738,118.012,31,38,Frd
9,9,75.013,117.580,31,38,Frd
10,10,74.992,117.613,31,38,Frd
11,11,75.489,116.838,31,38,Frd
12,12,75.465,116.875,31,38,Frd
13,13,75.423,116.940,31,38,Frd
14,14,75.793,116.370,31,38,Frd
15,15,75.903,116.201,29,38,Frd
16,16,76.068,115.949,24,38,Frd
17,17,87.352,100.971,19,38,Frd
18,18,98.709,89.354,35,38,Frd
19,19,74.908,117.744,35,38,Frd
20,20,83.636,105.457,35,38,Frd
21,21,154.231,57.187,35,38,Frd
22,22,188.921,46.686,31,38,Frd
23,23,189.557,46.530,28,38,Frd
24,24,153.125,57.600,27,38,Frd
25,25,78.151,112.858,27,38,Frd
26,26,76.721,114.962,26,38,Frd
27,27,76.325,115.558,26,38,Frd
28,28,78.187,112.806,26,38,Frd
29,29,103.527,85.195,26,38,Frd
30,30,167.313,52.716,22,38,Frd
31,31,174.208,50.629,19,38,Frd
32,32,78.247,112.720,20,38,Frd
33,33,75.411,116.959,20,38,Frd
34,34,74.712,118.053,20,38,Frd
35,35,74.713,118.052,18,38,Frd
36,36,85.167,103.561,28,38,Frd
37,37,97.744,90.236,36,38,Frd
38,38,75.45,116.899,36,38,Frd
39,39,76.12,115.870,36,38,Frd
40,40,88.202,99.998,36,38,Frd
41,41,129.254,68.238,36,38,Frd
42,42,159.41,55.329,32,38,Frd
43,43,191.792,45.987,24,38,Frd
44,44,163.895,53.815,24,38,Frd
45,45,80.725,109.260,31,38,Frd
46,46,76.035,115.999,30,38,Frd
47,47,74.789,117.932,30,38,Frd
48,48,75.041,117.536,30,38,Frd
49,49,74.8,117.914,30,38,Frd
50,50,75.293,117.142,30,38,Frd
51,51,75.331,117.083,30,38,Frd
52,52,76.016,116.028,30,38,Frd
53,53,76.211,115.731,30,38,Frd
54,54,76.961,114.604,26,38,Frd
55,55,75.542,116.756,23,38,Frd
56,56,75.825,116.320,19,38,Frd
57,57,75.597,116.671,16,38,Frd
58,58,76.089,115.917,13,38,Frd
59,59,75.599,116.668,11,38,Frd
60,60,75.559,116.730,11,38,Frd
61,61,75.551,116.742,11,38,Frd
62,62,75.759,116.422,11,38,Frd
63,63,75.869,116.253,10,38,Frd
64,64,76.117,115.874,8,38,Frd
65,65,76.328,115.554,7,38,Frd
66,66,76.847,114.774,7,38,Frd
67,67,86.351,102.141,13,38,Frd
68,68,97.463,90.496,31,38,Frd
69,69,74.911,117.740,31,38,Frd
70,70,74.325,118.668,30,38,Frd
71,71,74.865,117.812,29,38,Frd
72,72,74.082,119.057,29,38,Frd
73,73,74.185,118.892,29,38,Frd
74,74,74.769,117.963,28,38,Frd
75,75,75.003,117.595,28,38,Frd
76,76,74.59,118.246,28,38,Frd
77,77,75.189,117.304,28,38,Frd
78,78,74.709,118.058,26,38,Frd
79,79,74.426,118.507,26,38,Frd
80,80,74.881,117.787,26,38,Frd
81,81,75.315,117.108,25,38,Frd
82,82,75.646,116.596,23,38,Frd
83,83,75.867,116.256,22,38,Frd
84,84,75.541,116.758,21,38,Frd
85,85,75.576,116.704,19,38,Frd
86,86,75.303,117.127,19,38,Frd
87,87,75.931,116.158,17,38,Frd
88,88,75.438,116.917,17,38,Frd
89,89,75.753,116.431,17,38,Frd
90,90,77.516,113.783,17,38,Frd
