,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,9,48,Chv
1,1,23.692,113.963,10,48,Chv
2,2,23.27,116.029,9,48,Chv
3,3,23.421,115.281,9,48,Chv
4,4,23.444,115.168,9,48,Chv
5,5,23.803,113.431,9,48,Chv
6,6,23.825,113.326,9,48,Chv
7,7,24.189,111.621,9,48,Chv
8,8,24.084,112.108,9,48,Chv
9,9,24.215,111.501,9,48,Chv
10,10,24.349,110.888,9,48,Chv
11,11,24.412,110.601,9,48,Chv
12,12,24.418,110.574,9,48,Chv
13,13,24.495,110.227,9,48,Chv
14,14,24.767,109.016,9,48,Chv
15,15,24.721,109.219,9,48,Chv
16,16,24.719,109.228,9,48,Chv
17,17,24.769,109.007,9,48,Chv
18,18,24.871,108.560,9,48,Chv
19,19,24.789,108.919,9,48,Chv
20,20,24.878,108.530,9,48,Chv
21,21,25.029,107.875,9,48,Chv
22,22,24.999,108.004,9,48,Chv
23,23,25.042,107.819,9,48,Chv
24,24,24.949,108.221,9,48,Chv
25,25,24.997,108.013,9,48,Chv
26,26,24.973,108.117,9,48,Chv
27,27,25.229,107.020,9,48,Chv
28,28,25.151,107.352,10,48,Chv
29,29,25.282,106.795,10,48,Chv
30,30,25.358,106.475,10,48,Chv
31,31,25.151,107.352,10,48,Chv
32,32,25.213,107.088,10,48,Chv
33,33,25.461,106.045,10,48,Chv
34,34,25.317,106.648,10,48,Chv
35,35,25.265,106.867,7,48,Chv
36,36,25.2,107.143,5,48,Chv
37,37,25.23,107.015,4,48,Chv
38,38,25.053,107.772,4,48,Chv
39,39,25.168,107.279,4,48,Chv
40,40,25.12,107.484,4,48,Chv
41,41,25.247,106.943,4,48,Chv
42,42,25.233,107.003,3,48,Chv
43,43,25.312,106.669,3,48,Chv
44,44,25.234,106.998,3,48,Chv
45,45,25.433,106.161,3,48,Chv
46,46,25.627,105.358,3,48,Chv
47,47,25.748,104.863,3,48,Chv
48,48,25.655,105.243,3,48,Chv
49,49,25.725,104.956,3,48,Chv
50,50,25.923,104.155,3,48,Chv
51,51,25.64,105.304,3,48,Chv
52,52,25.707,105.030,3,48,Chv
53,53,25.877,104.340,5,48,Chv
54,54,25.717,104.989,5,48,Chv
55,55,25.969,103.970,6,48,Chv
56,56,25.891,104.283,8,48,Chv
57,57,25.656,105.239,8,48,Chv
58,58,25.723,104.964,8,48,Chv
59,59,26.053,103.635,10,48,Chv
60,60,25.787,104.704,10,48,Chv
61,61,26.11,103.409,11,48,Chv
62,62,26.368,102.397,14,48,Chv
63,63,26.047,103.659,14,48,Chv
64,64,26.014,103.790,15,48,Chv
65,65,26.031,103.722,15,48,Chv
66,66,26.089,103.492,16,48,Chv
67,67,25.982,103.918,16,48,Chv
68,68,25.931,104.122,17,48,Chv
69,69,25.756,104.830,17,48,Chv
70,70,26.389,102.315,17,48,Chv
71,71,35.795,75.430,17,48,Chv
72,72,44.447,60.747,17,48,Chv
73,73,61.933,43.595,17,48,Chv
74,74,47.579,56.748,9,48,Chv
75,75,68.068,39.666,15,48,Chv
76,76,57.285,47.133,14,48,Chv
77,77,58.073,46.493,14,48,Chv
78,78,59.629,45.280,13,48,Chv
79,79,51.565,52.361,13,48,Chv
80,80,23.774,113.569,13,48,Chv
81,81,23.454,115.119,13,48,Chv
82,82,23.741,113.727,12,48,Chv
83,83,23.725,113.804,11,48,Chv
84,84,23.627,114.276,11,48,Chv
85,85,24.098,112.042,11,48,Chv
86,86,24.281,111.198,11,48,Chv
87,87,24.124,111.922,11,48,Chv
88,88,24.356,110.856,11,48,Chv
89,89,24.425,110.542,11,48,Chv
90,90,24.586,109.819,11,48,Chv
91,91,24.52,110.114,11,48,Chv
92,92,24.513,110.146,11,48,Chv
93,93,24.602,109.747,11,48,Chv
94,94,24.699,109.316,11,48,Chv
95,95,24.712,109.259,11,48,Chv
96,96,24.706,109.285,11,48,Chv
97,97,24.807,108.840,11,48,Chv
98,98,24.818,108.792,11,48,Chv
99,99,24.881,108.517,11,48,Chv
100,100,24.888,108.486,11,48,Chv
101,101,25.121,107.480,11,48,Chv
102,102,25.04,107.827,11,48,Chv
103,103,25.34,106.551,12,48,Chv
104,104,25.144,107.381,12,48,Chv
105,105,25.119,107.488,12,48,Chv
106,106,24.982,108.078,13,48,Chv
107,107,24.857,108.621,13,48,Chv
108,108,24.886,108.495,12,48,Chv
109,109,25.015,107.935,12,48,Chv
110,110,25.061,107.737,12,48,Chv
111,111,25.006,107.974,12,48,Chv
112,112,25.138,107.407,13,48,Chv
113,113,25.432,106.165,13,48,Chv
114,114,25.267,106.859,13,48,Chv
115,115,25.251,106.926,13,48,Chv
116,116,25.194,107.168,13,48,Chv
117,117,25.16,107.313,13,48,Chv
118,118,25.18,107.228,13,48,Chv
119,119,25.136,107.416,13,48,Chv
120,120,25.387,106.354,13,48,Chv
121,121,25.272,106.838,13,48,Chv
122,122,25.511,105.837,13,48,Chv
123,123,32.552,82.944,16,48,Chv
124,124,46.553,57.998,29,48,Chv
125,125,23.311,115.825,25,48,Chv
126,126,23.501,114.889,21,48,Chv
127,127,23.594,114.436,19,48,Chv
128,128,23.485,114.967,15,48,Chv
129,129,23.71,113.876,14,48,Chv
130,130,23.83,113.303,11,48,Chv
131,131,23.874,113.094,10,48,Chv
132,132,24.025,112.383,10,48,Chv
133,133,24.029,112.364,10,48,Chv
134,134,24.384,110.728,10,48,Chv
135,135,24.437,110.488,10,48,Chv
136,136,24.524,110.096,11,48,Chv
137,137,24.793,108.902,12,48,Chv
138,138,24.89,108.477,14,48,Chv
139,139,24.815,108.805,14,48,Chv
140,140,24.819,108.788,14,48,Chv
141,141,24.764,109.029,13,48,Chv
142,142,25.05,107.784,14,48,Chv
143,143,25.189,107.190,15,48,Chv
144,144,25.294,106.745,16,48,Chv
145,145,25.073,107.686,16,48,Chv
146,146,25.053,107.772,16,48,Chv
147,147,25.009,107.961,16,48,Chv
148,148,25.054,107.767,16,48,Chv
149,149,25.128,107.450,16,48,Chv
150,150,25.166,107.288,16,48,Chv
151,151,25.113,107.514,16,48,Chv
152,152,25.072,107.690,16,48,Chv
153,153,25.165,107.292,16,48,Chv
154,154,25.392,106.333,16,48,Chv
155,155,25.291,106.757,16,48,Chv
156,156,25.16,107.313,15,48,Chv
157,157,25.398,106.308,15,48,Chv
158,158,25.435,106.153,15,48,Chv
159,159,25.518,105.808,16,48,Chv
160,160,25.481,105.961,16,48,Chv
161,161,25.547,105.688,16,48,Chv
162,162,25.501,105.878,16,48,Chv
163,163,25.476,105.982,16,48,Chv
164,164,25.432,106.165,16,48,Chv
165,165,25.318,106.643,16,48,Chv
166,166,25.401,106.295,16,48,Chv
167,167,25.696,105.075,17,48,Chv
168,168,25.781,104.728,17,48,Chv
169,169,25.664,105.206,17,48,Chv
170,170,25.598,105.477,17,48,Chv
171,171,25.439,106.136,17,48,Chv
172,172,25.489,105.928,17,48,Chv
173,173,32.493,83.095,21,48,Chv
174,174,46.801,57.691,32,48,Chv
175,175,23.677,114.035,31,48,Chv
176,176,23.478,115.001,29,48,Chv
177,177,23.585,114.480,22,48,Chv
178,178,23.527,114.762,19,48,Chv
179,179,23.669,114.073,16,48,Chv
180,180,26.919,100.301,16,48,Chv
