,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,11,3,Chv
1,1,23.811,113.393,13,3,Chv
2,2,23.254,116.109,12,3,Chv
3,3,23.602,114.397,12,3,Chv
4,4,23.604,114.387,11,3,Chv
5,5,24.37,110.792,15,3,Chv
6,6,24.182,111.653,15,3,Chv
7,7,24.129,111.899,15,3,Chv
8,8,24.016,112.425,14,3,Chv
9,9,24.19,111.616,14,3,Chv
10,10,24.349,110.888,14,3,Chv
11,11,24.422,110.556,14,3,Chv
12,12,24.471,110.335,14,3,Chv
13,13,24.8,108.871,14,3,Chv
14,14,25.112,107.518,15,3,Chv
15,15,24.78,108.959,15,3,Chv
16,16,24.875,108.543,15,3,Chv
17,17,24.851,108.648,15,3,Chv
18,18,24.948,108.225,15,3,Chv
19,19,25.077,107.668,15,3,Chv
20,20,24.952,108.208,15,3,Chv
21,21,24.906,108.408,14,3,Chv
22,22,24.824,108.766,14,3,Chv
23,23,24.961,108.169,14,3,Chv
24,24,24.997,108.013,14,3,Chv
25,25,24.971,108.125,14,3,Chv
26,26,24.999,108.004,14,3,Chv
27,27,25.064,107.724,14,3,Chv
28,28,25.072,107.690,14,3,Chv
29,29,25.094,107.595,14,3,Chv
30,30,25.146,107.373,14,3,Chv
31,31,25.291,106.757,14,3,Chv
32,32,25.294,106.745,14,3,Chv
33,33,25.236,106.990,14,3,Chv
34,34,25.23,107.015,14,3,Chv
35,35,46.266,58.358,28,3,Chv
36,36,33.422,80.785,26,3,Chv
37,37,23.489,114.947,22,3,Chv
38,38,23.507,114.859,18,3,Chv
39,39,23.65,114.165,16,3,Chv
40,40,23.828,113.312,14,3,Chv
41,41,23.649,114.170,14,3,Chv
42,42,23.69,113.972,14,3,Chv
43,43,23.995,112.523,13,3,Chv
44,44,24.008,112.463,13,3,Chv
45,45,23.921,112.872,12,3,Chv
46,46,23.908,112.933,12,3,Chv
47,47,24.074,112.154,12,3,Chv
48,48,24.146,111.820,12,3,Chv
49,49,24.089,112.084,12,3,Chv
50,50,24.236,111.405,12,3,Chv
51,51,24.34,110.929,12,3,Chv
52,52,24.41,110.610,11,3,Chv
53,53,24.508,110.168,11,3,Chv
54,54,24.586,109.819,10,3,Chv
55,55,24.594,109.783,10,3,Chv
56,56,24.718,109.232,9,3,Chv
57,57,24.763,109.034,9,3,Chv
58,58,24.933,108.290,9,3,Chv
59,59,24.821,108.779,8,3,Chv
60,60,24.87,108.565,8,3,Chv
61,61,24.82,108.783,8,3,Chv
62,62,24.954,108.199,7,3,Chv
63,63,25.158,107.322,6,3,Chv
64,64,24.986,108.061,5,3,Chv
65,65,25.054,107.767,4,3,Chv
66,66,24.976,108.104,4,3,Chv
67,67,25.072,107.690,4,3,Chv
68,68,25.059,107.746,4,3,Chv
69,69,25.151,107.352,4,3,Chv
70,70,25.501,105.878,4,3,Chv
71,71,32.952,81.937,4,3,Chv
72,72,48.989,55.114,4,3,Chv
73,73,60.45,44.665,4,3,Chv
74,74,70.554,38.269,24,3,Chv
75,75,52.492,51.436,10,3,Chv
76,76,57.701,46.793,9,3,Chv
77,77,57.705,46.790,9,3,Chv
78,78,58.593,46.081,8,3,Chv
79,79,56.516,47.774,8,3,Chv
80,80,23.788,113.503,9,3,Chv
81,81,23.426,115.257,9,3,Chv
82,82,23.564,114.582,9,3,Chv
83,83,23.601,114.402,9,3,Chv
84,84,23.985,112.570,9,3,Chv
85,85,24.077,112.140,9,3,Chv
86,86,24.134,111.875,9,3,Chv
87,87,24.212,111.515,9,3,Chv
88,88,24.338,110.938,9,3,Chv
89,89,24.361,110.833,9,3,Chv
90,90,24.379,110.751,9,3,Chv
91,91,24.33,110.974,9,3,Chv
92,92,24.387,110.715,9,3,Chv
93,93,24.389,110.706,9,3,Chv
94,94,24.592,109.792,9,3,Chv
95,95,24.712,109.259,9,3,Chv
96,96,24.799,108.875,9,3,Chv
97,97,24.776,108.976,9,3,Chv
98,98,24.694,109.338,9,3,Chv
99,99,24.836,108.713,9,3,Chv
100,100,24.875,108.543,9,3,Chv
101,101,24.836,108.713,9,3,Chv
102,102,24.866,108.582,9,3,Chv
103,103,24.931,108.299,9,3,Chv
104,104,24.928,108.312,9,3,Chv
105,105,24.976,108.104,9,3,Chv
106,106,24.964,108.156,9,3,Chv
107,107,25.134,107.424,9,3,Chv
108,108,25.161,107.309,9,3,Chv
109,109,25.074,107.681,9,3,Chv
110,110,25.049,107.789,9,3,Chv
111,111,25.143,107.386,9,3,Chv
112,112,24.997,108.013,9,3,Chv
113,113,25.007,107.970,9,3,Chv
114,114,25.071,107.694,9,3,Chv
115,115,25.113,107.514,9,3,Chv
116,116,25.208,107.109,9,3,Chv
117,117,25.201,107.139,9,3,Chv
118,118,25.211,107.096,9,3,Chv
119,119,25.233,107.003,9,3,Chv
120,120,25.272,106.838,9,3,Chv
121,121,25.334,106.576,9,3,Chv
122,122,25.321,106.631,9,3,Chv
123,123,45.083,59.890,25,3,Chv
124,124,33.282,81.125,24,3,Chv
125,125,23.379,115.488,19,3,Chv
126,126,23.449,115.144,14,3,Chv
127,127,23.375,115.508,12,3,Chv
128,128,23.439,115.193,8,3,Chv
129,129,23.661,114.112,6,3,Chv
130,130,23.641,114.208,4,3,Chv
131,131,23.977,112.608,2,3,Chv
132,132,24.027,112.374,2,3,Chv
133,133,23.959,112.693,1,3,Chv
134,134,23.969,112.646,1,3,Chv
135,135,24.093,112.066,1,3,Chv
136,136,24.239,111.391,1,3,Chv
137,137,24.326,110.992,1,3,Chv
138,138,24.284,111.184,1,3,Chv
139,139,24.612,109.703,2,3,Chv
140,140,24.564,109.917,2,3,Chv
141,141,24.515,110.137,2,3,Chv
142,142,24.746,109.109,3,3,Chv
143,143,24.709,109.272,3,3,Chv
144,144,24.719,109.228,3,3,Chv
145,145,24.906,108.408,3,3,Chv
146,146,24.831,108.735,3,3,Chv
147,147,24.886,108.495,3,3,Chv
148,148,24.948,108.225,3,3,Chv
149,149,25.062,107.733,3,3,Chv
150,150,25.182,107.219,3,3,Chv
151,151,25.084,107.638,3,3,Chv
152,152,24.981,108.082,3,3,Chv
153,153,24.996,108.017,3,3,Chv
154,154,25.398,106.308,5,3,Chv
155,155,25.302,106.711,5,3,Chv
156,156,25.264,106.871,5,3,Chv
157,157,25.285,106.783,5,3,Chv
158,158,25.252,106.922,5,3,Chv
159,159,25.269,106.850,5,3,Chv
160,160,25.895,104.267,7,3,Chv
161,161,25.66,105.222,7,3,Chv
162,162,25.479,105.970,7,3,Chv
163,163,25.497,105.895,8,3,Chv
164,164,25.508,105.849,8,3,Chv
165,165,25.664,105.206,8,3,Chv
166,166,25.59,105.510,8,3,Chv
167,167,25.633,105.333,8,3,Chv
168,168,25.616,105.403,8,3,Chv
169,169,25.515,105.820,8,3,Chv
170,170,25.722,104.969,8,3,Chv
171,171,25.653,105.251,8,3,Chv
172,172,25.698,105.067,8,3,Chv
173,173,25.793,104.680,9,3,Chv
174,174,25.839,104.493,8,3,Chv
175,175,45.994,58.703,23,3,Chv
176,176,33.65,80.238,24,3,Chv
177,177,23.346,115.652,17,3,Chv
178,178,23.243,116.164,14,3,Chv
179,179,23.298,115.890,11,3,Chv
180,180,25.505,105.862,10,3,Chv
181,181,39.257,68.778,11,3,Chv
182,182,48.044,56.198,11,3,Chv
183,183,56.698,47.621,10,3,Chv
184,184,51.49,52.437,7,3,Chv
185,185,58.494,46.159,6,3,Chv
186,186,57.53,46.932,6,3,Chv
187,187,56.498,47.789,6,3,Chv
188,188,56.528,47.764,5,3,Chv
189,189,24.022,112.397,5,3,Chv
