,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,21,99,Chv
1,1,23.776,113.560,22,99,Chv
2,2,23.49,114.943,22,99,Chv
3,3,23.622,114.300,22,99,Chv
4,4,23.754,113.665,22,99,Chv
5,5,23.852,113.198,22,99,Chv
6,6,24.098,112.042,22,99,Chv
7,7,24.163,111.741,20,99,Chv
8,8,24.181,111.658,20,99,Chv
9,9,24.35,110.883,20,99,Chv
10,10,24.497,110.218,19,99,Chv
11,11,24.429,110.524,18,99,Chv
12,12,24.491,110.245,17,99,Chv
13,13,24.707,109.281,17,99,Chv
14,14,24.441,110.470,17,99,Chv
15,15,24.647,109.547,17,99,Chv
16,16,24.783,108.946,17,99,Chv
17,17,24.885,108.499,17,99,Chv
18,18,24.925,108.325,17,99,Chv
19,19,24.988,108.052,17,99,Chv
20,20,25.039,107.832,17,99,Chv
21,21,25.087,107.625,17,99,Chv
22,22,25.036,107.845,16,99,Chv
23,23,24.83,108.739,15,99,Chv
24,24,24.972,108.121,15,99,Chv
25,25,24.995,108.022,15,99,Chv
26,26,24.974,108.112,15,99,Chv
27,27,24.994,108.026,15,99,Chv
28,28,25.061,107.737,15,99,Chv
29,29,25.094,107.595,15,99,Chv
30,30,25.119,107.488,15,99,Chv
31,31,25.195,107.164,15,99,Chv
32,32,25.268,106.855,15,99,Chv
33,33,25.217,107.071,15,99,Chv
34,34,25.342,106.542,15,99,Chv
35,35,25.352,106.500,11,99,Chv
36,36,25.295,106.740,9,99,Chv
37,37,25.163,107.300,6,99,Chv
38,38,25.205,107.122,6,99,Chv
39,39,31.979,84.430,8,99,Chv
40,40,46.061,58.618,20,99,Chv
41,41,23.808,113.407,20,99,Chv
42,42,23.664,114.097,20,99,Chv
43,43,23.777,113.555,19,99,Chv
44,44,23.748,113.694,18,99,Chv
45,45,23.731,113.775,18,99,Chv
46,46,23.859,113.165,18,99,Chv
47,47,23.934,112.810,18,99,Chv
48,48,23.962,112.678,18,99,Chv
49,49,24.051,112.261,18,99,Chv
50,50,24.149,111.806,18,99,Chv
51,51,24.313,111.052,18,99,Chv
52,52,24.429,110.524,17,99,Chv
53,53,24.466,110.357,17,99,Chv
54,54,24.442,110.466,16,99,Chv
55,55,24.605,109.734,15,99,Chv
56,56,24.561,109.930,15,99,Chv
57,57,24.679,109.405,15,99,Chv
58,58,24.762,109.038,14,99,Chv
59,59,24.995,108.022,15,99,Chv
60,60,25.032,107.862,14,99,Chv
61,61,24.917,108.360,14,99,Chv
62,62,25.149,107.360,13,99,Chv
63,63,24.988,108.052,13,99,Chv
64,64,25.012,107.948,13,99,Chv
65,65,24.984,108.069,13,99,Chv
66,66,25.079,107.660,12,99,Chv
67,67,25.049,107.789,11,99,Chv
68,68,25.045,107.806,11,99,Chv
69,69,25.033,107.858,11,99,Chv
70,70,25.177,107.241,10,99,Chv
71,71,36.964,73.044,10,99,Chv
72,72,46.113,58.552,10,99,Chv
73,73,61.268,44.069,10,99,Chv
74,74,51.402,52.527,5,99,Chv
75,75,62.826,42.976,7,99,Chv
76,76,58.482,46.168,6,99,Chv
77,77,58.061,46.503,6,99,Chv
78,78,58.509,46.147,6,99,Chv
79,79,58.474,46.174,6,99,Chv
80,80,23.78,113.541,6,99,Chv
81,81,23.232,116.219,6,99,Chv
82,82,23.412,115.325,6,99,Chv
83,83,23.709,113.881,7,99,Chv
84,84,23.977,112.608,7,99,Chv
85,85,24.013,112.439,7,99,Chv
86,86,24.18,111.663,7,99,Chv
87,87,24.08,112.126,7,99,Chv
88,88,24.135,111.871,7,99,Chv
89,89,24.271,111.244,7,99,Chv
90,90,24.22,111.478,7,99,Chv
91,91,24.276,111.221,7,99,Chv
92,92,24.399,110.660,7,99,Chv
93,93,24.51,110.159,7,99,Chv
94,94,24.739,109.139,7,99,Chv
95,95,24.83,108.739,7,99,Chv
96,96,24.616,109.685,7,99,Chv
97,97,24.735,109.157,7,99,Chv
98,98,24.735,109.157,7,99,Chv
99,99,24.841,108.691,7,99,Chv
100,100,24.865,108.586,7,99,Chv
101,101,24.766,109.020,7,99,Chv
