,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,4,11,Tyt
1,1,23.554,114.630,4,11,Tyt
2,2,23.166,116.550,4,11,Tyt
3,3,23.331,115.726,4,11,Tyt
4,4,23.387,115.449,4,11,Tyt
5,5,23.646,114.184,4,11,Tyt
6,6,23.614,114.339,4,11,Tyt
7,7,23.856,113.179,4,11,Tyt
8,8,24.055,112.243,4,11,Tyt
9,9,24.226,111.451,4,11,Tyt
10,10,24.318,111.029,4,11,Tyt
11,11,24.305,111.088,4,11,Tyt
12,12,24.305,111.088,4,11,Tyt
13,13,24.519,110.119,4,11,Tyt
14,14,24.495,110.227,4,11,Tyt
15,15,24.528,110.078,4,11,Tyt
16,16,24.55,109.980,4,11,Tyt
17,17,24.675,109.422,4,11,Tyt
18,18,24.764,109.029,4,11,Tyt
19,19,24.852,108.643,4,11,Tyt
20,20,24.792,108.906,4,11,Tyt
21,21,24.872,108.556,4,11,Tyt
22,22,24.765,109.025,4,11,Tyt
23,23,24.809,108.831,4,11,Tyt
24,24,24.854,108.634,4,11,Tyt
25,25,24.921,108.342,4,11,Tyt
26,26,24.929,108.308,4,11,Tyt
27,27,24.917,108.360,4,11,Tyt
28,28,24.924,108.329,4,11,Tyt
29,29,24.997,108.013,3,11,Tyt
30,30,24.944,108.242,3,11,Tyt
31,31,25.001,107.996,3,11,Tyt
32,32,24.932,108.295,3,11,Tyt
33,33,24.997,108.013,3,11,Tyt
34,34,25.127,107.454,2,11,Tyt
35,35,45.569,59.251,24,11,Tyt
36,36,34.49,78.284,22,11,Tyt
37,37,23.73,113.780,15,11,Tyt
38,38,23.652,114.155,12,11,Tyt
39,39,23.5,114.894,10,11,Tyt
40,40,23.504,114.874,8,11,Tyt
41,41,23.432,115.227,8,11,Tyt
42,42,23.477,115.006,8,11,Tyt
43,43,23.634,114.242,7,11,Tyt
44,44,23.751,113.679,7,11,Tyt
45,45,23.894,112.999,7,11,Tyt
46,46,24.147,111.815,6,11,Tyt
47,47,24.081,112.122,6,11,Tyt
48,48,24.261,111.290,5,11,Tyt
49,49,24.382,110.737,5,11,Tyt
50,50,24.524,110.096,4,11,Tyt
51,51,24.673,109.431,4,11,Tyt
52,52,24.874,108.547,4,11,Tyt
53,53,24.849,108.656,3,11,Tyt
54,54,24.77,109.003,3,11,Tyt
55,55,24.859,108.613,3,11,Tyt
56,56,24.891,108.473,3,11,Tyt
57,57,25.038,107.836,2,11,Tyt
58,58,25.167,107.283,2,11,Tyt
59,59,25.56,105.634,3,11,Tyt
60,60,25.201,107.139,2,11,Tyt
61,61,25.251,106.926,2,11,Tyt
62,62,25.228,107.024,2,11,Tyt
63,63,25.295,106.740,2,11,Tyt
64,64,25.327,106.606,2,11,Tyt
65,65,25.399,106.303,2,11,Tyt
66,66,25.561,105.630,2,11,Tyt
67,67,25.626,105.362,2,11,Tyt
68,68,25.654,105.247,3,11,Tyt
69,69,25.698,105.067,3,11,Tyt
70,70,25.679,105.144,3,11,Tyt
71,71,32.363,83.429,3,11,Tyt
72,72,48.822,55.303,3,11,Tyt
73,73,60.355,44.735,3,11,Tyt
74,74,74.528,36.228,29,11,Tyt
75,75,56.335,47.928,18,11,Tyt
76,76,57.697,46.796,17,11,Tyt
77,77,80.095,33.710,36,11,Tyt
78,78,60.99,44.270,36,11,Tyt
79,79,28.303,95.396,36,11,Tyt
80,80,23.567,114.567,36,11,Tyt
81,81,23.835,113.279,36,11,Tyt
82,82,23.862,113.151,36,11,Tyt
83,83,23.918,112.886,36,11,Tyt
84,84,24.203,111.556,36,11,Tyt
85,85,24.301,111.107,36,11,Tyt
86,86,24.365,110.815,35,11,Tyt
87,87,24.492,110.240,35,11,Tyt
88,88,24.76,109.047,35,11,Tyt
89,89,24.718,109.232,35,11,Tyt
90,90,24.715,109.245,35,11,Tyt
91,91,24.765,109.025,33,11,Tyt
92,92,24.792,108.906,32,11,Tyt
93,93,24.868,108.573,32,11,Tyt
94,94,24.861,108.604,32,11,Tyt
95,95,24.964,108.156,31,11,Tyt
96,96,24.78,108.959,31,11,Tyt
97,97,24.815,108.805,31,11,Tyt
98,98,24.888,108.486,30,11,Tyt
99,99,24.863,108.595,30,11,Tyt
100,100,24.963,108.160,30,11,Tyt
101,101,25.11,107.527,29,11,Tyt
102,102,25.156,107.330,28,11,Tyt
103,103,25.09,107.613,27,11,Tyt
104,104,25.085,107.634,27,11,Tyt
105,105,25.129,107.446,27,11,Tyt
106,106,25.07,107.698,26,11,Tyt
107,107,25.09,107.613,26,11,Tyt
108,108,25.231,107.011,26,11,Tyt
109,109,25.054,107.767,25,11,Tyt
110,110,25.044,107.810,24,11,Tyt
111,111,24.88,108.521,24,11,Tyt
112,112,24.869,108.569,23,11,Tyt
113,113,25.074,107.681,22,11,Tyt
114,114,24.884,108.503,22,11,Tyt
115,115,24.976,108.104,21,11,Tyt
116,116,25.091,107.608,21,11,Tyt
117,117,24.993,108.030,21,11,Tyt
118,118,25.012,107.948,21,11,Tyt
119,119,25.238,106.982,20,11,Tyt
120,120,25.217,107.071,20,11,Tyt
121,121,25.355,106.488,20,11,Tyt
122,122,25.152,107.347,18,11,Tyt
123,123,25.152,107.347,14,11,Tyt
124,124,44.389,60.826,23,11,Tyt
125,125,34.259,78.811,27,11,Tyt
126,126,23.271,116.024,23,11,Tyt
127,127,23.345,115.656,22,11,Tyt
128,128,23.424,115.266,20,11,Tyt
129,129,23.382,115.473,20,11,Tyt
130,130,23.492,114.933,18,11,Tyt
131,131,23.534,114.728,17,11,Tyt
132,132,23.559,114.606,17,11,Tyt
133,133,23.627,114.276,17,11,Tyt
134,134,23.664,114.097,17,11,Tyt
135,135,23.843,113.241,17,11,Tyt
136,136,24.027,112.374,17,11,Tyt
137,137,24.158,111.764,17,11,Tyt
138,138,24.468,110.348,17,11,Tyt
139,139,24.548,109.989,17,11,Tyt
140,140,24.47,110.339,17,11,Tyt
141,141,24.617,109.680,17,11,Tyt
142,142,24.576,109.863,15,11,Tyt
143,143,24.548,109.989,14,11,Tyt
144,144,24.663,109.476,14,11,Tyt
145,145,24.837,108.709,13,11,Tyt
146,146,25.0,108.000,13,11,Tyt
147,147,24.94,108.260,13,11,Tyt
148,148,24.943,108.247,13,11,Tyt
149,149,24.815,108.805,12,11,Tyt
150,150,24.852,108.643,12,11,Tyt
151,151,24.913,108.377,12,11,Tyt
152,152,24.934,108.286,12,11,Tyt
153,153,24.991,108.039,12,11,Tyt
154,154,25.128,107.450,11,11,Tyt
155,155,25.003,107.987,11,11,Tyt
156,156,24.959,108.177,11,11,Tyt
157,157,24.996,108.017,11,11,Tyt
158,158,25.01,107.957,11,11,Tyt
159,159,25.186,107.202,11,11,Tyt
160,160,25.232,107.007,11,11,Tyt
161,161,25.178,107.236,11,11,Tyt
162,162,25.296,106.736,11,11,Tyt
163,163,25.156,107.330,11,11,Tyt
164,164,25.151,107.352,11,11,Tyt
165,165,25.163,107.300,11,11,Tyt
166,166,25.216,107.075,10,11,Tyt
167,167,25.3,106.719,10,11,Tyt
168,168,25.49,105.924,10,11,Tyt
169,169,25.165,107.292,9,11,Tyt
170,170,25.273,106.833,9,11,Tyt
171,171,25.284,106.787,9,11,Tyt
172,172,25.227,107.028,9,11,Tyt
173,173,25.317,106.648,8,11,Tyt
174,174,25.207,107.113,7,11,Tyt
175,175,25.37,106.425,7,11,Tyt
176,176,25.34,106.551,6,11,Tyt
177,177,49.691,54.336,14,11,Tyt
178,178,34.125,79.121,24,11,Tyt
179,179,23.421,115.281,20,11,Tyt
180,180,28.827,93.662,20,11,Tyt
181,181,45.045,59.940,20,11,Tyt
182,182,43.057,62.708,20,11,Tyt
183,183,55.73,48.448,19,11,Tyt
184,184,48.214,56.000,18,11,Tyt
185,185,58.727,45.975,13,11,Tyt
186,186,57.598,46.877,13,11,Tyt
187,187,56.489,47.797,13,11,Tyt
188,188,49.51,54.534,13,11,Tyt
189,189,24.017,112.420,12,11,Tyt
190,190,24.137,111.861,15,11,Tyt
191,191,26.969,100.115,16,11,Tyt
192,192,53.004,50.940,15,11,Tyt
193,193,56.188,48.053,15,11,Tyt
194,194,57.851,46.672,15,11,Tyt
195,195,60.822,44.392,15,11,Tyt
196,196,51.166,52.769,16,11,Tyt
197,197,24.419,110.570,17,11,Tyt
198,198,33.998,79.416,22,11,Tyt
199,199,59.579,45.318,21,11,Tyt
200,200,54.473,49.566,19,11,Tyt
201,201,56.802,47.534,17,11,Tyt
202,202,58.493,46.159,17,11,Tyt
203,203,57.983,46.565,14,11,Tyt
204,204,58.893,45.846,15,11,Tyt
205,205,59.481,45.393,15,11,Tyt
206,206,59.755,45.185,15,11,Tyt
207,207,58.161,46.423,15,11,Tyt
208,208,60.581,44.568,15,11,Tyt
209,209,58.525,46.134,14,11,Tyt
210,210,57.195,47.207,14,11,Tyt
211,211,58.406,46.228,14,11,Tyt
212,212,61.187,44.127,14,11,Tyt
213,213,52.138,51.786,14,11,Tyt
214,214,24.213,111.510,14,11,Tyt
215,215,23.918,112.886,14,11,Tyt
216,216,24.069,112.177,14,11,Tyt
217,217,24.261,111.290,15,11,Tyt
218,218,24.176,111.681,14,11,Tyt
219,219,24.157,111.769,15,11,Tyt
220,220,24.402,110.647,15,11,Tyt
221,221,24.39,110.701,14,11,Tyt
222,222,24.22,111.478,14,11,Tyt
223,223,24.303,111.097,14,11,Tyt
224,224,24.493,110.236,14,11,Tyt
225,225,24.544,110.007,14,11,Tyt
226,226,24.469,110.344,13,11,Tyt
227,227,24.342,110.919,13,11,Tyt
228,228,24.441,110.470,12,11,Tyt
229,229,24.786,108.932,12,11,Tyt
230,230,24.654,109.516,12,11,Tyt
231,231,39.251,68.788,12,11,Tyt
232,232,48.224,55.989,12,11,Tyt
233,233,57.156,47.239,12,11,Tyt
234,234,66.774,40.435,24,11,Tyt
235,235,56.92,47.435,16,11,Tyt
236,236,53.419,50.544,16,11,Tyt
237,237,58.449,46.194,16,11,Tyt
238,238,57.02,47.352,16,11,Tyt
239,239,58.92,45.825,16,11,Tyt
240,240,48.621,55.532,15,11,Tyt
241,241,23.906,112.942,15,11,Tyt
242,242,24.075,112.150,20,11,Tyt
243,243,24.132,111.885,20,11,Tyt
244,244,23.913,112.909,20,11,Tyt
245,245,23.924,112.857,20,11,Tyt
246,246,24.015,112.430,19,11,Tyt
247,247,24.176,111.681,19,11,Tyt
248,248,24.305,111.088,19,11,Tyt
249,249,24.497,110.218,19,11,Tyt
250,250,24.466,110.357,19,11,Tyt
251,251,24.469,110.344,19,11,Tyt
252,252,24.514,110.141,19,11,Tyt
253,253,24.564,109.917,19,11,Tyt
254,254,24.61,109.711,19,11,Tyt
255,255,24.63,109.622,18,11,Tyt
256,256,24.561,109.930,18,11,Tyt
257,257,24.551,109.975,17,11,Tyt
258,258,24.514,110.141,17,11,Tyt
259,259,24.67,109.445,17,11,Tyt
260,260,24.69,109.356,17,11,Tyt
261,261,24.864,108.591,17,11,Tyt
262,262,24.72,109.223,17,11,Tyt
263,263,24.885,108.499,17,11,Tyt
264,264,24.854,108.634,17,11,Tyt
265,265,24.903,108.421,17,11,Tyt
266,266,24.851,108.648,17,11,Tyt
267,267,24.929,108.308,17,11,Tyt
268,268,25.112,107.518,17,11,Tyt
269,269,25.047,107.797,17,11,Tyt
270,270,25.027,107.883,17,11,Tyt
271,271,25.04,107.827,17,11,Tyt
272,272,24.957,108.186,17,11,Tyt
273,273,25.107,107.540,16,11,Tyt
274,274,25.186,107.202,16,11,Tyt
275,275,25.102,107.561,16,11,Tyt
276,276,25.133,107.428,16,11,Tyt
277,277,25.06,107.741,16,11,Tyt
278,278,25.1,107.570,16,11,Tyt
279,279,25.066,107.716,14,11,Tyt
280,280,25.168,107.279,14,11,Tyt
281,281,25.32,106.635,14,11,Tyt
282,282,25.403,106.287,13,11,Tyt
283,283,25.229,107.020,13,11,Tyt
284,284,25.352,106.500,13,11,Tyt
285,285,25.222,107.049,11,11,Tyt
286,286,25.209,107.105,11,11,Tyt
287,287,25.288,106.770,10,11,Tyt
288,288,46.061,58.618,18,11,Tyt
289,289,33.614,80.324,24,11,Tyt
290,290,23.501,114.889,21,11,Tyt
291,291,23.444,115.168,20,11,Tyt
292,292,23.527,114.762,19,11,Tyt
293,293,23.433,115.222,17,11,Tyt
294,294,23.564,114.582,15,11,Tyt
295,295,23.797,113.460,13,11,Tyt
296,296,23.832,113.293,13,11,Tyt
297,297,23.924,112.857,11,11,Tyt
298,298,24.086,112.098,11,11,Tyt
299,299,23.982,112.584,11,11,Tyt
300,300,24.145,111.824,10,11,Tyt
301,301,24.124,111.922,10,11,Tyt
302,302,24.131,111.889,10,11,Tyt
303,303,24.22,111.478,10,11,Tyt
304,304,24.28,111.203,10,11,Tyt
305,305,24.42,110.565,10,11,Tyt
306,306,24.35,110.883,10,11,Tyt
307,307,24.475,110.317,10,11,Tyt
308,308,24.758,109.056,11,11,Tyt
309,309,24.57,109.890,11,11,Tyt
310,310,24.651,109.529,11,11,Tyt
311,311,24.715,109.245,11,11,Tyt
312,312,24.772,108.994,11,11,Tyt
313,313,24.81,108.827,11,11,Tyt
314,314,24.834,108.722,11,11,Tyt
315,315,24.929,108.308,11,11,Tyt
316,316,24.936,108.277,11,11,Tyt
