,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,18,43,Tyt
1,1,23.829,113.307,18,43,Tyt
2,2,23.586,114.475,19,43,Tyt
3,3,23.648,114.175,19,43,Tyt
4,4,23.765,113.612,20,43,Tyt
5,5,23.86,113.160,20,43,Tyt
6,6,24.176,111.681,19,43,Tyt
7,7,24.131,111.889,19,43,Tyt
8,8,24.171,111.704,18,43,Tyt
9,9,24.464,110.366,19,43,Tyt
10,10,24.812,108.818,20,43,Tyt
11,11,24.637,109.591,20,43,Tyt
12,12,24.628,109.631,20,43,Tyt
13,13,24.85,108.652,20,43,Tyt
14,14,24.95,108.216,20,43,Tyt
15,15,25.003,107.987,20,43,Tyt
16,16,24.844,108.678,20,43,Tyt
17,17,24.895,108.456,20,43,Tyt
18,18,24.9,108.434,20,43,Tyt
19,19,25.075,107.677,20,43,Tyt
20,20,24.99,108.043,20,43,Tyt
21,21,25.357,106.479,20,43,Tyt
22,22,25.145,107.377,20,43,Tyt
23,23,25.163,107.300,20,43,Tyt
24,24,25.406,106.274,21,43,Tyt
25,25,25.494,105.907,21,43,Tyt
26,26,25.397,106.312,21,43,Tyt
27,27,25.27,106.846,21,43,Tyt
28,28,25.328,106.601,21,43,Tyt
29,29,25.42,106.216,21,43,Tyt
30,30,25.274,106.829,20,43,Tyt
31,31,25.287,106.774,20,43,Tyt
32,32,25.367,106.437,20,43,Tyt
33,33,25.447,106.103,19,43,Tyt
34,34,32.504,83.067,30,43,Tyt
35,35,48.542,55.622,33,43,Tyt
36,36,23.825,113.326,29,43,Tyt
37,37,23.718,113.838,27,43,Tyt
38,38,23.701,113.919,24,43,Tyt
39,39,23.717,113.842,22,43,Tyt
40,40,23.856,113.179,21,43,Tyt
41,41,23.823,113.336,21,43,Tyt
42,42,23.789,113.498,21,43,Tyt
43,43,24.008,112.463,20,43,Tyt
44,44,24.036,112.332,20,43,Tyt
45,45,24.166,111.727,20,43,Tyt
46,46,24.162,111.746,20,43,Tyt
47,47,24.329,110.979,21,43,Tyt
48,48,24.549,109.984,21,43,Tyt
49,49,24.521,110.110,21,43,Tyt
50,50,24.731,109.175,21,43,Tyt
51,51,24.662,109.480,21,43,Tyt
52,52,24.717,109.237,21,43,Tyt
53,53,24.771,108.998,21,43,Tyt
54,54,24.772,108.994,21,43,Tyt
55,55,24.909,108.395,21,43,Tyt
56,56,24.875,108.543,21,43,Tyt
57,57,24.982,108.078,21,43,Tyt
58,58,25.046,107.802,21,43,Tyt
59,59,25.166,107.288,21,43,Tyt
60,60,25.042,107.819,21,43,Tyt
61,61,25.132,107.433,20,43,Tyt
62,62,25.115,107.505,20,43,Tyt
63,63,25.224,107.041,20,43,Tyt
64,64,25.24,106.973,20,43,Tyt
65,65,25.259,106.893,19,43,Tyt
66,66,25.336,106.568,19,43,Tyt
67,67,25.387,106.354,18,43,Tyt
68,68,25.448,106.099,19,43,Tyt
69,69,25.498,105.891,19,43,Tyt
70,70,26.869,100.488,20,43,Tyt
71,71,36.589,73.793,20,43,Tyt
72,72,43.592,61.938,20,43,Tyt
73,73,61.872,43.638,20,43,Tyt
74,74,46.523,58.036,10,43,Tyt
75,75,71.969,37.516,20,43,Tyt
76,76,56.44,47.838,19,43,Tyt
77,77,57.479,46.974,18,43,Tyt
78,78,60.696,44.484,17,43,Tyt
79,79,47.195,57.209,17,43,Tyt
80,80,24.015,112.430,18,43,Tyt
81,81,23.545,114.674,17,43,Tyt
82,82,23.815,113.374,17,43,Tyt
83,83,23.8,113.445,17,43,Tyt
84,84,24.239,111.391,17,43,Tyt
85,85,24.293,111.143,18,43,Tyt
