,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,38,22,Frd
1,1,23.463,115.075,36,22,Frd
2,2,23.571,114.548,36,22,Frd
3,3,23.818,113.360,36,22,Frd
4,4,24.063,112.205,36,22,Frd
5,5,23.965,112.664,35,22,Frd
6,6,24.218,111.487,35,22,Frd
7,7,24.246,111.359,35,22,Frd
8,8,24.322,111.011,35,22,Frd
9,9,24.639,109.582,35,22,Frd
10,10,24.57,109.890,34,22,Frd
11,11,24.801,108.867,35,22,Frd
12,12,24.8,108.871,35,22,Frd
13,13,24.919,108.351,35,22,Frd
14,14,24.988,108.052,35,22,Frd
15,15,25.085,107.634,35,22,Frd
16,16,25.19,107.185,33,22,Frd
17,17,24.874,108.547,33,22,Frd
18,18,24.854,108.634,33,22,Frd
19,19,25.106,107.544,33,22,Frd
20,20,25.152,107.347,32,22,Frd
21,21,24.991,108.039,31,22,Frd
22,22,25.029,107.875,31,22,Frd
23,23,25.026,107.888,31,22,Frd
24,24,25.099,107.574,31,22,Frd
25,25,25.216,107.075,30,22,Frd
26,26,25.262,106.880,29,22,Frd
27,27,25.244,106.956,29,22,Frd
28,28,25.182,107.219,29,22,Frd
29,29,25.236,106.990,28,22,Frd
30,30,25.233,107.003,27,22,Frd
31,31,25.331,106.589,27,22,Frd
32,32,25.47,106.007,26,22,Frd
33,33,25.453,106.078,25,22,Frd
34,34,25.219,107.062,22,22,Frd
35,35,45.001,59.999,29,22,Frd
36,36,33.642,80.257,33,22,Frd
37,37,23.859,113.165,31,22,Frd
38,38,23.792,113.484,28,22,Frd
39,39,23.696,113.943,25,22,Frd
40,40,24.01,112.453,24,22,Frd
41,41,23.871,113.108,24,22,Frd
42,42,24.011,112.448,24,22,Frd
43,43,24.014,112.434,24,22,Frd
44,44,24.234,111.414,24,22,Frd
45,45,24.279,111.207,24,22,Frd
46,46,24.414,110.592,24,22,Frd
47,47,24.348,110.892,24,22,Frd
48,48,24.48,110.294,24,22,Frd
49,49,24.578,109.854,24,22,Frd
50,50,24.677,109.414,24,22,Frd
51,51,24.733,109.166,24,22,Frd
52,52,24.695,109.334,24,22,Frd
53,53,24.68,109.400,24,22,Frd
54,54,24.823,108.770,24,22,Frd
55,55,24.768,109.012,24,22,Frd
56,56,24.732,109.170,24,22,Frd
57,57,24.811,108.823,23,22,Frd
58,58,25.02,107.914,23,22,Frd
59,59,24.875,108.543,23,22,Frd
60,60,25.02,107.914,23,22,Frd
61,61,25.022,107.905,23,22,Frd
62,62,25.005,107.978,22,22,Frd
63,63,25.049,107.789,22,22,Frd
64,64,25.025,107.892,22,22,Frd
65,65,25.047,107.797,22,22,Frd
66,66,25.363,106.454,21,22,Frd
67,67,25.232,107.007,21,22,Frd
68,68,25.269,106.850,20,22,Frd
69,69,25.273,106.833,20,22,Frd
70,70,26.237,102.908,19,22,Frd
71,71,36.473,74.027,19,22,Frd
72,72,43.775,61.679,19,22,Frd
73,73,61.75,43.725,19,22,Frd
74,74,60.225,44.832,30,22,Frd
75,75,55.317,48.810,17,22,Frd
76,76,57.97,46.576,16,22,Frd
