,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,25,7,Chv
1,1,23.615,114.334,25,7,Chv
2,2,23.554,114.630,25,7,Chv
3,3,23.703,113.910,25,7,Chv
4,4,23.795,113.469,25,7,Chv
5,5,23.814,113.379,25,7,Chv
6,6,24.04,112.313,24,7,Chv
7,7,24.332,110.965,24,7,Chv
8,8,24.333,110.960,24,7,Chv
9,9,24.316,111.038,23,7,Chv
10,10,24.664,109.471,23,7,Chv
11,11,24.711,109.263,23,7,Chv
12,12,24.821,108.779,23,7,Chv
13,13,24.962,108.164,23,7,Chv
14,14,24.98,108.086,23,7,Chv
15,15,25.001,107.996,23,7,Chv
16,16,24.907,108.403,23,7,Chv
17,17,25.027,107.883,23,7,Chv
18,18,25.235,106.994,24,7,Chv
19,19,25.189,107.190,24,7,Chv
20,20,24.991,108.039,24,7,Chv
21,21,25.04,107.827,24,7,Chv
22,22,25.076,107.673,24,7,Chv
23,23,25.032,107.862,24,7,Chv
24,24,25.37,106.425,24,7,Chv
25,25,25.191,107.181,24,7,Chv
26,26,25.268,106.855,23,7,Chv
27,27,25.328,106.601,23,7,Chv
28,28,25.285,106.783,23,7,Chv
29,29,25.316,106.652,23,7,Chv
30,30,25.313,106.665,21,7,Chv
31,31,25.264,106.871,21,7,Chv
32,32,25.275,106.825,21,7,Chv
33,33,25.369,106.429,20,7,Chv
34,34,25.211,107.096,19,7,Chv
35,35,25.338,106.559,15,7,Chv
36,36,25.154,107.339,11,7,Chv
37,37,25.227,107.028,9,7,Chv
38,38,25.123,107.471,8,7,Chv
39,39,25.035,107.849,7,7,Chv
40,40,25.383,106.370,7,7,Chv
41,41,25.55,105.675,7,7,Chv
42,42,25.328,106.601,7,7,Chv
43,43,25.406,106.274,6,7,Chv
44,44,25.605,105.448,6,7,Chv
45,45,25.39,106.341,6,7,Chv
46,46,25.481,105.961,8,7,Chv
47,47,25.726,104.952,9,7,Chv
48,48,25.685,105.120,10,7,Chv
49,49,25.563,105.621,11,7,Chv
50,50,25.579,105.555,11,7,Chv
51,51,25.628,105.354,11,7,Chv
52,52,25.674,105.165,13,7,Chv
53,53,25.692,105.091,14,7,Chv
54,54,25.86,104.408,15,7,Chv
55,55,26.007,103.818,17,7,Chv
56,56,25.994,103.870,19,7,Chv
57,57,25.815,104.590,19,7,Chv
58,58,25.82,104.570,19,7,Chv
59,59,25.902,104.239,20,7,Chv
60,60,26.045,103.667,20,7,Chv
61,61,26.068,103.575,22,7,Chv
62,62,26.287,102.712,23,7,Chv
63,63,26.158,103.219,25,7,Chv
64,64,26.241,102.892,27,7,Chv
65,65,25.893,104.275,27,7,Chv
66,66,25.976,103.942,29,7,Chv
67,67,25.854,104.433,30,7,Chv
68,68,25.982,103.918,33,7,Chv
69,69,26.084,103.512,34,7,Chv
70,70,29.81,90.574,34,7,Chv
71,71,39.353,68.610,34,7,Chv
72,72,40.751,66.256,34,7,Chv
73,73,62.052,43.512,34,7,Chv
74,74,43.078,62.677,21,7,Chv
75,75,76.112,35.474,32,7,Chv
76,76,54.224,49.793,31,7,Chv
77,77,57.322,47.102,29,7,Chv
78,78,63.489,42.527,28,7,Chv
79,79,37.246,72.491,27,7,Chv
80,80,23.93,112.829,25,7,Chv
81,81,23.688,113.982,25,7,Chv
82,82,23.944,112.763,26,7,Chv
83,83,23.92,112.876,26,7,Chv
84,84,24.294,111.139,26,7,Chv
85,85,24.345,110.906,27,7,Chv
86,86,24.363,110.824,27,7,Chv
87,87,24.62,109.667,27,7,Chv
88,88,24.731,109.175,27,7,Chv
89,89,24.667,109.458,27,7,Chv
90,90,24.838,108.704,28,7,Chv
91,91,24.762,109.038,28,7,Chv
92,92,24.759,109.051,27,7,Chv
93,93,24.801,108.867,27,7,Chv
94,94,24.942,108.251,27,7,Chv
95,95,24.891,108.473,27,7,Chv
96,96,24.87,108.565,27,7,Chv
97,97,24.948,108.225,27,7,Chv
98,98,25.076,107.673,27,7,Chv
99,99,25.156,107.330,27,7,Chv
100,100,25.054,107.767,26,7,Chv
101,101,25.201,107.139,26,7,Chv
102,102,25.129,107.446,26,7,Chv
103,103,25.092,107.604,26,7,Chv
104,104,25.072,107.690,25,7,Chv
105,105,25.184,107.211,25,7,Chv
106,106,25.191,107.181,25,7,Chv
107,107,25.109,107.531,24,7,Chv
108,108,25.04,107.827,24,7,Chv
109,109,25.261,106.884,24,7,Chv
110,110,25.256,106.905,25,7,Chv
111,111,25.213,107.088,25,7,Chv
112,112,25.218,107.066,24,7,Chv
113,113,25.317,106.648,24,7,Chv
114,114,25.403,106.287,25,7,Chv
115,115,25.521,105.795,25,7,Chv
116,116,25.43,106.174,25,7,Chv
117,117,25.414,106.241,25,7,Chv
118,118,25.457,106.061,25,7,Chv
119,119,25.419,106.220,24,7,Chv
120,120,25.513,105.828,24,7,Chv
121,121,25.405,106.278,24,7,Chv
122,122,25.505,105.862,24,7,Chv
123,123,25.509,105.845,19,7,Chv
124,124,25.657,105.234,15,7,Chv
125,125,25.411,106.253,12,7,Chv
126,126,25.522,105.791,11,7,Chv
127,127,25.481,105.961,10,7,Chv
128,128,25.507,105.853,6,7,Chv
129,129,32.733,82.486,9,7,Chv
130,130,50.12,53.871,35,7,Chv
131,131,23.64,114.213,34,7,Chv
132,132,23.93,112.829,34,7,Chv
133,133,24.058,112.229,33,7,Chv
134,134,24.082,112.117,32,7,Chv
135,135,23.959,112.693,32,7,Chv
136,136,24.282,111.193,32,7,Chv
137,137,24.202,111.561,32,7,Chv
138,138,24.047,112.280,32,7,Chv
139,139,24.121,111.936,32,7,Chv
140,140,24.32,111.020,32,7,Chv
141,141,24.349,110.888,32,7,Chv
142,142,24.451,110.425,32,7,Chv
143,143,24.484,110.276,32,7,Chv
144,144,24.495,110.227,32,7,Chv
145,145,24.731,109.175,32,7,Chv
146,146,24.745,109.113,32,7,Chv
147,147,24.903,108.421,32,7,Chv
148,148,25.037,107.840,32,7,Chv
149,149,24.987,108.056,32,7,Chv
150,150,25.026,107.888,32,7,Chv
151,151,25.195,107.164,31,7,Chv
152,152,25.16,107.313,31,7,Chv
153,153,25.117,107.497,30,7,Chv
154,154,25.265,106.867,30,7,Chv
155,155,25.185,107.207,30,7,Chv
156,156,25.143,107.386,30,7,Chv
157,157,25.216,107.075,30,7,Chv
158,158,25.156,107.330,30,7,Chv
159,159,25.401,106.295,30,7,Chv
160,160,25.607,105.440,29,7,Chv
161,161,25.501,105.878,29,7,Chv
162,162,25.476,105.982,29,7,Chv
163,163,25.354,106.492,29,7,Chv
164,164,25.646,105.280,29,7,Chv
165,165,25.523,105.787,30,7,Chv
166,166,25.38,106.383,30,7,Chv
167,167,25.462,106.040,30,7,Chv
168,168,25.471,106.003,30,7,Chv
169,169,25.486,105.941,30,7,Chv
170,170,25.448,106.099,30,7,Chv
171,171,25.439,106.136,30,7,Chv
172,172,25.482,105.957,29,7,Chv
173,173,25.528,105.766,28,7,Chv
174,174,25.574,105.576,26,7,Chv
175,175,25.506,105.857,25,7,Chv
176,176,25.751,104.850,21,7,Chv
177,177,25.551,105.671,15,7,Chv
178,178,25.612,105.419,15,7,Chv
179,179,25.864,104.392,15,7,Chv
180,180,27.815,97.070,15,7,Chv
181,181,38.664,69.832,15,7,Chv
182,182,48.172,56.049,15,7,Chv
183,183,57.002,47.367,14,7,Chv
184,184,51.849,52.074,13,7,Chv
185,185,68.664,39.322,21,7,Chv
186,186,55.899,48.301,20,7,Chv
187,187,55.997,48.217,19,7,Chv
188,188,44.618,60.514,21,7,Chv
189,189,23.995,112.523,21,7,Chv
190,190,24.216,111.497,22,7,Chv
191,191,27.929,96.674,23,7,Chv
192,192,56.098,48.130,23,7,Chv
193,193,56.819,47.519,24,7,Chv
194,194,58.312,46.303,22,7,Chv
195,195,61.329,44.025,22,7,Chv
196,196,45.193,59.744,21,7,Chv
197,197,24.163,111.741,20,7,Chv
198,198,44.319,60.922,28,7,Chv
