,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,26,35,Tyt
1,1,23.734,113.761,26,35,Tyt
2,2,23.897,112.985,29,35,Tyt
3,3,24.022,112.397,31,35,Tyt
4,4,24.085,112.103,33,35,Tyt
5,5,24.117,111.954,34,35,Tyt
6,6,24.217,111.492,33,35,Tyt
7,7,24.353,110.869,34,35,Tyt
8,8,24.435,110.497,34,35,Tyt
9,9,24.567,109.904,34,35,Tyt
10,10,24.71,109.268,35,35,Tyt
11,11,24.719,109.228,34,35,Tyt
12,12,24.786,108.932,34,35,Tyt
13,13,24.885,108.499,34,35,Tyt
14,14,24.921,108.342,33,35,Tyt
15,15,25.041,107.823,33,35,Tyt
16,16,26.563,101.645,38,35,Tyt
17,17,25.379,106.387,38,35,Tyt
18,18,25.231,107.011,38,35,Tyt
19,19,25.094,107.595,37,35,Tyt
20,20,25.142,107.390,37,35,Tyt
21,21,25.062,107.733,37,35,Tyt
22,22,25.049,107.789,37,35,Tyt
23,23,25.118,107.493,36,35,Tyt
24,24,25.24,106.973,36,35,Tyt
25,25,25.462,106.040,36,35,Tyt
26,26,25.151,107.352,36,35,Tyt
27,27,25.182,107.219,36,35,Tyt
28,28,25.207,107.113,36,35,Tyt
29,29,25.39,106.341,36,35,Tyt
30,30,25.337,106.564,35,35,Tyt
31,31,25.409,106.262,35,35,Tyt
32,32,25.438,106.140,34,35,Tyt
33,33,25.487,105.936,31,35,Tyt
34,34,25.273,106.833,27,35,Tyt
35,35,25.376,106.400,21,35,Tyt
36,36,45.349,59.538,27,35,Tyt
37,37,33.537,80.508,36,35,Tyt
38,38,23.306,115.850,35,35,Tyt
39,39,23.737,113.746,33,35,Tyt
40,40,23.871,113.108,32,35,Tyt
41,41,23.646,114.184,32,35,Tyt
42,42,23.856,113.179,31,35,Tyt
43,43,23.881,113.061,31,35,Tyt
44,44,23.905,112.947,31,35,Tyt
45,45,23.978,112.603,31,35,Tyt
46,46,24.412,110.601,31,35,Tyt
47,47,24.38,110.747,30,35,Tyt
48,48,24.496,110.222,30,35,Tyt
49,49,24.43,110.520,30,35,Tyt
50,50,24.553,109.966,30,35,Tyt
51,51,24.685,109.378,30,35,Tyt
52,52,24.757,109.060,30,35,Tyt
53,53,24.692,109.347,30,35,Tyt
54,54,25.084,107.638,30,35,Tyt
55,55,25.086,107.630,30,35,Tyt
56,56,24.975,108.108,30,35,Tyt
57,57,25.336,106.568,32,35,Tyt
58,58,25.091,107.608,32,35,Tyt
59,59,25.031,107.866,32,35,Tyt
60,60,25.1,107.570,32,35,Tyt
61,61,25.166,107.288,32,35,Tyt
62,62,25.083,107.643,32,35,Tyt
63,63,25.069,107.703,31,35,Tyt
64,64,25.027,107.883,31,35,Tyt
65,65,25.277,106.816,30,35,Tyt
66,66,25.325,106.614,30,35,Tyt
67,67,25.542,105.708,29,35,Tyt
68,68,25.098,107.578,29,35,Tyt
69,69,25.311,106.673,29,35,Tyt
70,70,28.332,95.299,29,35,Tyt
71,71,38.338,70.426,29,35,Tyt
72,72,41.562,64.963,29,35,Tyt
73,73,62.344,43.308,29,35,Tyt
74,74,57.877,46.651,33,35,Tyt
75,75,61.355,44.006,28,35,Tyt
76,76,54.225,49.793,27,35,Tyt
77,77,58.041,46.519,26,35,Tyt
78,78,63.461,42.546,25,35,Tyt
79,79,39.572,68.230,26,35,Tyt
80,80,24.552,109.971,30,35,Tyt
81,81,23.953,112.721,32,35,Tyt
82,82,24.031,112.355,33,35,Tyt
83,83,24.187,111.630,34,35,Tyt
84,84,24.311,111.061,35,35,Tyt
85,85,24.293,111.143,35,35,Tyt
86,86,24.522,110.105,36,35,Tyt
87,87,24.61,109.711,36,35,Tyt
88,88,24.823,108.770,36,35,Tyt
89,89,24.853,108.639,36,35,Tyt
90,90,24.749,109.095,36,35,Tyt
91,91,25.242,106.965,36,35,Tyt
92,92,25.048,107.793,36,35,Tyt
