,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,20,12,Frd
1,1,23.759,113.641,19,12,Frd
2,2,23.369,115.538,18,12,Frd
3,3,23.478,115.001,18,12,Frd
4,4,23.681,114.015,18,12,Frd
5,5,23.83,113.303,17,12,Frd
6,6,24.153,111.787,17,12,Frd
7,7,24.12,111.940,17,12,Frd
8,8,24.098,112.042,16,12,Frd
9,9,24.352,110.874,16,12,Frd
10,10,24.3,111.111,15,12,Frd
11,11,24.272,111.239,15,12,Frd
12,12,24.469,110.344,15,12,Frd
13,13,24.673,109.431,15,12,Frd
14,14,24.746,109.109,14,12,Frd
15,15,24.63,109.622,14,12,Frd
16,16,24.749,109.095,14,12,Frd
17,17,24.762,109.038,14,12,Frd
18,18,24.808,108.836,13,12,Frd
19,19,24.838,108.704,13,12,Frd
20,20,24.83,108.739,13,12,Frd
21,21,24.92,108.347,13,12,Frd
22,22,25.004,107.983,13,12,Frd
23,23,25.037,107.840,13,12,Frd
24,24,25.051,107.780,13,12,Frd
25,25,25.137,107.411,13,12,Frd
26,26,25.123,107.471,13,12,Frd
27,27,25.082,107.647,13,12,Frd
28,28,25.161,107.309,13,12,Frd
29,29,25.063,107.729,13,12,Frd
30,30,25.336,106.568,13,12,Frd
31,31,25.347,106.521,13,12,Frd
32,32,25.228,107.024,13,12,Frd
33,33,25.244,106.956,13,12,Frd
34,34,25.237,106.986,13,12,Frd
35,35,25.342,106.542,10,12,Frd
36,36,44.881,60.159,21,12,Frd
37,37,33.899,79.648,23,12,Frd
38,38,23.846,113.227,20,12,Frd
39,39,23.75,113.684,18,12,Frd
40,40,23.893,113.004,16,12,Frd
41,41,24.091,112.075,16,12,Frd
42,42,23.717,113.842,16,12,Frd
43,43,23.771,113.584,15,12,Frd
44,44,23.872,113.103,15,12,Frd
45,45,23.894,112.999,15,12,Frd
46,46,24.096,112.052,15,12,Frd
47,47,24.256,111.313,14,12,Frd
48,48,24.278,111.212,14,12,Frd
49,49,24.231,111.428,14,12,Frd
50,50,24.335,110.951,14,12,Frd
51,51,24.408,110.619,14,12,Frd
52,52,24.45,110.429,14,12,Frd
53,53,24.612,109.703,13,12,Frd
54,54,24.572,109.881,13,12,Frd
55,55,24.729,109.184,13,12,Frd
56,56,24.858,108.617,13,12,Frd
57,57,24.757,109.060,12,12,Frd
58,58,24.887,108.490,11,12,Frd
59,59,24.879,108.525,11,12,Frd
60,60,24.824,108.766,11,12,Frd
61,61,24.903,108.421,10,12,Frd
62,62,24.965,108.151,10,12,Frd
63,63,25.015,107.935,10,12,Frd
64,64,24.966,108.147,10,12,Frd
65,65,25.286,106.778,8,12,Frd
66,66,25.119,107.488,8,12,Frd
67,67,25.028,107.879,8,12,Frd
68,68,24.992,108.035,8,12,Frd
69,69,25.121,107.480,7,12,Frd
70,70,25.212,107.092,7,12,Frd
71,71,35.736,75.554,7,12,Frd
72,72,46.343,58.261,7,12,Frd
73,73,61.257,44.077,7,12,Frd
74,74,65.295,41.351,23,12,Frd
