,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,27,88,Chv
1,1,23.643,114.199,27,88,Chv
2,2,23.507,114.859,26,88,Chv
3,3,23.694,113.953,26,88,Chv
4,4,23.865,113.136,27,88,Chv
5,5,23.915,112.900,26,88,Chv
6,6,24.001,112.495,26,88,Chv
7,7,24.39,110.701,26,88,Chv
8,8,24.549,109.984,26,88,Chv
9,9,24.383,110.733,26,88,Chv
10,10,24.75,109.091,26,88,Chv
11,11,24.807,108.840,26,88,Chv
12,12,24.846,108.669,26,88,Chv
13,13,24.861,108.604,27,88,Chv
14,14,25.061,107.737,27,88,Chv
15,15,25.06,107.741,28,88,Chv
16,16,24.937,108.273,26,88,Chv
17,17,25.025,107.892,26,88,Chv
18,18,25.129,107.446,26,88,Chv
19,19,25.036,107.845,26,88,Chv
20,20,25.064,107.724,26,88,Chv
21,21,24.996,108.017,26,88,Chv
22,22,25.252,106.922,26,88,Chv
23,23,24.963,108.160,26,88,Chv
24,24,25.122,107.476,26,88,Chv
25,25,25.207,107.113,26,88,Chv
26,26,25.239,106.977,26,88,Chv
27,27,25.165,107.292,26,88,Chv
28,28,25.291,106.757,24,88,Chv
29,29,25.218,107.066,24,88,Chv
30,30,25.337,106.564,23,88,Chv
31,31,25.364,106.450,22,88,Chv
32,32,25.417,106.228,22,88,Chv
33,33,25.305,106.698,21,88,Chv
34,34,25.321,106.631,20,88,Chv
35,35,25.553,105.663,16,88,Chv
36,36,25.594,105.493,12,88,Chv
37,37,25.551,105.671,10,88,Chv
38,38,32.267,83.677,11,88,Chv
39,39,47.37,56.998,36,88,Chv
40,40,23.84,113.255,34,88,Chv
41,41,23.778,113.550,34,88,Chv
42,42,23.783,113.526,33,88,Chv
43,43,23.836,113.274,33,88,Chv
44,44,23.86,113.160,33,88,Chv
45,45,24.132,111.885,33,88,Chv
46,46,24.213,111.510,33,88,Chv
47,47,24.234,111.414,33,88,Chv
48,48,24.307,111.079,33,88,Chv
49,49,24.537,110.038,32,88,Chv
50,50,24.514,110.141,32,88,Chv
51,51,24.422,110.556,32,88,Chv
52,52,24.663,109.476,32,88,Chv
53,53,24.599,109.761,31,88,Chv
54,54,24.789,108.919,31,88,Chv
55,55,25.098,107.578,31,88,Chv
56,56,24.911,108.386,31,88,Chv
57,57,24.969,108.134,30,88,Chv
58,58,24.861,108.604,30,88,Chv
59,59,24.916,108.364,29,88,Chv
60,60,24.889,108.482,29,88,Chv
61,61,24.926,108.321,28,88,Chv
62,62,24.869,108.569,27,88,Chv
63,63,24.848,108.661,27,88,Chv
64,64,24.818,108.792,26,88,Chv
65,65,24.885,108.499,26,88,Chv
66,66,25.018,107.922,26,88,Chv
67,67,25.018,107.922,24,88,Chv
68,68,25.141,107.394,24,88,Chv
69,69,25.106,107.544,23,88,Chv
70,70,26.792,100.776,22,88,Chv
71,71,37.437,72.121,22,88,Chv
72,72,42.679,63.263,22,88,Chv
73,73,61.883,43.631,22,88,Chv
74,74,45.834,58.908,11,88,Chv
75,75,75.26,35.876,25,88,Chv
76,76,55.711,48.464,24,88,Chv
77,77,57.091,47.293,23,88,Chv
78,78,62.982,42.869,22,88,Chv
79,79,42.31,63.815,22,88,Chv
80,80,23.9,112.971,22,88,Chv
81,81,23.57,114.552,21,88,Chv
82,82,23.859,113.165,22,88,Chv
83,83,23.885,113.042,21,88,Chv
84,84,24.243,111.372,21,88,Chv
85,85,24.17,111.709,21,88,Chv
86,86,24.23,111.432,20,88,Chv
87,87,24.387,110.715,20,88,Chv
88,88,24.554,109.962,20,88,Chv
89,89,24.618,109.676,20,88,Chv
90,90,24.759,109.051,20,88,Chv
91,91,24.735,109.157,20,88,Chv
92,92,24.774,108.985,21,88,Chv
93,93,24.747,109.104,21,88,Chv
94,94,24.793,108.902,19,88,Chv
95,95,24.833,108.726,20,88,Chv
96,96,24.784,108.941,19,88,Chv
97,97,24.917,108.360,19,88,Chv
98,98,24.851,108.648,19,88,Chv
99,99,24.875,108.543,19,88,Chv
100,100,24.912,108.382,19,88,Chv
101,101,24.888,108.486,19,88,Chv
102,102,24.9,108.434,19,88,Chv
103,103,24.959,108.177,19,88,Chv
104,104,24.972,108.121,19,88,Chv
105,105,25.108,107.535,19,88,Chv
106,106,25.081,107.651,19,88,Chv
107,107,25.02,107.914,19,88,Chv
108,108,24.962,108.164,19,88,Chv
109,109,24.974,108.112,18,88,Chv
110,110,24.977,108.099,17,88,Chv
111,111,25.125,107.463,17,88,Chv
112,112,24.992,108.035,17,88,Chv
113,113,25.02,107.914,17,88,Chv
114,114,25.089,107.617,17,88,Chv
115,115,25.054,107.767,17,88,Chv
116,116,25.205,107.122,16,88,Chv
117,117,25.192,107.177,16,88,Chv
118,118,25.191,107.181,16,88,Chv
119,119,25.252,106.922,16,88,Chv
120,120,25.21,107.100,16,88,Chv
121,121,25.275,106.825,16,88,Chv
122,122,25.288,106.770,15,88,Chv
123,123,25.244,106.956,11,88,Chv
124,124,25.381,106.379,9,88,Chv
125,125,32.591,82.845,11,88,Chv
126,126,47.696,56.609,24,88,Chv
127,127,23.417,115.301,23,88,Chv
128,128,23.45,115.139,21,88,Chv
129,129,23.397,115.399,21,88,Chv
130,130,23.505,114.869,19,88,Chv
131,131,23.927,112.843,19,88,Chv
132,132,23.71,113.876,19,88,Chv
133,133,23.742,113.723,19,88,Chv
134,134,23.778,113.550,19,88,Chv
135,135,24.127,111.908,19,88,Chv
136,136,24.157,111.769,19,88,Chv
137,137,24.242,111.377,19,88,Chv
138,138,24.377,110.760,19,88,Chv
139,139,24.599,109.761,19,88,Chv
140,140,24.529,110.074,19,88,Chv
141,141,24.584,109.828,19,88,Chv
142,142,24.735,109.157,19,88,Chv
143,143,24.736,109.153,19,88,Chv
144,144,24.781,108.954,19,88,Chv
145,145,24.956,108.190,17,88,Chv
146,146,24.9,108.434,17,88,Chv
147,147,24.823,108.770,17,88,Chv
