,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,16,10,Chv
1,1,23.665,114.093,14,10,Chv
2,2,23.481,114.987,15,10,Chv
3,3,23.533,114.733,15,10,Chv
4,4,23.79,113.493,16,10,Chv
5,5,24.094,112.061,18,10,Chv
6,6,24.422,110.556,18,10,Chv
7,7,24.181,111.658,18,10,Chv
8,8,24.228,111.441,19,10,Chv
9,9,24.383,110.733,18,10,Chv
10,10,24.34,110.929,17,10,Chv
11,11,24.416,110.583,16,10,Chv
12,12,24.468,110.348,16,10,Chv
13,13,24.458,110.393,16,10,Chv
14,14,24.768,109.012,16,10,Chv
15,15,24.819,108.788,16,10,Chv
16,16,24.898,108.442,16,10,Chv
17,17,24.849,108.656,16,10,Chv
18,18,24.911,108.386,16,10,Chv
19,19,25.029,107.875,16,10,Chv
20,20,24.929,108.308,16,10,Chv
21,21,25.116,107.501,16,10,Chv
22,22,25.085,107.634,15,10,Chv
23,23,25.291,106.757,16,10,Chv
24,24,25.363,106.454,16,10,Chv
25,25,25.104,107.553,16,10,Chv
26,26,25.113,107.514,16,10,Chv
27,27,25.101,107.565,16,10,Chv
28,28,25.282,106.795,16,10,Chv
29,29,25.272,106.838,16,10,Chv
30,30,25.164,107.296,16,10,Chv
31,31,25.257,106.901,16,10,Chv
32,32,25.25,106.931,16,10,Chv
33,33,32.652,82.690,29,10,Chv
34,34,49.023,55.076,34,10,Chv
35,35,23.842,113.246,31,10,Chv
36,36,31.24,86.428,38,10,Chv
37,37,33.569,80.431,38,10,Chv
38,38,23.785,113.517,38,10,Chv
39,39,23.631,114.257,38,10,Chv
40,40,23.681,114.015,38,10,Chv
41,41,23.678,114.030,37,10,Chv
42,42,23.715,113.852,37,10,Chv
43,43,23.756,113.655,36,10,Chv
44,44,23.849,113.212,36,10,Chv
45,45,23.965,112.664,36,10,Chv
46,46,24.174,111.690,36,10,Chv
47,47,24.264,111.276,36,10,Chv
48,48,24.377,110.760,36,10,Chv
49,49,24.597,109.769,36,10,Chv
50,50,24.658,109.498,36,10,Chv
51,51,24.66,109.489,36,10,Chv
52,52,24.692,109.347,36,10,Chv
53,53,24.81,108.827,36,10,Chv
54,54,24.852,108.643,36,10,Chv
55,55,24.876,108.538,36,10,Chv
56,56,24.882,108.512,36,10,Chv
57,57,25.036,107.845,36,10,Chv
58,58,25.204,107.126,36,10,Chv
59,59,25.108,107.535,36,10,Chv
60,60,25.207,107.113,36,10,Chv
61,61,25.124,107.467,36,10,Chv
62,62,25.01,107.957,36,10,Chv
63,63,25.052,107.776,36,10,Chv
64,64,25.114,107.510,36,10,Chv
65,65,25.232,107.007,36,10,Chv
66,66,25.381,106.379,36,10,Chv
67,67,25.365,106.446,36,10,Chv
68,68,25.667,105.193,36,10,Chv
69,69,25.706,105.034,36,10,Chv
70,70,29.006,93.084,36,10,Chv
71,71,51.803,52.121,36,10,Chv
72,72,60.359,44.732,36,10,Chv
73,73,45.444,59.414,36,10,Chv
74,74,26.631,101.386,25,10,Chv
75,75,44.751,60.334,2,10,Chv
76,76,85.889,31.436,36,10,Chv
77,77,59.45,45.416,34,10,Chv
78,78,63.062,42.815,33,10,Chv
79,79,32.017,84.330,33,10,Chv
80,80,23.861,113.155,28,10,Chv
81,81,23.63,114.262,28,10,Chv
82,82,23.833,113.288,28,10,Chv
83,83,23.922,112.867,27,10,Chv
84,84,24.14,111.848,27,10,Chv
85,85,24.172,111.699,26,10,Chv
86,86,24.333,110.960,26,10,Chv
87,87,24.436,110.493,25,10,Chv
88,88,24.662,109.480,24,10,Chv
89,89,24.653,109.520,24,10,Chv
90,90,24.709,109.272,24,10,Chv
91,91,24.72,109.223,24,10,Chv
92,92,24.717,109.237,24,10,Chv
93,93,24.81,108.827,24,10,Chv
94,94,24.874,108.547,24,10,Chv
95,95,24.852,108.643,24,10,Chv
96,96,24.993,108.030,24,10,Chv
97,97,24.878,108.530,24,10,Chv
98,98,25.064,107.724,24,10,Chv
99,99,25.087,107.625,23,10,Chv
100,100,25.135,107.420,24,10,Chv
101,101,25.103,107.557,23,10,Chv
102,102,25.242,106.965,23,10,Chv
103,103,25.197,107.156,23,10,Chv
104,104,25.25,106.931,23,10,Chv
105,105,25.235,106.994,24,10,Chv
106,106,25.228,107.024,24,10,Chv
107,107,25.396,106.316,25,10,Chv
108,108,25.396,106.316,25,10,Chv
109,109,25.385,106.362,26,10,Chv
110,110,25.584,105.535,27,10,Chv
111,111,25.464,106.032,28,10,Chv
112,112,25.618,105.395,27,10,Chv
113,113,25.52,105.799,27,10,Chv
114,114,25.542,105.708,27,10,Chv
115,115,25.546,105.692,27,10,Chv
116,116,25.598,105.477,27,10,Chv
117,117,25.78,104.732,27,10,Chv
118,118,25.601,105.465,27,10,Chv
119,119,25.682,105.132,27,10,Chv
120,120,25.722,104.969,27,10,Chv
121,121,25.985,103.906,28,10,Chv
122,122,32.786,82.352,30,10,Chv
123,123,48.119,56.111,36,10,Chv
124,124,23.517,114.811,35,10,Chv
125,125,23.539,114.703,33,10,Chv
126,126,23.655,114.141,32,10,Chv
127,127,23.769,113.593,30,10,Chv
128,128,23.982,112.584,29,10,Chv
129,129,23.728,113.790,27,10,Chv
130,130,23.663,114.102,25,10,Chv
131,131,23.752,113.675,25,10,Chv
132,132,23.913,112.909,25,10,Chv
133,133,23.919,112.881,25,10,Chv
134,134,24.194,111.598,25,10,Chv
135,135,24.121,111.936,25,10,Chv
136,136,24.221,111.474,25,10,Chv
137,137,24.323,111.006,25,10,Chv
138,138,24.258,111.303,25,10,Chv
139,139,24.359,110.842,25,10,Chv
140,140,24.446,110.448,25,10,Chv
141,141,24.61,109.711,25,10,Chv
142,142,24.705,109.290,25,10,Chv
143,143,24.666,109.462,25,10,Chv
144,144,24.739,109.139,25,10,Chv
145,145,24.753,109.078,25,10,Chv
146,146,24.742,109.126,25,10,Chv
147,147,24.872,108.556,25,10,Chv
148,148,24.903,108.421,25,10,Chv
149,149,24.882,108.512,25,10,Chv
150,150,24.951,108.212,24,10,Chv
151,151,25.022,107.905,24,10,Chv
152,152,25.006,107.974,24,10,Chv
153,153,25.035,107.849,24,10,Chv
154,154,24.97,108.130,24,10,Chv
155,155,25.139,107.403,24,10,Chv
156,156,25.156,107.330,24,10,Chv
157,157,25.233,107.003,24,10,Chv
158,158,25.067,107.711,24,10,Chv
159,159,25.078,107.664,24,10,Chv
160,160,25.226,107.032,24,10,Chv
161,161,25.178,107.236,24,10,Chv
162,162,25.094,107.595,24,10,Chv
163,163,25.355,106.488,23,10,Chv
164,164,25.424,106.199,23,10,Chv
165,165,25.204,107.126,23,10,Chv
166,166,25.205,107.122,23,10,Chv
167,167,25.354,106.492,23,10,Chv
168,168,25.355,106.488,23,10,Chv
169,169,25.297,106.732,22,10,Chv
170,170,25.484,105.949,22,10,Chv
171,171,25.448,106.099,22,10,Chv
172,172,25.463,106.036,21,10,Chv
173,173,25.416,106.232,19,10,Chv
174,174,25.591,105.506,19,10,Chv
175,175,25.562,105.626,16,10,Chv
176,176,33.539,80.503,15,10,Chv
177,177,47.413,56.946,30,10,Chv
178,178,23.689,113.977,29,10,Chv
179,179,23.483,114.977,28,10,Chv
180,180,32.799,82.320,27,10,Chv
181,181,53.742,50.240,27,10,Chv
182,182,57.413,47.028,27,10,Chv
183,183,54.026,49.976,27,10,Chv
184,184,58.182,46.406,27,10,Chv
185,185,57.591,46.882,27,10,Chv
186,186,47.52,56.818,27,10,Chv
187,187,47.213,57.188,26,10,Chv
188,188,29.378,91.906,26,10,Chv
189,189,23.959,112.693,26,10,Chv
190,190,23.925,112.853,25,10,Chv
191,191,28.627,94.317,25,10,Chv
192,192,57.589,46.884,25,10,Chv
193,193,57.383,47.052,27,10,Chv
194,194,57.762,46.744,23,10,Chv
195,195,58.927,45.819,23,10,Chv
196,196,44.307,60.938,23,10,Chv
197,197,24.125,111.917,22,10,Chv
198,198,32.646,82.705,21,10,Chv
199,199,62.223,43.392,23,10,Chv
200,200,53.583,50.389,21,10,Chv
201,201,59.389,45.463,21,10,Chv
202,202,58.481,46.169,21,10,Chv
203,203,57.991,46.559,19,10,Chv
204,204,59.628,45.281,20,10,Chv
205,205,59.348,45.494,20,10,Chv
206,206,59.212,45.599,20,10,Chv
207,207,58.648,46.037,20,10,Chv
208,208,60.336,44.749,20,10,Chv
209,209,58.946,45.805,19,10,Chv
210,210,57.627,46.853,19,10,Chv
211,211,58.028,46.529,19,10,Chv
212,212,62.006,43.544,19,10,Chv
213,213,47.705,56.598,20,10,Chv
214,214,24.184,111.644,19,10,Chv
215,215,24.214,111.506,20,10,Chv
216,216,24.196,111.589,21,10,Chv
217,217,24.485,110.272,23,10,Chv
218,218,24.441,110.470,24,10,Chv
219,219,24.35,110.883,23,10,Chv
220,220,24.482,110.285,23,10,Chv
221,221,24.641,109.573,24,10,Chv
222,222,24.751,109.087,24,10,Chv
223,223,24.801,108.867,24,10,Chv
224,224,24.742,109.126,24,10,Chv
225,225,24.945,108.238,25,10,Chv
226,226,24.959,108.177,25,10,Chv
227,227,25.007,107.970,25,10,Chv
228,228,24.909,108.395,25,10,Chv
229,229,24.879,108.525,25,10,Chv
230,230,25.791,104.688,25,10,Chv
231,231,44.798,60.271,25,10,Chv
232,232,46.867,57.610,25,10,Chv
233,233,57.834,46.685,25,10,Chv
