,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,21,16,Chv
1,1,50.932,176.706,22,16,Chv
2,2,46.945,191.714,30,16,Chv
3,3,46.704,192.703,32,16,Chv
4,4,46.804,192.291,31,16,Chv
5,5,46.956,191.669,35,16,Chv
6,6,46.998,191.498,34,16,Chv
7,7,46.498,193.557,34,16,Chv
8,8,46.655,192.905,34,16,Chv
9,9,46.704,192.703,34,16,Chv
10,10,47.254,190.460,37,16,Chv
11,11,49.882,180.426,36,16,Chv
12,12,106.092,84.832,36,16,Chv
13,13,186.162,48.345,39,16,Chv
14,14,84.008,107.133,37,16,Chv
15,15,93.835,95.913,36,16,Chv
16,16,50.165,179.408,37,16,Chv
17,17,45.751,196.717,35,16,Chv
18,18,47.251,190.472,32,16,Chv
19,19,96.85,92.927,33,16,Chv
20,20,124.716,72.164,33,16,Chv
21,21,138.676,64.899,34,16,Chv
22,22,136.995,65.696,31,16,Chv
23,23,101.343,88.807,29,16,Chv
24,24,49.922,180.281,27,16,Chv
25,25,46.479,193.636,29,16,Chv
26,26,46.295,194.405,28,16,Chv
27,27,48.528,185.460,27,16,Chv
28,28,117.497,76.598,23,16,Chv
29,29,782.488,11.502,18,16,Chv
30,30,189.271,47.551,19,16,Chv
31,31,184.002,48.913,30,16,Chv
32,32,96.658,93.112,24,16,Chv
33,33,105.141,85.599,20,16,Chv
34,34,50.058,179.791,18,16,Chv
35,35,46.795,192.328,17,16,Chv
36,36,91.474,98.389,17,16,Chv
37,37,124.028,72.564,17,16,Chv
38,38,128.012,70.306,21,16,Chv
39,39,121.523,74.060,8,16,Chv
40,40,128.411,70.087,7,16,Chv
41,41,122.261,73.613,7,16,Chv
42,42,51.568,174.527,5,16,Chv
43,43,47.376,189.970,4,16,Chv
44,44,47.429,189.757,5,16,Chv
45,45,47.583,189.143,12,16,Chv
46,46,47.738,188.529,14,16,Chv
47,47,47.685,188.739,14,16,Chv
48,48,47.917,187.825,17,16,Chv
49,49,47.781,188.359,19,16,Chv
50,50,48.151,186.912,21,16,Chv
51,51,48.312,186.289,23,16,Chv
52,52,48.539,185.418,24,16,Chv
53,53,48.735,184.672,25,16,Chv
54,54,48.849,184.241,25,16,Chv
55,55,48.355,186.123,25,16,Chv
56,56,47.547,189.286,21,16,Chv
57,57,47.127,190.973,20,16,Chv
58,58,48.074,187.211,22,16,Chv
59,59,47.966,187.633,22,16,Chv
60,60,47.8,188.285,19,16,Chv
61,61,48.118,187.040,17,16,Chv
62,62,49.027,183.572,21,16,Chv
63,63,49.416,182.127,25,16,Chv
64,64,49.396,182.201,26,16,Chv
