,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,7,3,Chv
1,1,51.159,175.922,8,3,Chv
2,2,47.044,191.310,10,3,Chv
3,3,46.833,192.172,14,3,Chv
4,4,46.968,191.620,18,3,Chv
5,5,46.74,192.555,24,3,Chv
6,6,47.973,187.606,36,3,Chv
7,7,46.662,192.876,37,3,Chv
8,8,46.4,193.966,36,3,Chv
9,9,46.608,193.100,36,3,Chv
10,10,47.081,191.160,36,3,Chv
11,11,49.388,182.231,35,3,Chv
12,12,105.859,85.019,35,3,Chv
13,13,124.787,72.123,29,3,Chv
14,14,138.121,65.160,28,3,Chv
15,15,100.937,89.165,27,3,Chv
16,16,50.109,179.608,26,3,Chv
17,17,46.351,194.171,28,3,Chv
18,18,47.081,191.160,29,3,Chv
19,19,94.916,94.821,28,3,Chv
20,20,124.6,72.231,29,3,Chv
21,21,133.229,67.553,26,3,Chv
22,22,144.346,62.350,29,3,Chv
23,23,102.008,88.228,28,3,Chv
24,24,50.912,176.776,35,3,Chv
25,25,47.508,189.442,37,3,Chv
26,26,46.265,194.532,37,3,Chv
27,27,49.996,180.014,34,3,Chv
28,28,122.056,73.737,27,3,Chv
29,29,783.218,11.491,23,3,Chv
30,30,185.305,48.569,24,3,Chv
31,31,139.628,64.457,18,3,Chv
32,32,130.876,68.767,18,3,Chv
33,33,112.366,80.095,26,3,Chv
34,34,51.716,174.027,26,3,Chv
35,35,50.028,179.899,26,3,Chv
36,36,93.085,96.686,26,3,Chv
37,37,122.407,73.525,26,3,Chv
38,38,118.075,76.223,17,3,Chv
39,39,133.858,67.235,19,3,Chv
40,40,127.149,70.783,16,3,Chv
41,41,115.134,78.170,17,3,Chv
42,42,51.304,175.425,15,3,Chv
43,43,47.408,189.841,18,3,Chv
44,44,47.421,189.789,19,3,Chv
45,45,47.372,189.986,19,3,Chv
46,46,48.054,187.289,27,3,Chv
47,47,48.164,186.862,28,3,Chv
48,48,47.481,189.550,27,3,Chv
49,49,47.739,188.525,28,3,Chv
50,50,47.879,187.974,26,3,Chv
51,51,48.173,186.827,25,3,Chv
52,52,48.58,185.261,26,3,Chv
53,53,48.482,185.636,24,3,Chv
54,54,48.778,184.509,24,3,Chv
55,55,48.359,186.108,24,3,Chv
56,56,48.169,186.842,25,3,Chv
57,57,47.252,190.468,25,3,Chv
58,58,47.899,187.895,25,3,Chv
59,59,48.156,186.893,26,3,Chv
60,60,48.129,186.997,26,3,Chv
61,61,47.36,190.034,22,3,Chv
62,62,48.989,183.715,24,3,Chv
63,63,48.848,184.245,20,3,Chv
64,64,49.316,182.497,23,3,Chv
65,65,48.218,186.652,23,3,Chv
66,66,47.745,188.501,23,3,Chv
67,67,48.154,186.900,23,3,Chv
68,68,47.994,187.523,23,3,Chv
69,69,47.867,188.021,23,3,Chv
70,70,48.142,186.947,21,3,Chv
71,71,47.755,188.462,17,3,Chv
72,72,47.895,187.911,19,3,Chv
73,73,47.904,187.876,19,3,Chv
74,74,47.609,189.040,20,3,Chv
75,75,48.094,187.134,24,3,Chv
76,76,47.361,190.030,23,3,Chv
77,77,47.872,188.001,22,3,Chv
78,78,47.682,188.750,23,3,Chv
79,79,47.505,189.454,23,3,Chv
80,80,47.41,189.833,17,3,Chv
81,81,47.496,189.490,19,3,Chv
82,82,46.852,192.094,16,3,Chv
83,83,63.587,141.538,20,3,Chv
84,84,156.234,57.606,20,3,Chv
85,85,122.554,73.437,13,3,Chv
86,86,147.796,60.895,22,3,Chv
87,87,111.731,80.551,21,3,Chv
88,88,50.396,178.586,19,3,Chv
89,89,46.678,192.810,16,3,Chv
90,90,47.023,191.396,14,3,Chv
91,91,46.932,191.767,15,3,Chv
92,92,46.534,193.407,13,3,Chv
93,93,46.719,192.641,13,3,Chv
