,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,30,9,Chv
1,1,50.562,177.999,27,9,Chv
2,2,46.888,191.947,31,9,Chv
3,3,46.894,191.922,35,9,Chv
4,4,46.598,193.141,33,9,Chv
5,5,46.372,194.083,28,9,Chv
6,6,46.429,193.844,22,9,Chv
7,7,46.71,192.678,23,9,Chv
8,8,46.753,192.501,22,9,Chv
9,9,46.71,192.678,22,9,Chv
10,10,47.059,191.249,23,9,Chv
11,11,47.082,191.156,24,9,Chv
12,12,102.244,88.025,24,9,Chv
13,13,127.305,70.696,23,9,Chv
14,14,132.038,68.162,20,9,Chv
15,15,110.833,81.203,20,9,Chv
16,16,50.297,178.937,21,9,Chv
17,17,46.163,194.961,17,9,Chv
18,18,46.927,191.787,21,9,Chv
19,19,93.017,96.757,21,9,Chv
20,20,123.466,72.895,22,9,Chv
21,21,134.279,67.025,18,9,Chv
22,22,148.792,60.487,33,9,Chv
23,23,100.383,89.657,31,9,Chv
24,24,49.712,181.043,26,9,Chv
25,25,46.231,194.675,23,9,Chv
26,26,46.365,194.112,24,9,Chv
27,27,47.328,190.162,20,9,Chv
28,28,109.333,82.317,14,9,Chv
29,29,786.252,11.447,12,9,Chv
30,30,190.568,47.227,12,9,Chv
31,31,141.085,63.791,10,9,Chv
32,32,129.952,69.256,9,9,Chv
33,33,118.338,76.053,9,9,Chv
34,34,50.291,178.958,8,9,Chv
35,35,48.067,187.239,19,9,Chv
36,36,92.516,97.280,19,9,Chv
37,37,123.492,72.879,19,9,Chv
38,38,121.107,74.314,11,9,Chv
39,39,133.694,67.318,16,9,Chv
40,40,127.785,70.431,14,9,Chv
41,41,117.038,76.898,14,9,Chv
42,42,51.659,174.219,17,9,Chv
43,43,47.504,189.458,23,9,Chv
44,44,47.313,190.223,21,9,Chv
45,45,46.961,191.648,11,9,Chv
46,46,47.478,189.561,9,9,Chv
47,47,47.684,188.743,8,9,Chv
48,48,47.772,188.395,9,9,Chv
49,49,47.885,187.950,10,9,Chv
50,50,48.05,187.305,12,9,Chv
51,51,48.224,186.629,11,9,Chv
52,52,48.333,186.208,10,9,Chv
53,53,48.609,185.151,10,9,Chv
54,54,48.806,184.404,10,9,Chv
55,55,48.231,186.602,17,9,Chv
56,56,47.714,188.624,16,9,Chv
57,57,47.636,188.933,16,9,Chv
58,58,47.987,187.551,16,9,Chv
59,59,47.79,188.324,16,9,Chv
60,60,48.052,187.297,14,9,Chv
61,61,48.371,186.062,14,9,Chv
62,62,48.791,184.460,14,9,Chv
63,63,49.197,182.938,14,9,Chv
64,64,49.166,183.053,18,9,Chv
65,65,48.193,186.749,20,9,Chv
66,66,47.86,188.048,19,9,Chv
67,67,48.168,186.846,21,9,Chv
68,68,48.027,187.395,21,9,Chv
69,69,47.835,188.147,21,9,Chv
70,70,48.101,187.106,15,9,Chv
71,71,47.843,188.115,15,9,Chv
72,72,47.93,187.774,15,9,Chv
73,73,47.552,189.266,12,9,Chv
74,74,47.583,189.143,12,9,Chv
75,75,47.581,189.151,10,9,Chv
76,76,47.642,188.909,6,9,Chv
77,77,47.83,188.166,6,9,Chv
78,78,47.514,189.418,7,9,Chv
79,79,47.672,188.790,9,9,Chv
80,80,47.437,189.725,7,9,Chv
81,81,47.583,189.143,6,9,Chv
82,82,47.252,190.468,9,9,Chv
83,83,61.815,145.596,9,9,Chv
84,84,152.363,59.069,8,9,Chv
85,85,123.341,72.968,2,9,Chv
86,86,136.286,66.038,2,9,Chv
87,87,127.054,70.836,2,9,Chv
88,88,51.049,176.301,5,9,Chv
89,89,47.017,191.420,7,9,Chv
90,90,47.041,191.322,7,9,Chv
91,91,46.806,192.283,7,9,Chv
92,92,46.703,192.707,6,9,Chv
93,93,46.705,192.699,6,9,Chv
94,94,46.816,192.242,5,9,Chv
95,95,47.156,190.856,13,9,Chv
96,96,92.541,97.254,13,9,Chv
97,97,129.225,69.646,13,9,Chv
98,98,131.354,68.517,17,9,Chv
99,99,117.68,76.479,3,9,Chv
100,100,131.163,68.617,6,9,Chv
101,101,125.52,71.702,18,9,Chv
102,102,51.159,175.922,16,9,Chv
103,103,47.846,188.103,18,9,Chv
104,104,48.182,186.792,18,9,Chv
105,105,48.031,187.379,17,9,Chv
106,106,48.598,185.193,18,9,Chv
107,107,48.661,184.953,20,9,Chv
108,108,48.967,183.797,19,9,Chv
109,109,110.757,81.259,19,9,Chv
110,110,131.049,68.677,19,9,Chv
111,111,123.386,72.942,12,9,Chv
112,112,141.174,63.751,22,9,Chv
113,113,126.533,71.128,20,9,Chv
114,114,125.642,71.632,19,9,Chv
115,115,116.773,77.073,23,9,Chv
116,116,49.714,181.036,21,9,Chv
117,117,47.064,191.229,14,9,Chv
118,118,47.521,189.390,15,9,Chv
119,119,47.058,191.253,14,9,Chv
120,120,47.262,190.428,13,9,Chv
121,121,47.342,190.106,14,9,Chv
122,122,47.277,190.367,13,9,Chv
123,123,47.6,189.076,13,9,Chv
124,124,47.649,188.881,12,9,Chv
125,125,47.769,188.407,13,9,Chv
126,126,47.234,190.541,10,9,Chv
127,127,47.205,190.658,14,9,Chv
128,128,47.267,190.408,11,9,Chv
129,129,47.151,190.876,12,9,Chv
130,130,47.148,190.888,9,9,Chv
131,131,46.868,192.029,11,9,Chv
132,132,46.626,193.025,9,9,Chv
133,133,46.909,191.861,10,9,Chv
134,134,47.046,191.302,10,9,Chv
135,135,46.843,192.131,11,9,Chv
136,136,46.839,192.148,11,9,Chv
137,137,46.772,192.423,10,9,Chv
138,138,47.149,190.884,13,9,Chv
139,139,46.711,192.674,9,9,Chv
