,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,24,17,Frd
1,1,50.77,177.270,20,17,Frd
2,2,46.584,193.199,17,17,Frd
3,3,46.612,193.083,12,17,Frd
4,4,46.837,192.156,11,17,Frd
5,5,46.437,193.811,11,17,Frd
6,6,46.434,193.823,10,17,Frd
7,7,46.751,192.509,10,17,Frd
8,8,46.692,192.753,10,17,Frd
9,9,46.81,192.267,11,17,Frd
10,10,46.85,192.102,11,17,Frd
11,11,46.978,191.579,11,17,Frd
12,12,97.069,92.718,11,17,Frd
13,13,127.389,70.650,12,17,Frd
14,14,157.301,57.215,38,17,Frd
15,15,93.16,96.608,38,17,Frd
16,16,50.047,179.831,39,17,Frd
17,17,46.241,194.632,37,17,Frd
18,18,47.977,187.590,37,17,Frd
19,19,99.003,90.906,37,17,Frd
20,20,123.549,72.846,38,17,Frd
21,21,132.697,67.824,32,17,Frd
22,22,151.168,59.536,38,17,Frd
23,23,91.349,98.523,34,17,Frd
24,24,50.311,178.887,34,17,Frd
25,25,46.039,195.486,33,17,Frd
26,26,46.639,192.972,33,17,Frd
27,27,49.706,181.065,33,17,Frd
28,28,121.601,74.013,26,17,Frd
29,29,783.999,11.480,22,17,Frd
30,30,185.492,48.520,23,17,Frd
31,31,139.947,64.310,17,17,Frd
32,32,134.797,66.767,22,17,Frd
33,33,107.352,83.836,21,17,Frd
34,34,52.12,172.678,24,17,Frd
35,35,50.011,179.960,24,17,Frd
36,36,91.518,98.341,24,17,Frd
37,37,123.703,72.755,24,17,Frd
38,38,118.79,75.764,14,17,Frd
39,39,127.208,70.750,10,17,Frd
40,40,128.11,70.252,9,17,Frd
41,41,121.048,74.351,8,17,Frd
42,42,51.698,174.088,10,17,Frd
43,43,47.431,189.749,12,17,Frd
44,44,47.24,190.517,6,17,Frd
45,45,46.987,191.542,4,17,Frd
46,46,47.6,189.076,4,17,Frd
47,47,47.499,189.478,4,17,Frd
48,48,47.731,188.557,4,17,Frd
49,49,47.872,188.001,4,17,Frd
50,50,48.053,187.293,4,17,Frd
51,51,48.017,187.434,4,17,Frd
52,52,48.398,185.958,4,17,Frd
53,53,48.604,185.170,4,17,Frd
54,54,48.857,184.211,4,17,Frd
55,55,48.458,185.728,7,17,Frd
56,56,47.717,188.612,9,17,Frd
57,57,47.727,188.573,8,17,Frd
58,58,47.857,188.060,8,17,Frd
59,59,47.823,188.194,8,17,Frd
60,60,48.242,186.559,8,17,Frd
61,61,48.37,186.066,8,17,Frd
62,62,48.788,184.472,9,17,Frd
63,63,49.192,182.957,9,17,Frd
64,64,49.167,183.050,11,17,Frd
65,65,48.214,186.668,14,17,Frd
66,66,47.748,188.490,9,17,Frd
67,67,48.054,187.289,8,17,Frd
68,68,47.895,187.911,8,17,Frd
69,69,47.791,188.320,7,17,Frd
70,70,48.427,185.847,8,17,Frd
71,71,47.956,187.672,8,17,Frd
72,72,47.874,187.993,7,17,Frd
73,73,47.622,188.988,6,17,Frd
74,74,47.736,188.537,11,17,Frd
75,75,47.801,188.281,14,17,Frd
76,76,47.703,188.667,13,17,Frd
77,77,47.815,188.225,12,17,Frd
78,78,47.668,188.806,16,17,Frd
79,79,47.609,189.040,17,17,Frd
80,80,47.549,189.278,12,17,Frd
81,81,47.267,190.408,9,17,Frd
82,82,47.047,191.298,6,17,Frd
83,83,61.53,146.270,6,17,Frd
84,84,151.829,59.277,7,17,Frd
85,85,125.987,71.436,6,17,Frd
86,86,144.415,62.320,14,17,Frd
87,87,117.977,76.286,14,17,Frd
88,88,50.71,177.480,15,17,Frd
89,89,47.005,191.469,17,17,Frd
90,90,47.041,191.322,17,17,Frd
91,91,46.887,191.951,16,17,Frd
92,92,46.612,193.083,15,17,Frd
93,93,46.681,192.798,15,17,Frd
94,94,46.927,191.787,14,17,Frd
95,95,46.999,191.493,14,17,Frd
96,96,92.574,97.220,14,17,Frd
97,97,127.866,70.386,12,17,Frd
98,98,124.529,72.272,7,17,Frd
99,99,127.519,70.578,6,17,Frd
100,100,126.85,70.950,2,17,Frd
101,101,126.548,71.119,3,17,Frd
102,102,51.672,174.176,4,17,Frd
103,103,47.805,188.265,3,17,Frd
104,104,47.989,187.543,3,17,Frd
105,105,48.216,186.660,4,17,Frd
106,106,48.476,185.659,4,17,Frd
107,107,48.733,184.680,4,17,Frd
108,108,48.864,184.185,6,17,Frd
109,109,106.516,84.494,6,17,Frd
110,110,129.877,69.296,6,17,Frd
111,111,126.687,71.041,7,17,Frd
112,112,137.226,65.585,12,17,Frd
113,113,127.838,70.402,10,17,Frd
114,114,124.178,72.477,7,17,Frd
115,115,121.567,74.033,5,17,Frd
116,116,51.348,175.275,4,17,Frd
117,117,47.41,189.833,4,17,Frd
118,118,47.422,189.785,5,17,Frd
119,119,47.206,190.654,7,17,Frd
120,120,47.315,190.215,7,17,Frd
121,121,47.351,190.070,7,17,Frd
122,122,47.249,190.480,7,17,Frd
123,123,47.592,189.107,8,17,Frd
124,124,47.663,188.826,7,17,Frd
125,125,47.723,188.588,5,17,Frd
126,126,47.202,190.670,2,17,Frd
127,127,47.223,190.585,3,17,Frd
128,128,47.337,190.126,2,17,Frd
129,129,47.077,191.176,2,17,Frd
130,130,47.165,190.819,2,17,Frd
131,131,46.895,191.918,3,17,Frd
132,132,46.588,193.183,2,17,Frd
133,133,46.942,191.726,2,17,Frd
134,134,47.082,191.156,3,17,Frd
135,135,46.752,192.505,3,17,Frd
136,136,46.842,192.135,3,17,Frd
137,137,46.807,192.279,3,17,Frd
138,138,47.048,191.294,2,17,Frd
139,139,46.91,191.857,4,17,Frd
140,140,47.172,190.791,4,17,Frd
141,141,47.264,190.420,5,17,Frd
142,142,47.11,191.042,4,17,Frd
143,143,46.934,191.759,4,17,Frd
144,144,46.965,191.632,5,17,Frd
145,145,46.668,192.852,4,17,Frd
146,146,46.624,193.034,3,17,Frd
147,147,46.869,192.025,2,17,Frd
148,148,47.366,190.010,4,17,Frd
149,149,91.259,98.620,6,17,Frd
150,150,125.906,71.482,5,17,Frd
151,151,128.185,70.211,5,17,Frd
152,152,122.919,73.219,6,17,Frd
153,153,49.962,180.137,6,17,Frd
154,154,46.171,194.928,6,17,Frd
155,155,46.574,193.241,4,17,Frd
156,156,46.696,192.736,4,17,Frd
157,157,46.471,193.669,4,17,Frd
158,158,46.606,193.108,2,17,Frd
159,159,47.282,190.347,6,17,Frd
160,160,47.062,191.237,6,17,Frd
