,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,29,41,Frd
1,1,50.653,177.680,34,41,Frd
2,2,46.428,193.849,28,41,Frd
3,3,46.567,193.270,27,41,Frd
4,4,46.793,192.336,26,41,Frd
5,5,46.477,193.644,22,41,Frd
6,6,46.403,193.953,19,41,Frd
7,7,46.751,192.509,19,41,Frd
8,8,46.732,192.588,18,41,Frd
9,9,46.787,192.361,20,41,Frd
10,10,47.046,191.302,21,41,Frd
11,11,47.085,191.144,22,41,Frd
12,12,101.256,88.884,22,41,Frd
13,13,127.656,70.502,21,41,Frd
14,14,133.688,67.321,21,41,Frd
15,15,110.676,81.318,29,41,Frd
16,16,50.833,177.050,36,41,Frd
17,17,46.325,194.280,36,41,Frd
18,18,47.566,189.211,36,41,Frd
19,19,99.069,90.846,36,41,Frd
20,20,123.313,72.985,37,41,Frd
21,21,133.04,67.649,31,41,Frd
22,22,142.885,62.988,34,41,Frd
23,23,99.876,90.112,33,41,Frd
24,24,50.826,177.075,38,41,Frd
25,25,47.373,189.982,38,41,Frd
26,26,46.431,193.836,38,41,Frd
27,27,53.681,167.657,39,41,Frd
28,28,124.288,72.412,31,41,Frd
29,29,780.596,11.530,27,41,Frd
30,30,186.021,48.382,28,41,Frd
31,31,139.084,64.709,21,41,Frd
32,32,131.782,68.295,23,41,Frd
33,33,106.105,84.822,22,41,Frd
34,34,52.151,172.576,25,41,Frd
35,35,50.129,179.537,25,41,Frd
36,36,92.784,96.999,25,41,Frd
37,37,123.249,73.023,25,41,Frd
38,38,118.134,76.185,15,41,Frd
39,39,129.087,69.720,13,41,Frd
40,40,127.527,70.573,11,41,Frd
41,41,119.458,75.340,11,41,Frd
42,42,51.426,175.009,9,41,Frd
43,43,47.269,190.400,6,41,Frd
44,44,47.447,189.685,7,41,Frd
45,45,47.56,189.235,15,41,Frd
46,46,47.757,188.454,17,41,Frd
47,47,47.696,188.695,16,41,Frd
48,48,47.943,187.723,19,41,Frd
49,49,47.762,188.434,21,41,Frd
50,50,48.156,186.893,23,41,Frd
51,51,48.184,186.784,22,41,Frd
52,52,48.331,186.216,20,41,Frd
53,53,48.647,185.006,19,41,Frd
54,54,48.77,184.540,21,41,Frd
55,55,48.427,185.847,23,41,Frd
56,56,48.196,186.737,24,41,Frd
57,57,47.248,190.484,24,41,Frd
58,58,47.915,187.833,24,41,Frd
59,59,48.146,186.931,25,41,Frd
60,60,47.966,187.633,24,41,Frd
61,61,47.664,188.822,20,41,Frd
62,62,48.581,185.258,16,41,Frd
63,63,49.185,182.983,16,41,Frd
64,64,49.203,182.916,21,41,Frd
65,65,48.203,186.710,22,41,Frd
66,66,47.838,188.135,21,41,Frd
67,67,47.871,188.005,16,41,Frd
68,68,47.929,187.778,15,41,Frd
69,69,47.882,187.962,16,41,Frd
70,70,48.453,185.747,18,41,Frd
71,71,47.682,188.750,13,41,Frd
72,72,47.908,187.860,14,41,Frd
73,73,47.729,188.565,15,41,Frd
74,74,47.534,189.338,14,41,Frd
75,75,47.473,189.581,8,41,Frd
76,76,47.835,188.147,11,41,Frd
77,77,47.797,188.296,7,41,Frd
78,78,47.345,190.094,6,41,Frd
79,79,47.4,189.873,3,41,Frd
80,80,47.438,189.721,1,41,Frd
81,81,47.48,189.553,1,41,Frd
82,82,47.275,190.375,1,41,Frd
83,83,60.353,149.123,1,41,Frd
84,84,148.912,60.438,1,41,Frd
85,85,128.953,69.793,3,41,Frd
86,86,144.448,62.306,12,41,Frd
87,87,119.286,75.449,12,41,Frd
88,88,50.746,177.354,14,41,Frd
89,89,46.986,191.546,15,41,Frd
90,90,47.041,191.322,15,41,Frd
91,91,47.431,189.749,19,41,Frd
92,92,46.945,191.714,19,41,Frd
93,93,47.103,191.071,20,41,Frd
94,94,47.501,189.470,22,41,Frd
95,95,46.376,194.066,21,41,Frd
96,96,95.425,94.315,21,41,Frd
97,97,129.401,69.551,20,41,Frd
98,98,116.361,77.346,3,41,Frd
99,99,127.602,70.532,2,41,Frd
100,100,139.891,64.336,20,41,Frd
101,101,116.765,77.078,13,41,Frd
102,102,51.48,174.825,14,41,Frd
103,103,47.798,188.292,14,41,Frd
104,104,48.068,187.235,14,41,Frd
