,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,26,43,Tyt
1,1,50.756,177.319,23,43,Tyt
2,2,46.912,191.849,29,43,Tyt
3,3,47.005,191.469,36,43,Tyt
4,4,47.352,190.066,38,43,Tyt
5,5,46.762,192.464,38,43,Tyt
6,6,46.86,192.061,38,43,Tyt
7,7,46.834,192.168,38,43,Tyt
8,8,46.324,194.284,38,43,Tyt
9,9,46.623,193.038,37,43,Tyt
10,10,46.954,191.677,38,43,Tyt
11,11,50.266,179.047,37,43,Tyt
12,12,106.357,84.621,37,43,Tyt
13,13,125.299,71.828,30,43,Tyt
14,14,137.205,65.595,29,43,Tyt
15,15,99.959,90.037,28,43,Tyt
16,16,50.789,177.204,34,43,Tyt
17,17,45.873,196.194,34,43,Tyt
18,18,47.592,189.107,34,43,Tyt
19,19,97.355,92.445,34,43,Tyt
20,20,124.375,72.362,34,43,Tyt
21,21,132.352,68.000,29,43,Tyt
22,22,140.006,64.283,26,43,Tyt
23,23,103.954,86.577,26,43,Tyt
24,24,51.012,176.429,33,43,Tyt
25,25,46.824,192.209,35,43,Tyt
26,26,46.709,192.682,35,43,Tyt
27,27,53.118,169.434,38,43,Tyt
28,28,120.585,74.636,28,43,Tyt
29,29,782.979,11.495,24,43,Tyt
30,30,185.022,48.643,25,43,Tyt
31,31,139.839,64.360,19,43,Tyt
32,32,131.859,68.255,21,43,Tyt
33,33,108.363,83.054,18,43,Tyt
34,34,50.98,176.540,22,43,Tyt
35,35,47.785,188.344,21,43,Tyt
36,36,93.029,96.744,21,43,Tyt
37,37,123.173,73.068,21,43,Tyt
38,38,120.363,74.774,12,43,Tyt
39,39,130.082,69.187,11,43,Tyt
40,40,127.39,70.649,10,43,Tyt
41,41,120.159,74.901,10,43,Tyt
42,42,51.684,174.135,12,43,Tyt
43,43,47.483,189.542,17,43,Tyt
44,44,47.278,190.363,14,43,Tyt
45,45,47.019,191.412,5,43,Tyt
46,46,47.595,189.095,7,43,Tyt
47,47,47.923,187.801,10,43,Tyt
48,48,47.616,189.012,8,43,Tyt
49,49,47.814,188.229,8,43,Tyt
50,50,48.054,187.289,10,43,Tyt
51,51,48.209,186.687,9,43,Tyt
52,52,48.319,186.262,9,43,Tyt
53,53,48.624,185.094,9,43,Tyt
54,54,48.824,184.336,9,43,Tyt
55,55,48.235,186.587,15,43,Tyt
56,56,47.822,188.198,17,43,Tyt
57,57,47.785,188.344,18,43,Tyt
58,58,47.812,188.237,17,43,Tyt
59,59,47.88,187.970,17,43,Tyt
60,60,48.142,186.947,17,43,Tyt
61,61,48.391,185.985,18,43,Tyt
62,62,48.955,183.842,22,43,Tyt
63,63,49.082,183.367,22,43,Tyt
64,64,48.665,184.938,12,43,Tyt
65,65,48.214,186.668,15,43,Tyt
66,66,48.076,187.204,18,43,Tyt
67,67,48.149,186.920,20,43,Tyt
68,68,48.036,187.359,20,43,Tyt
69,69,47.789,188.328,20,43,Tyt
70,70,48.411,185.908,20,43,Tyt
71,71,48.128,187.001,23,43,Tyt
72,72,47.954,187.680,23,43,Tyt
73,73,47.801,188.281,23,43,Tyt
74,74,47.606,189.052,23,43,Tyt
75,75,47.317,190.206,20,43,Tyt
76,76,47.583,189.143,19,43,Tyt
77,77,47.844,188.111,19,43,Tyt
78,78,47.592,189.107,20,43,Tyt
79,79,47.655,188.857,20,43,Tyt
80,80,47.795,188.304,18,43,Tyt
81,81,47.28,190.355,18,43,Tyt
82,82,47.155,190.860,20,43,Tyt
83,83,63.32,142.135,19,43,Tyt
84,84,156.269,57.593,19,43,Tyt
85,85,121.972,73.787,12,43,Tyt
86,86,147.465,61.031,21,43,Tyt
87,87,112.745,79.826,22,43,Tyt
88,88,50.56,178.006,23,43,Tyt
89,89,47.993,187.527,22,43,Tyt
90,90,46.903,191.885,22,43,Tyt
