,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,40,44,Chv
1,1,50.31,178.891,38,44,Chv
2,2,46.557,193.311,38,44,Chv
3,3,46.681,192.798,37,44,Chv
4,4,47.332,190.146,39,44,Chv
5,5,46.764,192.456,39,44,Chv
6,6,46.85,192.102,39,44,Chv
7,7,47.27,190.396,39,44,Chv
8,8,47.911,187.848,39,44,Chv
9,9,49.3,182.556,39,44,Chv
10,10,49.851,180.538,39,44,Chv
11,11,52.889,170.168,38,44,Chv
12,12,97.013,92.771,38,44,Chv
13,13,153.462,58.646,37,44,Chv
14,14,113.979,78.962,35,44,Chv
15,15,94.787,94.950,35,44,Chv
16,16,50.293,178.951,38,44,Chv
17,17,46.656,192.901,39,44,Chv
18,18,46.714,192.662,35,44,Chv
19,19,97.683,92.135,35,44,Chv
20,20,124.61,72.225,35,44,Chv
21,21,218.773,41.139,40,44,Chv
22,22,71.366,126.110,39,44,Chv
23,23,86.425,104.137,37,44,Chv
24,24,50.378,178.649,37,44,Chv
25,25,46.603,193.121,36,44,Chv
26,26,46.69,192.761,36,44,Chv
27,27,51.134,176.008,35,44,Chv
28,28,124.475,72.304,29,44,Chv
29,29,781.789,11.512,25,44,Chv
30,30,185.327,48.563,26,44,Chv
31,31,168.009,53.569,29,44,Chv
32,32,110.893,81.159,27,44,Chv
33,33,103.684,86.802,30,44,Chv
34,34,52.357,171.897,30,44,Chv
35,35,50.668,177.627,30,44,Chv
36,36,93.797,95.952,29,44,Chv
37,37,121.269,74.215,29,44,Chv
38,38,114.085,78.889,13,44,Chv
39,39,134.391,66.969,17,44,Chv
40,40,135.869,66.240,25,44,Chv
41,41,107.987,83.343,25,44,Chv
42,42,51.588,174.459,29,44,Chv
43,43,47.439,189.717,29,44,Chv
44,44,47.885,187.950,30,44,Chv
45,45,47.718,188.608,29,44,Chv
46,46,46.579,193.220,29,44,Chv
47,47,47.807,188.257,27,44,Chv
48,48,47.69,188.719,28,44,Chv
49,49,47.592,189.107,27,44,Chv
50,50,48.217,186.656,28,44,Chv
51,51,48.202,186.714,28,44,Chv
52,52,48.708,184.775,28,44,Chv
53,53,48.464,185.705,28,44,Chv
54,54,48.95,183.861,28,44,Chv
55,55,48.368,186.073,28,44,Chv
56,56,47.982,187.570,28,44,Chv
57,57,47.652,188.869,28,44,Chv
58,58,47.571,189.191,29,44,Chv
59,59,48.129,186.997,29,44,Chv
60,60,48.085,187.169,29,44,Chv
61,61,47.742,188.513,29,44,Chv
62,62,48.89,184.087,29,44,Chv
63,63,49.111,183.258,29,44,Chv
64,64,49.332,182.437,29,44,Chv
65,65,48.309,186.301,29,44,Chv
66,66,47.551,189.270,29,44,Chv
67,67,48.442,185.789,29,44,Chv
68,68,195.587,46.015,33,44,Chv
69,69,65.707,136.972,33,44,Chv
70,70,50.705,177.497,33,44,Chv
71,71,50.688,177.557,33,44,Chv
72,72,50.759,177.308,32,44,Chv
73,73,50.822,177.089,32,44,Chv
74,74,50.783,177.225,32,44,Chv
75,75,50.919,176.751,32,44,Chv
76,76,50.944,176.665,32,44,Chv
77,77,50.973,176.564,32,44,Chv
78,78,47.215,190.617,32,44,Chv
79,79,64.454,139.634,32,44,Chv
80,80,157.233,57.240,32,44,Chv
81,81,118.173,76.160,32,44,Chv
82,82,148.087,60.775,32,44,Chv
83,83,114.313,78.731,31,44,Chv
84,84,52.365,171.871,31,44,Chv
85,85,48.596,185.200,31,44,Chv
86,86,48.764,184.562,31,44,Chv
87,87,48.705,184.786,31,44,Chv
