,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,34,42,Tyt
1,1,50.277,179.008,29,42,Tyt
2,2,46.372,194.083,21,42,Tyt
3,3,46.915,191.836,28,42,Tyt
4,4,46.974,191.595,32,42,Tyt
5,5,46.54,193.382,30,42,Tyt
6,6,46.439,193.803,25,42,Tyt
7,7,46.695,192.740,25,42,Tyt
8,8,46.763,192.460,24,42,Tyt
9,9,46.706,192.695,24,42,Tyt
10,10,46.835,192.164,22,42,Tyt
11,11,47.02,191.408,21,42,Tyt
12,12,100.398,89.643,20,42,Tyt
13,13,137.618,65.398,31,42,Tyt
14,14,125.504,71.711,22,42,Tyt
15,15,109.209,82.411,21,42,Tyt
16,16,50.153,179.451,20,42,Tyt
17,17,46.618,193.058,27,42,Tyt
18,18,46.645,192.947,24,42,Tyt
19,19,93.986,95.759,25,42,Tyt
20,20,123.944,72.613,25,42,Tyt
21,21,151.066,59.577,35,42,Tyt
22,22,131.926,68.220,35,42,Tyt
23,23,99.085,90.831,32,42,Tyt
24,24,49.97,180.108,30,42,Tyt
25,25,46.347,194.187,32,42,Tyt
26,26,46.584,193.199,32,42,Tyt
27,27,48.383,186.016,30,42,Tyt
28,28,113.441,79.336,21,42,Tyt
29,29,851.81,10.566,31,42,Tyt
30,30,133.362,67.485,29,42,Tyt
31,31,146.519,61.425,24,42,Tyt
32,32,128.065,70.277,26,42,Tyt
33,33,102.253,88.017,24,42,Tyt
34,34,49.339,182.411,20,42,Tyt
35,35,46.508,193.515,16,42,Tyt
36,36,91.065,98.831,16,42,Tyt
37,37,123.796,72.700,16,42,Tyt
38,38,128.651,69.957,20,42,Tyt
39,39,119.284,75.450,5,42,Tyt
40,40,128.19,70.208,4,42,Tyt
41,41,124.604,72.229,3,42,Tyt
42,42,51.738,173.953,2,42,Tyt
43,43,47.444,189.697,2,42,Tyt
44,44,47.433,189.741,3,42,Tyt
45,45,47.417,189.805,7,42,Tyt
46,46,47.802,188.277,12,42,Tyt
47,47,47.741,188.517,12,42,Tyt
48,48,47.897,187.903,15,42,Tyt
49,49,47.807,188.257,16,42,Tyt
50,50,48.066,187.243,18,42,Tyt
51,51,48.217,186.656,17,42,Tyt
52,52,48.39,185.989,16,42,Tyt
53,53,48.664,184.942,15,42,Tyt
54,54,48.751,184.612,18,42,Tyt
55,55,48.336,186.197,21,42,Tyt
56,56,48.203,186.710,22,42,Tyt
57,57,47.198,190.686,22,42,Tyt
58,58,47.843,188.115,21,42,Tyt
59,59,47.912,187.844,20,42,Tyt
60,60,48.126,187.009,21,42,Tyt
61,61,48.365,186.085,24,42,Tyt
62,62,48.753,184.604,23,42,Tyt
63,63,49.069,183.415,23,42,Tyt
64,64,48.668,184.926,15,42,Tyt
65,65,48.206,186.699,16,42,Tyt
66,66,47.91,187.852,17,42,Tyt
67,67,48.071,187.223,17,42,Tyt
68,68,47.942,187.727,16,42,Tyt
69,69,47.89,187.931,17,42,Tyt
70,70,48.201,186.718,13,42,Tyt
71,71,47.948,187.703,14,42,Tyt
72,72,47.859,188.052,13,42,Tyt
73,73,47.653,188.865,14,42,Tyt
74,74,47.675,188.778,16,42,Tyt
75,75,47.811,188.241,18,42,Tyt
76,76,47.818,188.214,20,42,Tyt
77,77,47.947,187.707,21,42,Tyt
78,78,47.438,189.721,19,42,Tyt
79,79,47.696,188.695,21,42,Tyt
80,80,47.402,189.865,14,42,Tyt
81,81,47.349,190.078,13,42,Tyt
82,82,47.022,191.400,11,42,Tyt
83,83,61.733,145.789,10,42,Tyt
84,84,155.043,58.048,11,42,Tyt
85,85,145.332,61.927,24,42,Tyt
86,86,125.862,71.507,19,42,Tyt
87,87,113.971,78.967,19,42,Tyt
88,88,50.478,178.295,18,42,Tyt
89,89,46.708,192.686,14,42,Tyt
90,90,47.003,191.477,12,42,Tyt
91,91,46.766,192.448,11,42,Tyt
92,92,46.668,192.852,10,42,Tyt
93,93,46.673,192.831,10,42,Tyt
94,94,46.765,192.452,9,42,Tyt
95,95,46.789,192.353,5,42,Tyt
96,96,87.037,103.404,5,42,Tyt
97,97,127.991,70.317,4,42,Tyt
98,98,137.774,65.324,16,42,Tyt
99,99,121.438,74.112,8,42,Tyt
100,100,127.026,70.852,4,42,Tyt
101,101,125.208,71.880,2,42,Tyt
102,102,51.621,174.348,1,42,Tyt
103,103,47.81,188.245,2,42,Tyt
104,104,48.005,187.480,2,42,Tyt
105,105,48.082,187.180,1,42,Tyt
106,106,48.494,185.590,1,42,Tyt
107,107,48.654,184.980,1,42,Tyt
108,108,48.804,184.411,1,42,Tyt
109,109,104.542,86.090,1,42,Tyt
110,110,128.394,70.097,1,42,Tyt
111,111,136.459,65.954,14,42,Tyt
112,112,126.781,70.989,7,42,Tyt
113,113,127.355,70.669,5,42,Tyt
114,114,154.148,58.385,26,42,Tyt
115,115,100.398,89.643,26,42,Tyt
116,116,50.501,178.214,26,42,Tyt
117,117,47.339,190.118,26,42,Tyt
118,118,46.987,191.542,26,42,Tyt
119,119,46.374,194.074,26,42,Tyt
