,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,1,12,Frd
1,1,51.299,175.442,1,12,Frd
2,2,46.859,192.066,1,12,Frd
3,3,46.533,193.411,1,12,Frd
4,4,46.664,192.868,1,12,Frd
5,5,46.71,192.678,1,12,Frd
6,6,46.34,194.217,1,12,Frd
7,7,46.65,192.926,1,12,Frd
8,8,46.732,192.588,1,12,Frd
9,9,47.165,190.819,1,12,Frd
10,10,46.813,192.254,1,12,Frd
11,11,46.8,192.308,1,12,Frd
12,12,90.811,99.107,1,12,Frd
13,13,126.297,71.261,1,12,Frd
14,14,128.692,69.934,1,12,Frd
15,15,126.804,70.976,1,12,Frd
16,16,50.504,178.204,1,12,Frd
17,17,46.597,193.145,1,12,Frd
18,18,46.526,193.440,1,12,Frd
19,19,81.198,110.840,1,12,Frd
20,20,123.529,72.857,1,12,Frd
21,21,137.889,65.270,1,12,Frd
22,22,129.876,69.297,1,12,Frd
23,23,126.135,71.352,1,12,Frd
24,24,50.852,176.984,3,12,Frd
25,25,46.628,193.017,3,12,Frd
26,26,46.485,193.611,3,12,Frd
27,27,46.319,194.305,2,12,Frd
28,28,100.804,89.282,2,12,Frd
29,29,785.306,11.461,2,12,Frd
30,30,192.627,46.722,2,12,Frd
31,31,144.228,62.401,1,12,Frd
32,32,128.085,70.266,1,12,Frd
33,33,125.703,71.597,2,12,Frd
34,34,50.485,178.271,1,12,Frd
35,35,46.947,191.706,3,12,Frd
36,36,82.456,109.149,3,12,Frd
37,37,122.96,73.195,3,12,Frd
38,38,127.744,70.453,2,12,Frd
39,39,141.045,63.809,18,12,Frd
40,40,126.854,70.948,15,12,Frd
41,41,116.1,77.519,15,12,Frd
42,42,51.36,175.234,13,12,Frd
43,43,47.406,189.849,16,12,Frd
44,44,47.402,189.865,16,12,Frd
45,45,47.336,190.130,16,12,Frd
46,46,47.753,188.470,19,12,Frd
47,47,48.661,184.953,29,12,Frd
48,48,47.656,188.853,29,12,Frd
49,49,47.59,189.115,29,12,Frd
50,50,48.213,186.672,29,12,Frd
51,51,48.22,186.645,29,12,Frd
52,52,48.838,184.283,29,12,Frd
53,53,48.301,186.332,29,12,Frd
54,54,49.142,183.143,29,12,Frd
55,55,48.22,186.645,29,12,Frd
56,56,47.96,187.656,29,12,Frd
57,57,47.701,188.675,29,12,Frd
58,58,47.278,190.363,28,12,Frd
59,59,48.051,187.301,28,12,Frd
60,60,48.145,186.935,28,12,Frd
61,61,47.736,188.537,28,12,Frd
62,62,48.895,184.068,28,12,Frd
63,63,49.097,183.311,28,12,Frd
64,64,49.296,182.571,28,12,Frd
65,65,48.34,186.181,28,12,Frd
66,66,47.569,189.199,28,12,Frd
67,67,48.247,186.540,28,12,Frd
68,68,48.051,187.301,28,12,Frd
69,69,47.815,188.225,28,12,Frd
70,70,48.341,186.177,28,12,Frd
71,71,48.2,186.722,28,12,Frd
72,72,47.662,188.830,28,12,Frd
73,73,48.076,187.204,28,12,Frd
74,74,47.546,189.290,28,12,Frd
75,75,47.647,188.889,28,12,Frd
76,76,47.286,190.331,28,12,Frd
77,77,48.029,187.387,28,12,Frd
78,78,47.218,190.605,26,12,Frd
79,79,47.408,189.841,27,12,Frd
80,80,47.407,189.845,21,12,Frd
81,81,46.918,191.824,17,12,Frd
82,82,46.934,191.759,15,12,Frd
83,83,62.375,144.289,14,12,Frd
84,84,155.305,57.950,14,12,Frd
85,85,121.508,74.069,7,12,Frd
86,86,135.785,66.281,4,12,Frd
87,87,125.718,71.589,4,12,Frd
88,88,51.022,176.394,7,12,Frd
89,89,47.027,191.379,9,12,Frd
90,90,47.046,191.302,9,12,Frd
91,91,46.809,192.271,9,12,Frd
92,92,46.692,192.753,8,12,Frd
93,93,46.716,192.653,9,12,Frd
94,94,46.817,192.238,8,12,Frd
95,95,46.858,192.070,6,12,Frd
96,96,87.613,102.724,6,12,Frd
97,97,128.494,70.042,6,12,Frd
98,98,127.878,70.380,4,12,Frd
99,99,144.303,62.369,26,12,Frd
100,100,122.277,73.603,21,12,Frd
101,101,118.475,75.965,26,12,Frd
102,102,51.131,176.018,28,12,Frd
103,103,47.62,188.996,28,12,Frd
104,104,48.67,184.919,27,12,Frd
105,105,47.776,188.379,27,12,Frd
106,106,47.828,188.174,27,12,Frd
107,107,48.907,184.023,27,12,Frd
108,108,49.711,181.046,27,12,Frd
109,109,116.729,77.102,27,12,Frd
110,110,129.252,69.631,27,12,Frd
111,111,122.535,73.448,20,12,Frd
112,112,124.509,72.284,6,12,Frd
113,113,143.239,62.832,26,12,Frd
114,114,123.593,72.820,23,12,Frd
115,115,114.425,78.654,25,12,Frd
116,116,50.332,178.813,25,12,Frd
117,117,46.977,191.583,25,12,Frd
118,118,47.59,189.115,25,12,Frd
119,119,47.165,190.819,25,12,Frd
120,120,47.018,191.416,27,12,Frd
121,121,47.503,189.462,27,12,Frd
122,122,47.528,189.362,27,12,Frd
123,123,47.254,190.460,27,12,Frd
124,124,47.767,188.415,27,12,Frd
125,125,47.678,188.766,27,12,Frd
126,126,46.57,193.257,23,12,Frd
127,127,47.115,191.022,22,12,Frd
128,128,47.139,190.925,18,12,Frd
129,129,47.174,190.783,19,12,Frd
130,130,47.424,189.777,23,12,Frd
131,131,46.65,192.926,18,12,Frd
132,132,47.078,191.172,22,12,Frd
133,133,46.65,192.926,19,12,Frd
134,134,47.02,191.408,18,12,Frd
135,135,46.847,192.115,19,12,Frd
136,136,46.788,192.357,18,12,Frd
137,137,46.959,191.657,23,12,Frd
138,138,46.865,192.041,18,12,Frd
139,139,47.119,191.006,22,12,Frd
140,140,46.896,191.914,19,12,Frd
141,141,47.329,190.158,19,12,Frd
142,142,46.876,191.996,15,12,Frd
143,143,47.334,190.138,23,12,Frd
144,144,46.683,192.790,17,12,Frd
145,145,46.686,192.777,19,12,Frd
146,146,46.704,192.703,18,12,Frd
147,147,46.718,192.645,16,12,Frd
