,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,31,60,Frd
1,1,50.429,178.469,33,60,Frd
2,2,46.319,194.305,25,60,Frd
3,3,46.556,193.316,21,60,Frd
4,4,46.818,192.234,20,60,Frd
5,5,46.453,193.744,16,60,Frd
6,6,46.434,193.823,15,60,Frd
7,7,46.745,192.534,15,60,Frd
8,8,46.697,192.732,14,60,Frd
9,9,46.794,192.332,16,60,Frd
10,10,46.868,192.029,16,60,Frd
11,11,47.022,191.400,16,60,Frd
12,12,98.615,91.264,15,60,Frd
13,13,126.57,71.107,14,60,Frd
14,14,131.468,68.458,13,60,Frd
15,15,115.672,77.806,11,60,Frd
16,16,50.509,178.186,12,60,Frd
17,17,46.232,194.670,8,60,Frd
18,18,46.568,193.266,7,60,Frd
19,19,86.692,103.816,6,60,Frd
20,20,122.525,73.454,6,60,Frd
21,21,136.438,65.964,6,60,Frd
22,22,131.394,68.496,6,60,Frd
23,23,121.673,73.969,7,60,Frd
24,24,50.669,177.623,9,60,Frd
25,25,46.616,193.067,8,60,Frd
26,26,46.568,193.266,12,60,Frd
27,27,46.393,193.995,6,60,Frd
28,28,105.445,85.353,8,60,Frd
29,29,788.047,11.421,9,60,Frd
30,30,190.958,47.131,9,60,Frd
31,31,142.858,63.000,6,60,Frd
32,32,128.847,69.850,6,60,Frd
33,33,120.453,74.718,6,60,Frd
34,34,50.5,178.218,7,60,Frd
35,35,46.892,191.930,8,60,Frd
36,36,85.535,105.220,8,60,Frd
37,37,122.64,73.386,8,60,Frd
38,38,142.935,62.966,27,60,Frd
39,39,127.311,70.693,23,60,Frd
40,40,128.841,69.854,21,60,Frd
41,41,110.083,81.756,21,60,Frd
42,42,51.129,176.025,16,60,Frd
43,43,46.992,191.522,7,60,Frd
44,44,47.449,189.677,9,60,Frd
45,45,47.578,189.163,17,60,Frd
46,46,47.748,188.490,20,60,Frd
47,47,47.713,188.628,18,60,Frd
48,48,47.85,188.088,20,60,Frd
