,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,18,54,Tyt
1,1,51.039,176.336,16,54,Tyt
2,2,46.809,192.271,15,54,Tyt
3,3,46.762,192.464,17,54,Tyt
4,4,46.74,192.555,13,54,Tyt
5,5,46.514,193.490,13,54,Tyt
6,6,46.478,193.640,13,54,Tyt
7,7,46.756,192.489,13,54,Tyt
8,8,46.849,192.107,15,54,Tyt
9,9,46.597,193.145,13,54,Tyt
10,10,46.869,192.025,13,54,Tyt
11,11,47.006,191.465,13,54,Tyt
12,12,97.848,91.979,13,54,Tyt
13,13,143.54,62.700,32,54,Tyt
14,14,127.661,70.499,25,54,Tyt
15,15,104.397,86.209,25,54,Tyt
16,16,50.668,177.627,30,54,Tyt
17,17,46.0,195.652,29,54,Tyt
18,18,47.304,190.259,30,54,Tyt
19,19,95.298,94.441,29,54,Tyt
20,20,124.684,72.182,30,54,Tyt
21,21,133.291,67.521,28,54,Tyt
22,22,140.659,63.985,25,54,Tyt
23,23,104.647,86.003,25,54,Tyt
24,24,50.065,179.766,25,54,Tyt
25,25,46.531,193.419,28,54,Tyt
26,26,46.7,192.719,30,54,Tyt
27,27,48.603,185.174,28,54,Tyt
28,28,114.784,78.408,22,54,Tyt
29,29,786.999,11.436,19,54,Tyt
30,30,188.792,47.672,21,54,Tyt
31,31,158.125,56.917,27,54,Tyt
32,32,116.352,77.351,20,54,Tyt
33,33,109.251,82.379,16,54,Tyt
34,34,51.047,176.308,21,54,Tyt
35,35,48.249,186.532,22,54,Tyt
36,36,93.544,96.211,22,54,Tyt
37,37,123.535,72.854,22,54,Tyt
38,38,116.232,77.431,9,54,Tyt
39,39,133.587,67.372,12,54,Tyt
40,40,142.969,62.951,28,54,Tyt
41,41,104.938,85.765,24,54,Tyt
42,42,51.341,175.298,24,54,Tyt
43,43,47.34,190.114,26,54,Tyt
44,44,47.791,188.320,26,54,Tyt
45,45,47.309,190.239,26,54,Tyt
46,46,47.439,189.717,28,54,Tyt
47,47,47.81,188.245,26,54,Tyt
48,48,47.707,188.652,26,54,Tyt
49,49,47.585,189.135,26,54,Tyt
50,50,48.211,186.679,27,54,Tyt
51,51,48.203,186.710,27,54,Tyt
52,52,48.646,185.010,27,54,Tyt
53,53,48.517,185.502,27,54,Tyt
54,54,48.962,183.816,27,54,Tyt
55,55,48.33,186.220,27,54,Tyt
56,56,48.006,187.477,27,54,Tyt
57,57,47.25,190.476,27,54,Tyt
58,58,47.884,187.954,27,54,Tyt
59,59,47.504,189.458,24,54,Tyt
60,60,48.181,186.796,25,54,Tyt
61,61,48.118,187.040,26,54,Tyt
62,62,48.842,184.268,26,54,Tyt
63,63,49.083,183.363,26,54,Tyt
64,64,49.258,182.711,25,54,Tyt
65,65,48.16,186.877,25,54,Tyt
66,66,47.698,188.687,25,54,Tyt
67,67,48.257,186.501,26,54,Tyt
68,68,48.114,187.056,25,54,Tyt
69,69,47.698,188.687,26,54,Tyt
70,70,48.394,185.973,26,54,Tyt
71,71,48.166,186.854,26,54,Tyt
72,72,47.757,188.454,26,54,Tyt
73,73,48.008,187.469,26,54,Tyt
74,74,47.549,189.278,26,54,Tyt
75,75,47.539,189.318,26,54,Tyt
76,76,47.56,189.235,26,54,Tyt
77,77,47.823,188.194,26,54,Tyt
78,78,47.729,188.565,27,54,Tyt
79,79,47.076,191.180,24,54,Tyt
80,80,47.745,188.501,22,54,Tyt
81,81,47.664,188.822,22,54,Tyt
82,82,46.841,192.139,22,54,Tyt
83,83,63.301,142.178,21,54,Tyt
84,84,157.003,57.324,22,54,Tyt
85,85,140.949,63.853,25,54,Tyt
