,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,8,23,Tyt
1,1,42.839,114.793,6,23,Tyt
2,2,86.045,57.151,6,23,Tyt
3,3,94.862,51.840,6,23,Tyt
4,4,93.835,52.407,6,23,Tyt
5,5,96.773,50.816,6,23,Tyt
6,6,86.701,56.719,6,23,Tyt
7,7,31.415,156.537,6,23,Tyt
8,8,29.92,164.358,6,23,Tyt
9,9,29.942,164.238,5,23,Tyt
10,10,30.132,163.202,4,23,Tyt
11,11,30.398,161.774,4,23,Tyt
12,12,30.533,161.059,4,23,Tyt
13,13,30.799,159.668,4,23,Tyt
14,14,30.848,159.414,4,23,Tyt
15,15,30.94,158.940,4,23,Tyt
16,16,31.188,157.676,3,23,Tyt
17,17,31.156,157.838,3,23,Tyt
18,18,31.076,158.244,3,23,Tyt
19,19,31.137,157.934,3,23,Tyt
20,20,31.179,157.722,3,23,Tyt
21,21,31.234,157.444,3,23,Tyt
22,22,31.414,156.542,3,23,Tyt
23,23,31.304,157.092,3,23,Tyt
24,24,31.447,156.377,3,23,Tyt
25,25,31.491,156.159,3,23,Tyt
26,26,31.563,155.803,3,23,Tyt
27,27,31.509,156.070,3,23,Tyt
28,28,31.546,155.887,3,23,Tyt
29,29,31.585,155.694,3,23,Tyt
30,30,31.694,155.159,3,23,Tyt
31,31,31.805,154.617,3,23,Tyt
32,32,31.849,154.404,3,23,Tyt
33,33,31.815,154.569,3,23,Tyt
34,34,32.2,152.720,2,23,Tyt
35,35,31.874,154.282,1,23,Tyt
36,36,31.92,154.060,1,23,Tyt
37,37,31.976,153.790,1,23,Tyt
38,38,31.8,154.642,1,23,Tyt
39,39,31.854,154.379,1,23,Tyt
40,40,31.856,154.370,1,23,Tyt
41,41,31.881,154.249,1,23,Tyt
42,42,31.868,154.312,1,23,Tyt
43,43,45.035,109.195,1,23,Tyt
44,44,55.409,88.751,9,23,Tyt
45,45,30.63,160.548,8,23,Tyt
46,46,30.511,161.175,8,23,Tyt
47,47,30.698,160.193,7,23,Tyt
48,48,31.114,158.051,6,23,Tyt
49,49,30.876,159.269,6,23,Tyt
50,50,30.847,159.419,6,23,Tyt
51,51,30.964,158.817,6,23,Tyt
52,52,31.354,156.841,5,23,Tyt
53,53,31.675,155.252,5,23,Tyt
54,54,31.468,156.273,5,23,Tyt
55,55,31.415,156.537,4,23,Tyt
56,56,31.744,154.914,4,23,Tyt
57,57,31.753,154.870,3,23,Tyt
58,58,31.519,156.020,3,23,Tyt
59,59,31.57,155.768,2,23,Tyt
60,60,31.543,155.901,2,23,Tyt
61,61,31.612,155.561,2,23,Tyt
62,62,31.95,153.915,2,23,Tyt
63,63,31.568,155.778,2,23,Tyt
64,64,31.574,155.748,2,23,Tyt
65,65,31.517,156.030,2,23,Tyt
66,66,31.614,155.551,2,23,Tyt
67,67,31.591,155.665,2,23,Tyt
68,68,31.732,154.973,2,23,Tyt
69,69,31.687,155.193,2,23,Tyt
70,70,31.631,155.468,2,23,Tyt
71,71,31.985,153.747,2,23,Tyt
72,72,32.093,153.230,2,23,Tyt
73,73,32.282,152.333,2,23,Tyt
74,74,32.006,153.646,2,23,Tyt
75,75,31.986,153.742,1,23,Tyt
76,76,44.96,109.377,4,23,Tyt
77,77,58.49,84.076,13,23,Tyt
78,78,30.503,161.217,12,23,Tyt
79,79,30.511,161.175,8,23,Tyt
80,80,30.673,160.323,7,23,Tyt
81,81,30.735,160.000,6,23,Tyt
82,82,30.969,158.791,6,23,Tyt
83,83,31.056,158.346,6,23,Tyt
84,84,30.87,159.300,6,23,Tyt
85,85,31.012,158.571,6,23,Tyt
86,86,31.225,157.489,6,23,Tyt
87,87,31.499,156.119,6,23,Tyt
88,88,31.152,157.858,6,23,Tyt
89,89,31.457,156.328,6,23,Tyt
90,90,31.722,155.022,6,23,Tyt
91,91,31.724,155.012,6,23,Tyt
92,92,32.201,152.716,6,23,Tyt
93,93,31.566,155.788,6,23,Tyt
94,94,31.657,155.340,5,23,Tyt
95,95,31.5,156.114,5,23,Tyt
96,96,31.47,156.263,5,23,Tyt
97,97,31.812,154.583,5,23,Tyt
98,98,31.619,155.527,5,23,Tyt
99,99,31.941,153.959,5,23,Tyt
100,100,31.946,153.935,5,23,Tyt
101,101,31.697,155.144,5,23,Tyt
102,102,31.918,154.070,5,23,Tyt
103,103,31.883,154.239,5,23,Tyt
104,104,31.93,154.012,5,23,Tyt
105,105,32.015,153.603,5,23,Tyt
106,106,31.976,153.790,5,23,Tyt
107,107,32.265,152.413,5,23,Tyt
108,108,32.015,153.603,5,23,Tyt
109,109,32.259,152.441,5,23,Tyt
110,110,32.052,153.426,5,23,Tyt
111,111,32.018,153.589,5,23,Tyt
112,112,32.079,153.297,5,23,Tyt
113,113,32.008,153.637,5,23,Tyt
114,114,32.141,153.001,5,23,Tyt
115,115,32.395,151.801,5,23,Tyt
116,116,47.405,103.736,5,23,Tyt
117,117,79.629,61.756,5,23,Tyt
118,118,87.997,55.884,3,23,Tyt
119,119,100.233,49.062,5,23,Tyt
120,120,95.424,51.534,5,23,Tyt
121,121,93.808,52.422,5,23,Tyt
122,122,88.436,55.606,6,23,Tyt
123,123,32.056,153.407,5,23,Tyt
124,124,30.399,161.768,5,23,Tyt
125,125,30.279,162.410,5,23,Tyt
126,126,30.479,161.344,5,23,Tyt
127,127,30.589,160.764,5,23,Tyt
128,128,30.785,159.740,5,23,Tyt
129,129,30.787,159.730,5,23,Tyt
130,130,30.822,159.548,5,23,Tyt
131,131,31.007,158.596,5,23,Tyt
132,132,31.174,157.747,5,23,Tyt
133,133,31.164,157.797,5,23,Tyt
134,134,31.073,158.260,5,23,Tyt
135,135,31.231,157.459,5,23,Tyt
136,136,31.231,157.459,5,23,Tyt
137,137,31.284,157.192,5,23,Tyt
138,138,31.473,156.248,5,23,Tyt
139,139,31.594,155.650,5,23,Tyt
140,140,31.422,156.502,5,23,Tyt
141,141,31.538,155.926,5,23,Tyt
142,142,31.629,155.478,5,23,Tyt
143,143,31.655,155.350,5,23,Tyt
144,144,32.163,152.896,5,23,Tyt
145,145,31.903,154.142,5,23,Tyt
146,146,31.894,154.186,5,23,Tyt
147,147,31.695,155.154,5,23,Tyt
148,148,31.777,154.753,5,23,Tyt
149,149,31.875,154.278,5,23,Tyt
150,150,31.848,154.408,5,23,Tyt
151,151,31.779,154.744,5,23,Tyt
152,152,38.172,128.827,5,23,Tyt
153,153,78.51,62.637,5,23,Tyt
154,154,88.635,55.481,4,23,Tyt
155,155,108.751,45.219,14,23,Tyt
156,156,90.298,54.460,14,23,Tyt
157,157,76.66,64.148,15,23,Tyt
158,158,31.89,154.205,15,23,Tyt
159,159,30.888,159.207,15,23,Tyt
160,160,30.738,159.984,14,23,Tyt
161,161,30.936,158.960,14,23,Tyt
162,162,30.912,159.084,14,23,Tyt
163,163,30.964,158.817,14,23,Tyt
164,164,31.053,158.362,13,23,Tyt
165,165,31.164,157.797,13,23,Tyt
166,166,31.161,157.813,13,23,Tyt
167,167,31.259,157.318,13,23,Tyt
168,168,31.489,156.169,12,23,Tyt
169,169,31.316,157.032,12,23,Tyt
170,170,31.102,158.112,12,23,Tyt
171,171,31.31,157.062,12,23,Tyt
172,172,31.685,155.203,12,23,Tyt
173,173,31.421,156.507,12,23,Tyt
174,174,31.607,155.586,12,23,Tyt
175,175,31.48,156.213,12,23,Tyt
176,176,31.634,155.453,12,23,Tyt
177,177,31.585,155.694,12,23,Tyt
178,178,31.687,155.193,12,23,Tyt
179,179,31.726,155.002,12,23,Tyt
180,180,31.722,155.022,12,23,Tyt
181,181,31.661,155.320,12,23,Tyt
182,182,31.651,155.369,12,23,Tyt
183,183,31.82,154.544,12,23,Tyt
184,184,31.867,154.316,12,23,Tyt
185,185,32.023,153.565,12,23,Tyt
186,186,32.002,153.665,10,23,Tyt
187,187,45.194,108.811,16,23,Tyt
188,188,55.468,88.657,22,23,Tyt
189,189,30.332,162.126,17,23,Tyt
190,190,30.381,161.864,17,23,Tyt
191,191,30.661,160.386,17,23,Tyt
192,192,30.882,159.238,15,23,Tyt
193,193,30.668,160.350,13,23,Tyt
194,194,30.745,159.948,11,23,Tyt
195,195,30.8,159.662,11,23,Tyt
196,196,31.007,158.596,10,23,Tyt
197,197,30.986,158.704,10,23,Tyt
198,198,31.042,158.418,10,23,Tyt
199,199,31.26,157.313,10,23,Tyt
200,200,31.291,157.157,10,23,Tyt
201,201,31.285,157.187,10,23,Tyt
202,202,32.933,149.321,10,23,Tyt
203,203,48.076,102.288,10,23,Tyt
204,204,73.178,67.201,10,23,Tyt
205,205,87.029,56.505,4,23,Tyt
206,206,109.302,44.991,11,23,Tyt
207,207,93.037,52.856,9,23,Tyt
208,208,82.545,59.575,9,23,Tyt
209,209,31.949,153.920,9,23,Tyt
210,210,50.998,96.427,9,23,Tyt
211,211,80.816,60.849,9,23,Tyt
212,212,93.111,52.814,9,23,Tyt
213,213,93.377,52.664,9,23,Tyt
214,214,82.151,59.861,8,23,Tyt
215,215,31.923,154.046,9,23,Tyt
216,216,30.837,159.471,8,23,Tyt
217,217,30.423,161.641,8,23,Tyt
218,218,30.495,161.259,7,23,Tyt
219,219,30.389,161.822,7,23,Tyt
220,220,30.61,160.653,7,23,Tyt
221,221,31.329,156.966,7,23,Tyt
222,222,30.927,159.007,7,23,Tyt
223,223,30.847,159.419,7,23,Tyt
224,224,30.829,159.512,7,23,Tyt
225,225,31.054,158.356,7,23,Tyt
226,226,31.122,158.010,7,23,Tyt
227,227,31.215,157.540,7,23,Tyt
228,228,31.199,157.620,7,23,Tyt
229,229,31.236,157.434,7,23,Tyt
230,230,31.585,155.694,7,23,Tyt
231,231,46.413,105.953,7,23,Tyt
232,232,78.401,62.724,7,23,Tyt
233,233,87.628,56.119,3,23,Tyt
234,234,95.672,51.401,4,23,Tyt
235,235,93.934,52.352,4,23,Tyt
236,236,92.704,53.046,4,23,Tyt
237,237,86.797,56.656,3,23,Tyt
238,238,31.267,157.278,3,23,Tyt
239,239,29.608,166.090,3,23,Tyt
240,240,30.153,163.088,3,23,Tyt
241,241,30.133,163.196,3,23,Tyt
242,242,30.436,161.572,3,23,Tyt
243,243,30.463,161.429,3,23,Tyt
244,244,30.568,160.874,3,23,Tyt
245,245,30.696,160.203,3,23,Tyt
246,246,30.789,159.719,3,23,Tyt
247,247,30.886,159.218,3,23,Tyt
248,248,30.949,158.894,3,23,Tyt
249,249,30.929,158.996,3,23,Tyt
250,250,31.03,158.479,3,23,Tyt
251,251,31.061,158.321,3,23,Tyt
252,252,31.286,157.182,3,23,Tyt
253,253,31.217,157.530,3,23,Tyt
254,254,31.263,157.298,3,23,Tyt
255,255,31.431,156.457,3,23,Tyt
256,256,31.692,155.168,3,23,Tyt
257,257,31.484,156.194,3,23,Tyt
258,258,31.45,156.362,3,23,Tyt
259,259,31.463,156.298,3,23,Tyt
260,260,31.496,156.134,3,23,Tyt
261,261,31.494,156.144,3,23,Tyt
262,262,31.696,155.149,3,23,Tyt
263,263,31.833,154.481,3,23,Tyt
264,264,32.406,151.750,4,23,Tyt
265,265,32.453,151.530,6,23,Tyt
266,266,32.154,152.939,6,23,Tyt
267,267,31.956,153.887,6,23,Tyt
268,268,31.996,153.694,6,23,Tyt
269,269,31.904,154.137,6,23,Tyt
270,270,31.997,153.689,6,23,Tyt
271,271,32.094,153.225,6,23,Tyt
272,272,32.174,152.844,6,23,Tyt
273,273,32.225,152.602,6,23,Tyt
274,274,45.163,108.886,10,23,Tyt
275,275,57.003,86.269,20,23,Tyt
276,276,30.527,161.090,17,23,Tyt
277,277,30.483,161.323,15,23,Tyt
278,278,30.554,160.948,14,23,Tyt
279,279,30.568,160.874,14,23,Tyt
280,280,30.482,161.328,9,23,Tyt
281,281,30.569,160.869,6,23,Tyt
282,282,30.83,159.507,6,23,Tyt
283,283,30.932,158.981,6,23,Tyt
284,284,30.944,158.919,6,23,Tyt
285,285,31.117,158.036,6,23,Tyt
286,286,31.167,157.782,6,23,Tyt
287,287,31.309,157.067,6,23,Tyt
288,288,31.762,154.827,5,23,Tyt
289,289,31.782,154.729,5,23,Tyt
290,290,31.907,154.123,5,23,Tyt
291,291,31.415,156.537,5,23,Tyt
292,292,31.378,156.721,5,23,Tyt
293,293,31.371,156.756,5,23,Tyt
294,294,31.315,157.037,5,23,Tyt
295,295,31.307,157.077,5,23,Tyt
296,296,31.502,156.104,5,23,Tyt
297,297,31.73,154.983,5,23,Tyt
298,298,31.522,156.005,5,23,Tyt
299,299,31.625,155.497,5,23,Tyt
300,300,31.643,155.409,5,23,Tyt
301,301,31.773,154.773,5,23,Tyt
302,302,31.787,154.705,5,23,Tyt
303,303,31.91,154.108,5,23,Tyt
304,304,31.897,154.171,5,23,Tyt
305,305,31.9,154.157,5,23,Tyt
306,306,31.761,154.831,5,23,Tyt
307,307,31.826,154.515,5,23,Tyt
308,308,31.826,154.515,5,23,Tyt
309,309,31.905,154.133,5,23,Tyt
310,310,31.858,154.360,5,23,Tyt
311,311,32.037,153.498,5,23,Tyt
312,312,31.927,154.026,5,23,Tyt
313,313,34.355,143.141,5,23,Tyt
314,314,49.949,98.452,5,23,Tyt
315,315,78.234,62.858,5,23,Tyt
316,316,84.524,58.180,3,23,Tyt
317,317,104.094,47.242,6,23,Tyt
318,318,88.199,55.756,5,23,Tyt
319,319,85.584,57.459,5,23,Tyt
320,320,31.455,156.338,5,23,Tyt
321,321,29.978,164.040,5,23,Tyt
322,322,30.212,162.770,5,23,Tyt
323,323,30.305,162.270,5,23,Tyt
324,324,30.501,161.228,5,23,Tyt
325,325,30.519,161.132,5,23,Tyt
326,326,30.665,160.365,5,23,Tyt
327,327,30.674,160.318,5,23,Tyt
328,328,30.816,159.579,5,23,Tyt
329,329,31.472,156.253,6,23,Tyt
330,330,31.053,158.362,6,23,Tyt
331,331,31.07,158.275,6,23,Tyt
332,332,31.153,157.853,6,23,Tyt
333,333,31.281,157.207,6,23,Tyt
334,334,31.216,157.535,6,23,Tyt
335,335,31.239,157.419,6,23,Tyt
336,336,31.158,157.828,6,23,Tyt
337,337,31.293,157.147,6,23,Tyt
338,338,31.387,156.676,6,23,Tyt
339,339,31.447,156.377,6,23,Tyt
340,340,31.742,154.924,6,23,Tyt
341,341,31.422,156.502,6,23,Tyt
342,342,31.577,155.734,6,23,Tyt
343,343,31.637,155.438,6,23,Tyt
344,344,31.551,155.862,6,23,Tyt
345,345,31.437,156.427,6,23,Tyt
346,346,31.365,156.786,6,23,Tyt
347,347,31.549,155.872,6,23,Tyt
348,348,31.624,155.502,6,23,Tyt
349,349,31.714,155.061,6,23,Tyt
350,350,31.886,154.224,6,23,Tyt
351,351,32.444,151.572,6,23,Tyt
352,352,31.795,154.666,6,23,Tyt
353,353,31.76,154.836,6,23,Tyt
354,354,31.899,154.162,6,23,Tyt
355,355,31.861,154.345,6,23,Tyt
356,356,31.987,153.737,6,23,Tyt
357,357,32.018,153.589,6,23,Tyt
358,358,32.26,152.436,6,23,Tyt
359,359,32.06,153.387,6,23,Tyt
360,360,32.034,153.512,6,23,Tyt
361,361,31.981,153.766,6,23,Tyt
362,362,32.099,153.201,6,23,Tyt
363,363,32.67,150.523,6,23,Tyt
364,364,32.265,152.413,6,23,Tyt
365,365,32.203,152.706,6,23,Tyt
366,366,32.122,153.091,6,23,Tyt
367,367,32.743,150.188,6,23,Tyt
