,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,21,9,Chv
1,1,50.193,97.974,21,9,Chv
2,2,88.268,55.712,21,9,Chv
3,3,96.634,50.889,21,9,Chv
4,4,95.854,51.303,20,9,Chv
5,5,100.959,48.709,20,9,Chv
6,6,69.012,71.257,20,9,Chv
7,7,32.37,151.918,23,9,Chv
8,8,31.324,156.991,22,9,Chv
9,9,30.879,159.254,22,9,Chv
10,10,31.142,157.909,22,9,Chv
11,11,31.06,158.326,22,9,Chv
12,12,30.956,158.858,21,9,Chv
13,13,31.092,158.163,21,9,Chv
14,14,31.357,156.826,21,9,Chv
15,15,31.223,157.499,20,9,Chv
16,16,31.416,156.532,20,9,Chv
17,17,31.447,156.377,20,9,Chv
18,18,31.634,155.453,19,9,Chv
19,19,31.544,155.897,19,9,Chv
20,20,31.677,155.242,19,9,Chv
21,21,31.664,155.306,19,9,Chv
22,22,31.652,155.365,19,9,Chv
23,23,31.688,155.188,19,9,Chv
24,24,31.958,153.877,19,9,Chv
25,25,31.851,154.394,19,9,Chv
26,26,31.861,154.345,19,9,Chv
27,27,31.839,154.452,19,9,Chv
28,28,32.03,153.531,19,9,Chv
29,29,31.807,154.607,19,9,Chv
30,30,31.867,154.316,19,9,Chv
31,31,32.021,153.574,19,9,Chv
32,32,32.004,153.656,19,9,Chv
33,33,31.972,153.810,19,9,Chv
34,34,32.265,152.413,19,9,Chv
35,35,32.091,153.239,19,9,Chv
36,36,32.082,153.282,11,9,Chv
37,37,32.146,152.977,8,9,Chv
38,38,32.087,153.258,8,9,Chv
39,39,32.083,153.277,8,9,Chv
40,40,45.233,108.717,12,9,Chv
41,41,56.298,87.349,27,9,Chv
42,42,31.1,158.122,26,9,Chv
43,43,31.024,158.510,25,9,Chv
44,44,30.876,159.269,25,9,Chv
45,45,30.897,159.161,23,9,Chv
46,46,31.003,158.617,23,9,Chv
47,47,31.295,157.137,21,9,Chv
48,48,30.957,158.853,21,9,Chv
