,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,17,99,Chv
1,1,47.564,103.389,16,99,Chv
2,2,88.088,55.826,17,99,Chv
3,3,91.348,53.834,11,99,Chv
4,4,120.557,40.791,35,99,Chv
5,5,85.439,57.557,21,99,Chv
6,6,69.972,70.280,36,99,Chv
7,7,32.297,152.262,34,99,Chv
8,8,31.251,157.358,35,99,Chv
9,9,31.432,156.452,35,99,Chv
10,10,31.383,156.696,35,99,Chv
11,11,31.579,155.724,35,99,Chv
12,12,31.823,154.530,34,99,Chv
13,13,31.504,156.094,34,99,Chv
14,14,31.625,155.497,34,99,Chv
15,15,32.001,153.670,34,99,Chv
16,16,31.949,153.920,34,99,Chv
17,17,31.789,154.695,34,99,Chv
18,18,31.812,154.583,34,99,Chv
19,19,31.851,154.394,34,99,Chv
20,20,32.026,153.550,34,99,Chv
21,21,32.123,153.087,34,99,Chv
22,22,32.064,153.368,34,99,Chv
23,23,32.081,153.287,34,99,Chv
24,24,32.104,153.177,34,99,Chv
25,25,32.212,152.664,34,99,Chv
26,26,32.147,152.972,34,99,Chv
27,27,32.192,152.758,34,99,Chv
28,28,32.304,152.229,34,99,Chv
29,29,32.102,153.187,34,99,Chv
30,30,32.152,152.948,34,99,Chv
31,31,32.159,152.915,34,99,Chv
32,32,32.312,152.191,34,99,Chv
33,33,32.161,152.906,33,99,Chv
34,34,32.209,152.678,33,99,Chv
35,35,32.245,152.507,30,99,Chv
36,36,32.403,151.764,22,99,Chv
37,37,32.254,152.465,15,99,Chv
38,38,32.403,151.764,13,99,Chv
39,39,32.355,151.989,13,99,Chv
40,40,32.552,151.069,11,99,Chv
41,41,32.615,150.777,8,99,Chv
42,42,32.498,151.320,7,99,Chv
43,43,32.591,150.888,6,99,Chv
44,44,32.456,151.516,4,99,Chv
45,45,32.205,152.697,4,99,Chv
46,46,32.952,149.235,4,99,Chv
47,47,32.697,150.399,6,99,Chv
48,48,32.708,150.349,8,99,Chv
49,49,32.931,149.330,11,99,Chv
50,50,32.651,150.611,11,99,Chv
51,51,32.898,149.480,12,99,Chv
52,52,33.007,148.987,13,99,Chv
53,53,32.961,149.195,15,99,Chv
54,54,33.103,148.555,16,99,Chv
55,55,33.437,147.071,18,99,Chv
56,56,33.211,148.071,21,99,Chv
57,57,33.004,149.000,22,99,Chv
58,58,33.084,148.640,22,99,Chv
59,59,33.358,147.419,23,99,Chv
60,60,45.836,107.287,30,99,Chv
61,61,58.056,84.704,34,99,Chv
62,62,31.216,157.535,34,99,Chv
63,63,30.928,159.002,34,99,Chv
64,64,31.092,158.163,34,99,Chv
65,65,31.51,156.065,34,99,Chv
66,66,31.182,157.706,33,99,Chv
67,67,31.378,156.721,33,99,Chv
68,68,31.602,155.610,33,99,Chv
69,69,31.589,155.674,32,99,Chv
70,70,31.634,155.453,32,99,Chv
71,71,31.485,156.189,32,99,Chv
72,72,31.816,154.564,32,99,Chv
73,73,31.459,156.318,31,99,Chv
74,74,31.642,155.414,31,99,Chv
75,75,31.821,154.539,29,99,Chv
76,76,31.615,155.546,23,99,Chv
77,77,31.724,155.012,22,99,Chv
78,78,31.658,155.335,21,99,Chv
79,79,31.679,155.232,20,99,Chv
80,80,32.247,152.498,22,99,Chv
81,81,32.562,151.023,24,99,Chv
82,82,32.488,151.367,25,99,Chv
83,83,32.168,152.872,25,99,Chv
84,84,32.153,152.944,25,99,Chv
85,85,32.448,151.553,26,99,Chv
86,86,32.278,152.351,26,99,Chv
87,87,32.316,152.172,26,99,Chv
88,88,32.223,152.611,26,99,Chv
89,89,32.529,151.176,27,99,Chv
90,90,33.037,148.851,28,99,Chv
91,91,33.3,147.676,28,99,Chv
92,92,32.776,150.037,29,99,Chv
93,93,32.396,151.797,29,99,Chv
94,94,32.467,151.465,29,99,Chv
95,95,32.955,149.222,29,99,Chv
96,96,32.711,150.335,29,99,Chv
97,97,32.8,149.927,29,99,Chv
98,98,32.461,151.493,29,99,Chv
99,99,33.33,147.543,30,99,Chv
100,100,33.086,148.631,30,99,Chv
101,101,32.633,150.694,30,99,Chv
102,102,32.959,149.204,30,99,Chv
103,103,32.628,150.717,30,99,Chv
104,104,32.536,151.143,30,99,Chv
105,105,32.49,151.357,29,99,Chv
