,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,14,22,Frd
1,1,45.603,107.835,13,22,Frd
2,2,87.362,56.290,12,22,Frd
3,3,96.013,51.218,13,22,Frd
4,4,95.127,51.695,12,22,Frd
5,5,98.114,50.121,12,22,Frd
6,6,78.867,62.353,13,22,Frd
7,7,32.046,153.454,13,22,Frd
8,8,30.585,160.785,13,22,Frd
9,9,30.525,161.101,13,22,Frd
10,10,30.621,160.596,13,22,Frd
11,11,30.917,159.058,13,22,Frd
12,12,30.829,159.512,13,22,Frd
13,13,31.011,158.576,13,22,Frd
14,14,31.264,157.293,13,22,Frd
15,15,31.246,157.383,13,22,Frd
16,16,31.333,156.946,13,22,Frd
17,17,31.351,156.856,13,22,Frd
18,18,31.578,155.729,13,22,Frd
19,19,31.513,156.050,13,22,Frd
20,20,31.571,155.763,13,22,Frd
21,21,31.542,155.906,13,22,Frd
22,22,31.634,155.453,13,22,Frd
23,23,31.692,155.168,13,22,Frd
24,24,31.824,154.525,13,22,Frd
25,25,31.755,154.861,13,22,Frd
26,26,31.77,154.788,13,22,Frd
27,27,31.884,154.234,13,22,Frd
28,28,31.909,154.113,13,22,Frd
29,29,31.957,153.882,13,22,Frd
30,30,32.185,152.792,13,22,Frd
31,31,32.037,153.498,13,22,Frd
32,32,32.001,153.670,13,22,Frd
33,33,32.074,153.320,13,22,Frd
34,34,32.64,150.662,14,22,Frd
35,35,32.138,153.015,13,22,Frd
36,36,44.963,109.370,21,22,Frd
37,37,56.986,86.295,29,22,Frd
38,38,30.83,159.507,26,22,Frd
39,39,30.85,159.404,24,22,Frd
40,40,30.894,159.177,24,22,Frd
41,41,30.88,159.249,19,22,Frd
42,42,30.845,159.429,17,22,Frd
43,43,30.905,159.120,16,22,Frd
44,44,30.99,158.683,15,22,Frd
45,45,30.988,158.694,14,22,Frd
46,46,31.068,158.285,14,22,Frd
47,47,31.376,156.731,15,22,Frd
48,48,31.553,155.852,15,22,Frd
49,49,31.611,155.566,15,22,Frd
50,50,31.389,156.666,15,22,Frd
51,51,31.353,156.846,15,22,Frd
52,52,31.915,154.084,16,22,Frd
53,53,31.897,154.171,16,22,Frd
54,54,31.828,154.505,15,22,Frd
55,55,31.745,154.909,15,22,Frd
56,56,31.731,154.978,15,22,Frd
57,57,31.816,154.564,15,22,Frd
58,58,31.789,154.695,15,22,Frd
59,59,31.84,154.447,13,22,Frd
60,60,31.816,154.564,13,22,Frd
61,61,32.322,152.144,14,22,Frd
62,62,32.018,153.589,14,22,Frd
63,63,32.338,152.069,15,22,Frd
64,64,32.133,153.039,15,22,Frd
65,65,32.303,152.234,16,22,Frd
66,66,32.307,152.215,16,22,Frd
67,67,32.394,151.806,16,22,Frd
68,68,32.592,150.884,17,22,Frd
69,69,32.529,151.176,17,22,Frd
70,70,32.161,152.906,17,22,Frd
71,71,32.341,152.055,17,22,Frd
72,72,45.574,107.904,26,22,Frd
73,73,57.054,86.192,32,22,Frd
74,74,30.785,159.740,32,22,Frd
75,75,30.721,160.073,28,22,Frd
76,76,30.722,160.068,22,22,Frd
77,77,30.747,159.938,20,22,Frd
78,78,30.621,160.596,19,22,Frd
79,79,30.725,160.052,16,22,Frd
80,80,30.707,160.146,16,22,Frd
81,81,30.954,158.868,16,22,Frd
82,82,31.375,156.736,16,22,Frd
83,83,31.213,157.550,16,22,Frd
84,84,31.233,157.449,16,22,Frd
85,85,31.313,157.047,16,22,Frd
86,86,31.421,156.507,16,22,Frd
87,87,31.426,156.482,16,22,Frd
88,88,31.431,156.457,16,22,Frd
89,89,31.475,156.238,16,22,Frd
90,90,31.509,156.070,16,22,Frd
91,91,31.764,154.817,16,22,Frd
92,92,32.134,153.034,15,22,Frd
93,93,31.668,155.286,15,22,Frd
94,94,31.651,155.369,15,22,Frd
95,95,31.819,154.549,15,22,Frd
96,96,31.846,154.418,15,22,Frd
97,97,32.007,153.641,15,22,Frd
98,98,32.502,151.301,16,22,Frd
99,99,31.944,153.944,16,22,Frd
100,100,31.978,153.781,16,22,Frd
101,101,31.807,154.607,16,22,Frd
102,102,31.865,154.326,16,22,Frd
103,103,31.949,153.920,16,22,Frd
104,104,32.057,153.402,16,22,Frd
105,105,32.088,153.254,16,22,Frd
106,106,32.06,153.387,16,22,Frd
107,107,32.096,153.215,16,22,Frd
108,108,32.132,153.044,16,22,Frd
109,109,32.145,152.982,16,22,Frd
110,110,32.283,152.328,16,22,Frd
111,111,32.199,152.725,16,22,Frd
112,112,32.254,152.465,16,22,Frd
113,113,32.642,150.653,16,22,Frd
