,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,5,5,Chv
1,1,41.247,119.223,4,5,Chv
2,2,86.531,56.831,5,5,Chv
3,3,95.095,51.712,5,5,Chv
4,4,94.086,52.267,5,5,Chv
5,5,95.988,51.231,5,5,Chv
6,6,88.243,55.728,5,5,Chv
7,7,31.32,157.011,5,5,Chv
8,8,29.984,164.007,5,5,Chv
9,9,30.379,161.875,6,5,Chv
10,10,30.23,162.673,6,5,Chv
11,11,30.677,160.303,6,5,Chv
12,12,30.986,158.704,7,5,Chv
13,13,30.856,159.373,7,5,Chv
14,14,30.888,159.207,7,5,Chv
15,15,30.935,158.966,7,5,Chv
16,16,31.206,157.585,7,5,Chv
17,17,31.345,156.886,7,5,Chv
18,18,31.307,157.077,7,5,Chv
19,19,31.309,157.067,7,5,Chv
20,20,31.312,157.052,7,5,Chv
21,21,31.662,155.316,7,5,Chv
22,22,31.557,155.832,7,5,Chv
23,23,31.609,155.576,7,5,Chv
24,24,31.722,155.022,7,5,Chv
25,25,31.735,154.958,7,5,Chv
26,26,31.702,155.120,7,5,Chv
27,27,31.645,155.399,7,5,Chv
28,28,31.818,154.554,7,5,Chv
29,29,31.798,154.651,7,5,Chv
30,30,31.743,154.919,7,5,Chv
31,31,31.741,154.929,7,5,Chv
32,32,31.806,154.612,7,5,Chv
33,33,31.728,154.992,7,5,Chv
34,34,31.828,154.505,7,5,Chv
35,35,32.021,153.574,6,5,Chv
36,36,57.55,85.449,24,5,Chv
37,37,43.758,112.382,22,5,Chv
38,38,30.789,159.719,18,5,Chv
39,39,30.842,159.445,17,5,Chv
40,40,31.073,158.260,16,5,Chv
41,41,30.892,159.187,11,5,Chv
42,42,30.816,159.579,10,5,Chv
43,43,30.798,159.673,8,5,Chv
44,44,31.033,158.464,7,5,Chv
45,45,30.941,158.935,6,5,Chv
46,46,30.912,159.084,6,5,Chv
47,47,31.287,157.177,5,5,Chv
48,48,31.059,158.331,5,5,Chv
49,49,31.11,158.071,5,5,Chv
50,50,31.062,158.316,5,5,Chv
51,51,31.15,157.868,5,5,Chv
52,52,31.502,156.104,4,5,Chv
53,53,31.577,155.734,4,5,Chv
54,54,31.53,155.966,4,5,Chv
55,55,31.846,154.418,5,5,Chv
56,56,32.372,151.909,6,5,Chv
57,57,31.833,154.481,6,5,Chv
58,58,32.043,153.469,5,5,Chv
59,59,31.715,155.056,4,5,Chv
60,60,31.582,155.709,4,5,Chv
61,61,31.564,155.798,4,5,Chv
62,62,31.673,155.262,4,5,Chv
63,63,31.598,155.630,4,5,Chv
64,64,32.141,153.001,4,5,Chv
65,65,31.753,154.870,4,5,Chv
66,66,31.685,155.203,4,5,Chv
67,67,31.79,154.690,4,5,Chv
68,68,31.816,154.564,4,5,Chv
69,69,31.91,154.108,4,5,Chv
70,70,31.762,154.827,4,5,Chv
71,71,32.016,153.598,4,5,Chv
72,72,31.899,154.162,4,5,Chv
73,73,31.915,154.084,4,5,Chv
74,74,32.051,153.430,4,5,Chv
75,75,32.048,153.445,2,5,Chv
76,76,31.968,153.829,1,5,Chv
77,77,32.004,153.656,1,5,Chv
78,78,57.318,85.795,6,5,Chv
79,79,43.403,113.301,11,5,Chv
80,80,30.576,160.832,9,5,Chv
81,81,30.521,161.122,8,5,Chv
82,82,30.514,161.159,8,5,Chv
83,83,30.826,159.528,7,5,Chv
84,84,30.848,159.414,7,5,Chv
85,85,30.817,159.574,7,5,Chv
86,86,31.074,158.254,7,5,Chv
87,87,31.201,157.610,7,5,Chv
88,88,31.058,158.336,7,5,Chv
89,89,31.205,157.590,7,5,Chv
90,90,31.45,156.362,7,5,Chv
91,91,31.479,156.218,7,5,Chv
92,92,32.387,151.839,7,5,Chv
93,93,31.585,155.694,7,5,Chv
94,94,31.633,155.458,6,5,Chv
95,95,31.771,154.783,6,5,Chv
96,96,31.5,156.114,6,5,Chv
97,97,31.84,154.447,6,5,Chv
98,98,31.844,154.428,6,5,Chv
99,99,31.716,155.051,6,5,Chv
100,100,31.825,154.520,6,5,Chv
101,101,31.668,155.286,6,5,Chv
102,102,31.871,154.297,6,5,Chv
103,103,32.014,153.608,6,5,Chv
104,104,32.186,152.787,6,5,Chv
105,105,32.031,153.526,6,5,Chv
106,106,31.852,154.389,6,5,Chv
107,107,31.92,154.060,6,5,Chv
108,108,31.977,153.786,6,5,Chv
109,109,32.527,151.185,6,5,Chv
110,110,31.991,153.718,6,5,Chv
111,111,31.853,154.384,6,5,Chv
112,112,32.055,153.411,6,5,Chv
113,113,32.016,153.598,6,5,Chv
114,114,32.297,152.262,6,5,Chv
115,115,32.113,153.134,6,5,Chv
116,116,47.878,102.711,6,5,Chv
117,117,79.433,61.909,6,5,Chv
118,118,100.544,48.910,15,5,Chv
119,119,87.73,56.054,6,5,Chv
120,120,95.268,51.619,6,5,Chv
121,121,94.41,52.088,6,5,Chv
122,122,87.569,56.157,8,5,Chv
123,123,32.115,153.125,7,5,Chv
124,124,30.383,161.854,6,5,Chv
125,125,30.414,161.689,6,5,Chv
126,126,30.462,161.434,6,5,Chv
127,127,30.663,160.376,6,5,Chv
128,128,30.758,159.880,6,5,Chv
129,129,30.919,159.048,6,5,Chv
130,130,30.936,158.960,6,5,Chv
131,131,31.016,158.550,7,5,Chv
132,132,31.374,156.741,7,5,Chv
133,133,31.394,156.641,8,5,Chv
134,134,31.432,156.452,8,5,Chv
135,135,31.295,157.137,8,5,Chv
136,136,31.275,157.237,8,5,Chv
137,137,31.591,155.665,8,5,Chv
138,138,31.383,156.696,8,5,Chv
139,139,31.34,156.911,8,5,Chv
140,140,31.605,155.596,8,5,Chv
141,141,31.613,155.556,8,5,Chv
142,142,31.61,155.571,8,5,Chv
143,143,31.692,155.168,8,5,Chv
144,144,31.821,154.539,8,5,Chv
145,145,31.831,154.491,8,5,Chv
146,146,31.792,154.680,8,5,Chv
147,147,31.907,154.123,8,5,Chv
