,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,25,71,Chv
1,1,50.992,96.439,23,71,Chv
2,2,88.271,55.710,24,71,Chv
3,3,97.233,50.575,24,71,Chv
4,4,95.992,51.229,22,71,Chv
5,5,101.33,48.531,23,71,Chv
6,6,67.101,73.287,23,71,Chv
7,7,31.934,153.993,20,71,Chv
8,8,31.017,158.545,18,71,Chv
9,9,30.856,159.373,18,71,Chv
10,10,31.063,158.311,19,71,Chv
11,11,31.27,157.263,20,71,Chv
12,12,31.14,157.919,20,71,Chv
13,13,31.089,158.178,20,71,Chv
14,14,31.459,156.318,20,71,Chv
15,15,31.532,155.956,21,71,Chv
16,16,31.622,155.512,21,71,Chv
17,17,31.686,155.198,21,71,Chv
18,18,31.631,155.468,21,71,Chv
19,19,31.775,154.763,21,71,Chv
20,20,32.096,153.215,22,71,Chv
21,21,32.111,153.144,22,71,Chv
22,22,31.669,155.281,22,71,Chv
23,23,31.893,154.191,22,71,Chv
24,24,32.46,151.497,23,71,Chv
25,25,32.089,153.249,23,71,Chv
26,26,31.992,153.713,23,71,Chv
27,27,32.06,153.387,23,71,Chv
28,28,32.04,153.483,23,71,Chv
29,29,32.081,153.287,23,71,Chv
30,30,32.146,152.977,23,71,Chv
31,31,32.117,153.115,23,71,Chv
32,32,32.104,153.177,23,71,Chv
33,33,32.179,152.820,23,71,Chv
34,34,32.295,152.271,23,71,Chv
35,35,32.161,152.906,22,71,Chv
36,36,32.048,153.445,14,71,Chv
37,37,32.147,152.972,11,71,Chv
38,38,32.102,153.187,10,71,Chv
39,39,32.28,152.342,10,71,Chv
40,40,32.575,150.962,7,71,Chv
41,41,32.182,152.806,6,71,Chv
42,42,32.337,152.073,6,71,Chv
43,43,32.673,150.510,4,71,Chv
44,44,32.356,151.984,2,71,Chv
45,45,32.9,149.471,2,71,Chv
46,46,32.82,149.835,2,71,Chv
47,47,32.593,150.879,2,71,Chv
48,48,32.375,151.895,2,71,Chv
49,49,33.135,148.411,3,71,Chv
50,50,32.505,151.287,3,71,Chv
51,51,32.779,150.023,3,71,Chv
52,52,33.339,147.503,6,71,Chv
53,53,33.189,148.170,8,71,Chv
54,54,32.988,149.072,9,71,Chv
55,55,33.054,148.775,10,71,Chv
56,56,33.073,148.689,11,71,Chv
57,57,33.51,146.750,12,71,Chv
58,58,33.341,147.494,13,71,Chv
59,59,33.505,146.772,16,71,Chv
60,60,59.324,82.894,32,71,Chv
61,61,43.803,112.266,32,71,Chv
62,62,30.888,159.207,32,71,Chv
63,63,30.701,160.177,32,71,Chv
64,64,30.844,159.435,32,71,Chv
65,65,30.726,160.047,32,71,Chv
66,66,31.295,157.137,31,71,Chv
67,67,31.611,155.566,31,71,Chv
68,68,30.916,159.063,31,71,Chv
69,69,31.567,155.783,31,71,Chv
70,70,31.101,158.117,31,71,Chv
71,71,31.438,156.422,31,71,Chv
72,72,31.159,157.823,31,71,Chv
73,73,31.336,156.931,29,71,Chv
74,74,31.737,154.948,26,71,Chv
75,75,31.699,155.134,23,71,Chv
76,76,31.764,154.817,18,71,Chv
77,77,31.911,154.104,18,71,Chv
78,78,31.338,156.921,17,71,Chv
79,79,31.374,156.741,13,71,Chv
80,80,31.507,156.080,12,71,Chv
81,81,32.166,152.882,12,71,Chv
82,82,31.823,154.530,12,71,Chv
83,83,31.84,154.447,13,71,Chv
84,84,31.91,154.108,14,71,Chv
85,85,31.971,153.814,14,71,Chv
86,86,31.824,154.525,14,71,Chv
87,87,32.314,152.182,15,71,Chv
88,88,31.828,154.505,15,71,Chv
89,89,31.868,154.312,15,71,Chv
90,90,31.773,154.773,15,71,Chv
91,91,31.858,154.360,15,71,Chv
92,92,32.497,151.325,16,71,Chv
93,93,32.468,151.460,17,71,Chv
94,94,32.886,149.535,19,71,Chv
95,95,33.019,148.932,21,71,Chv
96,96,32.741,150.197,22,71,Chv
97,97,32.723,150.280,22,71,Chv
98,98,32.29,152.295,22,71,Chv
99,99,32.357,151.979,23,71,Chv
