,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,27,60,Frd
1,1,52.291,94.043,26,60,Frd
2,2,87.809,56.003,26,60,Frd
3,3,97.425,50.476,27,60,Frd
4,4,96.415,51.005,24,60,Frd
5,5,102.029,48.198,25,60,Frd
6,6,64.966,75.695,24,60,Frd
7,7,32.376,151.890,26,60,Frd
8,8,31.52,156.015,27,60,Frd
9,9,31.094,158.153,27,60,Frd
10,10,31.216,157.535,27,60,Frd
11,11,31.452,156.353,27,60,Frd
12,12,31.317,157.027,27,60,Frd
13,13,31.278,157.222,27,60,Frd
14,14,31.724,155.012,27,60,Frd
15,15,31.569,155.773,27,60,Frd
16,16,31.505,156.090,27,60,Frd
17,17,31.658,155.335,27,60,Frd
18,18,31.672,155.266,27,60,Frd
19,19,31.958,153.877,28,60,Frd
20,20,31.832,154.486,28,60,Frd
21,21,31.789,154.695,28,60,Frd
22,22,32.173,152.849,27,60,Frd
23,23,31.884,154.234,27,60,Frd
24,24,32.091,153.239,27,60,Frd
25,25,32.169,152.868,27,60,Frd
26,26,31.89,154.205,27,60,Frd
27,27,31.911,154.104,27,60,Frd
28,28,32.022,153.569,27,60,Frd
29,29,32.013,153.613,27,60,Frd
30,30,32.113,153.134,27,60,Frd
31,31,32.122,153.091,27,60,Frd
32,32,32.143,152.991,27,60,Frd
33,33,32.242,152.522,27,60,Frd
34,34,32.412,151.722,26,60,Frd
35,35,31.992,153.713,24,60,Frd
36,36,32.082,153.282,16,60,Frd
37,37,60.578,81.178,27,60,Frd
38,38,43.789,112.302,33,60,Frd
39,39,30.908,159.104,33,60,Frd
40,40,30.974,158.765,33,60,Frd
41,41,30.749,159.927,32,60,Frd
42,42,30.835,159.481,31,60,Frd
43,43,30.987,158.699,31,60,Frd
44,44,31.136,157.939,31,60,Frd
45,45,31.249,157.368,30,60,Frd
46,46,31.076,158.244,30,60,Frd
47,47,31.389,156.666,29,60,Frd
48,48,31.467,156.278,28,60,Frd
