,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,20,88,Chv
1,1,47.993,102.465,17,88,Chv
2,2,87.706,56.069,18,88,Chv
3,3,96.613,50.900,17,88,Chv
4,4,94.902,51.818,16,88,Chv
5,5,99.977,49.187,16,88,Chv
6,6,73.633,66.785,16,88,Chv
7,7,32.2,152.720,16,88,Chv
8,8,30.921,159.038,15,88,Chv
9,9,30.885,159.223,16,88,Chv
10,10,31.0,158.632,17,88,Chv
11,11,30.988,158.694,17,88,Chv
12,12,31.173,157.752,17,88,Chv
13,13,31.396,156.631,19,88,Chv
14,14,31.362,156.801,19,88,Chv
15,15,31.411,156.557,19,88,Chv
16,16,31.616,155.541,19,88,Chv
17,17,31.571,155.763,19,88,Chv
18,18,32.08,153.292,20,88,Chv
19,19,31.605,155.596,20,88,Chv
20,20,31.72,155.032,20,88,Chv
21,21,31.768,154.797,20,88,Chv
22,22,31.745,154.909,20,88,Chv
23,23,31.653,155.360,20,88,Chv
24,24,31.819,154.549,20,88,Chv
25,25,31.842,154.438,20,88,Chv
26,26,31.852,154.389,20,88,Chv
27,27,31.74,154.934,20,88,Chv
28,28,31.947,153.930,20,88,Chv
29,29,32.011,153.622,20,88,Chv
30,30,31.903,154.142,20,88,Chv
31,31,31.977,153.786,20,88,Chv
32,32,32.036,153.502,20,88,Chv
33,33,32.003,153.661,20,88,Chv
34,34,32.101,153.191,20,88,Chv
35,35,32.223,152.611,20,88,Chv
36,36,32.025,153.555,12,88,Chv
37,37,32.164,152.891,9,88,Chv
38,38,31.969,153.824,9,88,Chv
39,39,32.2,152.720,9,88,Chv
40,40,32.116,153.120,6,88,Chv
41,41,31.96,153.867,5,88,Chv
42,42,32.012,153.617,4,88,Chv
43,43,32.609,150.805,3,88,Chv
44,44,45.738,107.517,5,88,Chv
45,45,57.717,85.202,32,88,Chv
46,46,31.268,157.273,32,88,Chv
47,47,30.981,158.730,32,88,Chv
48,48,30.997,158.648,31,88,Chv
49,49,31.203,157.600,31,88,Chv
50,50,31.602,155.610,31,88,Chv
51,51,31.829,154.501,29,88,Chv
52,52,31.701,155.124,29,88,Chv
53,53,32.173,152.849,28,88,Chv
54,54,31.216,157.535,28,88,Chv
55,55,31.185,157.691,28,88,Chv
56,56,31.164,157.797,28,88,Chv
57,57,31.264,157.293,28,88,Chv
58,58,31.399,156.616,28,88,Chv
59,59,31.444,156.392,28,88,Chv
60,60,31.58,155.719,25,88,Chv
61,61,31.741,154.929,25,88,Chv
62,62,32.033,153.517,24,88,Chv
63,63,32.147,152.972,23,88,Chv
64,64,31.715,155.056,23,88,Chv
65,65,31.764,154.817,23,88,Chv
66,66,31.578,155.729,23,88,Chv
67,67,31.838,154.457,23,88,Chv
68,68,31.688,155.188,22,88,Chv
69,69,31.995,153.699,22,88,Chv
70,70,31.675,155.252,22,88,Chv
71,71,32.064,153.368,22,88,Chv
72,72,31.961,153.863,19,88,Chv
73,73,31.825,154.520,16,88,Chv
74,74,31.866,154.321,15,88,Chv
75,75,32.393,151.811,11,88,Chv
76,76,31.757,154.851,7,88,Chv
77,77,31.806,154.612,5,88,Chv
78,78,31.998,153.685,3,88,Chv
79,79,32.399,151.782,2,88,Chv
80,80,32.557,151.046,1,88,Chv
81,81,45.83,107.301,11,88,Chv
82,82,61.082,80.508,30,88,Chv
83,83,30.811,159.605,30,88,Chv
84,84,30.95,158.889,29,88,Chv
85,85,30.937,158.955,29,88,Chv
86,86,30.953,158.873,29,88,Chv
87,87,31.629,155.478,29,88,Chv
88,88,31.546,155.887,29,88,Chv
89,89,30.978,158.745,29,88,Chv
90,90,31.388,156.671,29,88,Chv
91,91,31.344,156.891,29,88,Chv
92,92,31.665,155.301,28,88,Chv
93,93,31.271,157.258,28,88,Chv
94,94,31.569,155.773,28,88,Chv
95,95,31.225,157.489,28,88,Chv
96,96,31.532,155.956,28,88,Chv
97,97,31.466,156.283,28,88,Chv
98,98,31.525,155.990,28,88,Chv
99,99,31.398,156.621,28,88,Chv
100,100,31.584,155.699,28,88,Chv
101,101,31.519,156.020,28,88,Chv
102,102,31.691,155.173,28,88,Chv
103,103,31.507,156.080,28,88,Chv
104,104,31.485,156.189,28,88,Chv
105,105,31.575,155.743,27,88,Chv
106,106,31.712,155.071,27,88,Chv
107,107,31.676,155.247,27,88,Chv
108,108,31.947,153.930,27,88,Chv
109,109,31.698,155.139,27,88,Chv
110,110,32.303,152.234,27,88,Chv
111,111,32.087,153.258,27,88,Chv
112,112,31.763,154.822,27,88,Chv
113,113,31.802,154.632,27,88,Chv
114,114,32.45,151.544,25,88,Chv
115,115,43.435,113.217,25,88,Chv
116,116,82.924,59.302,25,88,Chv
117,117,92.65,53.077,25,88,Chv
118,118,41.246,119.226,25,88,Chv
119,119,60.481,81.308,7,88,Chv
120,120,120.193,40.914,25,88,Chv
121,121,99.401,49.472,25,88,Chv
122,122,59.03,83.307,25,88,Chv
123,123,32.942,149.281,25,88,Chv
124,124,31.638,155.433,25,88,Chv
125,125,31.332,156.951,25,88,Chv
126,126,31.502,156.104,25,88,Chv
127,127,31.448,156.372,25,88,Chv
128,128,31.989,153.728,25,88,Chv
129,129,31.745,154.909,25,88,Chv
130,130,31.601,155.615,25,88,Chv
131,131,31.376,156.731,25,88,Chv
132,132,31.563,155.803,25,88,Chv
133,133,31.638,155.433,25,88,Chv
134,134,31.493,156.149,25,88,Chv
135,135,31.503,156.099,25,88,Chv
136,136,31.497,156.129,25,88,Chv
137,137,31.675,155.252,25,88,Chv
138,138,31.786,154.710,25,88,Chv
139,139,31.841,154.442,25,88,Chv
140,140,31.915,154.084,25,88,Chv
141,141,31.894,154.186,25,88,Chv
142,142,31.786,154.710,25,88,Chv
143,143,31.944,153.944,25,88,Chv
144,144,31.945,153.940,25,88,Chv
145,145,31.947,153.930,25,88,Chv
146,146,32.036,153.502,25,88,Chv
147,147,31.882,154.244,25,88,Chv
148,148,31.983,153.757,25,88,Chv
149,149,32.056,153.407,25,88,Chv
150,150,32.231,152.574,24,88,Chv
151,151,33.218,148.040,22,88,Chv
152,152,47.207,104.171,22,88,Chv
153,153,69.102,71.164,22,88,Chv
154,154,77.553,63.410,12,88,Chv
155,155,107.625,45.692,19,88,Chv
156,156,93.086,52.829,19,88,Chv
157,157,69.917,70.335,18,88,Chv
158,158,32.38,151.872,19,88,Chv
159,159,30.993,158.668,19,88,Chv
160,160,30.783,159.751,19,88,Chv
161,161,30.93,158.991,19,88,Chv
162,162,31.193,157.651,19,88,Chv
163,163,31.156,157.838,19,88,Chv
164,164,31.402,156.601,20,88,Chv
165,165,31.356,156.831,20,88,Chv
166,166,31.327,156.976,20,88,Chv
167,167,31.475,156.238,20,88,Chv
168,168,31.413,156.547,20,88,Chv
169,169,31.565,155.793,20,88,Chv
170,170,31.748,154.895,20,88,Chv
171,171,31.552,155.857,20,88,Chv
172,172,31.785,154.714,20,88,Chv
173,173,31.625,155.497,20,88,Chv
174,174,31.84,154.447,20,88,Chv
175,175,32.105,153.172,20,88,Chv
176,176,32.198,152.730,20,88,Chv
177,177,31.907,154.123,20,88,Chv
178,178,31.862,154.341,20,88,Chv
179,179,31.817,154.559,20,88,Chv
180,180,31.764,154.817,20,88,Chv
181,181,31.944,153.944,20,88,Chv
182,182,32.117,153.115,20,88,Chv
183,183,32.295,152.271,20,88,Chv
184,184,32.245,152.507,20,88,Chv
185,185,32.2,152.720,19,88,Chv
186,186,32.114,153.129,17,88,Chv
187,187,32.237,152.545,11,88,Chv
188,188,45.447,108.205,11,88,Chv
189,189,60.641,81.094,29,88,Chv
190,190,31.233,157.449,29,88,Chv
191,191,31.425,156.487,29,88,Chv
192,192,31.364,156.791,29,88,Chv
193,193,31.451,156.358,27,88,Chv
194,194,31.431,156.457,25,88,Chv
195,195,31.407,156.577,26,88,Chv
196,196,31.187,157.681,26,88,Chv
197,197,31.281,157.207,26,88,Chv
198,198,31.259,157.318,26,88,Chv
199,199,31.255,157.338,26,88,Chv
200,200,31.765,154.812,26,88,Chv
201,201,31.179,157.722,26,88,Chv
202,202,40.857,120.361,26,88,Chv
203,203,54.817,89.709,26,88,Chv
204,204,58.207,84.485,26,88,Chv
205,205,75.551,65.090,13,88,Chv
206,206,90.425,54.383,1,88,Chv
207,207,125.541,39.171,27,88,Chv
208,208,62.154,79.120,26,88,Chv
209,209,32.552,151.069,24,88,Chv
210,210,54.114,90.875,24,88,Chv
211,211,84.367,58.288,27,88,Chv
212,212,94.932,51.801,26,88,Chv
213,213,100.565,48.900,24,88,Chv
214,214,65.533,75.040,25,88,Chv
215,215,32.406,151.750,23,88,Chv
216,216,31.046,158.397,24,88,Chv
217,217,31.222,157.504,24,88,Chv
218,218,31.534,155.946,25,88,Chv
219,219,31.792,154.680,25,88,Chv
220,220,31.513,156.050,25,88,Chv
221,221,31.382,156.701,25,88,Chv
222,222,31.285,157.187,25,88,Chv
223,223,31.942,153.954,27,88,Chv
224,224,32.346,152.031,27,88,Chv
225,225,31.439,156.417,27,88,Chv
226,226,31.597,155.635,27,88,Chv
227,227,31.698,155.139,27,88,Chv
228,228,32.235,152.555,28,88,Chv
229,229,32.435,151.614,29,88,Chv
230,230,33.858,145.242,29,88,Chv
231,231,52.714,93.288,29,88,Chv
232,232,71.315,68.956,29,88,Chv
233,233,80.017,61.457,14,88,Chv
234,234,107.031,45.946,31,88,Chv
235,235,96.733,50.837,31,88,Chv
236,236,102.101,48.164,31,88,Chv
237,237,58.741,83.717,32,88,Chv
238,238,32.853,149.685,32,88,Chv
239,239,31.288,157.172,32,88,Chv
240,240,31.089,158.178,32,88,Chv
241,241,31.606,155.591,33,88,Chv
242,242,31.321,157.006,32,88,Chv
