,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,28,34,Frd
1,1,54.226,90.687,32,34,Frd
2,2,88.491,55.572,32,34,Frd
3,3,96.449,50.987,30,34,Frd
4,4,96.293,51.069,27,34,Frd
5,5,103.537,47.496,28,34,Frd
6,6,61.546,79.901,26,34,Frd
7,7,32.288,152.304,27,34,Frd
8,8,31.353,156.846,26,34,Frd
9,9,30.809,159.616,25,34,Frd
10,10,31.161,157.813,24,34,Frd
11,11,31.036,158.448,24,34,Frd
12,12,31.241,157.409,24,34,Frd
13,13,31.391,156.656,24,34,Frd
14,14,31.306,157.082,24,34,Frd
15,15,31.451,156.358,24,34,Frd
16,16,31.633,155.458,24,34,Frd
17,17,32.07,153.340,25,34,Frd
18,18,31.78,154.739,25,34,Frd
19,19,31.707,155.095,25,34,Frd
20,20,31.644,155.404,25,34,Frd
21,21,31.778,154.749,25,34,Frd
22,22,31.846,154.418,25,34,Frd
23,23,31.88,154.253,25,34,Frd
24,24,31.933,153.997,25,34,Frd
25,25,32.125,153.077,25,34,Frd
26,26,32.065,153.363,25,34,Frd
27,27,32.257,152.451,25,34,Frd
28,28,32.407,151.745,25,34,Frd
29,29,32.265,152.413,25,34,Frd
30,30,32.088,153.254,25,34,Frd
31,31,32.043,153.469,25,34,Frd
32,32,32.274,152.370,25,34,Frd
33,33,32.517,151.232,26,34,Frd
34,34,32.89,149.517,27,34,Frd
35,35,32.249,152.488,25,34,Frd
36,36,32.15,152.958,17,34,Frd
37,37,31.966,153.838,13,34,Frd
38,38,31.978,153.781,11,34,Frd
39,39,32.069,153.344,11,34,Frd
40,40,32.13,153.053,8,34,Frd
41,41,59.262,82.981,22,34,Frd
42,42,43.415,113.270,33,34,Frd
43,43,30.649,160.449,33,34,Frd
44,44,30.517,161.143,33,34,Frd
45,45,30.666,160.360,33,34,Frd
46,46,31.476,156.233,33,34,Frd
47,47,31.013,158.566,33,34,Frd
48,48,31.068,158.285,32,34,Frd
49,49,31.216,157.535,32,34,Frd
50,50,31.323,156.996,32,34,Frd
51,51,32.345,152.036,31,34,Frd
52,52,31.782,154.729,30,34,Frd
53,53,31.761,154.831,30,34,Frd
54,54,31.642,155.414,29,34,Frd
55,55,31.092,158.163,29,34,Frd
56,56,31.174,157.747,29,34,Frd
57,57,31.24,157.414,29,34,Frd
58,58,31.404,156.592,29,34,Frd
59,59,31.628,155.482,29,34,Frd
60,60,31.595,155.645,26,34,Frd
61,61,31.601,155.615,26,34,Frd
62,62,31.838,154.457,26,34,Frd
63,63,32.151,152.953,26,34,Frd
64,64,32.302,152.238,25,34,Frd
65,65,32.001,153.670,25,34,Frd
66,66,31.841,154.442,25,34,Frd
67,67,31.818,154.554,25,34,Frd
68,68,31.837,154.462,25,34,Frd
69,69,32.15,152.958,25,34,Frd
70,70,32.367,151.933,25,34,Frd
71,71,32.073,153.325,25,34,Frd
72,72,32.263,152.422,22,34,Frd
73,73,32.021,153.574,20,34,Frd
74,74,32.141,153.001,18,34,Frd
75,75,32.299,152.252,13,34,Frd
76,76,31.899,154.162,8,34,Frd
77,77,31.952,153.906,6,34,Frd
78,78,31.903,154.142,4,34,Frd
79,79,58.391,84.218,18,34,Frd
80,80,43.574,112.856,28,34,Frd
81,81,30.721,160.073,28,34,Frd
82,82,30.89,159.197,27,34,Frd
83,83,30.585,160.785,27,34,Frd
84,84,30.796,159.683,27,34,Frd
85,85,31.124,158.000,27,34,Frd
86,86,31.131,157.965,27,34,Frd
87,87,30.93,158.991,27,34,Frd
88,88,31.688,155.188,27,34,Frd
89,89,31.571,155.763,26,34,Frd
90,90,31.179,157.722,26,34,Frd
91,91,31.29,157.162,26,34,Frd
92,92,31.374,156.741,26,34,Frd
93,93,31.293,157.147,26,34,Frd
94,94,31.597,155.635,26,34,Frd
95,95,31.279,157.217,26,34,Frd
96,96,31.271,157.258,26,34,Frd
97,97,31.496,156.134,26,34,Frd
98,98,31.643,155.409,26,34,Frd
99,99,31.642,155.414,26,34,Frd
100,100,31.349,156.866,26,34,Frd
101,101,31.603,155.605,26,34,Frd
