,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,14,23,Tyt
1,1,35.394,127.140,13,23,Tyt
2,2,33.737,133.385,13,23,Tyt
3,3,33.959,132.513,13,23,Tyt
4,4,34.0,132.353,12,23,Tyt
5,5,33.803,133.124,13,23,Tyt
6,6,33.807,133.109,13,23,Tyt
7,7,33.808,133.105,13,23,Tyt
8,8,33.982,132.423,13,23,Tyt
9,9,34.281,131.268,13,23,Tyt
10,10,33.71,133.492,13,23,Tyt
11,11,33.762,133.286,12,23,Tyt
12,12,33.935,132.606,12,23,Tyt
13,13,33.922,132.657,12,23,Tyt
14,14,33.834,133.002,12,23,Tyt
15,15,33.838,132.987,12,23,Tyt
16,16,33.758,133.302,12,23,Tyt
17,17,33.813,133.085,12,23,Tyt
18,18,33.823,133.046,12,23,Tyt
19,19,33.902,132.736,12,23,Tyt
20,20,33.996,132.369,12,23,Tyt
21,21,33.96,132.509,12,23,Tyt
22,22,34.014,132.298,12,23,Tyt
23,23,34.221,131.498,12,23,Tyt
24,24,33.964,132.493,12,23,Tyt
25,25,33.909,132.708,12,23,Tyt
26,26,34.073,132.069,12,23,Tyt
27,27,49.22,91.426,12,23,Tyt
28,28,78.249,57.509,12,23,Tyt
29,29,84.366,53.339,7,23,Tyt
30,30,96.959,46.411,14,23,Tyt
31,31,92.133,48.842,14,23,Tyt
32,32,74.529,60.379,13,23,Tyt
33,33,35.352,127.291,12,23,Tyt
34,34,34.051,132.155,9,23,Tyt
35,35,34.013,132.302,10,23,Tyt
36,36,43.563,103.299,8,23,Tyt
37,37,77.619,57.975,8,23,Tyt
38,38,90.622,49.657,8,23,Tyt
39,39,92.261,48.775,8,23,Tyt
40,40,90.392,49.783,8,23,Tyt
41,41,78.966,56.987,7,23,Tyt
42,42,34.798,129.318,7,23,Tyt
43,43,33.862,132.892,7,23,Tyt
44,44,33.496,134.344,6,23,Tyt
45,45,33.725,133.432,6,23,Tyt
46,46,50.762,88.649,6,23,Tyt
47,47,79.772,56.411,6,23,Tyt
48,48,87.313,51.539,3,23,Tyt
49,49,89.221,50.437,3,23,Tyt
50,50,90.578,49.681,3,23,Tyt
51,51,90.549,49.697,3,23,Tyt
52,52,85.391,52.699,3,23,Tyt
53,53,34.358,130.974,2,23,Tyt
54,54,33.214,135.485,2,23,Tyt
55,55,33.457,134.501,2,23,Tyt
56,56,33.321,135.050,2,23,Tyt
57,57,33.348,134.941,2,23,Tyt
58,58,33.338,134.981,2,23,Tyt
59,59,33.292,135.168,2,23,Tyt
60,60,33.324,135.038,2,23,Tyt
61,61,37.705,119.348,2,23,Tyt
62,62,84.966,52.962,4,23,Tyt
63,63,95.847,46.950,11,23,Tyt
64,64,91.8,49.020,11,23,Tyt
65,65,79.037,56.935,11,23,Tyt
66,66,34.78,129.385,8,23,Tyt
67,67,33.711,133.488,8,23,Tyt
68,68,33.637,133.781,8,23,Tyt
69,69,33.306,135.111,7,23,Tyt
70,70,33.283,135.204,6,23,Tyt
71,71,33.244,135.363,6,23,Tyt
72,72,33.235,135.399,5,23,Tyt
73,73,33.321,135.050,5,23,Tyt
74,74,33.492,134.360,5,23,Tyt
75,75,33.325,135.034,5,23,Tyt
76,76,38.011,118.387,5,23,Tyt
77,77,81.731,55.059,5,23,Tyt
78,78,86.293,52.148,1,23,Tyt
79,79,91.406,49.231,1,23,Tyt
80,80,89.267,50.411,1,23,Tyt
81,81,89.883,50.065,1,23,Tyt
82,82,88.097,51.080,1,23,Tyt
83,83,34.213,131.529,1,23,Tyt
84,84,33.285,135.196,1,23,Tyt
85,85,33.375,134.831,1,23,Tyt
86,86,33.207,135.514,1,23,Tyt
87,87,33.283,135.204,1,23,Tyt
88,88,33.416,134.666,1,23,Tyt
89,89,33.345,134.953,1,23,Tyt
90,90,33.493,134.356,1,23,Tyt
91,91,33.578,134.016,1,23,Tyt
92,92,33.524,134.232,1,23,Tyt
93,93,33.48,134.409,1,23,Tyt
94,94,33.498,134.336,1,23,Tyt
95,95,33.585,133.988,1,23,Tyt
96,96,33.598,133.937,1,23,Tyt
97,97,33.632,133.801,1,23,Tyt
98,98,33.671,133.646,1,23,Tyt
99,99,33.635,133.789,1,23,Tyt
100,100,33.725,133.432,1,23,Tyt
101,101,33.672,133.642,1,23,Tyt
102,102,33.63,133.809,1,23,Tyt
103,103,33.763,133.282,1,23,Tyt
104,104,33.79,133.175,1,23,Tyt
105,105,33.755,133.314,1,23,Tyt
106,106,33.817,133.069,1,23,Tyt
107,107,33.757,133.306,1,23,Tyt
108,108,33.779,133.219,1,23,Tyt
109,109,33.816,133.073,1,23,Tyt
110,110,33.846,132.955,1,23,Tyt
111,111,33.892,132.775,1,23,Tyt
112,112,33.811,133.093,1,23,Tyt
113,113,33.955,132.528,1,23,Tyt
114,114,33.885,132.802,1,23,Tyt
115,115,33.949,132.552,1,23,Tyt
116,116,33.97,132.470,1,23,Tyt
117,117,33.899,132.747,1,23,Tyt
118,118,33.994,132.376,1,23,Tyt
119,119,34.073,132.069,1,23,Tyt
120,120,33.936,132.603,1,23,Tyt
121,121,33.996,132.369,1,23,Tyt
122,122,34.133,131.837,1,23,Tyt
123,123,34.2,131.579,1,23,Tyt
124,124,34.135,131.830,1,23,Tyt
125,125,34.079,132.046,1,23,Tyt
126,126,34.326,131.096,1,23,Tyt
127,127,34.45,130.624,1,23,Tyt
128,128,34.434,130.685,1,23,Tyt
129,129,34.368,130.936,1,23,Tyt
130,130,34.067,132.093,1,23,Tyt
131,131,34.452,130.617,1,23,Tyt
132,132,34.264,131.333,1,23,Tyt
133,133,34.444,130.647,1,23,Tyt
134,134,34.233,131.452,1,23,Tyt
135,135,49.883,90.211,1,23,Tyt
136,136,85.82,52.435,2,23,Tyt
137,137,94.132,47.805,4,23,Tyt
138,138,88.792,50.680,3,23,Tyt
139,139,86.703,51.901,3,23,Tyt
140,140,34.676,129.773,1,23,Tyt
141,141,49.744,90.463,1,23,Tyt
142,142,81.274,55.368,1,23,Tyt
143,143,86.746,51.876,1,23,Tyt
144,144,90.012,49.993,1,23,Tyt
145,145,91.325,49.275,1,23,Tyt
146,146,90.711,49.608,1,23,Tyt
147,147,88.051,51.107,1,23,Tyt
148,148,34.097,131.976,1,23,Tyt
149,149,32.981,136.442,1,23,Tyt
150,150,50.909,88.393,1,23,Tyt
151,151,82.652,54.445,1,23,Tyt
152,152,89.756,50.136,1,23,Tyt
153,153,89.688,50.174,1,23,Tyt
154,154,90.105,49.942,1,23,Tyt
155,155,86.099,52.265,4,23,Tyt
156,156,34.902,128.932,5,23,Tyt
157,157,60.308,74.617,5,23,Tyt
158,158,79.346,56.714,3,23,Tyt
159,159,104.548,43.042,24,23,Tyt
160,160,96.383,46.689,26,23,Tyt
161,161,67.479,66.687,22,23,Tyt
162,162,35.599,126.408,21,23,Tyt
163,163,34.213,131.529,21,23,Tyt
164,164,33.923,132.653,21,23,Tyt
165,165,33.573,134.036,20,23,Tyt
166,166,33.746,133.349,19,23,Tyt
167,167,33.827,133.030,19,23,Tyt
168,168,34.407,130.787,18,23,Tyt
169,169,33.626,133.825,18,23,Tyt
170,170,33.788,133.183,18,23,Tyt
171,171,33.577,134.020,18,23,Tyt
172,172,33.825,133.038,18,23,Tyt
173,173,33.846,132.955,18,23,Tyt
174,174,34.025,132.256,18,23,Tyt
175,175,34.177,131.667,18,23,Tyt
176,176,34.051,132.155,17,23,Tyt
