,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,3,19,Tyt
1,1,34.842,129.154,4,19,Tyt
2,2,33.425,134.630,3,19,Tyt
3,3,32.984,136.430,3,19,Tyt
4,4,33.161,135.702,3,19,Tyt
5,5,33.205,135.522,3,19,Tyt
6,6,33.347,134.945,3,19,Tyt
7,7,33.328,135.022,3,19,Tyt
8,8,33.473,134.437,3,19,Tyt
9,9,33.467,134.461,3,19,Tyt
10,10,33.456,134.505,3,19,Tyt
11,11,33.712,133.484,3,19,Tyt
12,12,33.638,133.777,3,19,Tyt
13,13,33.756,133.310,3,19,Tyt
14,14,33.657,133.702,3,19,Tyt
15,15,33.688,133.579,3,19,Tyt
16,16,33.835,132.998,3,19,Tyt
17,17,33.711,133.488,3,19,Tyt
18,18,33.757,133.306,3,19,Tyt
19,19,33.756,133.310,3,19,Tyt
20,20,33.744,133.357,3,19,Tyt
21,21,33.657,133.702,3,19,Tyt
22,22,33.759,133.298,3,19,Tyt
23,23,33.7,133.531,3,19,Tyt
24,24,33.716,133.468,3,19,Tyt
25,25,33.713,133.480,3,19,Tyt
26,26,33.75,133.333,3,19,Tyt
27,27,44.915,100.189,3,19,Tyt
28,28,85.142,52.853,3,19,Tyt
29,29,89.321,50.380,2,19,Tyt
30,30,88.024,51.122,2,19,Tyt
31,31,89.699,50.168,2,19,Tyt
32,32,86.996,51.727,2,19,Tyt
33,33,34.392,130.844,1,19,Tyt
34,34,33.374,134.836,1,19,Tyt
35,35,33.504,134.312,1,19,Tyt
36,36,38.965,115.488,1,19,Tyt
37,37,81.464,55.239,1,19,Tyt
38,38,89.262,50.413,1,19,Tyt
39,39,91.096,49.398,1,19,Tyt
40,40,89.978,50.012,1,19,Tyt
41,41,85.246,52.788,1,19,Tyt
42,42,34.407,130.787,1,19,Tyt
43,43,33.301,135.131,1,19,Tyt
44,44,33.483,134.397,1,19,Tyt
45,45,33.497,134.340,1,19,Tyt
46,46,47.977,93.795,1,19,Tyt
47,47,81.768,55.034,1,19,Tyt
48,48,102.515,43.896,25,19,Tyt
49,49,93.707,48.022,25,19,Tyt
50,50,91.075,49.410,25,19,Tyt
51,51,95.909,46.919,25,19,Tyt
52,52,63.871,70.455,24,19,Tyt
53,53,35.652,126.220,24,19,Tyt
54,54,34.008,132.322,21,19,Tyt
55,55,33.616,133.865,19,19,Tyt
56,56,33.564,134.072,17,19,Tyt
57,57,33.596,133.945,16,19,Tyt
58,58,33.65,133.730,15,19,Tyt
59,59,33.744,133.357,15,19,Tyt
60,60,34.007,132.326,15,19,Tyt
61,61,43.621,103.161,15,19,Tyt
62,62,106.272,42.344,33,19,Tyt
63,63,79.279,56.762,31,19,Tyt
64,64,91.657,49.096,29,19,Tyt
65,65,65.168,69.052,33,19,Tyt
66,66,34.837,129.173,30,19,Tyt
67,67,34.504,130.420,31,19,Tyt
68,68,34.537,130.295,31,19,Tyt
69,69,33.936,132.603,31,19,Tyt
70,70,33.909,132.708,30,19,Tyt
71,71,34.246,131.402,28,19,Tyt
72,72,33.981,132.427,28,19,Tyt
73,73,33.92,132.665,28,19,Tyt
74,74,34.172,131.687,28,19,Tyt
75,75,34.247,131.398,28,19,Tyt
76,76,43.724,102.918,29,19,Tyt
77,77,82.137,54.787,29,19,Tyt
78,78,83.727,53.746,26,19,Tyt
79,79,91.373,49.249,17,19,Tyt
80,80,89.681,50.178,17,19,Tyt
81,81,92.621,48.585,17,19,Tyt
82,82,73.289,61.401,17,19,Tyt
83,83,35.845,125.541,21,19,Tyt
84,84,34.366,130.943,20,19,Tyt
85,85,34.079,132.046,20,19,Tyt
86,86,34.394,130.837,22,19,Tyt
87,87,34.245,131.406,21,19,Tyt
88,88,33.866,132.877,21,19,Tyt
89,89,33.902,132.736,21,19,Tyt
90,90,33.933,132.614,21,19,Tyt
91,91,34.021,132.271,21,19,Tyt
92,92,33.891,132.779,21,19,Tyt
93,93,33.886,132.798,21,19,Tyt
94,94,33.989,132.396,20,19,Tyt
95,95,33.909,132.708,19,19,Tyt
96,96,33.823,133.046,19,19,Tyt
97,97,33.855,132.920,19,19,Tyt
98,98,33.843,132.967,19,19,Tyt
99,99,33.93,132.626,18,19,Tyt
100,100,33.985,132.411,18,19,Tyt
101,101,33.79,133.175,18,19,Tyt
102,102,33.813,133.085,18,19,Tyt
103,103,33.954,132.532,18,19,Tyt
104,104,34.312,131.149,18,19,Tyt
105,105,33.971,132.466,18,19,Tyt
106,106,34.059,132.124,18,19,Tyt
107,107,34.041,132.194,18,19,Tyt
108,108,34.057,132.131,18,19,Tyt
109,109,34.281,131.268,17,19,Tyt
110,110,34.167,131.706,17,19,Tyt
111,111,34.149,131.775,16,19,Tyt
112,112,33.947,132.560,16,19,Tyt
113,113,33.93,132.626,16,19,Tyt
114,114,34.063,132.108,16,19,Tyt
115,115,34.062,132.112,16,19,Tyt
116,116,34.079,132.046,16,19,Tyt
117,117,34.083,132.031,16,19,Tyt
118,118,34.159,131.737,16,19,Tyt
119,119,34.141,131.806,16,19,Tyt
120,120,34.133,131.837,16,19,Tyt
121,121,34.115,131.907,16,19,Tyt
122,122,34.01,132.314,16,19,Tyt
123,123,33.96,132.509,16,19,Tyt
124,124,34.032,132.228,16,19,Tyt
125,125,34.038,132.205,16,19,Tyt
126,126,34.139,131.814,16,19,Tyt
127,127,34.223,131.491,16,19,Tyt
128,128,34.207,131.552,16,19,Tyt
129,129,34.212,131.533,16,19,Tyt
130,130,34.157,131.745,16,19,Tyt
131,131,34.229,131.467,16,19,Tyt
132,132,34.273,131.299,16,19,Tyt
133,133,34.303,131.184,16,19,Tyt
134,134,40.875,110.092,16,19,Tyt
135,135,49.214,91.437,16,19,Tyt
136,136,84.89,53.010,24,19,Tyt
137,137,86.831,51.825,19,19,Tyt
138,138,92.666,48.562,18,19,Tyt
139,139,72.203,62.324,20,19,Tyt
140,140,35.667,126.167,19,19,Tyt
141,141,64.975,69.257,18,19,Tyt
142,142,76.53,58.800,19,19,Tyt
143,143,115.378,39.002,32,19,Tyt
144,144,71.843,62.637,32,19,Tyt
145,145,92.375,48.714,32,19,Tyt
146,146,100.683,44.695,32,19,Tyt
147,147,56.249,80.001,31,19,Tyt
148,148,35.753,125.864,33,19,Tyt
149,149,35.07,128.315,33,19,Tyt
150,150,72.211,62.317,33,19,Tyt
151,151,74.729,60.218,33,19,Tyt
152,152,89.49,50.285,28,19,Tyt
153,153,89.63,50.206,26,19,Tyt
154,154,98.516,45.678,27,19,Tyt
155,155,60.372,74.538,26,19,Tyt
156,156,36.259,124.107,23,19,Tyt
157,157,67.858,66.315,24,19,Tyt
158,158,77.795,57.844,24,19,Tyt
159,159,89.623,50.210,15,19,Tyt
160,160,93.455,48.152,15,19,Tyt
161,161,75.594,59.529,13,19,Tyt
162,162,35.304,127.464,12,19,Tyt
163,163,33.513,134.276,11,19,Tyt
164,164,33.302,135.127,11,19,Tyt
165,165,33.266,135.273,10,19,Tyt
166,166,33.739,133.377,10,19,Tyt
167,167,33.732,133.404,10,19,Tyt
168,168,33.531,134.204,10,19,Tyt
169,169,33.486,134.385,9,19,Tyt
170,170,33.551,134.124,9,19,Tyt
171,171,33.493,134.356,9,19,Tyt
172,172,33.515,134.268,9,19,Tyt
173,173,33.574,134.032,9,19,Tyt
174,174,33.61,133.889,9,19,Tyt
175,175,33.804,133.120,9,19,Tyt
176,176,33.626,133.825,9,19,Tyt
177,177,33.734,133.397,9,19,Tyt
178,178,33.566,134.064,9,19,Tyt
179,179,33.805,133.116,9,19,Tyt
180,180,33.847,132.951,9,19,Tyt
181,181,33.774,133.239,9,19,Tyt
182,182,33.724,133.436,9,19,Tyt
183,183,33.648,133.738,9,19,Tyt
184,184,33.664,133.674,8,19,Tyt
185,185,33.741,133.369,8,19,Tyt
186,186,33.769,133.258,8,19,Tyt
187,187,33.78,133.215,8,19,Tyt
188,188,33.876,132.837,8,19,Tyt
189,189,33.855,132.920,8,19,Tyt
190,190,33.867,132.873,8,19,Tyt
191,191,33.913,132.692,8,19,Tyt
192,192,34.051,132.155,8,19,Tyt
193,193,33.877,132.833,8,19,Tyt
194,194,53.621,83.922,31,19,Tyt
195,195,45.158,99.650,33,19,Tyt
196,196,33.745,133.353,33,19,Tyt
197,197,33.688,133.579,32,19,Tyt
198,198,33.769,133.258,30,19,Tyt
199,199,33.838,132.987,30,19,Tyt
200,200,33.741,133.369,29,19,Tyt
201,201,33.575,134.028,28,19,Tyt
202,202,33.647,133.741,26,19,Tyt
203,203,33.776,133.231,24,19,Tyt
204,204,33.901,132.739,23,19,Tyt
205,205,33.795,133.156,22,19,Tyt
206,206,33.934,132.610,21,19,Tyt
207,207,33.798,133.144,19,19,Tyt
208,208,39.887,112.819,18,19,Tyt
209,209,50.071,89.872,18,19,Tyt
210,210,70.069,64.222,18,19,Tyt
211,211,76.843,58.561,5,19,Tyt
212,212,88.786,50.684,3,19,Tyt
213,213,89.471,50.296,3,19,Tyt
214,214,88.694,50.736,3,19,Tyt
215,215,86.069,52.284,3,19,Tyt
