,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,31,7,Chv
1,1,35.375,127.208,35,7,Chv
2,2,34.142,131.802,34,7,Chv
3,3,34.215,131.521,34,7,Chv
4,4,34.519,130.363,34,7,Chv
5,5,34.173,131.683,33,7,Chv
6,6,34.487,130.484,33,7,Chv
7,7,34.543,130.272,33,7,Chv
8,8,34.229,131.467,32,7,Chv
9,9,34.114,131.911,32,7,Chv
10,10,34.169,131.698,32,7,Chv
11,11,34.247,131.398,32,7,Chv
12,12,34.277,131.283,32,7,Chv
13,13,34.359,130.970,32,7,Chv
14,14,34.32,131.119,32,7,Chv
15,15,34.441,130.658,32,7,Chv
16,16,34.307,131.169,32,7,Chv
17,17,34.403,130.803,32,7,Chv
18,18,34.394,130.837,32,7,Chv
19,19,34.275,131.291,32,7,Chv
20,20,34.31,131.157,32,7,Chv
21,21,34.509,130.401,32,7,Chv
22,22,34.485,130.492,32,7,Chv
23,23,34.363,130.955,32,7,Chv
24,24,34.597,130.069,32,7,Chv
25,25,34.369,130.932,32,7,Chv
26,26,38.451,117.032,31,7,Chv
27,27,52.795,85.235,31,7,Chv
28,28,70.908,63.463,31,7,Chv
29,29,74.336,60.536,17,7,Chv
30,30,87.812,51.246,8,7,Chv
31,31,90.674,49.628,8,7,Chv
32,32,81.334,55.327,7,7,Chv
33,33,36.363,123.752,14,7,Chv
34,34,35.215,127.786,22,7,Chv
35,35,35.69,126.086,31,7,Chv
36,36,54.073,83.221,31,7,Chv
37,37,79.758,56.421,32,7,Chv
38,38,85.012,52.934,22,7,Chv
39,39,95.318,47.210,26,7,Chv
40,40,103.94,43.294,33,7,Chv
41,41,54.406,82.711,33,7,Chv
42,42,35.156,128.001,32,7,Chv
43,43,34.513,130.386,30,7,Chv
44,44,34.614,130.005,29,7,Chv
45,45,34.339,131.046,30,7,Chv
46,46,64.623,69.635,30,7,Chv
47,47,77.397,58.142,30,7,Chv
48,48,81.972,54.897,22,7,Chv
49,49,103.863,43.326,35,7,Chv
50,50,90.086,49.952,35,7,Chv
51,51,100.037,44.983,35,7,Chv
52,52,53.147,84.671,34,7,Chv
53,53,35.222,127.761,32,7,Chv
54,54,34.528,130.329,33,7,Chv
55,55,34.29,131.234,33,7,Chv
56,56,34.013,132.302,31,7,Chv
57,57,34.245,131.406,31,7,Chv
58,58,34.117,131.899,32,7,Chv
59,59,34.514,130.382,33,7,Chv
60,60,34.371,130.924,34,7,Chv
61,61,50.869,88.463,34,7,Chv
62,62,72.749,61.857,22,7,Chv
63,63,99.891,45.049,30,7,Chv
64,64,95.461,47.140,33,7,Chv
65,65,61.502,73.168,27,7,Chv
66,66,35.554,126.568,27,7,Chv
67,67,34.313,131.146,27,7,Chv
68,68,34.559,130.212,27,7,Chv
69,69,33.81,133.097,27,7,Chv
70,70,33.755,133.314,25,7,Chv
71,71,33.736,133.389,24,7,Chv
72,72,34.113,131.915,23,7,Chv
73,73,34.481,130.507,25,7,Chv
74,74,34.225,131.483,26,7,Chv
75,75,34.33,131.081,26,7,Chv
76,76,43.028,104.583,26,7,Chv
77,77,81.626,55.129,26,7,Chv
78,78,80.281,56.053,17,7,Chv
79,79,106.205,42.371,30,7,Chv
80,80,89.314,50.384,29,7,Chv
81,81,95.722,47.011,30,7,Chv
82,82,61.995,72.586,31,7,Chv
83,83,35.665,126.174,31,7,Chv
84,84,34.37,130.928,30,7,Chv
85,85,34.839,129.166,32,7,Chv
86,86,34.227,131.475,32,7,Chv
87,87,34.224,131.487,32,7,Chv
88,88,34.371,130.924,32,7,Chv
89,89,34.445,130.643,32,7,Chv
90,90,33.97,132.470,32,7,Chv
91,91,34.131,131.845,32,7,Chv
92,92,34.195,131.598,32,7,Chv
93,93,34.289,131.237,32,7,Chv
94,94,34.147,131.783,32,7,Chv
95,95,34.13,131.849,32,7,Chv
96,96,34.216,131.517,32,7,Chv
97,97,34.112,131.918,32,7,Chv
98,98,34.34,131.043,32,7,Chv
99,99,34.124,131.872,32,7,Chv
100,100,34.496,130.450,31,7,Chv
101,101,34.36,130.966,31,7,Chv
