,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,2,5,Chv
1,1,34.559,130.212,2,5,Chv
2,2,33.193,135.571,2,5,Chv
3,3,32.966,136.504,2,5,Chv
4,4,33.045,136.178,2,5,Chv
5,5,33.246,135.355,2,5,Chv
6,6,33.253,135.326,2,5,Chv
7,7,33.249,135.342,1,5,Chv
8,8,33.353,134.920,1,5,Chv
9,9,33.483,134.397,1,5,Chv
10,10,33.508,134.296,1,5,Chv
11,11,33.512,134.280,1,5,Chv
12,12,33.366,134.868,1,5,Chv
13,13,33.337,134.985,1,5,Chv
14,14,33.302,135.127,1,5,Chv
15,15,33.385,134.791,1,5,Chv
16,16,33.331,135.009,1,5,Chv
17,17,33.333,135.001,1,5,Chv
18,18,33.374,134.836,1,5,Chv
19,19,33.361,134.888,1,5,Chv
20,20,33.394,134.755,1,5,Chv
21,21,33.407,134.702,1,5,Chv
22,22,33.468,134.457,1,5,Chv
23,23,33.424,134.634,1,5,Chv
24,24,33.527,134.220,1,5,Chv
25,25,33.52,134.248,1,5,Chv
26,26,33.514,134.272,1,5,Chv
27,27,45.87,98.103,1,5,Chv
28,28,88.28,50.974,1,5,Chv
29,29,91.542,49.158,3,5,Chv
30,30,95.953,46.898,11,5,Chv
31,31,91.213,49.335,11,5,Chv
32,32,78.019,57.678,11,5,Chv
33,33,34.48,130.510,5,5,Chv
34,34,33.322,135.046,4,5,Chv
35,35,33.189,135.587,3,5,Chv
36,36,41.768,107.738,3,5,Chv
37,37,79.689,56.470,3,5,Chv
38,38,89.157,50.473,3,5,Chv
39,39,91.703,49.071,3,5,Chv
40,40,89.438,50.314,3,5,Chv
41,41,83.903,53.633,3,5,Chv
42,42,34.53,130.321,2,5,Chv
43,43,33.165,135.685,2,5,Chv
44,44,33.34,134.973,2,5,Chv
45,45,33.744,133.357,2,5,Chv
46,46,48.509,92.766,2,5,Chv
47,47,81.573,55.165,2,5,Chv
48,48,87.817,51.243,1,5,Chv
49,49,89.424,50.322,1,5,Chv
50,50,90.196,49.891,1,5,Chv
51,51,90.218,49.879,1,5,Chv
52,52,87.099,51.665,1,5,Chv
53,53,34.171,131.691,1,5,Chv
54,54,33.183,135.612,1,5,Chv
55,55,33.299,135.139,1,5,Chv
56,56,33.175,135.644,1,5,Chv
57,57,33.289,135.180,1,5,Chv
58,58,33.28,135.216,1,5,Chv
59,59,33.2,135.542,1,5,Chv
60,60,33.306,135.111,1,5,Chv
61,61,38.012,118.384,1,5,Chv
62,62,83.997,53.573,1,5,Chv
63,63,90.042,49.977,1,5,Chv
64,64,90.153,49.915,1,5,Chv
65,65,87.4,51.487,1,5,Chv
66,66,34.216,131.517,1,5,Chv
67,67,33.324,135.038,1,5,Chv
68,68,33.158,135.714,1,5,Chv
69,69,33.177,135.636,1,5,Chv
70,70,33.18,135.624,1,5,Chv
71,71,33.216,135.477,1,5,Chv
72,72,33.212,135.493,1,5,Chv
73,73,33.152,135.738,1,5,Chv
74,74,33.187,135.595,1,5,Chv
75,75,33.279,135.220,1,5,Chv
76,76,36.222,124.234,1,5,Chv
77,77,83.743,53.736,1,5,Chv
78,78,91.148,49.370,5,5,Chv
79,79,105.241,42.759,20,5,Chv
80,80,89.108,50.501,20,5,Chv
81,81,93.137,48.316,20,5,Chv
