,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,5,12,Frd
1,1,34.941,128.789,6,12,Frd
2,2,33.527,134.220,5,12,Frd
3,3,33.433,134.598,4,12,Frd
4,4,33.143,135.775,4,12,Frd
5,5,33.366,134.868,4,12,Frd
6,6,33.353,134.920,4,12,Frd
7,7,33.217,135.473,4,12,Frd
8,8,33.384,134.795,4,12,Frd
9,9,33.476,134.425,4,12,Frd
10,10,33.462,134.481,4,12,Frd
11,11,33.525,134.228,4,12,Frd
12,12,33.694,133.555,4,12,Frd
13,13,33.67,133.650,4,12,Frd
14,14,33.557,134.100,4,12,Frd
15,15,33.571,134.044,4,12,Frd
16,16,33.708,133.499,4,12,Frd
17,17,33.765,133.274,4,12,Frd
18,18,33.74,133.373,4,12,Frd
19,19,33.8,133.136,4,12,Frd
20,20,33.775,133.235,4,12,Frd
21,21,33.678,133.618,4,12,Frd
22,22,33.681,133.606,4,12,Frd
23,23,33.837,132.991,4,12,Frd
24,24,33.7,133.531,4,12,Frd
25,25,33.786,133.191,4,12,Frd
26,26,33.743,133.361,4,12,Frd
27,27,48.305,93.158,4,12,Frd
28,28,81.852,54.977,4,12,Frd
29,29,89.691,50.172,4,12,Frd
30,30,87.483,51.439,3,12,Frd
31,31,90.213,49.882,3,12,Frd
32,32,86.31,52.138,3,12,Frd
33,33,34.735,129.552,3,12,Frd
34,34,33.683,133.599,3,12,Frd
35,35,33.707,133.503,4,12,Frd
36,36,41.86,107.501,4,12,Frd
37,37,79.528,56.584,4,12,Frd
38,38,89.639,50.201,4,12,Frd
39,39,91.579,49.138,4,12,Frd
40,40,89.545,50.254,4,12,Frd
41,41,83.135,54.129,5,12,Frd
42,42,34.727,129.582,4,12,Frd
43,43,33.695,133.551,4,12,Frd
44,44,33.68,133.610,4,12,Frd
45,45,33.978,132.439,5,12,Frd
46,46,49.834,90.300,5,12,Frd
47,47,80.39,55.977,5,12,Frd
48,48,88.835,50.656,7,12,Frd
49,49,107.439,41.884,28,12,Frd
50,50,90.783,49.569,28,12,Frd
51,51,97.557,46.127,28,12,Frd
52,52,60.838,73.967,29,12,Frd
53,53,35.275,127.569,26,12,Frd
